symbol,start_date,end_date,actual_frequencies,digit_type,target
ZILUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.3215277777777778, 0.14652777777777778, 0.1111111111111111, 0.1, 0.0798611111111111, 0.0625, 0.058333333333333334, 0.06041666666666667, 0.059722222222222225]",first,TA
ZILUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.12361111111111112, 0.11458333333333333, 0.1076388888888889, 0.09791666666666667, 0.11597222222222223, 0.10138888888888889, 0.07569444444444444, 0.10347222222222222, 0.0875, 0.07222222222222222]",second,TA
ZILUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.3004172461752434, 0.1689847009735744, 0.11474269819193324, 0.10083449235048679, 0.0952712100139082, 0.07858136300417246, 0.0521557719054242, 0.0521557719054242, 0.0368567454798331]",first,TA
ZILUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.14186369958275383, 0.10917941585535466, 0.10570236439499305, 0.09874826147426982, 0.10292072322670376, 0.09040333796940195, 0.07927677329624479, 0.09318497913769123, 0.08205841446453407, 0.09666203059805285]",second,TA
ZILUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.2630117973629424, 0.17002081887578072, 0.12560721721027066, 0.11311589174184594, 0.08327550312283137, 0.07078417765440666, 0.06800832755031229, 0.055517002081887576, 0.05065926439972242]",first,TA
ZILUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.12560721721027066, 0.11242192921582235, 0.10895211658570438, 0.12074947952810548, 0.11103400416377515, 0.09576682859125607, 0.08813324080499653, 0.08466342817487855, 0.08049965301873699, 0.07217210270645386]",second,TA
ZILUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.3039555863983345, 0.17210270645385148, 0.11311589174184594, 0.09299097848716169, 0.08119361554476058, 0.07286606523247745, 0.05898681471200555, 0.05690492713393477, 0.047883414295628035]",first,TA
ZILUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.1297709923664122, 0.10062456627342123, 0.12213740458015267, 0.09854267869535045, 0.11727966689798751, 0.09021512838306732, 0.08049965301873699, 0.0936849410131853, 0.08674531575294935, 0.08049965301873699]",second,TA
ZILUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.2609299097848716, 0.1825121443442054, 0.13740458015267176, 0.09646079111727966, 0.08882720333102012, 0.06453851492019431, 0.062456627342123525, 0.06176266481609993, 0.04510756419153366]",first,TA
ZILUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.12838306731436502, 0.12630117973629423, 0.11589174184594032, 0.0936849410131853, 0.08327550312283137, 0.09854267869535045, 0.08882720333102012, 0.09299097848716169, 0.08049965301873699, 0.0916030534351145]",second,TA
ZILUSDT,2022-01-06-00:00,2022-01-07-00:00,"[0.2789729354614851, 0.19430950728660654, 0.11172796668979876, 0.09021512838306732, 0.08813324080499653, 0.07702984038861901, 0.06176266481609993, 0.0527411519777932, 0.04510756419153366]",first,TA
ZILUSDT,2022-01-06-00:00,2022-01-07-00:00,"[0.12421929215822346, 0.11450381679389313, 0.10131852879944483, 0.1054823039555864, 0.09507286606523248, 0.09923664122137404, 0.09784871616932686, 0.09576682859125607, 0.08535739070090215, 0.08119361554476058]",second,TA
ZILUSDT,2022-01-07-00:00,2022-01-08-00:00,"[0.2782789729354615, 0.16099930603747398, 0.1339347675225538, 0.11727966689798751, 0.09021512838306732, 0.07633587786259542, 0.049271339347675226, 0.05065926439972242, 0.04302567661346287]",first,TA
ZILUSDT,2022-01-07-00:00,2022-01-08-00:00,"[0.11172796668979876, 0.11034004163775156, 0.11519777931991672, 0.10756419153365718, 0.09299097848716169, 0.09576682859125607, 0.11380985426786953, 0.08327550312283137, 0.08119361554476058, 0.08813324080499653]",second,TA
ZILUSDT,2022-01-08-00:00,2022-01-09-00:00,"[0.29812369701181374, 0.17095205003474634, 0.1202223766504517, 0.10006949270326616, 0.07227241139680333, 0.07088255733148019, 0.06045865184155664, 0.05837387074357193, 0.048644892286309936]",first,TA
ZILUSDT,2022-01-08-00:00,2022-01-09-00:00,"[0.11674774148714386, 0.11813759555246699, 0.10840861709520501, 0.11257817929117443, 0.08617095205003475, 0.10215427380125087, 0.09867963863794302, 0.0945100764419736, 0.08130646282140375, 0.08130646282140375]",second,TA
ZILUSDT,2022-01-09-00:00,2022-01-10-00:00,"[0.3013888888888889, 0.15763888888888888, 0.13819444444444445, 0.08819444444444445, 0.08402777777777778, 0.059027777777777776, 0.06944444444444445, 0.049305555555555554, 0.05277777777777778]",first,TA
ZILUSDT,2022-01-09-00:00,2022-01-10-00:00,"[0.10555555555555556, 0.10833333333333334, 0.12083333333333333, 0.10416666666666667, 0.10277777777777777, 0.09513888888888888, 0.1, 0.09791666666666667, 0.08194444444444444, 0.08333333333333333]",second,TA
ZILUSDT,2022-01-10-00:00,2022-01-11-00:00,"[0.30013927576601673, 0.19289693593314763, 0.12674094707520892, 0.10863509749303621, 0.07590529247910864, 0.056406685236768804, 0.057103064066852366, 0.04735376044568245, 0.034818941504178275]",first,TA
ZILUSDT,2022-01-10-00:00,2022-01-11-00:00,"[0.11142061281337047, 0.13231197771587744, 0.11420612813370473, 0.08635097493036212, 0.0988857938718663, 0.09749303621169916, 0.0947075208913649, 0.09331476323119778, 0.09122562674094707, 0.08008356545961003]",second,TA
ZILUSDT,2022-01-11-00:00,2022-01-12-00:00,"[0.31897150799166085, 0.18276580958999306, 0.1341209173036831, 0.08895066018068103, 0.07574704656011119, 0.06810284920083391, 0.04794996525364837, 0.05003474635163308, 0.03335649756775538]",first,TA
ZILUSDT,2022-01-11-00:00,2022-01-12-00:00,"[0.12786657400972898, 0.10840861709520501, 0.11466296038915914, 0.09242529534398888, 0.11118832522585129, 0.103544127866574, 0.09034051424600417, 0.08269631688672689, 0.08964558721334259, 0.07922168172341904]",second,TA
ZILUSDT,2022-01-12-00:00,2022-01-13-00:00,"[0.2787456445993031, 0.16445993031358885, 0.14285714285714285, 0.10522648083623694, 0.08362369337979095, 0.06341463414634146, 0.05574912891986063, 0.05714285714285714, 0.04878048780487805]",first,TA
ZILUSDT,2022-01-12-00:00,2022-01-13-00:00,"[0.11637630662020906, 0.11916376306620209, 0.12264808362369338, 0.10662020905923345, 0.08850174216027874, 0.09547038327526132, 0.09128919860627177, 0.0794425087108014, 0.089198606271777, 0.09128919860627177]",second,TA
ZILUSDT,2022-01-13-00:00,2022-01-14-00:00,"[0.3060374739764053, 0.17210270645385148, 0.11658570437196392, 0.10131852879944483, 0.0777238029146426, 0.07009021512838307, 0.05968077723802915, 0.0527411519777932, 0.04371963913948647]",first,TA
ZILUSDT,2022-01-13-00:00,2022-01-14-00:00,"[0.12560721721027066, 0.11450381679389313, 0.11866759195003469, 0.11589174184594032, 0.0798056904927134, 0.1054823039555864, 0.0922970159611381, 0.08119361554476058, 0.0798056904927134, 0.08674531575294935]",second,TA
ZILUSDT,2022-01-14-00:00,2022-01-15-00:00,"[0.2918693537178596, 0.18276580958999306, 0.13551077136900624, 0.10076441973592773, 0.08756080611535788, 0.06323835997220292, 0.04447533009034051, 0.048644892286309936, 0.045170257123002086]",first,TA
ZILUSDT,2022-01-14-00:00,2022-01-15-00:00,"[0.10423905489923559, 0.11952744961779013, 0.113273106323836, 0.10076441973592773, 0.10701876302988186, 0.09867963863794302, 0.09381514940931203, 0.08617095205003475, 0.09381514940931203, 0.08269631688672689]",second,TA
ZILUSDT,2022-01-15-00:00,2022-01-16-00:00,"[0.2865090403337969, 0.17941585535465926, 0.14255910987482615, 0.09388038942976357, 0.08136300417246176, 0.05146036161335188, 0.06050069541029207, 0.05702364394993046, 0.04728789986091794]",first,TA
ZILUSDT,2022-01-15-00:00,2022-01-16-00:00,"[0.11474269819193324, 0.11752433936022254, 0.12378303198887343, 0.11752433936022254, 0.09735744089012517, 0.09248956884561892, 0.0952712100139082, 0.08066759388038942, 0.08136300417246176, 0.07927677329624479]",second,TA
ZILUSDT,2022-01-16-00:00,2022-01-17-00:00,"[0.27785515320334264, 0.18036211699164345, 0.12604456824512536, 0.10236768802228412, 0.07311977715877438, 0.06963788300835655, 0.0745125348189415, 0.05153203342618384, 0.04456824512534819]",first,TA
ZILUSDT,2022-01-16-00:00,2022-01-17-00:00,"[0.13231197771587744, 0.10584958217270195, 0.10306406685236769, 0.0988857938718663, 0.09261838440111421, 0.10306406685236769, 0.09610027855153204, 0.08983286908077995, 0.08008356545961003, 0.09818941504178273]",second,TA
ZILUSDT,2022-01-17-00:00,2022-01-18-00:00,"[0.2686151704940849, 0.1906750173973556, 0.14961725817675714, 0.10020876826722339, 0.08281141266527488, 0.06680584551148225, 0.05358385525400139, 0.04314544189283229, 0.04453723034098817]",first,TA
ZILUSDT,2022-01-17-00:00,2022-01-18-00:00,"[0.12456506610995129, 0.10299234516353514, 0.1022964509394572, 0.12386917188587335, 0.08907446068197634, 0.09394572025052192, 0.08977035490605428, 0.10299234516353514, 0.081419624217119, 0.08907446068197634]",second,TA
ZILUSDT,2022-01-18-00:00,2022-01-19-00:00,"[0.3020833333333333, 0.18194444444444444, 0.13125, 0.10694444444444444, 0.07361111111111111, 0.05763888888888889, 0.05138888888888889, 0.03888888888888889, 0.05625]",first,TA
ZILUSDT,2022-01-18-00:00,2022-01-19-00:00,"[0.12708333333333333, 0.09375, 0.10416666666666667, 0.10208333333333333, 0.10416666666666667, 0.10069444444444445, 0.09097222222222222, 0.10486111111111111, 0.08333333333333333, 0.08888888888888889]",second,TA
ZILUSDT,2022-01-19-00:00,2022-01-20-00:00,"[0.27885952712100137, 0.20445062586926285, 0.13351877607788595, 0.1105702364394993, 0.06467315716272601, 0.06050069541029207, 0.050764951321279554, 0.05910987482614743, 0.037552155771905425]",first,TA
ZILUSDT,2022-01-19-00:00,2022-01-20-00:00,"[0.11543810848400557, 0.09596662030598054, 0.1168289290681502, 0.11543810848400557, 0.12030598052851182, 0.09109874826147427, 0.09805285118219749, 0.10083449235048679, 0.07858136300417246, 0.0674547983310153]",second,TA
ZILUSDT,2022-01-20-00:00,2022-01-21-00:00,"[0.3130252100840336, 0.18067226890756302, 0.1253501400560224, 0.10224089635854341, 0.07703081232492998, 0.06162464985994398, 0.05112044817927171, 0.049019607843137254, 0.03991596638655462]",first,TA
ZILUSDT,2022-01-20-00:00,2022-01-21-00:00,"[0.1015406162464986, 0.11834733893557423, 0.11834733893557423, 0.08753501400560224, 0.11204481792717087, 0.09173669467787114, 0.10434173669467788, 0.09523809523809523, 0.0819327731092437, 0.08893557422969188]",second,TA
ZILUSDT,2022-01-21-00:00,2022-01-22-00:00,"[0.3055555555555556, 0.16597222222222222, 0.12361111111111112, 0.10416666666666667, 0.08263888888888889, 0.07847222222222222, 0.049305555555555554, 0.052083333333333336, 0.03819444444444445]",first,TA
ZILUSDT,2022-01-21-00:00,2022-01-22-00:00,"[0.12569444444444444, 0.11666666666666667, 0.11527777777777778, 0.10694444444444444, 0.10208333333333333, 0.09097222222222222, 0.09513888888888888, 0.08611111111111111, 0.07430555555555556, 0.08680555555555555]",second,TA
ZILUSDT,2022-01-22-00:00,2022-01-23-00:00,"[0.3039555863983345, 0.1714087439278279, 0.12768910478834142, 0.0916030534351145, 0.0777238029146426, 0.0659264399722415, 0.06037473976405274, 0.05343511450381679, 0.047883414295628035]",first,TA
