symbol,start_date,end_date,actual_frequencies,digit_type,target
KRW-AVAX,2023-01-01-00:00,2022-12-31-00:00,"[0.3333333333333333, 0.16333333333333333, 0.09666666666666666, 0.09833333333333333, 0.07666666666666666, 0.07666666666666666, 0.04, 0.051666666666666666, 0.06333333333333334]",first,TA
KRW-AVAX,2023-01-01-00:00,2022-12-31-00:00,"[0.18166666666666667, 0.09833333333333333, 0.095, 0.09, 0.075, 0.08166666666666667, 0.09, 0.065, 0.056666666666666664, 0.16666666666666666]",second,TA
KRW-AVAX,2022-12-31-00:00,2022-12-30-00:00,"[0.35625, 0.1475, 0.08125, 0.1125, 0.0675, 0.0625, 0.03625, 0.04625, 0.09]",first,TA
KRW-AVAX,2022-12-31-00:00,2022-12-30-00:00,"[0.1475, 0.11, 0.08375, 0.12, 0.09, 0.0725, 0.07875, 0.0775, 0.0825, 0.1375]",second,TA
KRW-AVAX,2022-12-30-00:00,2022-12-29-00:00,"[0.3, 0.1375, 0.11125, 0.1, 0.105, 0.0675, 0.0475, 0.0525, 0.07875]",first,TA
KRW-AVAX,2022-12-30-00:00,2022-12-29-00:00,"[0.1375, 0.10625, 0.08875, 0.07375, 0.125, 0.07875, 0.08125, 0.07375, 0.085, 0.15]",second,TA
KRW-AVAX,2022-12-29-00:00,2022-12-28-00:00,"[0.32875, 0.1575, 0.09625, 0.1025, 0.09, 0.05, 0.0525, 0.045, 0.0775]",first,TA
KRW-AVAX,2022-12-29-00:00,2022-12-28-00:00,"[0.15875, 0.1175, 0.07625, 0.07625, 0.12125, 0.075, 0.0725, 0.06875, 0.07125, 0.1625]",second,TA
KRW-AVAX,2022-12-28-00:00,2022-12-27-00:00,"[0.36125, 0.14625, 0.1, 0.08875, 0.0675, 0.06, 0.06125, 0.04, 0.075]",first,TA
KRW-AVAX,2022-12-28-00:00,2022-12-27-00:00,"[0.1625, 0.10125, 0.0675, 0.085, 0.13125, 0.07375, 0.07875, 0.06875, 0.075, 0.15625]",second,TA
KRW-AVAX,2022-12-27-00:00,2022-12-26-00:00,"[0.325, 0.165, 0.11875, 0.08125, 0.075, 0.06125, 0.06375, 0.02875, 0.08125]",first,TA
KRW-AVAX,2022-12-27-00:00,2022-12-26-00:00,"[0.17, 0.11125, 0.08, 0.08, 0.11125, 0.09375, 0.07125, 0.0725, 0.06375, 0.14625]",second,TA
KRW-AVAX,2022-12-26-00:00,2022-12-25-00:00,"[0.32, 0.17166666666666666, 0.09666666666666666, 0.11166666666666666, 0.075, 0.06, 0.04833333333333333, 0.025, 0.09166666666666666]",first,TA
KRW-AVAX,2022-12-26-00:00,2022-12-25-00:00,"[0.18333333333333332, 0.10833333333333334, 0.08833333333333333, 0.065, 0.08, 0.12, 0.075, 0.065, 0.056666666666666664, 0.15833333333333333]",second,TA
KRW-AVAX,2022-12-25-00:00,2022-12-24-00:00,"[0.3333333333333333, 0.15, 0.105, 0.125, 0.09, 0.045, 0.04833333333333333, 0.03833333333333333, 0.065]",first,TA
KRW-AVAX,2022-12-25-00:00,2022-12-24-00:00,"[0.16166666666666665, 0.09166666666666666, 0.085, 0.07, 0.09333333333333334, 0.11666666666666667, 0.07333333333333333, 0.04666666666666667, 0.07166666666666667, 0.19]",second,TA
KRW-AVAX,2022-12-24-00:00,2022-12-23-00:00,"[0.31333333333333335, 0.16666666666666666, 0.11166666666666666, 0.12, 0.07333333333333333, 0.043333333333333335, 0.056666666666666664, 0.04833333333333333, 0.06666666666666667]",first,TA
KRW-AVAX,2022-12-24-00:00,2022-12-23-00:00,"[0.16833333333333333, 0.07666666666666666, 0.095, 0.07166666666666667, 0.08666666666666667, 0.11166666666666666, 0.09, 0.06666666666666667, 0.051666666666666666, 0.18166666666666667]",second,TA
KRW-AVAX,2022-12-23-00:00,2022-12-22-00:00,"[0.32, 0.18125, 0.1025, 0.1, 0.09, 0.05625, 0.0475, 0.04, 0.0625]",first,TA
KRW-AVAX,2022-12-23-00:00,2022-12-22-00:00,"[0.15125, 0.11, 0.08, 0.08375, 0.09625, 0.105, 0.0875, 0.06625, 0.06375, 0.15625]",second,TA
KRW-AVAX,2022-12-22-00:00,2022-12-21-00:00,"[0.3075, 0.18, 0.09, 0.085, 0.0875, 0.065, 0.06125, 0.0375, 0.08625]",first,TA
KRW-AVAX,2022-12-22-00:00,2022-12-21-00:00,"[0.15625, 0.09625, 0.10625, 0.0825, 0.07625, 0.10875, 0.07625, 0.06375, 0.0725, 0.16125]",second,TA
KRW-AVAX,2022-12-21-00:00,2022-12-20-00:00,"[0.32, 0.172, 0.103, 0.078, 0.088, 0.063, 0.057, 0.044, 0.075]",first,TA
KRW-AVAX,2022-12-21-00:00,2022-12-20-00:00,"[0.141, 0.098, 0.117, 0.09, 0.096, 0.094, 0.076, 0.086, 0.074, 0.128]",second,TA
KRW-AVAX,2022-12-20-00:00,2022-12-19-00:00,"[0.301, 0.176, 0.111, 0.091, 0.074, 0.079, 0.056, 0.053, 0.059]",first,TA
KRW-AVAX,2022-12-20-00:00,2022-12-19-00:00,"[0.132, 0.106, 0.101, 0.118, 0.091, 0.105, 0.061, 0.069, 0.089, 0.128]",second,TA
KRW-AVAX,2022-12-19-00:00,2022-12-18-00:00,"[0.345, 0.14833333333333334, 0.09833333333333333, 0.09166666666666666, 0.07333333333333333, 0.085, 0.03666666666666667, 0.04666666666666667, 0.075]",first,TA
KRW-AVAX,2022-12-19-00:00,2022-12-18-00:00,"[0.15666666666666668, 0.11666666666666667, 0.10333333333333333, 0.11666666666666667, 0.07666666666666666, 0.10333333333333333, 0.051666666666666666, 0.05333333333333334, 0.06833333333333333, 0.15333333333333332]",second,TA
KRW-AVAX,2022-12-18-00:00,2022-12-17-00:00,"[0.30625, 0.17125, 0.1075, 0.1075, 0.09125, 0.04875, 0.05375, 0.0425, 0.07125]",first,TA
KRW-AVAX,2022-12-18-00:00,2022-12-17-00:00,"[0.165, 0.1075, 0.08875, 0.095, 0.07625, 0.10875, 0.06625, 0.07375, 0.07625, 0.1425]",second,TA
KRW-AVAX,2022-12-17-00:00,2022-12-16-00:00,"[0.3075, 0.16833333333333333, 0.13, 0.08166666666666667, 0.09416666666666666, 0.060833333333333336, 0.050833333333333335, 0.04083333333333333, 0.06583333333333333]",first,TA
KRW-AVAX,2022-12-17-00:00,2022-12-16-00:00,"[0.14416666666666667, 0.1, 0.1075, 0.10166666666666667, 0.1025, 0.08083333333333333, 0.09916666666666667, 0.08583333333333333, 0.06333333333333334, 0.115]",second,TA
KRW-AVAX,2022-12-16-00:00,2022-12-15-00:00,"[0.3125, 0.16916666666666666, 0.12833333333333333, 0.10083333333333333, 0.07833333333333334, 0.06666666666666667, 0.04666666666666667, 0.04083333333333333, 0.056666666666666664]",first,TA
KRW-AVAX,2022-12-16-00:00,2022-12-15-00:00,"[0.14166666666666666, 0.105, 0.0875, 0.09166666666666666, 0.10916666666666666, 0.085, 0.09833333333333333, 0.09833333333333333, 0.06666666666666667, 0.11666666666666667]",second,TA
KRW-AVAX,2022-12-15-00:00,2022-12-14-00:00,"[0.31642857142857145, 0.1792857142857143, 0.10928571428571429, 0.10071428571428571, 0.07857142857142857, 0.05714285714285714, 0.06142857142857143, 0.04428571428571428, 0.05285714285714286]",first,TA
KRW-AVAX,2022-12-15-00:00,2022-12-14-00:00,"[0.1357142857142857, 0.10785714285714286, 0.12857142857142856, 0.09214285714285714, 0.09, 0.10428571428571429, 0.07857142857142857, 0.07571428571428572, 0.08214285714285714, 0.105]",second,TA
KRW-AVAX,2022-12-14-00:00,2022-12-13-00:00,"[0.31333333333333335, 0.17333333333333334, 0.10333333333333333, 0.11333333333333333, 0.07, 0.07166666666666667, 0.05, 0.04583333333333333, 0.059166666666666666]",first,TA
KRW-AVAX,2022-12-14-00:00,2022-12-13-00:00,"[0.15333333333333332, 0.105, 0.09166666666666666, 0.1075, 0.09666666666666666, 0.08, 0.08833333333333333, 0.07583333333333334, 0.07333333333333333, 0.12833333333333333]",second,TA
KRW-AVAX,2022-12-13-00:00,2022-12-12-00:00,"[0.26875, 0.1675, 0.1275, 0.1, 0.07875, 0.06875, 0.045, 0.0525, 0.09125]",first,TA
KRW-AVAX,2022-12-13-00:00,2022-12-12-00:00,"[0.15875, 0.095, 0.075, 0.07375, 0.0825, 0.0925, 0.075, 0.08625, 0.08875, 0.1725]",second,TA
KRW-AVAX,2022-12-12-00:00,2022-12-11-00:00,"[0.28, 0.15, 0.17833333333333334, 0.105, 0.06666666666666667, 0.04, 0.03666666666666667, 0.04, 0.10333333333333333]",first,TA
KRW-AVAX,2022-12-12-00:00,2022-12-11-00:00,"[0.13166666666666665, 0.08333333333333333, 0.10833333333333334, 0.095, 0.08666666666666667, 0.07, 0.043333333333333335, 0.08333333333333333, 0.07166666666666667, 0.22666666666666666]",second,TA
KRW-AVAX,2022-12-11-00:00,2022-12-10-00:00,"[0.345, 0.16333333333333333, 0.11, 0.08833333333333333, 0.10166666666666667, 0.04, 0.04, 0.045, 0.06666666666666667]",first,TA
KRW-AVAX,2022-12-11-00:00,2022-12-10-00:00,"[0.16333333333333333, 0.105, 0.085, 0.075, 0.08333333333333333, 0.08333333333333333, 0.08166666666666667, 0.075, 0.058333333333333334, 0.19]",second,TA
KRW-AVAX,2022-12-10-00:00,2022-12-09-00:00,"[0.335, 0.15, 0.09666666666666666, 0.09666666666666666, 0.10166666666666667, 0.055, 0.05, 0.04, 0.075]",first,TA
KRW-AVAX,2022-12-10-00:00,2022-12-09-00:00,"[0.17666666666666667, 0.095, 0.08833333333333333, 0.09833333333333333, 0.08666666666666667, 0.075, 0.06166666666666667, 0.07166666666666667, 0.04666666666666667, 0.2]",second,TA
KRW-AVAX,2022-12-09-00:00,2022-12-08-00:00,"[0.31166666666666665, 0.175, 0.09, 0.08833333333333333, 0.08833333333333333, 0.03833333333333333, 0.05, 0.07, 0.08833333333333333]",first,TA
KRW-AVAX,2022-12-09-00:00,2022-12-08-00:00,"[0.14833333333333334, 0.10666666666666667, 0.07166666666666667, 0.08833333333333333, 0.105, 0.08, 0.06833333333333333, 0.095, 0.08666666666666667, 0.15]",second,TA
KRW-AVAX,2022-12-08-00:00,2022-12-07-00:00,"[0.3125, 0.15, 0.1075, 0.105, 0.11125, 0.05125, 0.0475, 0.03125, 0.08375]",first,TA
KRW-AVAX,2022-12-08-00:00,2022-12-07-00:00,"[0.1775, 0.105, 0.11375, 0.0625, 0.08625, 0.08375, 0.07125, 0.06875, 0.07625, 0.155]",second,TA
KRW-AVAX,2022-12-07-00:00,2022-12-06-00:00,"[0.305, 0.185, 0.1125, 0.09125, 0.09375, 0.0475, 0.04625, 0.02875, 0.09]",first,TA
KRW-AVAX,2022-12-07-00:00,2022-12-06-00:00,"[0.16125, 0.09375, 0.0725, 0.08375, 0.08625, 0.095, 0.085, 0.06625, 0.1, 0.15625]",second,TA
KRW-AVAX,2022-12-06-00:00,2022-12-05-00:00,"[0.295, 0.167, 0.101, 0.103, 0.118, 0.052, 0.05, 0.036, 0.078]",first,TA
KRW-AVAX,2022-12-06-00:00,2022-12-05-00:00,"[0.152, 0.093, 0.092, 0.081, 0.12, 0.095, 0.078, 0.073, 0.081, 0.135]",second,TA
KRW-AVAX,2022-12-05-00:00,2022-12-04-00:00,"[0.322, 0.153, 0.129, 0.093, 0.094, 0.053, 0.053, 0.043, 0.06]",first,TA
KRW-AVAX,2022-12-05-00:00,2022-12-04-00:00,"[0.184, 0.104, 0.087, 0.093, 0.082, 0.094, 0.078, 0.063, 0.076, 0.139]",second,TA
KRW-AVAX,2022-12-04-00:00,2022-12-03-00:00,"[0.308, 0.159, 0.122, 0.079, 0.107, 0.072, 0.042, 0.048, 0.063]",first,TA
KRW-AVAX,2022-12-04-00:00,2022-12-03-00:00,"[0.149, 0.092, 0.106, 0.096, 0.07, 0.096, 0.081, 0.079, 0.099, 0.132]",second,TA
KRW-AVAX,2022-12-03-00:00,2022-12-02-00:00,"[0.305, 0.16, 0.128, 0.082, 0.099, 0.056, 0.041, 0.053, 0.076]",first,TA
KRW-AVAX,2022-12-03-00:00,2022-12-02-00:00,"[0.163, 0.096, 0.098, 0.086, 0.091, 0.103, 0.068, 0.074, 0.068, 0.153]",second,TA
KRW-AVAX,2022-12-02-00:00,2022-12-01-00:00,"[0.3125, 0.17375, 0.11875, 0.08375, 0.08375, 0.05625, 0.04625, 0.0525, 0.0725]",first,TA
KRW-AVAX,2022-12-02-00:00,2022-12-01-00:00,"[0.16375, 0.1025, 0.1, 0.095, 0.08625, 0.0825, 0.07375, 0.07875, 0.0625, 0.155]",second,TA
