symbol,start_date,end_date,actual_frequencies,digit_type,target
AEURUSDT,2023-12-04-00:00,2023-12-05-00:00,"[0.3333333333333333, 0.12418300653594772, 0.13071895424836602, 0.0718954248366013, 0.10457516339869281, 0.05228758169934641, 0.0718954248366013, 0.05228758169934641, 0.058823529411764705]",first,TA
AEURUSDT,2023-12-04-00:00,2023-12-05-00:00,"[0.12418300653594772, 0.1503267973856209, 0.12418300653594772, 0.08496732026143791, 0.08496732026143791, 0.1111111111111111, 0.10457516339869281, 0.08496732026143791, 0.06535947712418301, 0.06535947712418301]",second,TA
AEURUSDT,2023-12-05-00:00,2023-12-06-00:00,"[0.3068006182380216, 0.1893353941267388, 0.1205564142194745, 0.08191653786707882, 0.09119010819165378, 0.0571870170015456, 0.0571870170015456, 0.04714064914992272, 0.04868624420401855]",first,TA
AEURUSDT,2023-12-05-00:00,2023-12-06-00:00,"[0.1275115919629057, 0.11282843894899536, 0.10123647604327667, 0.11360123647604328, 0.08809891808346214, 0.09119010819165378, 0.09814528593508501, 0.08191653786707882, 0.08578052550231839, 0.09969088098918083]",second,TA
AEURUSDT,2023-12-06-00:00,2023-12-07-00:00,"[0.28773584905660377, 0.16037735849056603, 0.12264150943396226, 0.07547169811320754, 0.0660377358490566, 0.06132075471698113, 0.12735849056603774, 0.06132075471698113, 0.03773584905660377]",first,TA
AEURUSDT,2023-12-06-00:00,2023-12-07-00:00,"[0.12735849056603774, 0.14622641509433962, 0.1179245283018868, 0.08018867924528301, 0.05660377358490566, 0.09433962264150944, 0.10377358490566038, 0.07547169811320754, 0.10849056603773585, 0.08962264150943396]",second,TA
AEURUSDT,2023-12-08-00:00,2023-12-09-00:00,"[0.2786885245901639, 0.13114754098360656, 0.13114754098360656, 0.04918032786885246, 0.11475409836065574, 0.09836065573770492, 0.03278688524590164, 0.13114754098360656, 0.03278688524590164]",first,TA
AEURUSDT,2023-12-08-00:00,2023-12-09-00:00,"[0.06557377049180328, 0.16393442622950818, 0.08196721311475409, 0.13114754098360656, 0.01639344262295082, 0.11475409836065574, 0.11475409836065574, 0.08196721311475409, 0.14754098360655737, 0.08196721311475409]",second,TA
AEURUSDT,2023-12-09-00:00,2023-12-10-00:00,"[0.2900763358778626, 0.17765440666204024, 0.12907702984038863, 0.11172796668979876, 0.08674531575294935, 0.06662040249826509, 0.05759888965995836, 0.04441360166551006, 0.03608605135322693]",first,TA
AEURUSDT,2023-12-09-00:00,2023-12-10-00:00,"[0.11519777931991672, 0.12560721721027066, 0.10478834142956281, 0.10131852879944483, 0.1040943789035392, 0.09784871616932686, 0.09646079111727966, 0.08258154059680778, 0.08049965301873699, 0.0916030534351145]",second,TA
AEURUSDT,2023-12-10-00:00,2023-12-11-00:00,"[0.31149825783972124, 0.18466898954703834, 0.11916376306620209, 0.0975609756097561, 0.08153310104529617, 0.059930313588850176, 0.04529616724738676, 0.05644599303135889, 0.04390243902439024]",first,TA
AEURUSDT,2023-12-10-00:00,2023-12-11-00:00,"[0.11219512195121951, 0.12334494773519164, 0.11358885017421602, 0.10871080139372823, 0.10104529616724739, 0.09477351916376307, 0.08501742160278745, 0.08571428571428572, 0.08571428571428572, 0.08989547038327526]",second,TA
AEURUSDT,2023-12-11-00:00,2023-12-12-00:00,"[0.28370786516853935, 0.17837078651685392, 0.13974719101123595, 0.09620786516853932, 0.08637640449438203, 0.06320224719101124, 0.06320224719101124, 0.042134831460674156, 0.047050561797752806]",first,TA
AEURUSDT,2023-12-11-00:00,2023-12-12-00:00,"[0.13132022471910113, 0.10884831460674158, 0.11095505617977527, 0.08707865168539326, 0.0976123595505618, 0.10533707865168539, 0.0997191011235955, 0.0877808988764045, 0.0898876404494382, 0.08146067415730338]",second,TA
AEURUSDT,2023-12-12-00:00,2023-12-13-00:00,"[0.3067349926793558, 0.18301610541727673, 0.11420204978038068, 0.09663250366032211, 0.07320644216691069, 0.08565153733528551, 0.05490483162518302, 0.040995607613469986, 0.04465592972181552]",first,TA
AEURUSDT,2023-12-12-00:00,2023-12-13-00:00,"[0.14055636896046853, 0.1054172767203514, 0.12005856515373353, 0.10468521229868229, 0.095900439238653, 0.09077598828696926, 0.09956076134699854, 0.0746705710102489, 0.07833089311859444, 0.09004392386530015]",second,TA
AEURUSDT,2023-12-13-00:00,2023-12-14-00:00,"[0.31829368334700575, 0.17145200984413453, 0.11074651353568499, 0.0844954881050041, 0.0844954881050041, 0.06644790812141099, 0.04840032813781788, 0.05004101722723544, 0.06562756357670221]",first,TA
AEURUSDT,2023-12-13-00:00,2023-12-14-00:00,"[0.12633305988515175, 0.11977030352748154, 0.1140278917145201, 0.09598031173092698, 0.09105824446267433, 0.08531583264971287, 0.10418375717801477, 0.0771123872026251, 0.07629204265791632, 0.10992616899097621]",second,TA
AEURUSDT,2023-12-14-00:00,2023-12-15-00:00,"[0.29654654654654655, 0.16741741741741742, 0.11261261261261261, 0.10135135135135136, 0.08633633633633633, 0.06381381381381382, 0.05930930930930931, 0.0533033033033033, 0.05930930930930931]",first,TA
