symbol,start_date,end_date,actual_frequencies,digit_type,target
ALCXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.5756097560975609, 0.15609756097560976, 0.06829268292682927, 0.05365853658536585, 0.03414634146341464, 0.04390243902439024, 0.014634146341463415, 0.014634146341463415, 0.03902439024390244]",first,TA
ALCXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.12682926829268293, 0.07317073170731707, 0.05853658536585366, 0.05853658536585366, 0.1902439024390244, 0.1902439024390244, 0.11707317073170732, 0.04390243902439024, 0.01951219512195122, 0.12195121951219512]",second,TA
ALCXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.5357142857142857, 0.17857142857142858, 0.05555555555555555, 0.047619047619047616, 0.05555555555555555, 0.015873015873015872, 0.023809523809523808, 0.03968253968253968, 0.047619047619047616]",first,TA
ALCXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.12301587301587301, 0.08333333333333333, 0.05555555555555555, 0.0873015873015873, 0.11904761904761904, 0.25, 0.09523809523809523, 0.05555555555555555, 0.05555555555555555, 0.07539682539682539]",second,TA
ALCXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.40153452685422, 0.1585677749360614, 0.1329923273657289, 0.08439897698209718, 0.058823529411764705, 0.043478260869565216, 0.05115089514066496, 0.020460358056265986, 0.04859335038363171]",first,TA
ALCXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.13554987212276215, 0.09462915601023018, 0.10485933503836317, 0.06649616368286446, 0.09974424552429667, 0.1867007672634271, 0.09718670076726342, 0.0639386189258312, 0.061381074168797956, 0.08951406649616368]",second,TA
ALCXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.4413145539906103, 0.13380281690140844, 0.11502347417840375, 0.09624413145539906, 0.025821596244131457, 0.06338028169014084, 0.04460093896713615, 0.04460093896713615, 0.035211267605633804]",first,TA
ALCXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.13380281690140844, 0.11032863849765258, 0.07746478873239436, 0.056338028169014086, 0.13849765258215962, 0.1596244131455399, 0.11032863849765258, 0.06572769953051644, 0.056338028169014086, 0.09154929577464789]",second,TA
ALCXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.46875, 0.1375, 0.11875, 0.103125, 0.053125, 0.034375, 0.03125, 0.025, 0.028125]",first,TA
ALCXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.125, 0.08125, 0.078125, 0.075, 0.11875, 0.23125, 0.109375, 0.05625, 0.040625, 0.084375]",second,TA
ALCXUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.5418502202643172, 0.0881057268722467, 0.12334801762114538, 0.05726872246696035, 0.06607929515418502, 0.039647577092511016, 0.030837004405286344, 0.022026431718061675, 0.030837004405286344]",first,TA
ALCXUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.07488986784140969, 0.0881057268722467, 0.06607929515418502, 0.08370044052863436, 0.14096916299559473, 0.22026431718061673, 0.07488986784140969, 0.07488986784140969, 0.06167400881057269, 0.1145374449339207]",second,TA
ALCXUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.4767932489451477, 0.1308016877637131, 0.1308016877637131, 0.11392405063291139, 0.02531645569620253, 0.046413502109704644, 0.03375527426160337, 0.008438818565400843, 0.03375527426160337]",first,TA
ALCXUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.14767932489451477, 0.12236286919831224, 0.09282700421940929, 0.07172995780590717, 0.06751054852320675, 0.21518987341772153, 0.08016877637130802, 0.046413502109704644, 0.05907172995780591, 0.0970464135021097]",second,TA
ALCXUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.4591549295774648, 0.1267605633802817, 0.07887323943661972, 0.09014084507042254, 0.04507042253521127, 0.04507042253521127, 0.05070422535211268, 0.05070422535211268, 0.05352112676056338]",first,TA
ALCXUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.11549295774647887, 0.11267605633802817, 0.07887323943661972, 0.04225352112676056, 0.11549295774647887, 0.17183098591549295, 0.14366197183098592, 0.0647887323943662, 0.07323943661971831, 0.08169014084507042]",second,TA
ALCXUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.4636542239685658, 0.16306483300589392, 0.11394891944990176, 0.0825147347740668, 0.04518664047151277, 0.05108055009823183, 0.019646365422396856, 0.019646365422396856, 0.0412573673870334]",first,TA
ALCXUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.11984282907662082, 0.10412573673870335, 0.10019646365422397, 0.07662082514734773, 0.060903732809430254, 0.14145383104125736, 0.16699410609037327, 0.09430255402750491, 0.0550098231827112, 0.08055009823182711]",second,TA
ALCXUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.46304347826086956, 0.15434782608695652, 0.1391304347826087, 0.08260869565217391, 0.04565217391304348, 0.04565217391304348, 0.021739130434782608, 0.030434782608695653, 0.017391304347826087]",first,TA
ALCXUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.10434782608695652, 0.07608695652173914, 0.07608695652173914, 0.0891304347826087, 0.10869565217391304, 0.10434782608695652, 0.20869565217391303, 0.09565217391304348, 0.06304347826086956, 0.07391304347826087]",second,TA
ALCXUSDT,2023-01-11-00:00,2023-01-12-00:00,"[0.47280334728033474, 0.11297071129707113, 0.1589958158995816, 0.07112970711297072, 0.0397489539748954, 0.04811715481171548, 0.027196652719665274, 0.02510460251046025, 0.043933054393305436]",first,TA
ALCXUSDT,2023-01-11-00:00,2023-01-12-00:00,"[0.10460251046025104, 0.10251046025104603, 0.100418410041841, 0.0502092050209205, 0.06276150627615062, 0.07531380753138076, 0.2112970711297071, 0.11715481171548117, 0.0794979079497908, 0.09623430962343096]",second,TA
ALCXUSDT,2023-01-12-00:00,2023-01-13-00:00,"[0.5117773019271948, 0.10278372591006424, 0.1349036402569593, 0.047109207708779445, 0.042826552462526764, 0.05353319057815846, 0.03640256959314775, 0.019271948608137045, 0.05139186295503212]",first,TA
ALCXUSDT,2023-01-12-00:00,2023-01-13-00:00,"[0.12419700214132762, 0.10706638115631692, 0.09421841541755889, 0.0835117773019272, 0.07922912205567452, 0.0728051391862955, 0.18843683083511778, 0.10492505353319058, 0.02569593147751606, 0.11991434689507495]",second,TA
ALCXUSDT,2023-01-13-00:00,2023-01-14-00:00,"[0.5127118644067796, 0.13347457627118645, 0.09533898305084745, 0.0826271186440678, 0.0614406779661017, 0.03177966101694915, 0.029661016949152543, 0.0211864406779661, 0.03177966101694915]",first,TA
ALCXUSDT,2023-01-13-00:00,2023-01-14-00:00,"[0.1228813559322034, 0.08898305084745763, 0.06779661016949153, 0.08898305084745763, 0.06779661016949153, 0.0826271186440678, 0.2055084745762712, 0.09533898305084745, 0.0635593220338983, 0.11652542372881355]",second,TA
ALCXUSDT,2023-01-14-00:00,2023-01-15-00:00,"[0.42077922077922075, 0.13766233766233765, 0.13116883116883116, 0.07402597402597402, 0.08181818181818182, 0.048051948051948054, 0.02987012987012987, 0.03896103896103896, 0.03766233766233766]",first,TA
ALCXUSDT,2023-01-14-00:00,2023-01-15-00:00,"[0.14675324675324675, 0.07922077922077922, 0.08441558441558442, 0.1, 0.09090909090909091, 0.07402597402597402, 0.1, 0.08961038961038961, 0.1025974025974026, 0.13246753246753246]",second,TA
ALCXUSDT,2023-01-15-00:00,2023-01-16-00:00,"[0.4099009900990099, 0.18811881188118812, 0.12079207920792079, 0.08712871287128712, 0.061386138613861385, 0.041584158415841586, 0.023762376237623763, 0.03564356435643564, 0.031683168316831684]",first,TA
ALCXUSDT,2023-01-15-00:00,2023-01-16-00:00,"[0.12673267326732673, 0.08316831683168317, 0.08316831683168317, 0.07920792079207921, 0.0891089108910891, 0.07920792079207921, 0.07524752475247524, 0.09306930693069307, 0.14455445544554454, 0.14653465346534653]",second,TA
ALCXUSDT,2023-01-16-00:00,2023-01-17-00:00,"[0.3702239789196311, 0.17523056653491437, 0.13306982872200263, 0.07378129117259552, 0.07114624505928854, 0.05665349143610013, 0.04084321475625823, 0.026350461133069828, 0.052700922266139656]",first,TA
ALCXUSDT,2023-01-16-00:00,2023-01-17-00:00,"[0.13965744400527008, 0.09617918313570488, 0.08300395256916997, 0.08959156785243742, 0.07509881422924901, 0.06719367588932806, 0.06324110671936758, 0.09090909090909091, 0.1251646903820817, 0.16996047430830039]",second,TA
ALCXUSDT,2023-01-17-00:00,2023-01-18-00:00,"[0.4056603773584906, 0.16823899371069181, 0.139937106918239, 0.07547169811320754, 0.05660377358490566, 0.04245283018867924, 0.05345911949685535, 0.020440251572327043, 0.03773584905660377]",first,TA
ALCXUSDT,2023-01-17-00:00,2023-01-18-00:00,"[0.16823899371069181, 0.07389937106918239, 0.08333333333333333, 0.08176100628930817, 0.06289308176100629, 0.06918238993710692, 0.059748427672955975, 0.055031446540880505, 0.11006289308176101, 0.2358490566037736]",second,TA
ALCXUSDT,2023-01-18-00:00,2023-01-19-00:00,"[0.42105263157894735, 0.21832358674463936, 0.10331384015594541, 0.07602339181286549, 0.04873294346978557, 0.042884990253411304, 0.029239766081871343, 0.037037037037037035, 0.023391812865497075]",first,TA
ALCXUSDT,2023-01-18-00:00,2023-01-19-00:00,"[0.17738791423001948, 0.09551656920077972, 0.08771929824561403, 0.056530214424951264, 0.07602339181286549, 0.04873294346978557, 0.056530214424951264, 0.07797270955165692, 0.10136452241715399, 0.2222222222222222]",second,TA
ALCXUSDT,2023-01-19-00:00,2023-01-20-00:00,"[0.3801369863013699, 0.14554794520547945, 0.11986301369863013, 0.10273972602739725, 0.07534246575342465, 0.053082191780821915, 0.05136986301369863, 0.0410958904109589, 0.030821917808219176]",first,TA
ALCXUSDT,2023-01-19-00:00,2023-01-20-00:00,"[0.136986301369863, 0.11301369863013698, 0.0839041095890411, 0.0702054794520548, 0.07363013698630137, 0.07534246575342465, 0.08047945205479452, 0.13356164383561644, 0.1267123287671233, 0.10616438356164383]",second,TA
