symbol,start_date,end_date,actual_frequencies,digit_type,target
AVAXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.30730296456977585, 0.1554591467823572, 0.12219812002892264, 0.09906001446131597, 0.10412147505422993, 0.07664497469269703, 0.05712219812002892, 0.039045553145336226, 0.039045553145336226]",first,TA
AVAXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.1294287780187997, 0.10412147505422993, 0.10629067245119306, 0.10773680404916848, 0.11496746203904555, 0.08676789587852494, 0.09472161966738973, 0.08749096167751265, 0.08387563268257411, 0.08459869848156182]",second,TA
AVAXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.3081805359661495, 0.16713681241184766, 0.11424541607898449, 0.10860366713681241, 0.09590973201692525, 0.07052186177715092, 0.05077574047954866, 0.04372355430183357, 0.04090267983074753]",first,TA
AVAXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.10860366713681241, 0.11706629055007052, 0.11706629055007052, 0.10366713681241185, 0.1008462623413258, 0.09520451339915374, 0.09449929478138223, 0.1008462623413258, 0.07757404795486601, 0.0846262341325811]",second,TA
AVAXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.315058986814712, 0.16377515614156835, 0.11866759195003469, 0.09784871616932686, 0.08049965301873699, 0.07633587786259542, 0.05343511450381679, 0.05343511450381679, 0.040943789035392086]",first,TA
AVAXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.1179736294240111, 0.11658570437196392, 0.1193615544760583, 0.10340041637751561, 0.09576682859125607, 0.09437890353920889, 0.08049965301873699, 0.09923664122137404, 0.0916030534351145, 0.08119361554476058]",second,TA
AVAXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.3060374739764053, 0.17002081887578072, 0.12144344205412907, 0.09854267869535045, 0.07494795281054822, 0.06800832755031229, 0.05135322692574601, 0.06453851492019431, 0.04510756419153366]",first,TA
AVAXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.12907702984038863, 0.10895211658570438, 0.09854267869535045, 0.1054823039555864, 0.10340041637751561, 0.09646079111727966, 0.08049965301873699, 0.09646079111727966, 0.09923664122137404, 0.08188757807078417]",second,TA
AVAXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.2879944482997918, 0.16377515614156835, 0.11103400416377515, 0.10062456627342123, 0.08535739070090215, 0.0798056904927134, 0.061068702290076333, 0.05343511450381679, 0.05690492713393477]",first,TA
AVAXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.12630117973629423, 0.10340041637751561, 0.11727966689798751, 0.12699514226231784, 0.0916030534351145, 0.08952116585704371, 0.0922970159611381, 0.09437890353920889, 0.07217210270645386, 0.08605135322692574]",second,TA
AVAXUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.30950728660652327, 0.15058986814712005, 0.131852879944483, 0.09923664122137404, 0.08327550312283137, 0.06800832755031229, 0.054823039555863984, 0.05135322692574601, 0.05135322692574601]",first,TA
AVAXUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.12491325468424705, 0.12213740458015267, 0.11589174184594032, 0.11103400416377515, 0.0936849410131853, 0.09576682859125607, 0.08882720333102012, 0.08396946564885496, 0.0922970159611381, 0.07147814018043026]",second,TA
AVAXUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.3157529493407356, 0.17279666897987508, 0.11242192921582235, 0.08396946564885496, 0.07702984038861901, 0.07564191533657183, 0.05829285218598196, 0.0520471894517696, 0.0520471894517696]",first,TA
AVAXUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.12907702984038863, 0.12421929215822346, 0.12560721721027066, 0.08813324080499653, 0.10478834142956281, 0.08466342817487855, 0.08466342817487855, 0.08466342817487855, 0.09576682859125607, 0.0784177654406662]",second,TA
AVAXUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.3161559888579387, 0.15250696378830084, 0.10376044568245125, 0.08495821727019498, 0.0745125348189415, 0.0766016713091922, 0.07799442896935933, 0.05501392757660167, 0.0584958217270195]",first,TA
AVAXUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.11838440111420613, 0.10933147632311978, 0.12813370473537605, 0.100974930362117, 0.10027855153203342, 0.08356545961002786, 0.09192200557103064, 0.08913649025069638, 0.09122562674094707, 0.08704735376044569]",second,TA
AVAXUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.32684283727399166, 0.1870653685674548, 0.11961057023643949, 0.09457579972183588, 0.06606397774687066, 0.06954102920723226, 0.05354659248956885, 0.03824756606397774, 0.04450625869262865]",first,TA
AVAXUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.1356050069541029, 0.12726008344923506, 0.0890125173852573, 0.1133518776077886, 0.08414464534075104, 0.10361613351877608, 0.09248956884561892, 0.0917941585535466, 0.08136300417246176, 0.08136300417246176]",second,TA
AVAXUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.3328700486448923, 0.16122307157748436, 0.11952744961779013, 0.08408617095205004, 0.0778318276580959, 0.0729673384294649, 0.05489923558026407, 0.05281445448227936, 0.04378040305767894]",first,TA
AVAXUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.10423905489923559, 0.12439193884642112, 0.10771369006254343, 0.1063238359972203, 0.10701876302988186, 0.11118832522585129, 0.09312022237665045, 0.08617095205003475, 0.08686587908269632, 0.0729673384294649]",second,TA
AVAXUSDT,2023-01-11-00:00,2023-01-12-00:00,"[0.30811936155447606, 0.17765440666204024, 0.10340041637751561, 0.09993060374739764, 0.07009021512838307, 0.07564191533657183, 0.05690492713393477, 0.05898681471200555, 0.049271339347675226]",first,TA
AVAXUSDT,2023-01-11-00:00,2023-01-12-00:00,"[0.1179736294240111, 0.12005551700208189, 0.1040943789035392, 0.1054823039555864, 0.09437890353920889, 0.09923664122137404, 0.09090909090909091, 0.10131852879944483, 0.08049965301873699, 0.08605135322692574]",second,TA
AVAXUSDT,2023-01-12-00:00,2023-01-13-00:00,"[0.2775850104094379, 0.1852879944482998, 0.12768910478834142, 0.09993060374739764, 0.07633587786259542, 0.07633587786259542, 0.05898681471200555, 0.0527411519777932, 0.04510756419153366]",first,TA
AVAXUSDT,2023-01-12-00:00,2023-01-13-00:00,"[0.12213740458015267, 0.1193615544760583, 0.11172796668979876, 0.09507286606523248, 0.10201249132546843, 0.08882720333102012, 0.09854267869535045, 0.07633587786259542, 0.08188757807078417, 0.1040943789035392]",second,TA
AVAXUSDT,2023-01-13-00:00,2023-01-14-00:00,"[0.2873004857737682, 0.18875780707841777, 0.13879250520471895, 0.10340041637751561, 0.08674531575294935, 0.0659264399722415, 0.05412907702984039, 0.04233171408743928, 0.03261623872310895]",first,TA
AVAXUSDT,2023-01-13-00:00,2023-01-14-00:00,"[0.11589174184594032, 0.11866759195003469, 0.11519777931991672, 0.08396946564885496, 0.10687022900763359, 0.09576682859125607, 0.08882720333102012, 0.09715475364330327, 0.09854267869535045, 0.0791117279666898]",second,TA
AVAXUSDT,2023-01-14-00:00,2023-01-15-00:00,"[0.2900763358778626, 0.1443442054129077, 0.12491325468424705, 0.09507286606523248, 0.08605135322692574, 0.07356002775850104, 0.07633587786259542, 0.05759888965995836, 0.0520471894517696]",first,TA
AVAXUSDT,2023-01-14-00:00,2023-01-15-00:00,"[0.11866759195003469, 0.11172796668979876, 0.10895211658570438, 0.10756419153365718, 0.09715475364330327, 0.10201249132546843, 0.0922970159611381, 0.08882720333102012, 0.08952116585704371, 0.08327550312283137]",second,TA
AVAXUSDT,2023-01-15-00:00,2023-01-16-00:00,"[0.26995142262317834, 0.208882720333102, 0.13740458015267176, 0.1179736294240111, 0.0784177654406662, 0.04580152671755725, 0.0520471894517696, 0.047883414295628035, 0.041637751561415685]",first,TA
AVAXUSDT,2023-01-15-00:00,2023-01-16-00:00,"[0.12213740458015267, 0.0936849410131853, 0.1193615544760583, 0.09923664122137404, 0.10964607911172797, 0.09507286606523248, 0.09715475364330327, 0.09090909090909091, 0.08813324080499653, 0.08466342817487855]",second,TA
AVAXUSDT,2023-01-16-00:00,2023-01-17-00:00,"[0.30833333333333335, 0.20625, 0.13125, 0.09791666666666667, 0.07013888888888889, 0.06458333333333334, 0.04513888888888889, 0.044444444444444446, 0.03194444444444444]",first,TA
AVAXUSDT,2023-01-16-00:00,2023-01-17-00:00,"[0.12361111111111112, 0.11597222222222223, 0.10347222222222222, 0.10972222222222222, 0.10486111111111111, 0.10902777777777778, 0.08402777777777778, 0.09791666666666667, 0.07847222222222222, 0.07291666666666667]",second,TA
AVAXUSDT,2023-01-17-00:00,2023-01-18-00:00,"[0.3289382373351839, 0.18181818181818182, 0.12907702984038863, 0.08952116585704371, 0.07009021512838307, 0.0652324774462179, 0.049271339347675226, 0.0388619014573213, 0.04718945176960444]",first,TA
AVAXUSDT,2023-01-17-00:00,2023-01-18-00:00,"[0.12144344205412907, 0.10895211658570438, 0.09854267869535045, 0.11242192921582235, 0.11242192921582235, 0.09923664122137404, 0.09854267869535045, 0.08605135322692574, 0.08049965301873699, 0.08188757807078417]",second,TA
AVAXUSDT,2023-01-18-00:00,2023-01-19-00:00,"[0.3178348369188064, 0.21374045801526717, 0.12005551700208189, 0.08327550312283137, 0.08466342817487855, 0.06315058986814712, 0.040943789035392086, 0.03816793893129771, 0.03816793893129771]",first,TA
AVAXUSDT,2023-01-18-00:00,2023-01-19-00:00,"[0.10825815405968078, 0.12491325468424705, 0.10131852879944483, 0.10131852879944483, 0.10825815405968078, 0.09715475364330327, 0.09437890353920889, 0.09993060374739764, 0.0798056904927134, 0.08466342817487855]",second,TA
AVAXUSDT,2023-01-19-00:00,2023-01-20-00:00,"[0.33587786259541985, 0.1845940319222762, 0.11866759195003469, 0.0798056904927134, 0.06453851492019431, 0.055517002081887576, 0.05690492713393477, 0.06037473976405274, 0.04371963913948647]",first,TA
AVAXUSDT,2023-01-19-00:00,2023-01-20-00:00,"[0.11727966689798751, 0.11589174184594032, 0.12838306731436502, 0.09923664122137404, 0.09784871616932686, 0.10270645385149202, 0.10756419153365718, 0.08188757807078417, 0.07494795281054822, 0.07425399028452463]",second,TA
AVAXUSDT,2023-01-20-00:00,2023-01-21-00:00,"[0.3289198606271777, 0.17212543554006968, 0.10662020905923345, 0.08850174216027874, 0.07665505226480836, 0.07874564459930314, 0.05226480836236934, 0.04390243902439024, 0.05226480836236934]",first,TA
AVAXUSDT,2023-01-20-00:00,2023-01-21-00:00,"[0.13031358885017422, 0.10871080139372823, 0.11777003484320557, 0.09895470383275261, 0.09477351916376307, 0.09686411149825784, 0.0975609756097561, 0.09825783972125436, 0.07874564459930314, 0.07804878048780488]",second,TA
AVAXUSDT,2023-01-21-00:00,2023-01-22-00:00,"[0.2914642609299098, 0.19500346981263011, 0.12907702984038863, 0.10478834142956281, 0.07286606523247745, 0.0652324774462179, 0.05690492713393477, 0.047883414295628035, 0.03678001387925052]",first,TA
AVAXUSDT,2023-01-21-00:00,2023-01-22-00:00,"[0.12144344205412907, 0.1179736294240111, 0.09993060374739764, 0.09646079111727966, 0.10478834142956281, 0.11103400416377515, 0.0916030534351145, 0.0798056904927134, 0.08674531575294935, 0.09021512838306732]",second,TA
AVAXUSDT,2023-01-22-00:00,2023-01-23-00:00,"[0.31084840055632823, 0.1870653685674548, 0.12100139082058414, 0.0952712100139082, 0.0799721835883171, 0.048678720445062586, 0.06397774687065369, 0.05354659248956885, 0.039638386648122394]",first,TA
AVAXUSDT,2023-01-22-00:00,2023-01-23-00:00,"[0.1105702364394993, 0.1168289290681502, 0.10848400556328233, 0.1070931849791377, 0.10500695410292073, 0.09735744089012517, 0.09248956884561892, 0.0799721835883171, 0.09944367176634214, 0.08275382475660639]",second,TA
AVAXUSDT,2023-01-23-00:00,2023-01-24-00:00,"[0.30673143650242884, 0.1873698820263706, 0.13809854267869534, 0.08882720333102012, 0.07009021512838307, 0.05968077723802915, 0.05412907702984039, 0.04580152671755725, 0.049271339347675226]",first,TA
AVAXUSDT,2023-01-23-00:00,2023-01-24-00:00,"[0.12283136710617627, 0.10895211658570438, 0.11172796668979876, 0.10062456627342123, 0.09784871616932686, 0.10270645385149202, 0.1054823039555864, 0.0936849410131853, 0.0798056904927134, 0.07633587786259542]",second,TA
AVAXUSDT,2023-01-24-00:00,2023-01-25-00:00,"[0.33448993754337264, 0.17626648160999306, 0.11589174184594032, 0.09854267869535045, 0.08119361554476058, 0.055517002081887576, 0.04996530187369882, 0.04233171408743928, 0.04580152671755725]",first,TA
AVAXUSDT,2023-01-24-00:00,2023-01-25-00:00,"[0.10687022900763359, 0.1179736294240111, 0.11380985426786953, 0.11380985426786953, 0.10131852879944483, 0.10062456627342123, 0.08743927827897294, 0.09437890353920889, 0.08466342817487855, 0.0791117279666898]",second,TA
AVAXUSDT,2023-01-25-00:00,2023-01-26-00:00,"[0.3303261623872311, 0.17002081887578072, 0.11450381679389313, 0.09576682859125607, 0.06870229007633588, 0.07217210270645386, 0.05690492713393477, 0.046495489243580844, 0.04510756419153366]",first,TA
AVAXUSDT,2023-01-25-00:00,2023-01-26-00:00,"[0.11658570437196392, 0.10756419153365718, 0.10756419153365718, 0.11242192921582235, 0.09993060374739764, 0.10270645385149202, 0.0791117279666898, 0.08813324080499653, 0.10062456627342123, 0.08535739070090215]",second,TA
AVAXUSDT,2023-01-26-00:00,2023-01-27-00:00,"[0.34975711311589175, 0.18181818181818182, 0.09854267869535045, 0.07494795281054822, 0.07286606523247745, 0.05968077723802915, 0.05829285218598196, 0.055517002081887576, 0.048577376821651634]",first,TA
AVAXUSDT,2023-01-26-00:00,2023-01-27-00:00,"[0.12907702984038863, 0.11242192921582235, 0.1054823039555864, 0.10687022900763359, 0.10478834142956281, 0.09646079111727966, 0.09437890353920889, 0.0916030534351145, 0.08396946564885496, 0.07494795281054822]",second,TA
AVAXUSDT,2023-01-27-00:00,2023-01-28-00:00,"[0.3337959750173491, 0.19500346981263011, 0.10964607911172797, 0.08258154059680778, 0.0798056904927134, 0.06731436502428868, 0.0520471894517696, 0.041637751561415685, 0.03816793893129771]",first,TA
AVAXUSDT,2023-01-27-00:00,2023-01-28-00:00,"[0.12074947952810548, 0.11311589174184594, 0.11727966689798751, 0.09923664122137404, 0.08813324080499653, 0.10756419153365718, 0.08605135322692574, 0.09923664122137404, 0.08188757807078417, 0.08674531575294935]",second,TA
AVAXUSDT,2023-01-28-00:00,2023-01-29-00:00,"[0.28938237335183903, 0.1991672449687717, 0.1193615544760583, 0.08674531575294935, 0.07494795281054822, 0.05829285218598196, 0.05898681471200555, 0.05829285218598196, 0.054823039555863984]",first,TA
AVAXUSDT,2023-01-28-00:00,2023-01-29-00:00,"[0.11866759195003469, 0.11172796668979876, 0.12560721721027066, 0.11172796668979876, 0.09854267869535045, 0.0922970159611381, 0.09715475364330327, 0.08743927827897294, 0.08327550312283137, 0.07356002775850104]",second,TA
AVAXUSDT,2023-01-29-00:00,2023-01-30-00:00,"[0.29424011103400416, 0.18875780707841777, 0.12560721721027066, 0.09646079111727966, 0.08049965301873699, 0.05412907702984039, 0.06037473976405274, 0.0520471894517696, 0.047883414295628035]",first,TA
AVAXUSDT,2023-01-29-00:00,2023-01-30-00:00,"[0.1339347675225538, 0.1054823039555864, 0.11450381679389313, 0.10478834142956281, 0.09923664122137404, 0.09715475364330327, 0.08813324080499653, 0.0791117279666898, 0.08882720333102012, 0.08882720333102012]",second,TA
AVAXUSDT,2023-01-30-00:00,2023-01-31-00:00,"[0.30950728660652327, 0.1991672449687717, 0.12421929215822346, 0.0777238029146426, 0.08188757807078417, 0.06800832755031229, 0.056210964607911175, 0.04302567661346287, 0.040249826509368494]",first,TA
AVAXUSDT,2023-01-30-00:00,2023-01-31-00:00,"[0.12352532963219987, 0.11450381679389313, 0.11311589174184594, 0.10131852879944483, 0.09576682859125607, 0.1040943789035392, 0.08535739070090215, 0.08952116585704371, 0.08466342817487855, 0.08813324080499653]",second,TA
AVAXUSDT,2023-01-31-00:00,2023-02-01-00:00,"[0.28591256072172105, 0.19014573213046496, 0.13671061762664816, 0.10201249132546843, 0.08049965301873699, 0.05759888965995836, 0.05135322692574601, 0.0520471894517696, 0.04371963913948647]",first,TA
