symbol,start_date,end_date,actual_frequencies,digit_type,target
CAKEUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.35688729874776387, 0.14937388193202147, 0.13506261180679785, 0.09660107334525939, 0.0706618962432916, 0.0518783542039356, 0.04293381037567084, 0.04203935599284436, 0.05456171735241502]",first,TA
CAKEUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.12343470483005367, 0.11985688729874776, 0.129695885509839, 0.09928443649373882, 0.08944543828264759, 0.1001788908765653, 0.09123434704830054, 0.09660107334525939, 0.0742397137745975, 0.07602862254025045]",second,TA
CAKEUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.3254486133768352, 0.1533442088091354, 0.1264274061990212, 0.10114192495921696, 0.0799347471451876, 0.07096247960848287, 0.05057096247960848, 0.05628058727569331, 0.03588907014681892]",first,TA
CAKEUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.12561174551386622, 0.12969004893964112, 0.13050570962479607, 0.10277324632952692, 0.09787928221859707, 0.100326264274062, 0.08564437194127243, 0.07585644371941272, 0.08319738988580751, 0.06851549755301795]",second,TA
CAKEUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.3080032336297494, 0.17057396928051738, 0.11317704122877931, 0.10105092966855295, 0.08649959579628133, 0.068714632174616, 0.050121261115602264, 0.04284559417946645, 0.05901374292643492]",first,TA
CAKEUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.13419563459983833, 0.11317704122877931, 0.10751818916734034, 0.08811641067097817, 0.1026677445432498, 0.09700889248181083, 0.10347615198059822, 0.08973322554567502, 0.0856911883589329, 0.07841552142279709]",second,TA
CAKEUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.33098591549295775, 0.1643192488262911, 0.107981220657277, 0.09154929577464789, 0.07746478873239436, 0.061815336463223784, 0.057902973395931145, 0.056338028169014086, 0.051643192488262914]",first,TA
CAKEUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.13145539906103287, 0.10250391236306729, 0.10641627543035993, 0.07589984350547731, 0.1111111111111111, 0.08294209702660407, 0.09859154929577464, 0.09076682316118936, 0.09546165884194054, 0.10485133020344288]",second,TA
CAKEUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.31850675138999207, 0.17633042096902304, 0.11517077045274027, 0.09849086576648133, 0.09134233518665608, 0.06751389992057188, 0.05480540111199365, 0.046068308181096106, 0.03177124702144559]",first,TA
CAKEUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.1358220810166799, 0.11834789515488484, 0.10881652104845115, 0.09451945988880063, 0.09054805401111994, 0.09690230341540905, 0.10405083399523431, 0.0818109610802224, 0.0778395552025417, 0.09134233518665608]",second,TA
CAKEUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.3108894430590191, 0.1662510390689942, 0.16209476309226933, 0.10141313383208644, 0.0773067331670823, 0.057356608478802994, 0.05070656691604322, 0.03574397339983375, 0.038237738985868665]",first,TA
CAKEUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.1288445552784705, 0.12635078969243557, 0.10889443059019119, 0.09891936824605153, 0.09725685785536159, 0.09060681629260182, 0.08811305070656691, 0.0831255195344971, 0.08395677472984206, 0.09393183707398171]",second,TA
CAKEUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.31968503937007875, 0.16771653543307086, 0.1204724409448819, 0.11653543307086614, 0.07322834645669292, 0.05984251968503937, 0.04409448818897638, 0.04566929133858268, 0.05275590551181102]",first,TA
CAKEUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.1377952755905512, 0.1141732283464567, 0.09921259842519685, 0.12283464566929134, 0.08818897637795275, 0.09291338582677165, 0.10708661417322834, 0.07874015748031496, 0.06929133858267716, 0.08976377952755905]",second,TA
CAKEUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.34433541480820695, 0.16859946476360393, 0.12934879571810884, 0.08206958073148975, 0.0704727921498662, 0.06244424620874219, 0.03568242640499554, 0.05173951828724353, 0.05530776092774309]",first,TA
CAKEUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.1409455842997324, 0.10437109723461195, 0.10437109723461195, 0.10347903657448707, 0.09812667261373774, 0.08831400535236396, 0.11061552185548618, 0.07939339875111508, 0.0767172167707404, 0.0936663693131133]",second,TA
CAKEUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.33209509658246655, 0.18573551263001487, 0.1225854383358098, 0.0824665676077266, 0.0713224368499257, 0.060178306092124816, 0.0512630014858841, 0.04903417533432392, 0.045319465081723624]",first,TA
CAKEUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.13150074294205052, 0.11441307578008915, 0.11069836552748885, 0.10178306092124814, 0.0988112927191679, 0.08692421991084695, 0.08469539375928678, 0.09955423476968796, 0.08395245170876671, 0.08766716196136701]",second,TA
CAKEUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.3103448275862069, 0.16507703595011006, 0.1371973587674248, 0.07850330154071901, 0.09244314013206163, 0.06896551724137931, 0.052090975788701394, 0.046221570066030816, 0.0491562729273661]",first,TA
CAKEUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.12032281731474688, 0.12545854732208364, 0.10051357300073367, 0.10418195157740279, 0.09391049156272928, 0.0983125458547322, 0.09170946441672781, 0.08877476155539252, 0.0946441672780631, 0.08217168011738811]",second,TA
CAKEUSDT,2023-01-11-00:00,2023-01-12-00:00,"[0.33513097072419107, 0.18258859784283513, 0.10477657935285054, 0.0901386748844376, 0.07935285053929121, 0.07164869029275808, 0.05238828967642527, 0.04160246533127889, 0.0423728813559322]",first,TA
CAKEUSDT,2023-01-11-00:00,2023-01-12-00:00,"[0.11787365177195686, 0.11864406779661017, 0.10631741140215717, 0.09861325115562404, 0.08782742681047766, 0.0847457627118644, 0.07550077041602465, 0.11864406779661017, 0.09553158705701079, 0.0963020030816641]",second,TA
CAKEUSDT,2023-01-12-00:00,2023-01-13-00:00,"[0.3201174743024963, 0.16152716593245228, 0.13069016152716592, 0.08296622613803231, 0.08149779735682819, 0.06167400881057269, 0.06020558002936858, 0.05433186490455213, 0.04698972099853157]",first,TA
CAKEUSDT,2023-01-12-00:00,2023-01-13-00:00,"[0.13142437591776798, 0.10572687224669604, 0.11527165932452275, 0.09324522760646109, 0.09544787077826726, 0.09251101321585903, 0.09985315712187959, 0.10058737151248165, 0.08516886930983847, 0.08076358296622614]",second,TA
CAKEUSDT,2023-01-13-00:00,2023-01-14-00:00,"[0.30495928941524797, 0.16432272390821615, 0.13101406365655072, 0.09918578830495929, 0.08808290155440414, 0.05477424130273871, 0.0695780903034789, 0.03923019985196151, 0.04885270170244264]",first,TA
CAKEUSDT,2023-01-13-00:00,2023-01-14-00:00,"[0.11472982975573649, 0.11769059955588453, 0.10510732790525537, 0.10140636565507032, 0.09844559585492228, 0.09474463360473723, 0.08734270910436713, 0.09844559585492228, 0.08734270910436713, 0.09474463360473723]",second,TA
CAKEUSDT,2023-01-14-00:00,2023-01-15-00:00,"[0.336827393431167, 0.18099231306778477, 0.1111111111111111, 0.09643605870020965, 0.07407407407407407, 0.06918238993710692, 0.053109713487071976, 0.03773584905660377, 0.04053109713487072]",first,TA
CAKEUSDT,2023-01-14-00:00,2023-01-15-00:00,"[0.12368972746331237, 0.10831586303284417, 0.10971348707197764, 0.10062893081761007, 0.09993011879804332, 0.10621942697414395, 0.09783368273934312, 0.08735150244584207, 0.07966457023060797, 0.08665269042627533]",second,TA
CAKEUSDT,2023-01-15-00:00,2023-01-16-00:00,"[0.31227305737109656, 0.15976761074800291, 0.12200435729847495, 0.09295570079883805, 0.0813362381989833, 0.07262164124909223, 0.05737109658678286, 0.04793028322440087, 0.05374001452432825]",first,TA
CAKEUSDT,2023-01-15-00:00,2023-01-16-00:00,"[0.11038489469862019, 0.14742193173565724, 0.1009440813362382, 0.1074800290486565, 0.09586056644880174, 0.08496732026143791, 0.10239651416122005, 0.08206245461147423, 0.07697893972403776, 0.0915032679738562]",second,TA
CAKEUSDT,2023-01-16-00:00,2023-01-17-00:00,"[0.302491103202847, 0.16654804270462634, 0.1288256227758007, 0.11245551601423487, 0.08113879003558719, 0.06476868327402135, 0.05124555160142349, 0.0498220640569395, 0.042704626334519574]",first,TA
CAKEUSDT,2023-01-16-00:00,2023-01-17-00:00,"[0.10462633451957296, 0.1295373665480427, 0.09323843416370106, 0.10391459074733096, 0.10106761565836299, 0.100355871886121, 0.09679715302491103, 0.10177935943060498, 0.08896797153024912, 0.0797153024911032]",second,TA
CAKEUSDT,2023-01-17-00:00,2023-01-18-00:00,"[0.32260424286759326, 0.1616678858814923, 0.12070226773957571, 0.10168251645940014, 0.07022677395757132, 0.06364301389904901, 0.051207022677395755, 0.046086320409656184, 0.06217995610826628]",first,TA
CAKEUSDT,2023-01-17-00:00,2023-01-18-00:00,"[0.11704462326261887, 0.12070226773957571, 0.1075347476225311, 0.10168251645940014, 0.10534016093635698, 0.0980248719824433, 0.08632040965618142, 0.08485735186539868, 0.0958302852962692, 0.08266276517922458]",second,TA
CAKEUSDT,2023-01-18-00:00,2023-01-19-00:00,"[0.31723625557206536, 0.15081723625557206, 0.1337295690936107, 0.1099554234769688, 0.0787518573551263, 0.06686478454680535, 0.0512630014858841, 0.045319465081723624, 0.04606240713224369]",first,TA
CAKEUSDT,2023-01-18-00:00,2023-01-19-00:00,"[0.12184249628528974, 0.11367013372956909, 0.1151560178306092, 0.10401188707280833, 0.08692421991084695, 0.08915304606240713, 0.09732540861812779, 0.08543833580980684, 0.08915304606240713, 0.09732540861812779]",second,TA
CAKEUSDT,2023-01-19-00:00,2023-01-20-00:00,"[0.3267924528301887, 0.16754716981132076, 0.11849056603773585, 0.11773584905660377, 0.0739622641509434, 0.052830188679245285, 0.0430188679245283, 0.052075471698113204, 0.047547169811320754]",first,TA
