symbol,start_date,end_date,actual_frequencies,digit_type,target
CLVUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.4065040650406504, 0.16260162601626016, 0.1002710027100271, 0.08943089430894309, 0.08401084010840108, 0.056910569105691054, 0.037940379403794036, 0.02710027100271003, 0.03523035230352303]",first,TA
CLVUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.10975609756097561, 0.13414634146341464, 0.08536585365853659, 0.0975609756097561, 0.0948509485094851, 0.13414634146341464, 0.10840108401084012, 0.08130081300813008, 0.07181571815718157, 0.08265582655826559]",second,TA
CLVUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.45420326223337515, 0.15056461731493098, 0.08782936010037641, 0.07653701380175659, 0.05520702634880803, 0.05771643663739021, 0.043914680050188205, 0.03136762860727729, 0.04265997490589712]",first,TA
CLVUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.08281053952321205, 0.07904642409033877, 0.19698870765370138, 0.09410288582183186, 0.11041405269761606, 0.07904642409033877, 0.13174404015056462, 0.06900878293601004, 0.08155583437892096, 0.07528230865746549]",second,TA
CLVUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.5783945986496624, 0.16129032258064516, 0.0967741935483871, 0.05701425356339085, 0.03075768942235559, 0.03375843960990248, 0.019504876219054765, 0.011252813203300824, 0.011252813203300824]",first,TA
CLVUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.047261815453863466, 0.0690172543135784, 0.3353338334583646, 0.09602400600150038, 0.10127531882970743, 0.07501875468867217, 0.09452363090772693, 0.07501875468867217, 0.05926481620405101, 0.047261815453863466]",second,TA
CLVUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.5433482810164425, 0.15994020926756353, 0.09192825112107623, 0.06502242152466367, 0.03811659192825112, 0.035127055306427506, 0.02391629297458894, 0.021674140508221227, 0.02092675635276532]",first,TA
CLVUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.06427503736920777, 0.07249626307922272, 0.3303437967115097, 0.09491778774289986, 0.11733931240657698, 0.06427503736920777, 0.08295964125560538, 0.07922272047832586, 0.06053811659192825, 0.033632286995515695]",second,TA
CLVUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.5471976401179941, 0.14823008849557523, 0.11135693215339233, 0.05825958702064897, 0.03171091445427729, 0.035398230088495575, 0.02654867256637168, 0.021386430678466076, 0.01991150442477876]",first,TA
CLVUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.06047197640117994, 0.084070796460177, 0.30678466076696165, 0.09070796460176991, 0.10176991150442478, 0.09292035398230089, 0.07964601769911504, 0.07448377581120944, 0.058997050147492625, 0.05014749262536873]",second,TA
CLVUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.615909090909091, 0.14696969696969697, 0.09166666666666666, 0.0446969696969697, 0.030303030303030304, 0.03106060606060606, 0.014393939393939395, 0.012121212121212121, 0.012878787878787878]",first,TA
CLVUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.045454545454545456, 0.059848484848484845, 0.3886363636363636, 0.09772727272727273, 0.10075757575757575, 0.07196969696969698, 0.08106060606060606, 0.08181818181818182, 0.029545454545454545, 0.04318181818181818]",second,TA
