symbol,start_date,end_date,actual_frequencies,digit_type,target
COSUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.514745308310992, 0.1260053619302949, 0.09651474530831099, 0.09919571045576407, 0.064343163538874, 0.02680965147453083, 0.029490616621983913, 0.021447721179624665, 0.021447721179624665]",first,TA
COSUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.13136729222520108, 0.09115281501340483, 0.06702412868632708, 0.05093833780160858, 0.0938337801608579, 0.10187667560321716, 0.128686327077748, 0.1447721179624665, 0.06702412868632708, 0.12332439678284182]",second,TA
COSUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.39919354838709675, 0.1350806451612903, 0.12096774193548387, 0.07862903225806452, 0.10685483870967742, 0.028225806451612902, 0.034274193548387094, 0.05241935483870968, 0.04435483870967742]",first,TA
COSUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.12096774193548387, 0.08064516129032258, 0.08064516129032258, 0.07459677419354839, 0.10887096774193548, 0.07661290322580645, 0.11895161290322581, 0.1350806451612903, 0.0625, 0.14112903225806453]",second,TA
COSUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.3964110929853181, 0.1533442088091354, 0.10766721044045677, 0.10277324632952692, 0.06851549755301795, 0.04567699836867863, 0.052202283849918436, 0.02936378466557912, 0.04404567699836868]",first,TA
COSUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.17455138662316477, 0.06688417618270799, 0.0864600326264274, 0.07830342577487764, 0.09951060358890701, 0.08809135399673736, 0.10929853181076672, 0.10440456769983687, 0.0799347471451876, 0.11256117455138662]",second,TA
COSUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.4402618657937807, 0.14402618657937807, 0.1309328968903437, 0.08346972176759411, 0.06382978723404255, 0.03927986906710311, 0.03927986906710311, 0.03436988543371522, 0.024549918166939442]",first,TA
COSUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.132569558101473, 0.09656301145662848, 0.08019639934533551, 0.07692307692307693, 0.0851063829787234, 0.10801963993453355, 0.12274959083469722, 0.1260229132569558, 0.08183306055646482, 0.09001636661211129]",second,TA
COSUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.3413333333333333, 0.168, 0.13866666666666666, 0.07733333333333334, 0.09066666666666667, 0.037333333333333336, 0.04666666666666667, 0.04533333333333334, 0.05466666666666667]",first,TA
COSUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.10666666666666667, 0.112, 0.10133333333333333, 0.10266666666666667, 0.092, 0.08266666666666667, 0.112, 0.116, 0.096, 0.07866666666666666]",second,TA
COSUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.3778877887788779, 0.15016501650165018, 0.12046204620462046, 0.10891089108910891, 0.07095709570957096, 0.057755775577557754, 0.039603960396039604, 0.034653465346534656, 0.039603960396039604]",first,TA
COSUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.16336633663366337, 0.09405940594059406, 0.06435643564356436, 0.0891089108910891, 0.09735973597359736, 0.11551155115511551, 0.11221122112211221, 0.10231023102310231, 0.09075907590759076, 0.07095709570957096]",second,TA
COSUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.38979963570127507, 0.17122040072859745, 0.14571948998178508, 0.07103825136612021, 0.06557377049180328, 0.052823315118397086, 0.03460837887067395, 0.029143897996357013, 0.04007285974499089]",first,TA
COSUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.15846994535519127, 0.10200364298724955, 0.07285974499089254, 0.08014571948998178, 0.08196721311475409, 0.08561020036429873, 0.09836065573770492, 0.13296903460837886, 0.10746812386156648, 0.08014571948998178]",second,TA
COSUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.36574074074074076, 0.16203703703703703, 0.12808641975308643, 0.0787037037037037, 0.08179012345679013, 0.06635802469135803, 0.035493827160493825, 0.038580246913580245, 0.043209876543209874]",first,TA
COSUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.12654320987654322, 0.10339506172839506, 0.08950617283950617, 0.10185185185185185, 0.08950617283950617, 0.07253086419753087, 0.11882716049382716, 0.10030864197530864, 0.08950617283950617, 0.10802469135802469]",second,TA
