symbol,start_date,end_date,actual_frequencies,digit_type,target
COTIUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.3356009070294785, 0.16666666666666666, 0.12585034013605442, 0.08049886621315193, 0.09863945578231292, 0.05328798185941043, 0.035147392290249435, 0.046485260770975055, 0.05782312925170068]",first,TA
COTIUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.1326530612244898, 0.1145124716553288, 0.10204081632653061, 0.09297052154195011, 0.09863945578231292, 0.10770975056689343, 0.07142857142857142, 0.07709750566893424, 0.0782312925170068, 0.12471655328798185]",second,TA
COTIUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.3009950248756219, 0.17164179104477612, 0.1384742951907131, 0.0812603648424544, 0.06799336650082918, 0.08291873963515754, 0.04145936981757877, 0.06135986733001658, 0.0538971807628524]",first,TA
COTIUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.14676616915422885, 0.1111111111111111, 0.11608623548922056, 0.10033167495854063, 0.0812603648424544, 0.10862354892205639, 0.08043117744610281, 0.0945273631840796, 0.06882255389718077, 0.09203980099502487]",second,TA
COTIUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.32063197026022305, 0.17472118959107807, 0.12360594795539033, 0.09665427509293681, 0.07434944237918216, 0.0687732342007435, 0.04368029739776952, 0.05204460966542751, 0.04553903345724907]",first,TA
COTIUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.12546468401486988, 0.13568773234200743, 0.11895910780669144, 0.08550185873605948, 0.08921933085501858, 0.08828996282527882, 0.08364312267657993, 0.08085501858736059, 0.07992565055762081, 0.11245353159851301]",second,TA
COTIUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.3051330798479088, 0.19961977186311788, 0.11311787072243346, 0.08365019011406843, 0.0817490494296578, 0.07319391634980989, 0.04847908745247148, 0.03517110266159696, 0.05988593155893536]",first,TA
COTIUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.12357414448669202, 0.13022813688212928, 0.12547528517110265, 0.09885931558935361, 0.09600760456273764, 0.07984790874524715, 0.07699619771863118, 0.094106463878327, 0.07319391634980989, 0.10171102661596958]",second,TA
COTIUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.30254777070063693, 0.20169851380042464, 0.1602972399150743, 0.09554140127388536, 0.07643312101910828, 0.04670912951167728, 0.03927813163481953, 0.036093418259023353, 0.041401273885350316]",first,TA
COTIUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.15392781316348195, 0.15286624203821655, 0.0870488322717622, 0.08598726114649681, 0.11995753715498939, 0.10084925690021232, 0.07430997876857749, 0.07006369426751592, 0.07430997876857749, 0.08067940552016985]",second,TA
COTIUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.3389662027833002, 0.1749502982107356, 0.110337972166998, 0.08946322067594434, 0.08946322067594434, 0.05467196819085487, 0.05467196819085487, 0.039761431411530816, 0.04771371769383698]",first,TA
COTIUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.15308151093439365, 0.10834990059642147, 0.12127236580516898, 0.09542743538767395, 0.12027833001988071, 0.0775347912524851, 0.09244532803180915, 0.07654075546719682, 0.0805168986083499, 0.07455268389662027]",second,TA
COTIUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.31414634146341464, 0.18048780487804877, 0.14341463414634145, 0.07902439024390244, 0.08195121951219513, 0.06439024390243903, 0.03902439024390244, 0.05170731707317073, 0.045853658536585365]",first,TA
COTIUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.11804878048780487, 0.12195121951219512, 0.1073170731707317, 0.11804878048780487, 0.09365853658536585, 0.10341463414634146, 0.09463414634146342, 0.08097560975609756, 0.07804878048780488, 0.08390243902439025]",second,TA
COTIUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.3089887640449438, 0.1797752808988764, 0.14157303370786517, 0.08089887640449438, 0.08764044943820225, 0.06179775280898876, 0.05056179775280899, 0.04044943820224719, 0.048314606741573035]",first,TA
COTIUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.1258426966292135, 0.11685393258426967, 0.09213483146067415, 0.09662921348314607, 0.09550561797752809, 0.11123595505617978, 0.07528089887640449, 0.09438202247191012, 0.07640449438202247, 0.11573033707865168]",second,TA
COTIUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.3, 0.15846153846153846, 0.1176923076923077, 0.09769230769230769, 0.0823076923076923, 0.07461538461538461, 0.06692307692307692, 0.057692307692307696, 0.04461538461538461]",first,TA
COTIUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.1176923076923077, 0.11, 0.10692307692307693, 0.09538461538461539, 0.09846153846153846, 0.09384615384615384, 0.10846153846153846, 0.10153846153846154, 0.08076923076923077, 0.08692307692307692]",second,TA
COTIUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.3094867807153966, 0.1905132192846034, 0.12363919129082426, 0.0660964230171073, 0.08087091757387248, 0.07387247278382582, 0.06920684292379471, 0.048989113530326596, 0.03732503888024884]",first,TA
COTIUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.13063763608087092, 0.08942457231726283, 0.12441679626749612, 0.09642301710730948, 0.1057542768273717, 0.08864696734059098, 0.09020217729393468, 0.09875583203732503, 0.09020217729393468, 0.08553654743390357]",second,TA
COTIUSDT,2023-01-11-00:00,2023-01-12-00:00,"[0.3201834862385321, 0.1577981651376147, 0.15045871559633028, 0.0871559633027523, 0.0834862385321101, 0.05963302752293578, 0.05229357798165138, 0.03944954128440367, 0.04954128440366973]",first,TA
COTIUSDT,2023-01-11-00:00,2023-01-12-00:00,"[0.10275229357798166, 0.10458715596330276, 0.12018348623853212, 0.09541284403669725, 0.08440366972477065, 0.0963302752293578, 0.09357798165137615, 0.11651376146788991, 0.09174311926605505, 0.0944954128440367]",second,TA
COTIUSDT,2023-01-12-00:00,2023-01-13-00:00,"[0.3293918918918919, 0.14864864864864866, 0.12922297297297297, 0.09037162162162163, 0.07939189189189189, 0.07094594594594594, 0.0625, 0.04222972972972973, 0.0472972972972973]",first,TA
COTIUSDT,2023-01-12-00:00,2023-01-13-00:00,"[0.12331081081081081, 0.10810810810810811, 0.09037162162162163, 0.09712837837837837, 0.09206081081081081, 0.09712837837837837, 0.08445945945945946, 0.10557432432432433, 0.0945945945945946, 0.10726351351351351]",second,TA
COTIUSDT,2023-01-13-00:00,2023-01-14-00:00,"[0.31677524429967424, 0.13273615635179153, 0.1473941368078176, 0.08713355048859935, 0.09364820846905537, 0.06677524429967427, 0.06433224755700326, 0.04234527687296417, 0.048859934853420196]",first,TA
COTIUSDT,2023-01-13-00:00,2023-01-14-00:00,"[0.11319218241042345, 0.11970684039087948, 0.12296416938110749, 0.09446254071661238, 0.10097719869706841, 0.09283387622149837, 0.08631921824104234, 0.08876221498371335, 0.09690553745928339, 0.08387622149837133]",second,TA
COTIUSDT,2023-01-14-00:00,2023-01-15-00:00,"[0.3197969543147208, 0.1747643219724438, 0.1116751269035533, 0.08919506889050036, 0.07469180565627266, 0.06381435823060189, 0.05511240029006526, 0.05873821609862219, 0.05221174764321972]",first,TA
COTIUSDT,2023-01-14-00:00,2023-01-15-00:00,"[0.12835387962291517, 0.1211022480058013, 0.10587382160986222, 0.09934735315445975, 0.11022480058013052, 0.08556925308194344, 0.08121827411167512, 0.08339376359680928, 0.09064539521392313, 0.09427121102248005]",second,TA
COTIUSDT,2023-01-15-00:00,2023-01-16-00:00,"[0.3157894736842105, 0.16025137470542028, 0.12882953652788687, 0.10369206598586017, 0.0840534171249018, 0.06441476826394343, 0.05734485467399843, 0.041633935585231735, 0.04399057344854674]",first,TA
COTIUSDT,2023-01-15-00:00,2023-01-16-00:00,"[0.12804399057344854, 0.10604870384917518, 0.10997643362136685, 0.10997643362136685, 0.0997643362136685, 0.08798114689709348, 0.08719560094265515, 0.09347996857816182, 0.0816967792615868, 0.09583660644147683]",second,TA
COTIUSDT,2023-01-16-00:00,2023-01-17-00:00,"[0.33588370313695487, 0.18362662586074982, 0.11017597551644988, 0.10252486610558531, 0.06350420811017597, 0.060443764345830146, 0.06885998469778118, 0.036725325172149964, 0.03825554705432287]",first,TA
COTIUSDT,2023-01-16-00:00,2023-01-17-00:00,"[0.1369548584544759, 0.11247130833970925, 0.10941086457536343, 0.09946442234123948, 0.08339709257842387, 0.09640397857689365, 0.09257842387146137, 0.08798775822494262, 0.08033664881407804, 0.1009946442234124]",second,TA
COTIUSDT,2023-01-17-00:00,2023-01-18-00:00,"[0.3019762845849802, 0.17549407114624507, 0.12015810276679842, 0.09565217391304348, 0.0774703557312253, 0.07193675889328063, 0.05612648221343874, 0.05059288537549407, 0.05059288537549407]",first,TA
COTIUSDT,2023-01-17-00:00,2023-01-18-00:00,"[0.14703557312252966, 0.12727272727272726, 0.108300395256917, 0.10592885375494071, 0.10592885375494071, 0.08695652173913043, 0.07509881422924901, 0.0774703557312253, 0.08300395256916997, 0.08300395256916997]",second,TA
COTIUSDT,2023-01-18-00:00,2023-01-19-00:00,"[0.3067389620449264, 0.1735089078233927, 0.11463981409759876, 0.09372579395817196, 0.07436096049573973, 0.08133230054221534, 0.05809450038729667, 0.044151820294345466, 0.053446940356312936]",first,TA
COTIUSDT,2023-01-18-00:00,2023-01-19-00:00,"[0.139426800929512, 0.10147172734314484, 0.11773818745158791, 0.10921766072811774, 0.09759876065065841, 0.09450038729666925, 0.08520526723470179, 0.08830364058869093, 0.07900852052672347, 0.08752904725019364]",second,TA
COTIUSDT,2023-01-19-00:00,2023-01-20-00:00,"[0.3233143785540211, 0.16734362307067424, 0.12103980503655565, 0.08854589764419171, 0.06417546709991877, 0.07636068237205523, 0.06173842404549147, 0.048740861088545896, 0.048740861088545896]",first,TA
