symbol,start_date,end_date,actual_frequencies,digit_type,target
FLUXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.391156462585034, 0.1649659863945578, 0.13095238095238096, 0.08503401360544217, 0.08333333333333333, 0.04931972789115646, 0.03231292517006803, 0.03741496598639456, 0.025510204081632654]",first,TA
FLUXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.11734693877551021, 0.0935374149659864, 0.09183673469387756, 0.0935374149659864, 0.09693877551020408, 0.08333333333333333, 0.08163265306122448, 0.15306122448979592, 0.09183673469387756, 0.09693877551020408]",second,TA
FLUXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.34131205673758863, 0.16578014184397163, 0.10549645390070922, 0.09042553191489362, 0.08776595744680851, 0.05851063829787234, 0.054078014184397165, 0.04964539007092199, 0.04698581560283688]",first,TA
FLUXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.12943262411347517, 0.12322695035460993, 0.10017730496453901, 0.08865248226950355, 0.1099290780141844, 0.08421985815602837, 0.07890070921985816, 0.0851063829787234, 0.09042553191489362, 0.1099290780141844]",second,TA
FLUXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.382699868938401, 0.15727391874180865, 0.08781127129750983, 0.08387942332896461, 0.10222804718217562, 0.05504587155963303, 0.053735255570117955, 0.023591087811271297, 0.053735255570117955]",first,TA
FLUXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.13892529488859764, 0.07732634338138926, 0.07732634338138926, 0.0799475753604194, 0.10484927916120576, 0.06946264744429882, 0.06290956749672345, 0.11009174311926606, 0.11664482306684142, 0.16251638269986893]",second,TA
FLUXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.3697705802968961, 0.13765182186234817, 0.12280701754385964, 0.09716599190283401, 0.07017543859649122, 0.05398110661268556, 0.04183535762483131, 0.04048582995951417, 0.06612685560053981]",first,TA
FLUXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.13630229419703105, 0.09851551956815115, 0.10121457489878542, 0.08367071524966262, 0.09446693657219973, 0.07422402159244265, 0.0728744939271255, 0.09041835357624832, 0.10121457489878542, 0.14709851551956815]",second,TA
FLUXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.3793490460157127, 0.15151515151515152, 0.09764309764309764, 0.10437710437710437, 0.07856341189674523, 0.05499438832772166, 0.051627384960718295, 0.04040404040404041, 0.04152637485970819]",first,TA
FLUXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.18742985409652077, 0.10998877665544332, 0.09652076318742986, 0.07856341189674523, 0.06958473625140292, 0.08305274971941638, 0.07407407407407407, 0.06621773288439955, 0.09090909090909091, 0.143658810325477]",second,TA
FLUXUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.3716012084592145, 0.1540785498489426, 0.11782477341389729, 0.09667673716012085, 0.08308157099697885, 0.05740181268882175, 0.04078549848942598, 0.03323262839879154, 0.045317220543806644]",first,TA
FLUXUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.1782477341389728, 0.07401812688821752, 0.09818731117824774, 0.07854984894259819, 0.06797583081570997, 0.08157099697885196, 0.06042296072507553, 0.09214501510574018, 0.1283987915407855, 0.1404833836858006]",second,TA
FLUXUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.37057991513437055, 0.14992927864214992, 0.1188118811881188, 0.09335219236209336, 0.10325318246110325, 0.04101838755304102, 0.042432814710042434, 0.033946251768033946, 0.04667609618104668]",first,TA
FLUXUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.15275813295615276, 0.07496463932107496, 0.08062234794908062, 0.07072135785007072, 0.08486562942008487, 0.08062234794908062, 0.08345120226308345, 0.1074964639321075, 0.12305516265912306, 0.14144271570014144]",second,TA
FLUXUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.3425925925925926, 0.19598765432098766, 0.11574074074074074, 0.09876543209876543, 0.05401234567901234, 0.05709876543209876, 0.032407407407407406, 0.041666666666666664, 0.06172839506172839]",first,TA
FLUXUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.1743827160493827, 0.10802469135802469, 0.10030864197530864, 0.09104938271604938, 0.08796296296296297, 0.08487654320987655, 0.05555555555555555, 0.07098765432098765, 0.08333333333333333, 0.14351851851851852]",second,TA
FLUXUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.3350151362260343, 0.1584258324924319, 0.1170534813319879, 0.08879919273461151, 0.0958627648839556, 0.04843592330978809, 0.05146316851664985, 0.04944500504540868, 0.055499495459132187]",first,TA
FLUXUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.17356205852674067, 0.1099899091826438, 0.1029263370332997, 0.08476286579212916, 0.08173562058526741, 0.08375378405650857, 0.08375378405650857, 0.08072653884964683, 0.09283551967709384, 0.10595358224016145]",second,TA
FLUXUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.33134328358208953, 0.18109452736318407, 0.1154228855721393, 0.0945273631840796, 0.08656716417910448, 0.05572139303482587, 0.04776119402985075, 0.045771144278606964, 0.041791044776119404]",first,TA
