symbol,start_date,end_date,actual_frequencies,digit_type,target
GMXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.3697478991596639, 0.16526610644257703, 0.12745098039215685, 0.09803921568627451, 0.06722689075630252, 0.047619047619047616, 0.05042016806722689, 0.04341736694677871, 0.03081232492997199]",first,TA
GMXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.13445378151260504, 0.11624649859943978, 0.09243697478991597, 0.10224089635854341, 0.09243697478991597, 0.08683473389355742, 0.14425770308123248, 0.06302521008403361, 0.07703081232492998, 0.09103641456582633]",second,TA
GMXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.3568627450980392, 0.16470588235294117, 0.12026143790849673, 0.11633986928104575, 0.06535947712418301, 0.054901960784313725, 0.03398692810457516, 0.044444444444444446, 0.043137254901960784]",first,TA
GMXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.1450980392156863, 0.10065359477124183, 0.10196078431372549, 0.09281045751633987, 0.09542483660130718, 0.08235294117647059, 0.11764705882352941, 0.07320261437908497, 0.08758169934640522, 0.10326797385620914]",second,TA
GMXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.3254437869822485, 0.1952662721893491, 0.1289940828402367, 0.0863905325443787, 0.0650887573964497, 0.054437869822485205, 0.047337278106508875, 0.04970414201183432, 0.047337278106508875]",first,TA
GMXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.1680473372781065, 0.11479289940828402, 0.07455621301775148, 0.08757396449704143, 0.08994082840236686, 0.08757396449704143, 0.13609467455621302, 0.07928994082840236, 0.07218934911242604, 0.08994082840236686]",second,TA
GMXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.3140569395017794, 0.17793594306049823, 0.13612099644128114, 0.09608540925266904, 0.07295373665480427, 0.05871886120996441, 0.046263345195729534, 0.051601423487544484, 0.046263345195729534]",first,TA
GMXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.1396797153024911, 0.10320284697508897, 0.09697508896797152, 0.11120996441281139, 0.09697508896797152, 0.10765124555160142, 0.09163701067615658, 0.08451957295373666, 0.0791814946619217, 0.08896797153024912]",second,TA
GMXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.34328358208955223, 0.16593503072870938, 0.1202809482001756, 0.08340649692712906, 0.07989464442493416, 0.058823529411764705, 0.05706760316066725, 0.053555750658472345, 0.03775241439859526]",first,TA
GMXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.12115891132572432, 0.10798946444249341, 0.11237928007023705, 0.10359964881474978, 0.1106233538191396, 0.11676909569798069, 0.08955223880597014, 0.06672519754170325, 0.08604038630377524, 0.08516242317822652]",second,TA
