symbol,start_date,end_date,actual_frequencies,digit_type,target
KNCUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.34191176470588236, 0.16544117647058823, 0.09558823529411764, 0.11029411764705882, 0.08088235294117647, 0.051470588235294115, 0.06066176470588235, 0.04595588235294118, 0.04779411764705882]",first,TA
KNCUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.10477941176470588, 0.11948529411764706, 0.1213235294117647, 0.11213235294117647, 0.125, 0.07904411764705882, 0.07169117647058823, 0.0974264705882353, 0.07169117647058823, 0.0974264705882353]",second,TA
KNCUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.36054421768707484, 0.17006802721088435, 0.10034013605442177, 0.10204081632653061, 0.07142857142857142, 0.05442176870748299, 0.05612244897959184, 0.04421768707482993, 0.04081632653061224]",first,TA
KNCUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.1360544217687075, 0.10034013605442177, 0.09693877551020408, 0.11734693877551021, 0.10884353741496598, 0.12414965986394558, 0.07993197278911565, 0.08503401360544217, 0.05952380952380952, 0.09183673469387756]",second,TA
KNCUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.3271317829457364, 0.19844961240310077, 0.10387596899224806, 0.10387596899224806, 0.07286821705426356, 0.05271317829457364, 0.05271317829457364, 0.02635658914728682, 0.06201550387596899]",first,TA
KNCUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.15968992248062017, 0.09302325581395349, 0.06976744186046512, 0.10697674418604651, 0.10077519379844961, 0.09147286821705426, 0.08062015503875969, 0.09147286821705426, 0.08992248062015504, 0.11627906976744186]",second,TA
KNCUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.3816046966731898, 0.136986301369863, 0.13894324853228962, 0.09686888454011741, 0.07729941291585127, 0.0547945205479452, 0.036203522504892366, 0.03718199608610567, 0.040117416829745595]",first,TA
KNCUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.12524461839530332, 0.1095890410958904, 0.1086105675146771, 0.10078277886497064, 0.0949119373776908, 0.10763209393346379, 0.10273972602739725, 0.09980430528375733, 0.07240704500978473, 0.07827788649706457]",second,TA
KNCUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.3025830258302583, 0.18696186961869618, 0.1057810578105781, 0.1008610086100861, 0.09225092250922509, 0.08118081180811808, 0.038130381303813035, 0.038130381303813035, 0.05412054120541206]",first,TA
KNCUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.14637146371463713, 0.0984009840098401, 0.07380073800738007, 0.0910209102091021, 0.13161131611316113, 0.10824108241082411, 0.08487084870848709, 0.07503075030750307, 0.0996309963099631, 0.0910209102091021]",second,TA
