symbol,start_date,end_date,actual_frequencies,digit_type,target
MASKUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.30033003300330036, 0.19306930693069307, 0.13283828382838284, 0.08828382838283828, 0.06518151815181518, 0.06765676567656766, 0.0594059405940594, 0.05363036303630363, 0.039603960396039604]",first,TA
MASKUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.12376237623762376, 0.11468646864686469, 0.12128712871287128, 0.10231023102310231, 0.08828382838283828, 0.09818481848184818, 0.09818481848184818, 0.08085808580858085, 0.08745874587458746, 0.08498349834983498]",second,TA
MASKUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.30428360413589367, 0.17355982274741508, 0.11447562776957164, 0.08936484490398819, 0.08124076809453472, 0.07385524372230429, 0.0568685376661743, 0.05465288035450517, 0.051698670605613]",first,TA
MASKUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.12850812407680945, 0.12112259970457903, 0.10413589364844904, 0.10044313146233383, 0.09748892171344166, 0.0982274741506647, 0.08345642540620384, 0.08936484490398819, 0.08345642540620384, 0.09379615952732644]",second,TA
MASKUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.2845821325648415, 0.18587896253602307, 0.12463976945244956, 0.08789625360230548, 0.08645533141210375, 0.061239193083573486, 0.06412103746397695, 0.05259365994236311, 0.05259365994236311]",first,TA
MASKUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.11671469740634005, 0.12175792507204611, 0.10662824207492795, 0.08501440922190202, 0.10806916426512968, 0.09510086455331412, 0.09582132564841499, 0.0994236311239193, 0.0893371757925072, 0.08213256484149856]",second,TA
MASKUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.2974683544303797, 0.17229254571026723, 0.12376933895921238, 0.0970464135021097, 0.07876230661040788, 0.07313642756680731, 0.0710267229254571, 0.047116736990154715, 0.03938115330520394]",first,TA
MASKUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.1111111111111111, 0.10970464135021098, 0.10618846694796062, 0.10829817158931083, 0.10267229254571027, 0.10337552742616034, 0.1090014064697609, 0.0970464135021097, 0.0759493670886076, 0.07665260196905767]",second,TA
MASKUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.2934472934472934, 0.16168091168091167, 0.12037037037037036, 0.09116809116809117, 0.08190883190883191, 0.06766381766381767, 0.07264957264957266, 0.04985754985754986, 0.06125356125356125]",first,TA
MASKUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.13247863247863248, 0.1047008547008547, 0.11752136752136752, 0.11894586894586895, 0.09401709401709402, 0.08333333333333333, 0.09472934472934473, 0.07763532763532764, 0.08048433048433049, 0.09615384615384616]",second,TA
MASKUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.32442196531791906, 0.14450867052023122, 0.11560693641618497, 0.10043352601156069, 0.08598265895953758, 0.07658959537572255, 0.05997109826589595, 0.04696531791907514, 0.04552023121387283]",first,TA
MASKUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.12138728323699421, 0.11127167630057803, 0.10838150289017341, 0.11705202312138728, 0.09393063583815028, 0.08453757225433527, 0.09465317919075145, 0.08815028901734104, 0.08670520231213873, 0.09393063583815028]",second,TA
MASKUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.30583941605839415, 0.1583941605839416, 0.10948905109489052, 0.10510948905109489, 0.08686131386861314, 0.07445255474452554, 0.06715328467153285, 0.04452554744525548, 0.04817518248175182]",first,TA
MASKUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.12846715328467154, 0.12700729927007298, 0.09635036496350365, 0.08832116788321168, 0.08978102189781022, 0.11021897810218978, 0.08467153284671533, 0.08467153284671533, 0.08905109489051095, 0.10145985401459855]",second,TA
MASKUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.3051792828685259, 0.17848605577689244, 0.12669322709163347, 0.08207171314741035, 0.08685258964143426, 0.06374501992031872, 0.06374501992031872, 0.04302788844621514, 0.050199203187251]",first,TA
MASKUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.12669322709163347, 0.12031872509960159, 0.11075697211155379, 0.09322709163346614, 0.10199203187250996, 0.09322709163346614, 0.09880478087649402, 0.08764940239043825, 0.0796812749003984, 0.08764940239043825]",second,TA
MASKUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.3056737588652482, 0.16170212765957448, 0.12978723404255318, 0.10780141843971631, 0.06595744680851064, 0.07163120567375887, 0.06382978723404255, 0.05531914893617021, 0.03829787234042553]",first,TA
MASKUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.1198581560283688, 0.11702127659574468, 0.11347517730496454, 0.1099290780141844, 0.09716312056737589, 0.09078014184397164, 0.09361702127659574, 0.08794326241134752, 0.07446808510638298, 0.09574468085106383]",second,TA
MASKUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.31754874651810583, 0.18871866295264625, 0.09818941504178273, 0.08286908077994429, 0.07381615598885793, 0.06406685236768803, 0.06267409470752089, 0.054317548746518104, 0.057799442896935935]",first,TA
MASKUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.12325905292479108, 0.0947075208913649, 0.10654596100278552, 0.11281337047353761, 0.10167130919220056, 0.09818941504178273, 0.09610027855153204, 0.08704735376044569, 0.08635097493036212, 0.09331476323119778]",second,TA
MASKUSDT,2023-01-11-00:00,2023-01-12-00:00,"[0.3049894588896697, 0.15249472944483486, 0.13492621222768797, 0.07800421644413212, 0.09276177090653549, 0.07659873506676036, 0.060435699226985246, 0.050597329585382995, 0.049191848208011243]",first,TA
MASKUSDT,2023-01-11-00:00,2023-01-12-00:00,"[0.11665495432185524, 0.11384399156711174, 0.10822206605762473, 0.09978917779339423, 0.08854532677442024, 0.09838369641602249, 0.1061138439915671, 0.09768095572733661, 0.09205903021784961, 0.07870695713281799]",second,TA
MASKUSDT,2023-01-12-00:00,2023-01-13-00:00,"[0.2912552891396333, 0.153737658674189, 0.14104372355430184, 0.08885754583921016, 0.07898448519040903, 0.08251057827926657, 0.0535966149506347, 0.06346967559943582, 0.0465444287729196]",first,TA
MASKUSDT,2023-01-12-00:00,2023-01-13-00:00,"[0.11918194640338504, 0.1156558533145275, 0.1078984485190409, 0.09802538787023977, 0.10366713681241185, 0.0846262341325811, 0.08251057827926657, 0.09590973201692525, 0.10507757404795487, 0.08744710860366714]",second,TA
MASKUSDT,2023-01-13-00:00,2023-01-14-00:00,"[0.32447552447552447, 0.16223776223776223, 0.11608391608391608, 0.1034965034965035, 0.07692307692307693, 0.06083916083916084, 0.05944055944055944, 0.045454545454545456, 0.05104895104895105]",first,TA
MASKUSDT,2023-01-13-00:00,2023-01-14-00:00,"[0.11888111888111888, 0.11888111888111888, 0.10839160839160839, 0.0951048951048951, 0.1020979020979021, 0.1062937062937063, 0.08811188811188811, 0.08741258741258741, 0.08321678321678322, 0.09160839160839161]",second,TA
MASKUSDT,2023-01-14-00:00,2023-01-15-00:00,"[0.2907702984038862, 0.17002081887578072, 0.13601665510062458, 0.09784871616932686, 0.07494795281054822, 0.06731436502428868, 0.05135322692574601, 0.0527411519777932, 0.05898681471200555]",first,TA
MASKUSDT,2023-01-14-00:00,2023-01-15-00:00,"[0.11380985426786953, 0.11034004163775156, 0.10062456627342123, 0.11242192921582235, 0.10617626648161, 0.09021512838306732, 0.09021512838306732, 0.10131852879944483, 0.0916030534351145, 0.08327550312283137]",second,TA
MASKUSDT,2023-01-15-00:00,2023-01-16-00:00,"[0.3333333333333333, 0.16075156576200417, 0.11203897007654837, 0.08977035490605428, 0.08559498956158663, 0.05358385525400139, 0.06610995128740431, 0.05358385525400139, 0.04523312456506611]",first,TA
