symbol,start_date,end_date,actual_frequencies,digit_type,target
MBOXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.43617021276595747, 0.13031914893617022, 0.12234042553191489, 0.07712765957446809, 0.0851063829787234, 0.04521276595744681, 0.047872340425531915, 0.031914893617021274, 0.023936170212765957]",first,TA
MBOXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.15159574468085107, 0.11702127659574468, 0.08244680851063829, 0.08776595744680851, 0.08244680851063829, 0.1675531914893617, 0.11702127659574468, 0.0398936170212766, 0.05585106382978723, 0.09840425531914894]",second,TA
MBOXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.43232323232323233, 0.14343434343434344, 0.13333333333333333, 0.06868686868686869, 0.07272727272727272, 0.03434343434343434, 0.03434343434343434, 0.024242424242424242, 0.05656565656565657]",first,TA
MBOXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.1595959595959596, 0.07676767676767676, 0.09090909090909091, 0.06464646464646465, 0.06262626262626263, 0.16767676767676767, 0.10101010101010101, 0.06868686868686869, 0.08282828282828283, 0.12525252525252525]",second,TA
MBOXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.4787018255578093, 0.13995943204868155, 0.11359026369168357, 0.06490872210953347, 0.06288032454361055, 0.04056795131845842, 0.030425963488843813, 0.032454361054766734, 0.036511156186612576]",first,TA
MBOXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.13995943204868155, 0.08519269776876268, 0.08316430020283976, 0.09533468559837728, 0.08316430020283976, 0.15212981744421908, 0.13184584178498987, 0.05273833671399594, 0.056795131845841784, 0.11967545638945233]",second,TA
MBOXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.43407407407407406, 0.14962962962962964, 0.1362962962962963, 0.057777777777777775, 0.06518518518518518, 0.044444444444444446, 0.034074074074074076, 0.04296296296296296, 0.035555555555555556]",first,TA
MBOXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.1511111111111111, 0.10074074074074074, 0.0874074074074074, 0.07555555555555556, 0.08296296296296296, 0.10222222222222223, 0.16, 0.07555555555555556, 0.06222222222222222, 0.10222222222222223]",second,TA
MBOXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.43084260731319557, 0.1287758346581876, 0.11605723370429252, 0.08267090620031796, 0.07790143084260731, 0.05087440381558029, 0.0492845786963434, 0.03179650238473768, 0.03179650238473768]",first,TA
MBOXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.13354531001589826, 0.10333863275039745, 0.09062003179650238, 0.07313195548489666, 0.08108108108108109, 0.10333863275039745, 0.16375198728139906, 0.07472178060413355, 0.05564387917329094, 0.12082670906200318]",second,TA
MBOXUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.45806451612903226, 0.13548387096774195, 0.13333333333333333, 0.07096774193548387, 0.06236559139784946, 0.030107526881720432, 0.04946236559139785, 0.01935483870967742, 0.04086021505376344]",first,TA
MBOXUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.11827956989247312, 0.08387096774193549, 0.09032258064516129, 0.06666666666666667, 0.07526881720430108, 0.14408602150537633, 0.13118279569892474, 0.07311827956989247, 0.08817204301075268, 0.12903225806451613]",second,TA
MBOXUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.36897001303780963, 0.1577574967405476, 0.121251629726206, 0.09908735332464146, 0.0560625814863103, 0.06910039113428944, 0.03780964797913951, 0.041720990873533245, 0.048239895697522815]",first,TA
MBOXUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.16558018252933507, 0.0847457627118644, 0.09647979139504563, 0.07822685788787484, 0.08083441981747067, 0.09778357235984354, 0.11473272490221642, 0.07040417209908735, 0.09517601043024772, 0.11603650586701435]",second,TA
MBOXUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.38636363636363635, 0.1755050505050505, 0.10858585858585859, 0.10101010101010101, 0.06944444444444445, 0.04419191919191919, 0.036616161616161616, 0.03535353535353535, 0.04292929292929293]",first,TA
MBOXUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.16414141414141414, 0.10858585858585859, 0.09595959595959595, 0.09090909090909091, 0.08080808080808081, 0.07449494949494949, 0.11363636363636363, 0.09722222222222222, 0.06439393939393939, 0.10984848484848485]",second,TA
MBOXUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.34886128364389235, 0.16770186335403728, 0.12836438923395446, 0.09834368530020704, 0.08592132505175984, 0.050724637681159424, 0.045548654244306416, 0.046583850931677016, 0.027950310559006212]",first,TA
MBOXUSDT,2023-01-09-00:00,2023-01-10-00:00,"[0.15942028985507245, 0.11490683229813664, 0.09627329192546584, 0.07971014492753623, 0.09834368530020704, 0.09834368530020704, 0.07660455486542443, 0.09213250517598344, 0.06935817805383022, 0.11490683229813664]",second,TA
MBOXUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.3793103448275862, 0.15569487983281086, 0.12957157784743992, 0.0741901776384535, 0.07628004179728318, 0.06060606060606061, 0.04597701149425287, 0.035527690700104496, 0.042842215256008356]",first,TA
MBOXUSDT,2023-01-10-00:00,2023-01-11-00:00,"[0.12434691745036573, 0.10658307210031348, 0.09508881922675026, 0.08568443051201671, 0.09822361546499478, 0.09299895506792058, 0.08463949843260188, 0.14420062695924765, 0.08463949843260188, 0.08359456635318704]",second,TA
