symbol,start_date,end_date,actual_frequencies,digit_type,target
SNXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.2914285714285714, 0.15333333333333332, 0.12761904761904763, 0.12095238095238095, 0.07523809523809524, 0.08952380952380952, 0.054285714285714284, 0.04285714285714286, 0.04476190476190476]",first,TA
SNXUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.12285714285714286, 0.10380952380952381, 0.11238095238095239, 0.1, 0.10476190476190476, 0.10476190476190476, 0.07904761904761905, 0.10476190476190476, 0.07047619047619047, 0.09714285714285714]",second,TA
SNXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.35807860262008734, 0.18668122270742357, 0.1037117903930131, 0.09388646288209607, 0.06550218340611354, 0.0611353711790393, 0.04912663755458515, 0.039301310043668124, 0.0425764192139738]",first,TA
SNXUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.1277292576419214, 0.1091703056768559, 0.0982532751091703, 0.11353711790393013, 0.11135371179039301, 0.1037117903930131, 0.07205240174672489, 0.08624454148471616, 0.07751091703056769, 0.10043668122270742]",second,TA
SNXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.3711967545638945, 0.1612576064908722, 0.1460446247464503, 0.08417849898580122, 0.055780933062880324, 0.055780933062880324, 0.055780933062880324, 0.038539553752535496, 0.03144016227180527]",first,TA
SNXUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.13184584178498987, 0.1257606490872211, 0.11156186612576065, 0.0922920892494929, 0.08823529411764706, 0.12474645030425964, 0.08113590263691683, 0.08823529411764706, 0.0720081135902637, 0.08417849898580122]",second,TA
SNXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.332391713747646, 0.16854990583804144, 0.11958568738229755, 0.10263653483992467, 0.06497175141242938, 0.064030131826742, 0.046139359698681735, 0.054613935969868174, 0.047080979284369114]",first,TA
SNXUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.1224105461393597, 0.10922787193973635, 0.11581920903954802, 0.10357815442561205, 0.08286252354048965, 0.11299435028248588, 0.09887005649717515, 0.08662900188323917, 0.07815442561205273, 0.08945386064030132]",second,TA
SNXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.3083403538331929, 0.16175231676495366, 0.12215669755686605, 0.09688289806234204, 0.07834877843302443, 0.07329401853411963, 0.061499578770008424, 0.05560235888795282, 0.04212299915754002]",first,TA
SNXUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.10867733782645324, 0.10867733782645324, 0.11204717775905644, 0.10614995787700084, 0.09604043807919124, 0.09014321819713564, 0.11962931760741365, 0.08171861836562763, 0.08677337826453244, 0.09014321819713564]",second,TA
SNXUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.3157894736842105, 0.19100169779286927, 0.13752122241086587, 0.09083191850594227, 0.0636672325976231, 0.059422750424448216, 0.05263157894736842, 0.0500848896434635, 0.03904923599320883]",first,TA
SNXUSDT,2023-01-06-00:00,2023-01-07-00:00,"[0.11969439728353141, 0.10526315789473684, 0.08828522920203735, 0.10441426146010187, 0.09507640067911714, 0.11884550084889643, 0.10271646859083192, 0.09083191850594227, 0.08913412563667232, 0.08573853989813243]",second,TA
SNXUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.33979763912310285, 0.1467116357504216, 0.13743676222596965, 0.09443507588532883, 0.08094435075885328, 0.05733558178752108, 0.0581787521079258, 0.050590219224283306, 0.03456998313659359]",first,TA
SNXUSDT,2023-01-07-00:00,2023-01-08-00:00,"[0.11551433389544688, 0.11382799325463744, 0.10623946037099494, 0.10286677908937605, 0.09865092748735245, 0.09696458684654301, 0.10202360876897133, 0.10708263069139966, 0.07588532883642496, 0.08094435075885328]",second,TA
SNXUSDT,2023-01-08-00:00,2023-01-09-00:00,"[0.3289588801399825, 0.1609798775153106, 0.12248468941382328, 0.08486439195100612, 0.0804899387576553, 0.06386701662292213, 0.0647419072615923, 0.0594925634295713, 0.03412073490813648]",first,TA
