symbol,start_date,end_date,actual_frequencies,digit_type,target
VANRYUSDT,2023-12-01-00:00,2023-12-02-00:00,"[0.2826603325415677, 0.16864608076009502, 0.12826603325415678, 0.10451306413301663, 0.0665083135391924, 0.08076009501187649, 0.06175771971496437, 0.0665083135391924, 0.040380047505938245]",first,TA
VANRYUSDT,2023-12-01-00:00,2023-12-02-00:00,"[0.11163895486935867, 0.12826603325415678, 0.12826603325415678, 0.10451306413301663, 0.09501187648456057, 0.08788598574821853, 0.0855106888361045, 0.0855106888361045, 0.0831353919239905, 0.09026128266033254]",second,TA
VANRYUSDT,2023-12-02-00:00,2023-12-03-00:00,"[0.3296321998612075, 0.17279666897987508, 0.12352532963219987, 0.09576682859125607, 0.07425399028452463, 0.0652324774462179, 0.06037473976405274, 0.03678001387925052, 0.041637751561415685]",first,TA
VANRYUSDT,2023-12-02-00:00,2023-12-03-00:00,"[0.11589174184594032, 0.1193615544760583, 0.11866759195003469, 0.10131852879944483, 0.09507286606523248, 0.0922970159611381, 0.09993060374739764, 0.08952116585704371, 0.08674531575294935, 0.08119361554476058]",second,TA
VANRYUSDT,2023-12-03-00:00,2023-12-04-00:00,"[0.282336578581363, 0.18219749652294853, 0.1349095966620306, 0.09040333796940195, 0.07858136300417246, 0.06675938803894298, 0.05702364394993046, 0.06050069541029207, 0.04728789986091794]",first,TA
VANRYUSDT,2023-12-03-00:00,2023-12-04-00:00,"[0.11821974965229486, 0.10848400556328233, 0.11613351877607789, 0.1105702364394993, 0.08414464534075104, 0.09805285118219749, 0.09666203059805285, 0.09388038942976357, 0.0917941585535466, 0.08205841446453407]",second,TA
VANRYUSDT,2023-12-04-00:00,2023-12-05-00:00,"[0.2951388888888889, 0.1673611111111111, 0.125, 0.09722222222222222, 0.0875, 0.07013888888888889, 0.05763888888888889, 0.059027777777777776, 0.04097222222222222]",first,TA
VANRYUSDT,2023-12-04-00:00,2023-12-05-00:00,"[0.11666666666666667, 0.10972222222222222, 0.11736111111111111, 0.10069444444444445, 0.09444444444444444, 0.1, 0.07847222222222222, 0.1, 0.09861111111111111, 0.08402777777777778]",second,TA
VANRYUSDT,2023-12-05-00:00,2023-12-06-00:00,"[0.306657223796034, 0.18980169971671387, 0.12889518413597734, 0.09773371104815864, 0.07011331444759207, 0.06373937677053824, 0.058781869688385266, 0.043909348441926344, 0.04036827195467422]",first,TA
VANRYUSDT,2023-12-05-00:00,2023-12-06-00:00,"[0.11189801699716714, 0.1274787535410765, 0.10694050991501416, 0.10835694050991501, 0.10410764872521247, 0.08498583569405099, 0.10410764872521247, 0.08356940509915015, 0.08498583569405099, 0.08356940509915015]",second,TA
VANRYUSDT,2023-12-06-00:00,2023-12-07-00:00,"[0.3117606123869172, 0.1732776617954071, 0.10925539318023661, 0.09881697981906751, 0.0848990953375087, 0.08072372999304106, 0.05080027835768963, 0.04105775922059847, 0.049408489909533754]",first,TA
VANRYUSDT,2023-12-06-00:00,2023-12-07-00:00,"[0.12247738343771747, 0.11482254697286012, 0.10925539318023661, 0.11412665274878218, 0.1022964509394572, 0.09742519137091162, 0.0848990953375087, 0.08907446068197634, 0.08698677800974251, 0.07863604732080724]",second,TA
