symbol,start_date,end_date,actual_frequencies,digit_type,target
VIBUSDT,2023-02-24-00:00,2023-02-25-00:00,"[0.2965686274509804, 0.2107843137254902, 0.15196078431372548, 0.0857843137254902, 0.07352941176470588, 0.0661764705882353, 0.0392156862745098, 0.041666666666666664, 0.03431372549019608]",first,TA
VIBUSDT,2023-02-24-00:00,2023-02-25-00:00,"[0.1053921568627451, 0.1323529411764706, 0.09558823529411764, 0.09068627450980392, 0.12745098039215685, 0.09803921568627451, 0.09313725490196079, 0.08823529411764706, 0.0784313725490196, 0.09068627450980392]",second,TA
VIBUSDT,2023-02-25-00:00,2023-02-26-00:00,"[0.34077750206782464, 0.17038875103391232, 0.10918114143920596, 0.10421836228287841, 0.06947890818858561, 0.06120760959470637, 0.05293631100082713, 0.04714640198511166, 0.04466501240694789]",first,TA
VIBUSDT,2023-02-25-00:00,2023-02-26-00:00,"[0.11993382961124896, 0.11166253101736973, 0.10752688172043011, 0.10504549214226634, 0.10339123242349049, 0.08933002481389578, 0.09511993382961124, 0.07775020678246485, 0.08933002481389578, 0.10090984284532671]",second,TA
VIBUSDT,2023-02-26-00:00,2023-02-27-00:00,"[0.2971246006389776, 0.1959531416400426, 0.10436634717784878, 0.09158679446219382, 0.09371671991480299, 0.06389776357827476, 0.055378061767838126, 0.029818956336528223, 0.06815761448349308]",first,TA
VIBUSDT,2023-02-26-00:00,2023-02-27-00:00,"[0.1299254526091587, 0.10862619808306709, 0.0926517571884984, 0.08413205537806177, 0.11395101171458999, 0.08732694355697551, 0.08519701810436635, 0.09052183173588925, 0.08519701810436635, 0.12247071352502663]",second,TA
VIBUSDT,2023-02-27-00:00,2023-02-28-00:00,"[0.34324659231722426, 0.1697645600991326, 0.11771995043370508, 0.08426270136307311, 0.09541511771995044, 0.04337050805452292, 0.03841387856257745, 0.03841387856257745, 0.06939281288723669]",first,TA
VIBUSDT,2023-02-27-00:00,2023-02-28-00:00,"[0.1536555142503098, 0.11400247831474597, 0.10656753407682776, 0.07311028500619579, 0.07187112763320942, 0.0768277571251549, 0.08550185873605948, 0.08302354399008674, 0.06939281288723669, 0.16604708798017348]",second,TA
VIBUSDT,2023-02-28-00:00,2023-03-01-00:00,"[0.3443557582668187, 0.1790193842645382, 0.10718358038768529, 0.07069555302166476, 0.07411630558722919, 0.07069555302166476, 0.03534777651083238, 0.037628278221208664, 0.08095781071835804]",first,TA
VIBUSDT,2023-02-28-00:00,2023-03-01-00:00,"[0.14823261117445838, 0.12770809578107184, 0.10946408209806158, 0.09007981755986318, 0.09578107183580388, 0.07069555302166476, 0.08209806157354618, 0.09236031927023945, 0.07525655644241733, 0.10832383124287344]",second,TA
