symbol,start_date,end_date,actual_frequencies,digit_type,target
KRW-JST,2023-12-31-00:00,2024-01-01-00:00,"[0.345, 0.21, 0.105, 0.11, 0.09, 0.035, 0.035, 0.03, 0.04]",first,TA
KRW-JST,2023-12-31-00:00,2024-01-01-00:00,"[0.19, 0.1, 0.1, 0.105, 0.055, 0.105, 0.115, 0.065, 0.07, 0.095]",second,TA
KRW-JST,2023-12-30-00:00,2023-12-31-00:00,"[0.295, 0.21, 0.085, 0.11, 0.0675, 0.065, 0.055, 0.065, 0.0475]",first,TA
KRW-JST,2023-12-30-00:00,2023-12-31-00:00,"[0.1575, 0.1125, 0.1025, 0.1075, 0.07, 0.1175, 0.1075, 0.0875, 0.065, 0.0725]",second,TA
KRW-JST,2023-12-29-00:00,2023-12-30-00:00,"[0.29, 0.215, 0.1, 0.1125, 0.085, 0.0425, 0.05, 0.06, 0.045]",first,TA
KRW-JST,2023-12-29-00:00,2023-12-30-00:00,"[0.135, 0.1375, 0.0925, 0.075, 0.1025, 0.135, 0.0825, 0.09, 0.0525, 0.0975]",second,TA
KRW-JST,2023-12-28-00:00,2023-12-29-00:00,"[0.315, 0.18, 0.0975, 0.1025, 0.0875, 0.0675, 0.05, 0.055, 0.045]",first,TA
KRW-JST,2023-12-28-00:00,2023-12-29-00:00,"[0.2175, 0.1075, 0.115, 0.0675, 0.07, 0.0725, 0.07, 0.07, 0.085, 0.125]",second,TA
KRW-JST,2023-12-27-00:00,2023-12-28-00:00,"[0.27, 0.17, 0.085, 0.095, 0.115, 0.085, 0.05, 0.06, 0.07]",first,TA
KRW-JST,2023-12-27-00:00,2023-12-28-00:00,"[0.235, 0.1, 0.115, 0.07, 0.075, 0.07, 0.06, 0.06, 0.075, 0.14]",second,TA
KRW-JST,2023-12-26-00:00,2023-12-27-00:00,"[0.29, 0.16, 0.135, 0.105, 0.11, 0.07, 0.03, 0.06, 0.04]",first,TA
KRW-JST,2023-12-26-00:00,2023-12-27-00:00,"[0.185, 0.08, 0.095, 0.07, 0.115, 0.06, 0.085, 0.08, 0.105, 0.125]",second,TA
