symbol,start_date,end_date,actual_frequencies,digit_type,target
KRW-THETA,2023-12-31-00:00,2024-01-01-00:00,"[0.305, 0.17, 0.06, 0.13, 0.08, 0.085, 0.045, 0.08, 0.045]",first,TA
KRW-THETA,2023-12-31-00:00,2024-01-01-00:00,"[0.25, 0.085, 0.085, 0.06, 0.09, 0.075, 0.065, 0.075, 0.06, 0.155]",second,TA
KRW-THETA,2023-12-30-00:00,2023-12-31-00:00,"[0.285, 0.1875, 0.115, 0.1075, 0.1, 0.0475, 0.055, 0.0575, 0.045]",first,TA
KRW-THETA,2023-12-30-00:00,2023-12-31-00:00,"[0.2175, 0.1075, 0.0775, 0.09, 0.085, 0.08, 0.06, 0.07, 0.0875, 0.125]",second,TA
KRW-THETA,2023-12-29-00:00,2023-12-30-00:00,"[0.335, 0.1875, 0.095, 0.1, 0.095, 0.045, 0.045, 0.0525, 0.045]",first,TA
KRW-THETA,2023-12-29-00:00,2023-12-30-00:00,"[0.1575, 0.1225, 0.0675, 0.105, 0.115, 0.06, 0.075, 0.105, 0.0925, 0.1]",second,TA
KRW-THETA,2023-12-28-00:00,2023-12-29-00:00,"[0.3625, 0.1325, 0.1125, 0.1025, 0.1125, 0.085, 0.035, 0.03, 0.0275]",first,TA
KRW-THETA,2023-12-28-00:00,2023-12-29-00:00,"[0.1925, 0.105, 0.0725, 0.0775, 0.0925, 0.07, 0.0875, 0.1025, 0.075, 0.125]",second,TA
KRW-THETA,2023-12-27-00:00,2023-12-28-00:00,"[0.395, 0.12, 0.1, 0.1, 0.1, 0.0775, 0.035, 0.0325, 0.04]",first,TA
KRW-THETA,2023-12-27-00:00,2023-12-28-00:00,"[0.19, 0.095, 0.0875, 0.1025, 0.085, 0.09, 0.0825, 0.08, 0.045, 0.1425]",second,TA
KRW-THETA,2023-12-26-00:00,2023-12-27-00:00,"[0.34, 0.155, 0.12, 0.095, 0.085, 0.065, 0.035, 0.0525, 0.0525]",first,TA
KRW-THETA,2023-12-26-00:00,2023-12-27-00:00,"[0.1675, 0.1025, 0.0625, 0.14, 0.11, 0.0675, 0.08, 0.0775, 0.0575, 0.135]",second,TA
KRW-THETA,2023-12-25-00:00,2023-12-26-00:00,"[0.27, 0.2125, 0.1025, 0.125, 0.08, 0.0525, 0.0475, 0.05, 0.06]",first,TA
KRW-THETA,2023-12-25-00:00,2023-12-26-00:00,"[0.1925, 0.1, 0.065, 0.115, 0.08, 0.09, 0.1025, 0.0575, 0.075, 0.1225]",second,TA
KRW-THETA,2023-12-24-00:00,2023-12-25-00:00,"[0.3, 0.21, 0.115, 0.1125, 0.0875, 0.0575, 0.0375, 0.04, 0.04]",first,TA
KRW-THETA,2023-12-24-00:00,2023-12-25-00:00,"[0.185, 0.1175, 0.07, 0.1025, 0.0625, 0.085, 0.09, 0.085, 0.09, 0.1125]",second,TA
KRW-THETA,2023-12-23-00:00,2023-12-24-00:00,"[0.2875, 0.19, 0.1425, 0.085, 0.1025, 0.0525, 0.0425, 0.05, 0.0475]",first,TA
KRW-THETA,2023-12-23-00:00,2023-12-24-00:00,"[0.24, 0.1125, 0.05, 0.0825, 0.055, 0.1025, 0.0825, 0.0825, 0.0475, 0.145]",second,TA
KRW-THETA,2023-12-22-00:00,2023-12-23-00:00,"[0.335, 0.17, 0.13, 0.065, 0.0875, 0.06, 0.04, 0.065, 0.0475]",first,TA
KRW-THETA,2023-12-22-00:00,2023-12-23-00:00,"[0.2425, 0.105, 0.06, 0.1025, 0.065, 0.1025, 0.08, 0.0825, 0.045, 0.115]",second,TA
KRW-THETA,2023-12-21-00:00,2023-12-22-00:00,"[0.3325, 0.17, 0.11, 0.07, 0.1275, 0.055, 0.0325, 0.055, 0.0475]",first,TA
KRW-THETA,2023-12-21-00:00,2023-12-22-00:00,"[0.29, 0.075, 0.095, 0.1075, 0.06, 0.12, 0.055, 0.045, 0.065, 0.0875]",second,TA
KRW-THETA,2023-12-20-00:00,2023-12-21-00:00,"[0.345, 0.2075, 0.08, 0.0825, 0.09, 0.0625, 0.04, 0.065, 0.0275]",first,TA
KRW-THETA,2023-12-20-00:00,2023-12-21-00:00,"[0.285, 0.08, 0.11, 0.075, 0.08, 0.0825, 0.06, 0.0625, 0.08, 0.085]",second,TA
KRW-THETA,2023-12-19-00:00,2023-12-20-00:00,"[0.3825, 0.195, 0.1025, 0.0825, 0.0775, 0.05, 0.035, 0.0525, 0.0225]",first,TA
KRW-THETA,2023-12-19-00:00,2023-12-20-00:00,"[0.24, 0.095, 0.09, 0.1, 0.0975, 0.06, 0.0625, 0.0775, 0.09, 0.0875]",second,TA
KRW-THETA,2023-12-18-00:00,2023-12-19-00:00,"[0.3475, 0.2, 0.105, 0.0675, 0.0925, 0.05, 0.0375, 0.0675, 0.0325]",first,TA
KRW-THETA,2023-12-18-00:00,2023-12-19-00:00,"[0.19, 0.055, 0.0875, 0.15, 0.1025, 0.08, 0.07, 0.0675, 0.085, 0.1125]",second,TA
KRW-THETA,2023-12-17-00:00,2023-12-18-00:00,"[0.26, 0.22, 0.095, 0.07, 0.115, 0.05, 0.035, 0.105, 0.05]",first,TA
KRW-THETA,2023-12-17-00:00,2023-12-18-00:00,"[0.225, 0.045, 0.07, 0.165, 0.105, 0.095, 0.07, 0.04, 0.055, 0.13]",second,TA
KRW-THETA,2023-12-16-00:00,2023-12-17-00:00,"[0.3325, 0.2, 0.1025, 0.075, 0.1025, 0.0275, 0.05, 0.0475, 0.0625]",first,TA
KRW-THETA,2023-12-16-00:00,2023-12-17-00:00,"[0.1925, 0.1, 0.0725, 0.135, 0.0825, 0.0875, 0.09, 0.075, 0.0825, 0.0825]",second,TA
KRW-THETA,2023-12-15-00:00,2023-12-16-00:00,"[0.29, 0.2225, 0.11, 0.0825, 0.095, 0.045, 0.065, 0.06, 0.03]",first,TA
KRW-THETA,2023-12-15-00:00,2023-12-16-00:00,"[0.22, 0.095, 0.0825, 0.1625, 0.0725, 0.08, 0.0575, 0.08, 0.0725, 0.0775]",second,TA
KRW-THETA,2023-12-14-00:00,2023-12-15-00:00,"[0.29, 0.24, 0.09, 0.1075, 0.095, 0.0525, 0.05, 0.0525, 0.0225]",first,TA
KRW-THETA,2023-12-14-00:00,2023-12-15-00:00,"[0.2975, 0.0675, 0.1175, 0.1225, 0.08, 0.0825, 0.05, 0.0425, 0.0675, 0.0725]",second,TA
KRW-THETA,2023-12-13-00:00,2023-12-14-00:00,"[0.325, 0.1925, 0.08, 0.1, 0.09, 0.0475, 0.0475, 0.085, 0.0325]",first,TA
KRW-THETA,2023-12-13-00:00,2023-12-14-00:00,"[0.2525, 0.085, 0.105, 0.07, 0.095, 0.0775, 0.0725, 0.0325, 0.0925, 0.1175]",second,TA
KRW-THETA,2023-12-12-00:00,2023-12-13-00:00,"[0.36, 0.1625, 0.0725, 0.0975, 0.0775, 0.05, 0.035, 0.0825, 0.0625]",first,TA
KRW-THETA,2023-12-12-00:00,2023-12-13-00:00,"[0.2875, 0.0875, 0.065, 0.07, 0.085, 0.075, 0.075, 0.06, 0.055, 0.14]",second,TA
KRW-THETA,2023-12-11-00:00,2023-12-12-00:00,"[0.3325, 0.155, 0.1025, 0.11, 0.08, 0.055, 0.04, 0.0625, 0.0625]",first,TA
KRW-THETA,2023-12-11-00:00,2023-12-12-00:00,"[0.3025, 0.105, 0.065, 0.0825, 0.06, 0.065, 0.065, 0.0675, 0.0525, 0.135]",second,TA
KRW-THETA,2023-12-10-00:00,2023-12-11-00:00,"[0.32, 0.16, 0.13, 0.085, 0.075, 0.045, 0.06, 0.0675, 0.0575]",first,TA
KRW-THETA,2023-12-10-00:00,2023-12-11-00:00,"[0.245, 0.11, 0.08, 0.075, 0.085, 0.07, 0.07, 0.0725, 0.08, 0.1125]",second,TA
KRW-THETA,2023-12-09-00:00,2023-12-10-00:00,"[0.3275, 0.145, 0.1, 0.1025, 0.085, 0.03, 0.0725, 0.085, 0.0525]",first,TA
KRW-THETA,2023-12-09-00:00,2023-12-10-00:00,"[0.2925, 0.0975, 0.0725, 0.0625, 0.0725, 0.075, 0.065, 0.075, 0.0625, 0.125]",second,TA
KRW-THETA,2023-12-08-00:00,2023-12-09-00:00,"[0.3275, 0.17, 0.095, 0.125, 0.08, 0.025, 0.05, 0.0725, 0.055]",first,TA
KRW-THETA,2023-12-08-00:00,2023-12-09-00:00,"[0.3, 0.0825, 0.0725, 0.0575, 0.0925, 0.0775, 0.0725, 0.0675, 0.0875, 0.09]",second,TA
KRW-THETA,2023-12-07-00:00,2023-12-08-00:00,"[0.315, 0.205, 0.12, 0.1025, 0.065, 0.03, 0.0525, 0.0675, 0.0425]",first,TA
KRW-THETA,2023-12-07-00:00,2023-12-08-00:00,"[0.23, 0.0825, 0.0925, 0.0825, 0.0875, 0.0925, 0.065, 0.0825, 0.085, 0.1]",second,TA
KRW-THETA,2023-12-06-00:00,2023-12-07-00:00,"[0.315, 0.1825, 0.1525, 0.0825, 0.0825, 0.0375, 0.0375, 0.0725, 0.0375]",first,TA
KRW-THETA,2023-12-06-00:00,2023-12-07-00:00,"[0.215, 0.09, 0.09, 0.105, 0.075, 0.115, 0.08, 0.085, 0.0625, 0.0825]",second,TA
KRW-THETA,2023-12-05-00:00,2023-12-06-00:00,"[0.2975, 0.1625, 0.125, 0.105, 0.09, 0.06, 0.035, 0.0825, 0.0425]",first,TA
KRW-THETA,2023-12-05-00:00,2023-12-06-00:00,"[0.2425, 0.1125, 0.095, 0.085, 0.0675, 0.1, 0.07, 0.045, 0.075, 0.1075]",second,TA
KRW-THETA,2023-12-04-00:00,2023-12-05-00:00,"[0.3, 0.1575, 0.1025, 0.1175, 0.0875, 0.055, 0.075, 0.0725, 0.0325]",first,TA
KRW-THETA,2023-12-04-00:00,2023-12-05-00:00,"[0.245, 0.1, 0.075, 0.065, 0.105, 0.1025, 0.06, 0.075, 0.0825, 0.09]",second,TA
KRW-THETA,2023-12-03-00:00,2023-12-04-00:00,"[0.33, 0.17, 0.115, 0.1, 0.065, 0.065, 0.08, 0.045, 0.03]",first,TA
KRW-THETA,2023-12-03-00:00,2023-12-04-00:00,"[0.235, 0.095, 0.09, 0.045, 0.115, 0.095, 0.055, 0.095, 0.095, 0.08]",second,TA
KRW-THETA,2023-12-02-00:00,2023-12-03-00:00,"[0.31, 0.1675, 0.115, 0.0925, 0.095, 0.05, 0.0475, 0.08, 0.0425]",first,TA
