symbol,start_date,end_date,actual_frequencies,digit_type,target
KRW-JST,2024-01-01-00:00,2023-12-31-00:00,"[0.27166666666666667, 0.20166666666666666, 0.09, 0.1, 0.14333333333333334, 0.03666666666666667, 0.03833333333333333, 0.055, 0.06333333333333334]",first,TA
KRW-JST,2024-01-01-00:00,2023-12-31-00:00,"[0.12833333333333333, 0.105, 0.14166666666666666, 0.08333333333333333, 0.085, 0.10333333333333333, 0.08333333333333333, 0.06, 0.065, 0.145]",second,TA
KRW-JST,2023-12-31-00:00,2023-12-30-00:00,"[0.265, 0.185, 0.095, 0.08333333333333333, 0.15, 0.07, 0.03333333333333333, 0.04, 0.07833333333333334]",first,TA
KRW-JST,2023-12-31-00:00,2023-12-30-00:00,"[0.165, 0.085, 0.10333333333333333, 0.07333333333333333, 0.085, 0.12, 0.07333333333333333, 0.08, 0.05333333333333334, 0.16166666666666665]",second,TA
KRW-JST,2023-12-30-00:00,2023-12-29-00:00,"[0.28375, 0.16125, 0.10125, 0.1025, 0.11625, 0.0575, 0.04375, 0.0475, 0.08625]",first,TA
KRW-JST,2023-12-30-00:00,2023-12-29-00:00,"[0.14875, 0.09375, 0.105, 0.10375, 0.08, 0.085, 0.0825, 0.08375, 0.07, 0.1475]",second,TA
KRW-JST,2023-12-29-00:00,2023-12-28-00:00,"[0.291, 0.154, 0.093, 0.097, 0.108, 0.063, 0.051, 0.049, 0.094]",first,TA
KRW-JST,2023-12-29-00:00,2023-12-28-00:00,"[0.162, 0.102, 0.1, 0.098, 0.073, 0.081, 0.079, 0.066, 0.074, 0.165]",second,TA
KRW-JST,2023-12-28-00:00,2023-12-27-00:00,"[0.25125, 0.17625, 0.10625, 0.10125, 0.1225, 0.06125, 0.04, 0.04, 0.10125]",first,TA
KRW-JST,2023-12-28-00:00,2023-12-27-00:00,"[0.1725, 0.105, 0.0925, 0.085, 0.065, 0.0775, 0.0775, 0.06625, 0.07125, 0.1875]",second,TA
KRW-JST,2023-12-27-00:00,2023-12-26-00:00,"[0.27375, 0.14625, 0.095, 0.10375, 0.13125, 0.06625, 0.04875, 0.0525, 0.0825]",first,TA
KRW-JST,2023-12-27-00:00,2023-12-26-00:00,"[0.16, 0.1225, 0.0925, 0.0725, 0.08375, 0.1225, 0.0625, 0.0675, 0.04875, 0.1675]",second,TA
KRW-JST,2023-12-26-00:00,2023-12-25-00:00,"[0.285, 0.1675, 0.1175, 0.095, 0.09875, 0.0475, 0.03875, 0.0475, 0.1025]",first,TA
KRW-JST,2023-12-26-00:00,2023-12-25-00:00,"[0.14375, 0.095, 0.09125, 0.09375, 0.075, 0.09875, 0.07875, 0.08375, 0.075, 0.165]",second,TA
KRW-JST,2023-12-25-00:00,2023-12-24-00:00,"[0.25125, 0.17625, 0.10625, 0.1075, 0.115, 0.06, 0.04625, 0.04, 0.0975]",first,TA
KRW-JST,2023-12-25-00:00,2023-12-24-00:00,"[0.14875, 0.09375, 0.095, 0.11125, 0.1, 0.07375, 0.07875, 0.06875, 0.06625, 0.16375]",second,TA
KRW-JST,2023-12-24-00:00,2023-12-23-00:00,"[0.29125, 0.1825, 0.0825, 0.07875, 0.1525, 0.04, 0.0375, 0.0325, 0.1025]",first,TA
KRW-JST,2023-12-24-00:00,2023-12-23-00:00,"[0.145, 0.08625, 0.08, 0.10375, 0.0775, 0.06, 0.065, 0.08, 0.05375, 0.24875]",second,TA
KRW-JST,2023-12-23-00:00,2023-12-22-00:00,"[0.3275, 0.15375, 0.08375, 0.10875, 0.09125, 0.0475, 0.03375, 0.0425, 0.11125]",first,TA
KRW-JST,2023-12-23-00:00,2023-12-22-00:00,"[0.17375, 0.08375, 0.09125, 0.0925, 0.09, 0.0675, 0.07875, 0.0625, 0.04875, 0.21125]",second,TA
KRW-JST,2023-12-22-00:00,2023-12-21-00:00,"[0.29, 0.15625, 0.09, 0.11625, 0.14, 0.06375, 0.035, 0.03, 0.07875]",first,TA
KRW-JST,2023-12-22-00:00,2023-12-21-00:00,"[0.16625, 0.105, 0.12125, 0.09125, 0.085, 0.0875, 0.06625, 0.04875, 0.05125, 0.1775]",second,TA
KRW-JST,2023-12-21-00:00,2023-12-20-00:00,"[0.2925, 0.15625, 0.0925, 0.10625, 0.12625, 0.06, 0.04625, 0.03125, 0.08875]",first,TA
KRW-JST,2023-12-21-00:00,2023-12-20-00:00,"[0.1625, 0.1225, 0.13875, 0.0825, 0.0875, 0.08, 0.05875, 0.06, 0.0625, 0.145]",second,TA
