symbol,start_date,end_date,actual_frequencies,digit_type,target
AIUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.3122923588039867, 0.14285714285714285, 0.12624584717607973, 0.0664451827242525, 0.08305647840531562, 0.08970099667774087, 0.05647840531561462, 0.06976744186046512, 0.053156146179401995]",first,TA
AIUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.08305647840531562, 0.11295681063122924, 0.132890365448505, 0.12624584717607973, 0.11627906976744186, 0.11627906976744186, 0.09302325581395349, 0.06976744186046512, 0.06976744186046512, 0.07973421926910298]",second,TA
AIUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.28313671061762663, 0.1450381679389313, 0.12074947952810548, 0.10478834142956281, 0.08743927827897294, 0.08605135322692574, 0.06939625260235947, 0.05412907702984039, 0.049271339347675226]",first,TA
AIUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.11727966689798751, 0.10340041637751561, 0.10964607911172797, 0.10964607911172797, 0.09299097848716169, 0.09715475364330327, 0.09854267869535045, 0.09507286606523248, 0.0784177654406662, 0.09784871616932686]",second,TA
AIUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.28036086051353226, 0.18112421929215822, 0.1450381679389313, 0.09576682859125607, 0.09784871616932686, 0.05968077723802915, 0.04510756419153366, 0.05343511450381679, 0.041637751561415685]",first,TA
AIUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.12213740458015267, 0.12213740458015267, 0.10201249132546843, 0.10756419153365718, 0.0922970159611381, 0.09784871616932686, 0.09299097848716169, 0.09784871616932686, 0.07564191533657183, 0.08952116585704371]",second,TA
AIUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.31158917418459403, 0.1825121443442054, 0.1179736294240111, 0.10340041637751561, 0.07494795281054822, 0.062456627342123525, 0.04996530187369882, 0.0527411519777932, 0.04441360166551006]",first,TA
AIUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.11727966689798751, 0.1179736294240111, 0.11172796668979876, 0.10687022900763359, 0.10687022900763359, 0.09576682859125607, 0.09646079111727966, 0.09715475364330327, 0.07286606523247745, 0.07702984038861901]",second,TA
AIUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.29285218598195695, 0.14087439278278974, 0.11589174184594032, 0.1040943789035392, 0.09299097848716169, 0.07078417765440666, 0.07356002775850104, 0.05412907702984039, 0.054823039555863984]",first,TA
AIUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.13462873004857737, 0.11589174184594032, 0.11242192921582235, 0.08605135322692574, 0.09090909090909091, 0.08882720333102012, 0.10131852879944483, 0.10895211658570438, 0.08258154059680778, 0.0784177654406662]",second,TA
