symbol,start_date,end_date,actual_frequencies,digit_type,target
BALUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.3312302839116719, 0.19794952681388012, 0.09384858044164038, 0.10094637223974763, 0.083596214511041, 0.055993690851735015, 0.05362776025236593, 0.0473186119873817, 0.03548895899053628]",first,TA
BALUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.10804416403785488, 0.11987381703470032, 0.12460567823343849, 0.09936908517350158, 0.0946372239747634, 0.1056782334384858, 0.0804416403785489, 0.08280757097791798, 0.07255520504731862, 0.11198738170347003]",second,TA
BALUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.31784660766961653, 0.1696165191740413, 0.10103244837758112, 0.09734513274336283, 0.08849557522123894, 0.06342182890855458, 0.06268436578171091, 0.0471976401179941, 0.05235988200589971]",first,TA
BALUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.13274336283185842, 0.12094395280235988, 0.11283185840707964, 0.10766961651917405, 0.09513274336283185, 0.09882005899705015, 0.084070796460177, 0.08923303834808259, 0.07300884955752213, 0.0855457227138643]",second,TA
BALUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.31165741475019826, 0.17842981760507534, 0.11022997620935765, 0.09199048374306107, 0.07692307692307693, 0.07850911974623315, 0.06740681998413957, 0.05075337034099921, 0.03409992069785884]",first,TA
BALUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.11657414750198256, 0.12846946867565423, 0.10467882632831087, 0.09595559080095163, 0.11657414750198256, 0.1007137192704203, 0.09119746233148295, 0.08326724821570182, 0.0753370340999207, 0.08723235527359238]",second,TA
BALUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.31058282208588955, 0.18711656441717792, 0.10506134969325154, 0.09662576687116564, 0.07975460122699386, 0.06365030674846625, 0.06134969325153374, 0.04141104294478527, 0.054447852760736194]",first,TA
BALUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.14033742331288343, 0.12653374233128833, 0.10429447852760736, 0.08205521472392638, 0.08128834355828221, 0.09815950920245399, 0.08205521472392638, 0.1004601226993865, 0.10199386503067484, 0.08282208588957055]",second,TA
BALUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.330173775671406, 0.1721958925750395, 0.10347551342812006, 0.08530805687203792, 0.08925750394944708, 0.061611374407582936, 0.05292259083728278, 0.052132701421800945, 0.05292259083728278]",first,TA
BALUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.11690363349131122, 0.11611374407582939, 0.11453396524486571, 0.10110584518167456, 0.09320695102685624, 0.0947867298578199, 0.07977883096366509, 0.08056872037914692, 0.09083728278041074, 0.11216429699842022]",second,TA
BALUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.3150087260034904, 0.1518324607329843, 0.11169284467713787, 0.10645724258289703, 0.08289703315881326, 0.07155322862129145, 0.05410122164048865, 0.05410122164048865, 0.05235602094240838]",first,TA
