symbol,start_date,end_date,actual_frequencies,digit_type,target
BIFIUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.28342245989304815, 0.19358288770053475, 0.13796791443850268, 0.09839572192513368, 0.0855614973262032, 0.057754010695187166, 0.045989304812834225, 0.052406417112299465, 0.044919786096256686]",first,TA
BIFIUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.13155080213903744, 0.09197860962566845, 0.09411764705882353, 0.10160427807486631, 0.10481283422459893, 0.08877005347593583, 0.07807486631016043, 0.07593582887700535, 0.08342245989304813, 0.1497326203208556]",second,TA
BIFIUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.22766884531590414, 0.19389978213507625, 0.13507625272331156, 0.11655773420479303, 0.10130718954248366, 0.06318082788671024, 0.06318082788671024, 0.037037037037037035, 0.06209150326797386]",first,TA
BIFIUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.22875816993464052, 0.11655773420479303, 0.0915032679738562, 0.09259259259259259, 0.0915032679738562, 0.0718954248366013, 0.05773420479302832, 0.06427015250544663, 0.07407407407407407, 0.1111111111111111]",second,TA
BIFIUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.304643261608154, 0.17667044167610418, 0.1392978482446206, 0.09739524348810873, 0.08380520951302378, 0.05096262740656852, 0.052095130237825596, 0.044167610419026046, 0.05096262740656852]",first,TA
BIFIUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.20838052095130238, 0.12117780294450736, 0.1143827859569649, 0.07814269535673839, 0.09626274065685164, 0.08946772366930918, 0.08040770101925254, 0.061155152887882216, 0.07134767836919592, 0.07927519818799547]",second,TA
BIFIUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.2732696897374702, 0.15513126491646778, 0.13961813842482101, 0.09427207637231504, 0.10739856801909307, 0.08472553699284009, 0.05608591885441527, 0.03579952267303103, 0.05369928400954654]",first,TA
BIFIUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.13842482100238662, 0.10381861575178998, 0.09307875894988067, 0.07637231503579953, 0.07875894988066826, 0.08591885441527446, 0.09069212410501193, 0.09427207637231504, 0.10978520286396182, 0.1288782816229117]",second,TA
BIFIUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.2716049382716049, 0.19204389574759945, 0.17146776406035666, 0.0850480109739369, 0.08367626886145405, 0.06172839506172839, 0.053497942386831275, 0.04252400548696845, 0.038408779149519894]",first,TA
BIFIUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.11248285322359397, 0.102880658436214, 0.0877914951989026, 0.08916323731138547, 0.07270233196159122, 0.07544581618655692, 0.07544581618655692, 0.11248285322359397, 0.13443072702331962, 0.13717421124828533]",second,TA
BIFIUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.3015647226173542, 0.14935988620199148, 0.14082503556187767, 0.10241820768136557, 0.10384068278805121, 0.06116642958748222, 0.044096728307254626, 0.04836415362731152, 0.04836415362731152]",first,TA
BIFIUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.11948790896159317, 0.09103840682788052, 0.09815078236130868, 0.08819345661450925, 0.09246088193456614, 0.09957325746799431, 0.07396870554765292, 0.08250355618776671, 0.13513513513513514, 0.11948790896159317]",second,TA
BIFIUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.2810810810810811, 0.19054054054054054, 0.12702702702702703, 0.11351351351351352, 0.10405405405405406, 0.05945945945945946, 0.0445945945945946, 0.031081081081081083, 0.04864864864864865]",first,TA
BIFIUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.09864864864864865, 0.08513513513513514, 0.0945945945945946, 0.09864864864864865, 0.07432432432432433, 0.07837837837837838, 0.07972972972972973, 0.09864864864864865, 0.13648648648648648, 0.1554054054054054]",second,TA
BIFIUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.29476248477466505, 0.22533495736906212, 0.10475030450669914, 0.10353227771010962, 0.06455542021924482, 0.0682095006090134, 0.047503045066991476, 0.05115712545676005, 0.040194884287454324]",first,TA
BIFIUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.11084043848964677, 0.08526187576126674, 0.08038976857490865, 0.10353227771010962, 0.09135200974421437, 0.0730816077953715, 0.08647990255785627, 0.12911084043848964, 0.13763702801461633, 0.1023142509135201]",second,TA
BIFIUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.28743961352657005, 0.16666666666666666, 0.13647342995169082, 0.10265700483091787, 0.10144927536231885, 0.06521739130434782, 0.05676328502415459, 0.036231884057971016, 0.04710144927536232]",first,TA
BIFIUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.10628019323671498, 0.10748792270531402, 0.11231884057971014, 0.0966183574879227, 0.09178743961352658, 0.08695652173913043, 0.0929951690821256, 0.10869565217391304, 0.11352657004830918, 0.08333333333333333]",second,TA
BIFIUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.2777777777777778, 0.20202020202020202, 0.10353535353535354, 0.09217171717171717, 0.09848484848484848, 0.07954545454545454, 0.054292929292929296, 0.050505050505050504, 0.041666666666666664]",first,TA
BIFIUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.08712121212121213, 0.08964646464646464, 0.09848484848484848, 0.07575757575757576, 0.10353535353535354, 0.09848484848484848, 0.09848484848484848, 0.1452020202020202, 0.1148989898989899, 0.08838383838383838]",second,TA
BIFIUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.28923076923076924, 0.18871794871794872, 0.11487179487179487, 0.08923076923076922, 0.09538461538461539, 0.06871794871794872, 0.050256410256410255, 0.046153846153846156, 0.057435897435897436]",first,TA
