symbol,start_date,end_date,actual_frequencies,digit_type,target
CVXUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.3294375456537619, 0.1745799853907962, 0.12636961285609935, 0.07815924032140248, 0.07669831994156319, 0.06281957633308985, 0.05551497443389335, 0.05113221329437546, 0.045288531775018265]",first,TA
CVXUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.1197954711468225, 0.12856099342585828, 0.10591672753834916, 0.10810810810810811, 0.10591672753834916, 0.08327246165084003, 0.08984660336011688, 0.07304601899196493, 0.09422936449963477, 0.09130752373995617]",second,TA
CVXUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.31426332288401254, 0.16927899686520376, 0.11990595611285267, 0.09090909090909091, 0.08855799373040753, 0.06661442006269593, 0.054075235109717866, 0.05172413793103448, 0.04467084639498432]",first,TA
CVXUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.12774294670846395, 0.10736677115987461, 0.10893416927899686, 0.09717868338557993, 0.09404388714733543, 0.09639498432601881, 0.08855799373040753, 0.07445141065830721, 0.09169278996865204, 0.11363636363636363]",second,TA
CVXUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.3130769230769231, 0.17692307692307693, 0.11846153846153847, 0.10846153846153846, 0.07615384615384616, 0.06307692307692307, 0.04923076923076923, 0.054615384615384614, 0.04]",first,TA
CVXUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.12153846153846154, 0.12307692307692308, 0.10307692307692308, 0.09692307692307692, 0.09846153846153846, 0.08615384615384615, 0.10230769230769231, 0.09, 0.08076923076923077, 0.09769230769230769]",second,TA
CVXUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.3081570996978852, 0.1623867069486405, 0.14123867069486404, 0.11102719033232629, 0.0755287009063444, 0.06722054380664652, 0.054380664652567974, 0.03851963746223565, 0.04154078549848943]",first,TA
CVXUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.1163141993957704, 0.11933534743202417, 0.13293051359516617, 0.09214501510574018, 0.08610271903323263, 0.09063444108761329, 0.0770392749244713, 0.11102719033232629, 0.08383685800604229, 0.09063444108761329]",second,TA
CVXUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.3076923076923077, 0.18803418803418803, 0.12393162393162394, 0.09145299145299145, 0.08888888888888889, 0.062393162393162394, 0.05128205128205128, 0.04786324786324787, 0.038461538461538464]",first,TA
CVXUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.12478632478632479, 0.11282051282051282, 0.13162393162393163, 0.09829059829059829, 0.07777777777777778, 0.09316239316239316, 0.07606837606837606, 0.08803418803418804, 0.09401709401709402, 0.10341880341880341]",second,TA
CVXUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.2992056487202118, 0.1703442188879082, 0.13062665489849956, 0.08914386584289496, 0.11562224183583407, 0.05648720211827008, 0.05736981465136805, 0.04324801412180053, 0.03795233892321271]",first,TA
CVXUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.11827007943512798, 0.12797881729920565, 0.12268314210061783, 0.09885260370697264, 0.07678729037952339, 0.08031774051191527, 0.08914386584289496, 0.08737864077669903, 0.09620476610767872, 0.10238305383936452]",second,TA
CVXUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.337890625, 0.1767578125, 0.119140625, 0.0869140625, 0.0693359375, 0.0751953125, 0.0439453125, 0.0419921875, 0.048828125]",first,TA
CVXUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.123046875, 0.11328125, 0.126953125, 0.0908203125, 0.087890625, 0.0771484375, 0.076171875, 0.0908203125, 0.09765625, 0.1162109375]",second,TA
CVXUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.30462519936204147, 0.1467304625199362, 0.12121212121212122, 0.09888357256778309, 0.09330143540669857, 0.07256778309409888, 0.06299840510366826, 0.05661881977671451, 0.0430622009569378]",first,TA
CVXUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.12360446570972887, 0.11244019138755981, 0.11004784688995216, 0.10127591706539076, 0.09250398724082935, 0.09728867623604466, 0.08054226475279107, 0.09888357256778309, 0.09409888357256778, 0.08931419457735247]",second,TA
CVXUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.30434782608695654, 0.14407502131287298, 0.13384484228473997, 0.10400682011935208, 0.0886615515771526, 0.06990622335890878, 0.05456095481670929, 0.04603580562659847, 0.05456095481670929]",first,TA
CVXUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.12190963341858482, 0.11082693947144075, 0.11935208866155157, 0.10315430520034101, 0.10485933503836317, 0.08013640238704177, 0.07502131287297528, 0.08098891730605286, 0.08269394714407502, 0.12105711849957375]",second,TA
CVXUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.294067067927773, 0.1711092003439381, 0.1418744625967326, 0.09200343938091143, 0.09286328460877043, 0.06534823731728288, 0.052450558899398106, 0.04557179707652623, 0.04471195184866724]",first,TA
CVXUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.10060189165950129, 0.12553740326741186, 0.12123817712811694, 0.10490111779879621, 0.09716251074806535, 0.07910576096302666, 0.08770421324161651, 0.08598452278589853, 0.09286328460877043, 0.10490111779879621]",second,TA
CVXUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.27856025039123633, 0.16118935837245696, 0.14241001564945227, 0.10172143974960876, 0.09154929577464789, 0.07668231611893583, 0.06651017214397496, 0.041471048513302036, 0.03990610328638498]",first,TA
CVXUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.1322378716744914, 0.10485133020344288, 0.11267605633802817, 0.09859154929577464, 0.08763693270735524, 0.1056338028169014, 0.09389671361502347, 0.08841940532081377, 0.08450704225352113, 0.09154929577464789]",second,TA
CVXUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.30368098159509205, 0.1495398773006135, 0.13190184049079753, 0.09202453987730061, 0.09202453987730061, 0.06978527607361963, 0.06365030674846625, 0.049079754601226995, 0.04831288343558282]",first,TA
CVXUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.12960122699386503, 0.11886503067484662, 0.12116564417177914, 0.09892638036809816, 0.10736196319018405, 0.08205521472392638, 0.08819018404907976, 0.08205521472392638, 0.07822085889570553, 0.09355828220858896]",second,TA
CVXUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.3046701260192735, 0.17197924388435878, 0.1497405485544848, 0.09266123054114159, 0.07116382505559674, 0.061527057079318014, 0.04744255003706449, 0.05707931801334322, 0.04373610081541883]",first,TA
CVXUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.1430689399555226, 0.12083024462564863, 0.10155670867309118, 0.10526315789473684, 0.09414381022979985, 0.08524833209785027, 0.0748702742772424, 0.08450704225352113, 0.09117865085248332, 0.09933283914010378]",second,TA
CVXUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.30190311418685123, 0.15051903114186851, 0.14619377162629757, 0.092560553633218, 0.09169550173010381, 0.07785467128027682, 0.05709342560553633, 0.03200692041522491, 0.050173010380622836]",first,TA
CVXUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.11591695501730104, 0.1185121107266436, 0.11072664359861592, 0.10294117647058823, 0.10034602076124567, 0.08391003460207612, 0.08737024221453288, 0.08304498269896193, 0.10034602076124567, 0.09688581314878893]",second,TA
CVXUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.29346904156064463, 0.1475826972010178, 0.11959287531806616, 0.08821034775233248, 0.11280746395250212, 0.08142493638676845, 0.06022052586938083, 0.04580152671755725, 0.05089058524173028]",first,TA
CVXUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.14164546225614927, 0.10941475826972011, 0.12044105173876166, 0.10008481764206956, 0.09329940627650551, 0.0916030534351145, 0.0916030534351145, 0.08481764206955046, 0.06785411365564037, 0.09923664122137404]",second,TA
CVXUSDT,2024-01-16-00:00,2024-01-17-00:00,"[0.27645611156685806, 0.18949958982772763, 0.13371616078753076, 0.09844134536505332, 0.09269893355209188, 0.07054963084495489, 0.05578342904019688, 0.04183757178014766, 0.04101722723543889]",first,TA
CVXUSDT,2024-01-16-00:00,2024-01-17-00:00,"[0.16324856439704677, 0.1279737489745693, 0.09844134536505332, 0.10008203445447088, 0.09023789991796555, 0.0771123872026251, 0.08285479901558655, 0.08941755537325677, 0.07629204265791632, 0.09433962264150944]",second,TA
CVXUSDT,2024-01-17-00:00,2024-01-18-00:00,"[0.2804232804232804, 0.16313932980599646, 0.15696649029982362, 0.09435626102292768, 0.08465608465608465, 0.07671957671957672, 0.06084656084656084, 0.04497354497354497, 0.03791887125220458]",first,TA
CVXUSDT,2024-01-17-00:00,2024-01-18-00:00,"[0.1657848324514991, 0.10758377425044091, 0.11904761904761904, 0.09523809523809523, 0.09964726631393298, 0.08112874779541446, 0.082010582010582, 0.07407407407407407, 0.08641975308641975, 0.0890652557319224]",second,TA
CVXUSDT,2024-01-18-00:00,2024-01-19-00:00,"[0.27718960538979787, 0.1693936477382098, 0.14051973051010588, 0.09239653512993262, 0.10779595765158806, 0.08180943214629452, 0.04234841193455245, 0.04619826756496631, 0.04234841193455245]",first,TA
