symbol,start_date,end_date,actual_frequencies,digit_type,target
IOTXUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.31508771929824564, 0.18666666666666668, 0.14526315789473684, 0.0863157894736842, 0.07929824561403509, 0.056842105263157895, 0.037894736842105266, 0.04631578947368421, 0.04631578947368421]",first,TA
IOTXUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.13333333333333333, 0.1080701754385965, 0.11368421052631579, 0.10596491228070175, 0.10245614035087719, 0.09543859649122807, 0.08421052631578947, 0.08982456140350877, 0.08280701754385965, 0.08421052631578947]",second,TA
IOTXUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.2857142857142857, 0.1867595818815331, 0.13101045296167246, 0.1059233449477352, 0.0794425087108014, 0.06829268292682927, 0.05574912891986063, 0.0445993031358885, 0.04250871080139373]",first,TA
IOTXUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.13310104529616726, 0.12055749128919861, 0.11428571428571428, 0.08641114982578398, 0.09965156794425087, 0.09268292682926829, 0.10801393728222997, 0.08153310104529617, 0.08780487804878048, 0.07595818815331011]",second,TA
IOTXUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.2988103568929321, 0.16794961511546536, 0.14135759272218335, 0.09517144856543037, 0.08467459762071379, 0.06717984604618614, 0.0496850944716585, 0.04828551434569629, 0.04688593421973408]",first,TA
IOTXUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.11406578026592022, 0.1245626312106368, 0.12176347095871239, 0.09237228831350595, 0.10286913925822254, 0.10076976906927922, 0.07767669699090272, 0.08887333799860042, 0.0986703988803359, 0.07837648705388384]",second,TA
IOTXUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.28342618384401114, 0.17618384401114207, 0.13370473537604458, 0.10027855153203342, 0.08495821727019498, 0.06963788300835655, 0.054317548746518104, 0.05013927576601671, 0.04735376044568245]",first,TA
IOTXUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.12256267409470752, 0.11977715877437325, 0.12116991643454039, 0.10793871866295264, 0.0766016713091922, 0.10724233983286909, 0.08913649025069638, 0.08983286908077995, 0.07729805013927576, 0.08844011142061281]",second,TA
IOTXUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.31254379817799577, 0.1730903994393833, 0.12683952347582342, 0.0889978976874562, 0.08269096005606166, 0.07778556412053259, 0.06166783461807989, 0.03854239663629993, 0.0378416257883672]",first,TA
IOTXUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.12824106517168885, 0.11212333566923616, 0.11142256482130343, 0.10021023125437982, 0.10371408549404344, 0.08969866853538892, 0.08969866853538892, 0.09950946040644709, 0.07638402242466713, 0.0889978976874562]",second,TA
IOTXUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.30027932960893855, 0.17737430167597765, 0.13687150837988826, 0.08170391061452514, 0.07751396648044692, 0.07751396648044692, 0.061452513966480445, 0.03840782122905028, 0.04888268156424581]",first,TA
IOTXUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.11592178770949721, 0.1270949720670391, 0.11592178770949721, 0.08659217877094973, 0.09497206703910614, 0.09986033519553073, 0.0935754189944134, 0.0935754189944134, 0.08519553072625698, 0.08729050279329609]",second,TA
IOTXUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.2896797153024911, 0.17580071174377224, 0.12597864768683273, 0.08967971530249111, 0.08540925266903915, 0.06405693950177936, 0.06690391459074733, 0.05195729537366548, 0.050533807829181494]",first,TA
IOTXUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.1202846975088968, 0.10391459074733096, 0.12384341637010676, 0.10391459074733096, 0.09679715302491103, 0.09181494661921709, 0.09537366548042704, 0.0911032028469751, 0.09252669039145907, 0.0804270462633452]",second,TA
IOTXUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.32147937411095306, 0.18705547652916074, 0.10881934566145092, 0.09246088193456614, 0.06827880512091039, 0.06401137980085349, 0.06827880512091039, 0.04694167852062589, 0.04267425320056899]",first,TA
IOTXUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.1166429587482219, 0.11024182076813656, 0.11735419630156473, 0.10099573257467995, 0.09886201991465149, 0.09886201991465149, 0.11095305832147938, 0.08534850640113797, 0.08036984352773827, 0.08036984352773827]",second,TA
IOTXUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.30656424581005587, 0.15223463687150837, 0.13966480446927373, 0.0893854748603352, 0.0782122905027933, 0.07541899441340782, 0.061452513966480445, 0.0446927374301676, 0.052374301675977654]",first,TA
IOTXUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.11592178770949721, 0.1319832402234637, 0.125, 0.11243016759776536, 0.10125698324022346, 0.08589385474860335, 0.08729050279329609, 0.07751396648044692, 0.07541899441340782, 0.08729050279329609]",second,TA
IOTXUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.30303030303030304, 0.17829457364341086, 0.11627906976744186, 0.09795630725863284, 0.07610993657505286, 0.06906272022551092, 0.05708245243128964, 0.052854122621564484, 0.04933051444679352]",first,TA
IOTXUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.12191684284707541, 0.11627906976744186, 0.12121212121212122, 0.11486962649753348, 0.10077519379844961, 0.10359408033826638, 0.09090909090909091, 0.07963354474982381, 0.07329105003523609, 0.07751937984496124]",second,TA
IOTXUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.2912891986062718, 0.18397212543554006, 0.13310104529616726, 0.09407665505226481, 0.0710801393728223, 0.06411149825783972, 0.0710801393728223, 0.045993031358885016, 0.04529616724738676]",first,TA
IOTXUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.1254355400696864, 0.10034843205574913, 0.11219512195121951, 0.10940766550522649, 0.10662020905923345, 0.09895470383275261, 0.08780487804878048, 0.09128919860627177, 0.07595818815331011, 0.09198606271777003]",second,TA
IOTXUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.31450488145048816, 0.18758716875871687, 0.1101813110181311, 0.11297071129707113, 0.07182705718270571, 0.060669456066945605, 0.04881450488145049, 0.04951185495118549, 0.043933054393305436]",first,TA
IOTXUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.1304044630404463, 0.10808926080892609, 0.11157601115760112, 0.11645746164574616, 0.10948396094839609, 0.0899581589958159, 0.099721059972106, 0.08926080892608089, 0.07043235704323571, 0.07461645746164575]",second,TA
IOTXUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.30964109781843774, 0.17382125263898662, 0.14567206192821958, 0.09078114004222379, 0.07248416608022519, 0.06403940886699508, 0.04292751583391977, 0.05629838142153413, 0.04433497536945813]",first,TA
IOTXUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.09570724841660802, 0.10415200562983815, 0.11330049261083744, 0.10767065446868403, 0.10485573539760731, 0.09852216748768473, 0.10133708655876143, 0.09500351864883885, 0.09007741027445461, 0.08937368050668543]",second,TA
IOTXUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.3184759166067577, 0.16606757728253055, 0.11502516175413371, 0.07979870596693027, 0.08051761322789361, 0.07260963335729691, 0.06182602444284687, 0.051042415528396834, 0.054636951833213515]",first,TA
IOTXUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.10783608914450037, 0.11071171818835371, 0.11286843997124371, 0.098490294751977, 0.10783608914450037, 0.10711718188353703, 0.08986340762041696, 0.07260963335729691, 0.10927390366642703, 0.08339324227174695]",second,TA
IOTXUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.3350035790980673, 0.14316392269148176, 0.10880458124552612, 0.11095204008589836, 0.07516105941302792, 0.06442376521116679, 0.06156048675733715, 0.0572655690765927, 0.043664996420901936]",first,TA
IOTXUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.11596277738010022, 0.1073729420186113, 0.11023622047244094, 0.11023622047244094, 0.10450966356478167, 0.10164638511095204, 0.08088761632068718, 0.10880458124552612, 0.07802433786685756, 0.082319255547602]",second,TA
IOTXUSDT,2024-01-16-00:00,2024-01-17-00:00,"[0.3152639087018545, 0.1818830242510699, 0.13480741797432239, 0.07845934379457917, 0.06990014265335236, 0.06990014265335236, 0.05420827389443652, 0.05420827389443652, 0.04136947218259629]",first,TA
IOTXUSDT,2024-01-16-00:00,2024-01-17-00:00,"[0.13052781740370897, 0.10485021398002853, 0.10556348074179743, 0.10057061340941512, 0.10485021398002853, 0.10342368045649072, 0.0905848787446505, 0.10128388017118402, 0.07489300998573467, 0.08345221112696148]",second,TA
IOTXUSDT,2024-01-17-00:00,2024-01-18-00:00,"[0.3142857142857143, 0.17073170731707318, 0.12055749128919861, 0.10871080139372823, 0.08013937282229965, 0.07247386759581882, 0.05644599303135889, 0.03832752613240418, 0.03832752613240418]",first,TA
IOTXUSDT,2024-01-17-00:00,2024-01-18-00:00,"[0.11916376306620209, 0.11777003484320557, 0.110801393728223, 0.09407665505226481, 0.09128919860627177, 0.10104529616724739, 0.10313588850174216, 0.09547038327526132, 0.07874564459930314, 0.08850174216027874]",second,TA
IOTXUSDT,2024-01-18-00:00,2024-01-19-00:00,"[0.3243435060326473, 0.17388218594748048, 0.1242015613910575, 0.0858765081618169, 0.0830376153300213, 0.0631653655074521, 0.053229240596167494, 0.0482611781405252, 0.0440028388928318]",first,TA
IOTXUSDT,2024-01-18-00:00,2024-01-19-00:00,"[0.11994322214336409, 0.11994322214336409, 0.12916962384669978, 0.10858765081618169, 0.0830376153300213, 0.11284599006387509, 0.085166784953868, 0.08374733853797019, 0.0830376153300213, 0.0745209368346345]",second,TA
