symbol,start_date,end_date,actual_frequencies,digit_type,target
IOUSDT,2024-06-11-00:00,2024-06-12-00:00,"[0.281767955801105, 0.16574585635359115, 0.1878453038674033, 0.11049723756906077, 0.09944751381215469, 0.055248618784530384, 0.027624309392265192, 0.049723756906077346, 0.022099447513812154]",first,TA
IOUSDT,2024-06-11-00:00,2024-06-12-00:00,"[0.09392265193370165, 0.1712707182320442, 0.08839779005524862, 0.12154696132596685, 0.09944751381215469, 0.06629834254143646, 0.0718232044198895, 0.07734806629834254, 0.11049723756906077, 0.09944751381215469]",second,TA
IOUSDT,2024-06-12-00:00,2024-06-13-00:00,"[0.3414295628036086, 0.17487855655794587, 0.10478834142956281, 0.07564191533657183, 0.0784177654406662, 0.062456627342123525, 0.06037473976405274, 0.05065926439972242, 0.05135322692574601]",first,TA
IOUSDT,2024-06-12-00:00,2024-06-13-00:00,"[0.1297709923664122, 0.12491325468424705, 0.11866759195003469, 0.11172796668979876, 0.0922970159611381, 0.08119361554476058, 0.07633587786259542, 0.0922970159611381, 0.08674531575294935, 0.08605135322692574]",second,TA
IOUSDT,2024-06-13-00:00,2024-06-14-00:00,"[0.2866065232477446, 0.22831367106176267, 0.1582234559333796, 0.09993060374739764, 0.06870229007633588, 0.048577376821651634, 0.040249826509368494, 0.034004163775156145, 0.03539208882720333]",first,TA
IOUSDT,2024-06-13-00:00,2024-06-14-00:00,"[0.12144344205412907, 0.12352532963219987, 0.09854267869535045, 0.09923664122137404, 0.08882720333102012, 0.10340041637751561, 0.09715475364330327, 0.08258154059680778, 0.10201249132546843, 0.08327550312283137]",second,TA
IOUSDT,2024-06-14-00:00,2024-06-15-00:00,"[0.3691880638445524, 0.16724496877168632, 0.09576682859125607, 0.08327550312283137, 0.05690492713393477, 0.05898681471200555, 0.0652324774462179, 0.05759888965995836, 0.04580152671755725]",first,TA
IOUSDT,2024-06-14-00:00,2024-06-15-00:00,"[0.13671061762664816, 0.10895211658570438, 0.11658570437196392, 0.10340041637751561, 0.08396946564885496, 0.10062456627342123, 0.09021512838306732, 0.0916030534351145, 0.08049965301873699, 0.08743927827897294]",second,TA
IOUSDT,2024-06-15-00:00,2024-06-16-00:00,"[0.32130464954892435, 0.1589174184594032, 0.10895211658570438, 0.08119361554476058, 0.08327550312283137, 0.07286606523247745, 0.07494795281054822, 0.05135322692574601, 0.04718945176960444]",first,TA
IOUSDT,2024-06-15-00:00,2024-06-16-00:00,"[0.11311589174184594, 0.13462873004857737, 0.10131852879944483, 0.09923664122137404, 0.10687022900763359, 0.08535739070090215, 0.0922970159611381, 0.09784871616932686, 0.08605135322692574, 0.08327550312283137]",second,TA
IOUSDT,2024-06-16-00:00,2024-06-17-00:00,"[0.29840388619014574, 0.16308119361554477, 0.1297709923664122, 0.0916030534351145, 0.08674531575294935, 0.07702984038861901, 0.047883414295628035, 0.055517002081887576, 0.04996530187369882]",first,TA
IOUSDT,2024-06-16-00:00,2024-06-17-00:00,"[0.13324080499653018, 0.1054823039555864, 0.10201249132546843, 0.0922970159611381, 0.10687022900763359, 0.0916030534351145, 0.09021512838306732, 0.08813324080499653, 0.10478834142956281, 0.08535739070090215]",second,TA
IOUSDT,2024-06-17-00:00,2024-06-18-00:00,"[0.2886884108258154, 0.1443442054129077, 0.10756419153365718, 0.10687022900763359, 0.0916030534351145, 0.08466342817487855, 0.06731436502428868, 0.05759888965995836, 0.05135322692574601]",first,TA
IOUSDT,2024-06-17-00:00,2024-06-18-00:00,"[0.11658570437196392, 0.12352532963219987, 0.13324080499653018, 0.09784871616932686, 0.08605135322692574, 0.09507286606523248, 0.09993060374739764, 0.08188757807078417, 0.08396946564885496, 0.08188757807078417]",second,TA
IOUSDT,2024-06-18-00:00,2024-06-19-00:00,"[0.25746009715475365, 0.16585704371963914, 0.12560721721027066, 0.10131852879944483, 0.11172796668979876, 0.0777238029146426, 0.07009021512838307, 0.04510756419153366, 0.04510756419153366]",first,TA
IOUSDT,2024-06-18-00:00,2024-06-19-00:00,"[0.11866759195003469, 0.12768910478834142, 0.11034004163775156, 0.10270645385149202, 0.10895211658570438, 0.09715475364330327, 0.09299097848716169, 0.08605135322692574, 0.0791117279666898, 0.07633587786259542]",second,TA
IOUSDT,2024-06-19-00:00,2024-06-20-00:00,"[0.22553782095766828, 0.16516308119361556, 0.15197779319916724, 0.1179736294240111, 0.10270645385149202, 0.0798056904927134, 0.06731436502428868, 0.05065926439972242, 0.0388619014573213]",first,TA
IOUSDT,2024-06-19-00:00,2024-06-20-00:00,"[0.12838306731436502, 0.10756419153365718, 0.11450381679389313, 0.1179736294240111, 0.10617626648161, 0.09299097848716169, 0.10062456627342123, 0.07564191533657183, 0.08396946564885496, 0.07217210270645386]",second,TA
IOUSDT,2024-06-20-00:00,2024-06-21-00:00,"[0.28938237335183903, 0.17279666897987508, 0.1304649548924358, 0.11242192921582235, 0.07217210270645386, 0.0652324774462179, 0.05968077723802915, 0.046495489243580844, 0.05135322692574601]",first,TA
IOUSDT,2024-06-20-00:00,2024-06-21-00:00,"[0.11866759195003469, 0.11589174184594032, 0.11658570437196392, 0.10062456627342123, 0.08743927827897294, 0.10617626648161, 0.08605135322692574, 0.08535739070090215, 0.09993060374739764, 0.08327550312283137]",second,TA
IOUSDT,2024-06-21-00:00,2024-06-22-00:00,"[0.27133934767522555, 0.20471894517696043, 0.12491325468424705, 0.11519777931991672, 0.0798056904927134, 0.061068702290076333, 0.05759888965995836, 0.04371963913948647, 0.041637751561415685]",first,TA
IOUSDT,2024-06-21-00:00,2024-06-22-00:00,"[0.12144344205412907, 0.10617626648161, 0.11034004163775156, 0.09021512838306732, 0.09784871616932686, 0.10825815405968078, 0.10131852879944483, 0.08327550312283137, 0.08952116585704371, 0.0916030534351145]",second,TA
IOUSDT,2024-06-22-00:00,2024-06-23-00:00,"[0.3282442748091603, 0.17834836918806385, 0.11450381679389313, 0.09646079111727966, 0.07633587786259542, 0.0659264399722415, 0.049271339347675226, 0.04580152671755725, 0.04510756419153366]",first,TA
IOUSDT,2024-06-22-00:00,2024-06-23-00:00,"[0.12283136710617627, 0.1193615544760583, 0.11658570437196392, 0.09993060374739764, 0.10617626648161, 0.08952116585704371, 0.08327550312283137, 0.09437890353920889, 0.08952116585704371, 0.0784177654406662]",second,TA
IOUSDT,2024-06-23-00:00,2024-06-24-00:00,"[0.33657182512144346, 0.19569743233865372, 0.11242192921582235, 0.08188757807078417, 0.07286606523247745, 0.06176266481609993, 0.04233171408743928, 0.04233171408743928, 0.05412907702984039]",first,TA
IOUSDT,2024-06-23-00:00,2024-06-24-00:00,"[0.12699514226231784, 0.11658570437196392, 0.10895211658570438, 0.09646079111727966, 0.09299097848716169, 0.09993060374739764, 0.0922970159611381, 0.07494795281054822, 0.0922970159611381, 0.09854267869535045]",second,TA
IOUSDT,2024-06-24-00:00,2024-06-25-00:00,"[0.36433032616238725, 0.20471894517696043, 0.10617626648161, 0.07425399028452463, 0.0520471894517696, 0.0527411519777932, 0.05343511450381679, 0.05690492713393477, 0.03539208882720333]",first,TA
IOUSDT,2024-06-24-00:00,2024-06-25-00:00,"[0.1193615544760583, 0.11450381679389313, 0.11172796668979876, 0.10478834142956281, 0.09784871616932686, 0.1054823039555864, 0.09784871616932686, 0.08813324080499653, 0.08466342817487855, 0.07564191533657183]",second,TA
IOUSDT,2024-06-25-00:00,2024-06-26-00:00,"[0.34767522553782093, 0.1734906315058987, 0.10617626648161, 0.08466342817487855, 0.07425399028452463, 0.05898681471200555, 0.054823039555863984, 0.047883414295628035, 0.0520471894517696]",first,TA
IOUSDT,2024-06-25-00:00,2024-06-26-00:00,"[0.1311589174184594, 0.11380985426786953, 0.10756419153365718, 0.10062456627342123, 0.09437890353920889, 0.10478834142956281, 0.0936849410131853, 0.08882720333102012, 0.08396946564885496, 0.08119361554476058]",second,TA
IOUSDT,2024-06-26-00:00,2024-06-27-00:00,"[0.3240804996530187, 0.16863289382373353, 0.12699514226231784, 0.08952116585704371, 0.08119361554476058, 0.06037473976405274, 0.056210964607911175, 0.054823039555863984, 0.03816793893129771]",first,TA
IOUSDT,2024-06-26-00:00,2024-06-27-00:00,"[0.11727966689798751, 0.10687022900763359, 0.0916030534351145, 0.09437890353920889, 0.10201249132546843, 0.11242192921582235, 0.10131852879944483, 0.09576682859125607, 0.09993060374739764, 0.0784177654406662]",second,TA
IOUSDT,2024-06-27-00:00,2024-06-28-00:00,"[0.31228313671061764, 0.1734906315058987, 0.12283136710617627, 0.0916030534351145, 0.08466342817487855, 0.06939625260235947, 0.06037473976405274, 0.04718945176960444, 0.03816793893129771]",first,TA
IOUSDT,2024-06-27-00:00,2024-06-28-00:00,"[0.12491325468424705, 0.1179736294240111, 0.09715475364330327, 0.09437890353920889, 0.09923664122137404, 0.09299097848716169, 0.1040943789035392, 0.11034004163775156, 0.0798056904927134, 0.0791117279666898]",second,TA
IOUSDT,2024-06-28-00:00,2024-06-29-00:00,"[0.32130464954892435, 0.16655100624566274, 0.11589174184594032, 0.08466342817487855, 0.08396946564885496, 0.07356002775850104, 0.05829285218598196, 0.04996530187369882, 0.04580152671755725]",first,TA
IOUSDT,2024-06-28-00:00,2024-06-29-00:00,"[0.12560721721027066, 0.11866759195003469, 0.1179736294240111, 0.10131852879944483, 0.08674531575294935, 0.09784871616932686, 0.0916030534351145, 0.08813324080499653, 0.08327550312283137, 0.08882720333102012]",second,TA
IOUSDT,2024-06-29-00:00,2024-06-30-00:00,"[0.27966689798750866, 0.16516308119361556, 0.12560721721027066, 0.09854267869535045, 0.0791117279666898, 0.06800832755031229, 0.07217210270645386, 0.05968077723802915, 0.0520471894517696]",first,TA
IOUSDT,2024-06-29-00:00,2024-06-30-00:00,"[0.1193615544760583, 0.10756419153365718, 0.10270645385149202, 0.11172796668979876, 0.10131852879944483, 0.0916030534351145, 0.0916030534351145, 0.0936849410131853, 0.08327550312283137, 0.09715475364330327]",second,TA
IOUSDT,2024-06-30-00:00,2024-07-01-00:00,"[0.28521859819569745, 0.17904233171408743, 0.12283136710617627, 0.10131852879944483, 0.08327550312283137, 0.0777238029146426, 0.05829285218598196, 0.040249826509368494, 0.0520471894517696]",first,TA
IOUSDT,2024-06-30-00:00,2024-07-01-00:00,"[0.12421929215822346, 0.11658570437196392, 0.10687022900763359, 0.10756419153365718, 0.09646079111727966, 0.09784871616932686, 0.08813324080499653, 0.08882720333102012, 0.0791117279666898, 0.09437890353920889]",second,TA
IOUSDT,2024-07-01-00:00,2024-07-02-00:00,"[0.32130464954892435, 0.1693268563497571, 0.10895211658570438, 0.09021512838306732, 0.07286606523247745, 0.06870229007633588, 0.06870229007633588, 0.05065926439972242, 0.049271339347675226]",first,TA
IOUSDT,2024-07-01-00:00,2024-07-02-00:00,"[0.11311589174184594, 0.10340041637751561, 0.12283136710617627, 0.0922970159611381, 0.08952116585704371, 0.1054823039555864, 0.09923664122137404, 0.08743927827897294, 0.09576682859125607, 0.09090909090909091]",second,TA
IOUSDT,2024-07-02-00:00,2024-07-03-00:00,"[0.34420541290770296, 0.16516308119361556, 0.09923664122137404, 0.09021512838306732, 0.08813324080499653, 0.06453851492019431, 0.05690492713393477, 0.047883414295628035, 0.04371963913948647]",first,TA
IOUSDT,2024-07-02-00:00,2024-07-03-00:00,"[0.11866759195003469, 0.10201249132546843, 0.10964607911172797, 0.10478834142956281, 0.09715475364330327, 0.0916030534351145, 0.09299097848716169, 0.10478834142956281, 0.09576682859125607, 0.08258154059680778]",second,TA
IOUSDT,2024-07-03-00:00,2024-07-04-00:00,"[0.3428174878556558, 0.12838306731436502, 0.10825815405968078, 0.08605135322692574, 0.07286606523247745, 0.07702984038861901, 0.06453851492019431, 0.0652324774462179, 0.054823039555863984]",first,TA
IOUSDT,2024-07-03-00:00,2024-07-04-00:00,"[0.1179736294240111, 0.12144344205412907, 0.10062456627342123, 0.1054823039555864, 0.1040943789035392, 0.08535739070090215, 0.09784871616932686, 0.08396946564885496, 0.08882720333102012, 0.09437890353920889]",second,TA
IOUSDT,2024-07-04-00:00,2024-07-05-00:00,"[0.3046495489243581, 0.16377515614156835, 0.1040943789035392, 0.09854267869535045, 0.08396946564885496, 0.07147814018043026, 0.054823039555863984, 0.0652324774462179, 0.05343511450381679]",first,TA
IOUSDT,2024-07-04-00:00,2024-07-05-00:00,"[0.1297709923664122, 0.11380985426786953, 0.10270645385149202, 0.09576682859125607, 0.10895211658570438, 0.08396946564885496, 0.0936849410131853, 0.09784871616932686, 0.09021512838306732, 0.08327550312283137]",second,TA
IOUSDT,2024-07-05-00:00,2024-07-06-00:00,"[0.33448993754337264, 0.17487855655794587, 0.11380985426786953, 0.08258154059680778, 0.07425399028452463, 0.05343511450381679, 0.05968077723802915, 0.05690492713393477, 0.04996530187369882]",first,TA
IOUSDT,2024-07-05-00:00,2024-07-06-00:00,"[0.12768910478834142, 0.10895211658570438, 0.11034004163775156, 0.10895211658570438, 0.09090909090909091, 0.10062456627342123, 0.09576682859125607, 0.0936849410131853, 0.09021512838306732, 0.07286606523247745]",second,TA
IOUSDT,2024-07-06-00:00,2024-07-07-00:00,"[0.32685634975711314, 0.19014573213046496, 0.11519777931991672, 0.07564191533657183, 0.06453851492019431, 0.062456627342123525, 0.056210964607911175, 0.061068702290076333, 0.047883414295628035]",first,TA
IOUSDT,2024-07-06-00:00,2024-07-07-00:00,"[0.11380985426786953, 0.11242192921582235, 0.11103400416377515, 0.11172796668979876, 0.10340041637751561, 0.09854267869535045, 0.09576682859125607, 0.0784177654406662, 0.08813324080499653, 0.08674531575294935]",second,TA
IOUSDT,2024-07-07-00:00,2024-07-08-00:00,"[0.3275503122831367, 0.1963913948646773, 0.11658570437196392, 0.08119361554476058, 0.06731436502428868, 0.06453851492019431, 0.05690492713393477, 0.048577376821651634, 0.040943789035392086]",first,TA
IOUSDT,2024-07-07-00:00,2024-07-08-00:00,"[0.12074947952810548, 0.12213740458015267, 0.11727966689798751, 0.10478834142956281, 0.09646079111727966, 0.0922970159611381, 0.08674531575294935, 0.0916030534351145, 0.08605135322692574, 0.08188757807078417]",second,TA
IOUSDT,2024-07-08-00:00,2024-07-09-00:00,"[0.3136710617626648, 0.19153365718251214, 0.11242192921582235, 0.08674531575294935, 0.06939625260235947, 0.0659264399722415, 0.06176266481609993, 0.054823039555863984, 0.04371963913948647]",first,TA
IOUSDT,2024-07-08-00:00,2024-07-09-00:00,"[0.11242192921582235, 0.11380985426786953, 0.09715475364330327, 0.11658570437196392, 0.10895211658570438, 0.09715475364330327, 0.08882720333102012, 0.08605135322692574, 0.08466342817487855, 0.09437890353920889]",second,TA
IOUSDT,2024-07-09-00:00,2024-07-10-00:00,"[0.29909784871616935, 0.1845940319222762, 0.131852879944483, 0.09854267869535045, 0.07147814018043026, 0.05759888965995836, 0.06037473976405274, 0.04996530187369882, 0.046495489243580844]",first,TA
IOUSDT,2024-07-09-00:00,2024-07-10-00:00,"[0.11450381679389313, 0.12005551700208189, 0.11311589174184594, 0.10340041637751561, 0.09576682859125607, 0.08396946564885496, 0.09576682859125607, 0.08396946564885496, 0.09437890353920889, 0.09507286606523248]",second,TA
IOUSDT,2024-07-10-00:00,2024-07-11-00:00,"[0.3157529493407356, 0.17557251908396945, 0.10895211658570438, 0.08882720333102012, 0.08535739070090215, 0.06384455239417071, 0.05343511450381679, 0.056210964607911175, 0.0520471894517696]",first,TA
IOUSDT,2024-07-10-00:00,2024-07-11-00:00,"[0.12699514226231784, 0.10270645385149202, 0.10131852879944483, 0.10131852879944483, 0.1040943789035392, 0.09576682859125607, 0.08188757807078417, 0.10131852879944483, 0.09576682859125607, 0.08882720333102012]",second,TA
IOUSDT,2024-07-11-00:00,2024-07-12-00:00,"[0.28313671061762663, 0.17418459403192227, 0.12491325468424705, 0.10825815405968078, 0.07702984038861901, 0.06384455239417071, 0.06870229007633588, 0.05829285218598196, 0.041637751561415685]",first,TA
