symbol,start_date,end_date,actual_frequencies,digit_type,target
OPUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.26925746009715473, 0.15197779319916724, 0.12630117973629423, 0.10964607911172797, 0.09090909090909091, 0.09090909090909091, 0.05898681471200555, 0.05343511450381679, 0.048577376821651634]",first,TA
OPUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.11103400416377515, 0.12491325468424705, 0.1054823039555864, 0.0922970159611381, 0.08396946564885496, 0.10270645385149202, 0.08743927827897294, 0.10062456627342123, 0.0936849410131853, 0.09784871616932686]",second,TA
OPUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.28105482303955587, 0.16793893129770993, 0.1179736294240111, 0.09784871616932686, 0.09576682859125607, 0.06662040249826509, 0.06176266481609993, 0.05898681471200555, 0.0520471894517696]",first,TA
OPUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.131852879944483, 0.10756419153365718, 0.11172796668979876, 0.11103400416377515, 0.08466342817487855, 0.10201249132546843, 0.08882720333102012, 0.09854267869535045, 0.08396946564885496, 0.0798056904927134]",second,TA
OPUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.2921582234559334, 0.1554476058292852, 0.12421929215822346, 0.09923664122137404, 0.0936849410131853, 0.07356002775850104, 0.06453851492019431, 0.0520471894517696, 0.04510756419153366]",first,TA
OPUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.12213740458015267, 0.11866759195003469, 0.10201249132546843, 0.09854267869535045, 0.10617626648161, 0.08535739070090215, 0.10201249132546843, 0.08605135322692574, 0.10062456627342123, 0.0784177654406662]",second,TA
OPUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.263705759888966, 0.14295628036086053, 0.12768910478834142, 0.1054823039555864, 0.09715475364330327, 0.08258154059680778, 0.07356002775850104, 0.06453851492019431, 0.04233171408743928]",first,TA
OPUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.11172796668979876, 0.10895211658570438, 0.10478834142956281, 0.10062456627342123, 0.10270645385149202, 0.0922970159611381, 0.1054823039555864, 0.08952116585704371, 0.08674531575294935, 0.09715475364330327]",second,TA
OPUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.26162387231089523, 0.16516308119361556, 0.1339347675225538, 0.09715475364330327, 0.09854267869535045, 0.08605135322692574, 0.05759888965995836, 0.054823039555863984, 0.04510756419153366]",first,TA
OPUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.11727966689798751, 0.11727966689798751, 0.11034004163775156, 0.09507286606523248, 0.10201249132546843, 0.10478834142956281, 0.09021512838306732, 0.0791117279666898, 0.08882720333102012, 0.09507286606523248]",second,TA
OPUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.2963219986120749, 0.16863289382373353, 0.11866759195003469, 0.10340041637751561, 0.08882720333102012, 0.06315058986814712, 0.0652324774462179, 0.048577376821651634, 0.04718945176960444]",first,TA
OPUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.11034004163775156, 0.10617626648161, 0.12421929215822346, 0.09576682859125607, 0.10062456627342123, 0.09923664122137404, 0.1040943789035392, 0.08605135322692574, 0.08674531575294935, 0.08674531575294935]",second,TA
OPUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.3199167244968772, 0.19014573213046496, 0.1325468424705066, 0.11103400416377515, 0.07286606523247745, 0.05343511450381679, 0.047883414295628035, 0.040943789035392086, 0.031228313671061762]",first,TA
OPUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.1436502428868841, 0.0936849410131853, 0.1040943789035392, 0.09299097848716169, 0.0936849410131853, 0.1040943789035392, 0.10270645385149202, 0.09021512838306732, 0.08396946564885496, 0.09090909090909091]",second,TA
OPUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.28313671061762663, 0.16099930603747398, 0.13671061762664816, 0.10270645385149202, 0.08535739070090215, 0.06939625260235947, 0.06453851492019431, 0.05898681471200555, 0.03816793893129771]",first,TA
OPUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.12352532963219987, 0.10617626648161, 0.10825815405968078, 0.11866759195003469, 0.09715475364330327, 0.09437890353920889, 0.10895211658570438, 0.08258154059680778, 0.0916030534351145, 0.06870229007633588]",second,TA
OPUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.28383067314365024, 0.19014573213046496, 0.1297709923664122, 0.11034004163775156, 0.0784177654406662, 0.06800832755031229, 0.05412907702984039, 0.04718945176960444, 0.03816793893129771]",first,TA
OPUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.12283136710617627, 0.12560721721027066, 0.10825815405968078, 0.10687022900763359, 0.10340041637751561, 0.09299097848716169, 0.08327550312283137, 0.09715475364330327, 0.07702984038861901, 0.08258154059680778]",second,TA
OPUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.2970159611380985, 0.157529493407356, 0.13809854267869534, 0.09854267869535045, 0.0777238029146426, 0.06800832755031229, 0.056210964607911175, 0.0520471894517696, 0.054823039555863984]",first,TA
OPUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.1304649548924358, 0.11450381679389313, 0.10340041637751561, 0.09576682859125607, 0.1179736294240111, 0.08258154059680778, 0.08952116585704371, 0.08396946564885496, 0.09993060374739764, 0.08188757807078417]",second,TA
OPUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.30326162387231087, 0.16516308119361556, 0.11034004163775156, 0.08882720333102012, 0.08605135322692574, 0.07564191533657183, 0.07702984038861901, 0.04441360166551006, 0.049271339347675226]",first,TA
OPUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.131852879944483, 0.10895211658570438, 0.1179736294240111, 0.11519777931991672, 0.10270645385149202, 0.08813324080499653, 0.0922970159611381, 0.0784177654406662, 0.08258154059680778, 0.08188757807078417]",second,TA
OPUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.2532963219986121, 0.18112421929215822, 0.13324080499653018, 0.11380985426786953, 0.08188757807078417, 0.0784177654406662, 0.061068702290076333, 0.056210964607911175, 0.040943789035392086]",first,TA
OPUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.1304649548924358, 0.11311589174184594, 0.11519777931991672, 0.10201249132546843, 0.08743927827897294, 0.09715475364330327, 0.08813324080499653, 0.09507286606523248, 0.08813324080499653, 0.08327550312283137]",second,TA
OPUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.29354614850798055, 0.1839000693962526, 0.12213740458015267, 0.10340041637751561, 0.08327550312283137, 0.06939625260235947, 0.05343511450381679, 0.04510756419153366, 0.04580152671755725]",first,TA
OPUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.1054823039555864, 0.12421929215822346, 0.1040943789035392, 0.11172796668979876, 0.10201249132546843, 0.1054823039555864, 0.08674531575294935, 0.0922970159611381, 0.08605135322692574, 0.08188757807078417]",second,TA
