symbol,start_date,end_date,actual_frequencies,digit_type,target
ORDIUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.28105482303955587, 0.14850798056904926, 0.12074947952810548, 0.11727966689798751, 0.08466342817487855, 0.08605135322692574, 0.05343511450381679, 0.0520471894517696, 0.056210964607911175]",first,TA
ORDIUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.11866759195003469, 0.11242192921582235, 0.10062456627342123, 0.11103400416377515, 0.10340041637751561, 0.0922970159611381, 0.0936849410131853, 0.08188757807078417, 0.09021512838306732, 0.09576682859125607]",second,TA
ORDIUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.30811936155447606, 0.15336571825121442, 0.12421929215822346, 0.10131852879944483, 0.08258154059680778, 0.06870229007633588, 0.05898681471200555, 0.0527411519777932, 0.04996530187369882]",first,TA
ORDIUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.10895211658570438, 0.11589174184594032, 0.10756419153365718, 0.10062456627342123, 0.11311589174184594, 0.10201249132546843, 0.09715475364330327, 0.09090909090909091, 0.08674531575294935, 0.07702984038861901]",second,TA
ORDIUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.3303261623872311, 0.1443442054129077, 0.11380985426786953, 0.08743927827897294, 0.08674531575294935, 0.0659264399722415, 0.061068702290076333, 0.061068702290076333, 0.049271339347675226]",first,TA
ORDIUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.12699514226231784, 0.11589174184594032, 0.11172796668979876, 0.10340041637751561, 0.09437890353920889, 0.09507286606523248, 0.08396946564885496, 0.08674531575294935, 0.0916030534351145, 0.09021512838306732]",second,TA
ORDIUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.30811936155447606, 0.1589174184594032, 0.11450381679389313, 0.08743927827897294, 0.08396946564885496, 0.06800832755031229, 0.06939625260235947, 0.0659264399722415, 0.04371963913948647]",first,TA
ORDIUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.12352532963219987, 0.1193615544760583, 0.11103400416377515, 0.10895211658570438, 0.09507286606523248, 0.0916030534351145, 0.09299097848716169, 0.09715475364330327, 0.08674531575294935, 0.07356002775850104]",second,TA
ORDIUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.2886884108258154, 0.15405968077723803, 0.1450381679389313, 0.10201249132546843, 0.08258154059680778, 0.07078417765440666, 0.0652324774462179, 0.04996530187369882, 0.041637751561415685]",first,TA
ORDIUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.12560721721027066, 0.12352532963219987, 0.09784871616932686, 0.10617626648161, 0.11519777931991672, 0.09021512838306732, 0.08188757807078417, 0.08674531575294935, 0.0922970159611381, 0.08049965301873699]",second,TA
ORDIUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.28313671061762663, 0.16793893129770993, 0.12907702984038863, 0.09993060374739764, 0.09646079111727966, 0.06731436502428868, 0.055517002081887576, 0.05135322692574601, 0.049271339347675226]",first,TA
ORDIUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.12838306731436502, 0.12144344205412907, 0.10201249132546843, 0.10895211658570438, 0.09646079111727966, 0.09090909090909091, 0.09507286606523248, 0.08674531575294935, 0.08605135322692574, 0.08396946564885496]",second,TA
ORDIUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.2900763358778626, 0.16308119361554477, 0.12907702984038863, 0.09646079111727966, 0.08466342817487855, 0.06870229007633588, 0.06384455239417071, 0.054823039555863984, 0.049271339347675226]",first,TA
ORDIUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.12352532963219987, 0.11866759195003469, 0.11519777931991672, 0.0777238029146426, 0.0936849410131853, 0.0922970159611381, 0.09021512838306732, 0.10062456627342123, 0.09993060374739764, 0.08813324080499653]",second,TA
