symbol,start_date,end_date,actual_frequencies,digit_type,target
PYTHUSDT,2024-02-02-00:00,2024-02-03-00:00,"[0.19337016574585636, 0.13812154696132597, 0.16574585635359115, 0.1270718232044199, 0.09392265193370165, 0.06629834254143646, 0.07734806629834254, 0.06077348066298342, 0.07734806629834254]",first,TA
PYTHUSDT,2024-02-02-00:00,2024-02-03-00:00,"[0.11049723756906077, 0.08839779005524862, 0.09392265193370165, 0.12154696132596685, 0.09944751381215469, 0.08839779005524862, 0.09944751381215469, 0.08839779005524862, 0.1270718232044199, 0.08287292817679558]",second,TA
PYTHUSDT,2024-02-03-00:00,2024-02-04-00:00,"[0.31228313671061764, 0.1852879944482998, 0.1304649548924358, 0.09993060374739764, 0.0798056904927134, 0.04233171408743928, 0.06453851492019431, 0.04441360166551006, 0.040943789035392086]",first,TA
PYTHUSDT,2024-02-03-00:00,2024-02-04-00:00,"[0.10964607911172797, 0.11242192921582235, 0.11380985426786953, 0.11311589174184594, 0.10131852879944483, 0.08396946564885496, 0.09299097848716169, 0.08674531575294935, 0.09507286606523248, 0.09090909090909091]",second,TA
PYTHUSDT,2024-02-04-00:00,2024-02-05-00:00,"[0.34489937543372656, 0.16585704371963914, 0.11380985426786953, 0.09854267869535045, 0.06939625260235947, 0.05690492713393477, 0.061068702290076333, 0.049271339347675226, 0.040249826509368494]",first,TA
PYTHUSDT,2024-02-04-00:00,2024-02-05-00:00,"[0.1193615544760583, 0.10270645385149202, 0.10825815405968078, 0.10201249132546843, 0.11311589174184594, 0.08813324080499653, 0.08813324080499653, 0.09507286606523248, 0.10062456627342123, 0.08258154059680778]",second,TA
PYTHUSDT,2024-02-05-00:00,2024-02-06-00:00,"[0.2970159611380985, 0.15475364330326163, 0.13948646773074255, 0.10964607911172797, 0.0791117279666898, 0.0659264399722415, 0.06037473976405274, 0.05065926439972242, 0.04302567661346287]",first,TA
PYTHUSDT,2024-02-05-00:00,2024-02-06-00:00,"[0.11866759195003469, 0.11311589174184594, 0.11727966689798751, 0.09090909090909091, 0.09854267869535045, 0.08674531575294935, 0.1054823039555864, 0.09090909090909091, 0.09299097848716169, 0.08535739070090215]",second,TA
PYTHUSDT,2024-02-06-00:00,2024-02-07-00:00,"[0.3050729673384295, 0.16052814454482278, 0.13134120917303682, 0.0847810979847116, 0.0847810979847116, 0.0778318276580959, 0.06184850590687978, 0.05003474635163308, 0.04378040305767894]",first,TA
PYTHUSDT,2024-02-06-00:00,2024-02-07-00:00,"[0.12161223071577484, 0.11535788742182071, 0.09798471160528145, 0.11466296038915914, 0.103544127866574, 0.1063238359972203, 0.07713690062543432, 0.1014593467685893, 0.0778318276580959, 0.08408617095205004]",second,TA
