symbol,start_date,end_date,actual_frequencies,digit_type,target
ROSEUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.28521859819569745, 0.15475364330326163, 0.1436502428868841, 0.11242192921582235, 0.0777238029146426, 0.06662040249826509, 0.056210964607911175, 0.05065926439972242, 0.0527411519777932]",first,TA
ROSEUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.10617626648161, 0.12560721721027066, 0.10062456627342123, 0.1054823039555864, 0.1040943789035392, 0.09576682859125607, 0.09993060374739764, 0.08813324080499653, 0.08258154059680778, 0.0916030534351145]",second,TA
ROSEUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.28383067314365024, 0.17904233171408743, 0.12144344205412907, 0.08952116585704371, 0.0798056904927134, 0.07217210270645386, 0.06939625260235947, 0.06384455239417071, 0.040943789035392086]",first,TA
ROSEUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.10478834142956281, 0.12699514226231784, 0.10964607911172797, 0.10687022900763359, 0.11311589174184594, 0.08466342817487855, 0.0936849410131853, 0.08605135322692574, 0.09299097848716169, 0.08119361554476058]",second,TA
ROSEUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.26578764746703676, 0.16863289382373353, 0.1325468424705066, 0.09507286606523248, 0.09021512838306732, 0.07147814018043026, 0.07286606523247745, 0.056210964607911175, 0.04718945176960444]",first,TA
ROSEUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.10825815405968078, 0.10825815405968078, 0.11034004163775156, 0.08952116585704371, 0.0922970159611381, 0.1054823039555864, 0.09437890353920889, 0.09437890353920889, 0.10131852879944483, 0.09576682859125607]",second,TA
ROSEUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.28313671061762663, 0.17279666897987508, 0.11380985426786953, 0.10270645385149202, 0.08743927827897294, 0.07702984038861901, 0.05898681471200555, 0.054823039555863984, 0.049271339347675226]",first,TA
ROSEUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.11519777931991672, 0.09923664122137404, 0.10825815405968078, 0.10131852879944483, 0.11311589174184594, 0.09576682859125607, 0.09923664122137404, 0.08882720333102012, 0.08605135322692574, 0.09299097848716169]",second,TA
ROSEUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.27966689798750866, 0.16099930603747398, 0.12491325468424705, 0.10964607911172797, 0.08882720333102012, 0.07078417765440666, 0.054823039555863984, 0.055517002081887576, 0.054823039555863984]",first,TA
ROSEUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.1297709923664122, 0.11311589174184594, 0.12352532963219987, 0.09854267869535045, 0.09715475364330327, 0.09993060374739764, 0.06870229007633588, 0.08674531575294935, 0.09021512838306732, 0.0922970159611381]",second,TA
