symbol,start_date,end_date,actual_frequencies,digit_type,target
SKLUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.29043600562587907, 0.189873417721519, 0.1209563994374121, 0.09071729957805907, 0.08860759493670886, 0.06258790436005626, 0.06680731364275667, 0.053445850914205346, 0.03656821378340366]",first,TA
SKLUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.12658227848101267, 0.1111111111111111, 0.1111111111111111, 0.11322081575246132, 0.09774964838255977, 0.08016877637130802, 0.09845288326300984, 0.09142053445850915, 0.08368495077355836, 0.08649789029535865]",second,TA
SKLUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.2866065232477446, 0.18181818181818182, 0.12838306731436502, 0.10062456627342123, 0.0784177654406662, 0.06662040249826509, 0.05690492713393477, 0.05135322692574601, 0.049271339347675226]",first,TA
SKLUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.131852879944483, 0.11658570437196392, 0.12560721721027066, 0.10131852879944483, 0.1040943789035392, 0.0798056904927134, 0.08882720333102012, 0.08258154059680778, 0.08119361554476058, 0.08813324080499653]",second,TA
SKLUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.2963219986120749, 0.16863289382373353, 0.1339347675225538, 0.10687022900763359, 0.07217210270645386, 0.06939625260235947, 0.05343511450381679, 0.05135322692574601, 0.047883414295628035]",first,TA
SKLUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.12768910478834142, 0.11034004163775156, 0.09923664122137404, 0.11519777931991672, 0.11311589174184594, 0.09923664122137404, 0.09437890353920889, 0.08119361554476058, 0.08952116585704371, 0.07009021512838307]",second,TA
SKLUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.31158917418459403, 0.19153365718251214, 0.10895211658570438, 0.07494795281054822, 0.0798056904927134, 0.06731436502428868, 0.05829285218598196, 0.055517002081887576, 0.0520471894517696]",first,TA
SKLUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.1311589174184594, 0.11866759195003469, 0.0916030534351145, 0.11172796668979876, 0.09576682859125607, 0.09923664122137404, 0.08396946564885496, 0.09090909090909091, 0.09576682859125607, 0.08119361554476058]",second,TA
SKLUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.30742539902845245, 0.16793893129770993, 0.1054823039555864, 0.09576682859125607, 0.08535739070090215, 0.07147814018043026, 0.054823039555863984, 0.0520471894517696, 0.05968077723802915]",first,TA
SKLUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.13532269257460097, 0.10340041637751561, 0.09021512838306732, 0.1054823039555864, 0.11519777931991672, 0.09576682859125607, 0.0922970159611381, 0.08396946564885496, 0.08466342817487855, 0.0936849410131853]",second,TA
