symbol,start_date,end_date,actual_frequencies,digit_type,target
THETAUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.312051649928264, 0.20373027259684362, 0.12266857962697274, 0.1054519368723099, 0.06599713055954089, 0.04806312769010043, 0.05308464849354376, 0.04949784791965567, 0.03945480631276901]",first,TA
THETAUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.11979913916786226, 0.11549497847919656, 0.10616929698708752, 0.10975609756097561, 0.08034433285509325, 0.09899569583931134, 0.10329985652797705, 0.08536585365853659, 0.07532281205164992, 0.1054519368723099]",second,TA
THETAUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.31626928471248245, 0.1774193548387097, 0.1297335203366059, 0.09326788218793829, 0.07082748948106592, 0.0729312762973352, 0.05049088359046283, 0.04908835904628331, 0.03997194950911641]",first,TA
THETAUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.13253856942496495, 0.10098176718092566, 0.11150070126227209, 0.10098176718092566, 0.11079943899018233, 0.09256661991584852, 0.09817671809256662, 0.09186535764375876, 0.08625525946704067, 0.07433380084151472]",second,TA
THETAUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.27704117236566644, 0.1898115840893231, 0.12351709699930216, 0.07955338450802513, 0.07745987438939288, 0.07606420097697139, 0.06559665038381018, 0.05373342637822749, 0.05722260990928123]",first,TA
THETAUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.1151430565247732, 0.11584089323098395, 0.08792742498255408, 0.10327983251919051, 0.08653175157013258, 0.09979064898813678, 0.10886252616887648, 0.09490579204466155, 0.09141660851360782, 0.09630146545708304]",second,TA
THETAUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.2785515320334262, 0.1991643454038997, 0.13370473537604458, 0.09540389972144847, 0.07938718662952646, 0.056406685236768804, 0.05988857938718663, 0.05362116991643454, 0.04387186629526462]",first,TA
THETAUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.12743732590529247, 0.10863509749303621, 0.11002785515320335, 0.10863509749303621, 0.09540389972144847, 0.08635097493036212, 0.100974930362117, 0.09610027855153204, 0.0786908077994429, 0.08774373259052924]",second,TA
THETAUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.3045614035087719, 0.18456140350877193, 0.10947368421052632, 0.10245614035087719, 0.06947368421052631, 0.07228070175438596, 0.056140350877192984, 0.06385964912280702, 0.037192982456140354]",first,TA
THETAUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.12, 0.12070175438596491, 0.11157894736842106, 0.10526315789473684, 0.10456140350877192, 0.09052631578947369, 0.08350877192982456, 0.09824561403508772, 0.08350877192982456, 0.08210526315789474]",second,TA
THETAUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.2971830985915493, 0.18380281690140846, 0.13661971830985917, 0.0880281690140845, 0.07394366197183098, 0.07323943661971831, 0.0528169014084507, 0.05, 0.044366197183098595]",first,TA
THETAUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.10985915492957747, 0.11408450704225352, 0.09859154929577464, 0.11971830985915492, 0.10704225352112676, 0.10140845070422536, 0.08450704225352113, 0.08873239436619719, 0.09436619718309859, 0.08169014084507042]",second,TA
THETAUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.31029619181946405, 0.18758815232722145, 0.12834978843441466, 0.08674188998589563, 0.07545839210155147, 0.06346967559943582, 0.05500705218617771, 0.045839210155148094, 0.04724964739069112]",first,TA
THETAUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.11354019746121298, 0.1001410437235543, 0.11212976022566996, 0.11001410437235543, 0.10366713681241185, 0.11212976022566996, 0.08815232722143865, 0.08815232722143865, 0.08603667136812412, 0.08603667136812412]",second,TA
THETAUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.3277310924369748, 0.18417366946778713, 0.11624649859943978, 0.08473389355742297, 0.0861344537815126, 0.06862745098039216, 0.052521008403361345, 0.042717086834733894, 0.03711484593837535]",first,TA
