symbol,start_date,end_date,actual_frequencies,digit_type,target
YGGUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.2971830985915493, 0.1852112676056338, 0.11338028169014085, 0.10422535211267606, 0.0795774647887324, 0.061971830985915494, 0.06056338028169014, 0.04647887323943662, 0.05140845070422535]",first,TA
YGGUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.09929577464788733, 0.11690140845070422, 0.10704225352112676, 0.10492957746478873, 0.1056338028169014, 0.10140845070422536, 0.08591549295774648, 0.09647887323943662, 0.09154929577464789, 0.09084507042253522]",second,TA
YGGUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.30322128851540614, 0.17507002801120447, 0.12885154061624648, 0.08893557422969188, 0.08053221288515407, 0.0700280112044818, 0.04971988795518207, 0.05112044817927171, 0.052521008403361345]",first,TA
YGGUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.12394957983193278, 0.11064425770308123, 0.11274509803921569, 0.09943977591036414, 0.09243697478991597, 0.09313725490196079, 0.09173669467787114, 0.10434173669467788, 0.09243697478991597, 0.07913165266106442]",second,TA
YGGUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.3282336578581363, 0.1502086230876217, 0.11613351877607789, 0.09874826147426982, 0.07788595271210014, 0.0674547983310153, 0.06050069541029207, 0.0584144645340751, 0.04242002781641168]",first,TA
YGGUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.1133518776077886, 0.10222531293463143, 0.1133518776077886, 0.11265646731571627, 0.08623087621696801, 0.09596662030598054, 0.09805285118219749, 0.09248956884561892, 0.09735744089012517, 0.08831710709318498]",second,TA
YGGUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.30742539902845245, 0.208882720333102, 0.12005551700208189, 0.09090909090909091, 0.08674531575294935, 0.055517002081887576, 0.04510756419153366, 0.04580152671755725, 0.0395558639833449]",first,TA
YGGUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.12630117973629423, 0.09507286606523248, 0.11034004163775156, 0.08952116585704371, 0.11242192921582235, 0.09437890353920889, 0.09021512838306732, 0.09993060374739764, 0.08674531575294935, 0.09507286606523248]",second,TA
YGGUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.33726578764746706, 0.18112421929215822, 0.12213740458015267, 0.0922970159611381, 0.07147814018043026, 0.056210964607911175, 0.05343511450381679, 0.04510756419153366, 0.040943789035392086]",first,TA
YGGUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.12074947952810548, 0.11380985426786953, 0.11450381679389313, 0.10825815405968078, 0.08813324080499653, 0.10062456627342123, 0.09923664122137404, 0.08049965301873699, 0.09784871616932686, 0.07633587786259542]",second,TA
YGGUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.2900763358778626, 0.15128383067314366, 0.12144344205412907, 0.12005551700208189, 0.0777238029146426, 0.0798056904927134, 0.05898681471200555, 0.056210964607911175, 0.04441360166551006]",first,TA
YGGUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.12144344205412907, 0.1193615544760583, 0.11172796668979876, 0.10687022900763359, 0.09993060374739764, 0.09299097848716169, 0.08952116585704371, 0.0916030534351145, 0.0798056904927134, 0.08674531575294935]",second,TA
YGGUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.29354614850798055, 0.1707147814018043, 0.12630117973629423, 0.09993060374739764, 0.08258154059680778, 0.07564191533657183, 0.0659264399722415, 0.04441360166551006, 0.040943789035392086]",first,TA
YGGUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.1339347675225538, 0.11658570437196392, 0.09715475364330327, 0.08674531575294935, 0.1040943789035392, 0.10478834142956281, 0.08119361554476058, 0.08952116585704371, 0.09437890353920889, 0.0916030534351145]",second,TA
YGGUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.2995135510771369, 0.17651146629603892, 0.11883252258512857, 0.10562890896455872, 0.08547602501737317, 0.06810284920083391, 0.05350938151494093, 0.04794996525364837, 0.04447533009034051]",first,TA
YGGUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.12369701181375956, 0.11605281445448228, 0.11049339819318972, 0.10493398193189715, 0.1014593467685893, 0.10076441973592773, 0.08339124391938846, 0.07922168172341904, 0.08895066018068103, 0.09103544127866574]",second,TA
YGGUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.3108952116585704, 0.17626648160999306, 0.11242192921582235, 0.09784871616932686, 0.08396946564885496, 0.07286606523247745, 0.046495489243580844, 0.05968077723802915, 0.0395558639833449]",first,TA
YGGUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.1297709923664122, 0.11589174184594032, 0.11172796668979876, 0.10131852879944483, 0.10825815405968078, 0.0922970159611381, 0.08327550312283137, 0.0791117279666898, 0.08674531575294935, 0.0916030534351145]",second,TA
YGGUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.30972222222222223, 0.15555555555555556, 0.12152777777777778, 0.09027777777777778, 0.09236111111111112, 0.08055555555555556, 0.05625, 0.05138888888888889, 0.04236111111111111]",first,TA
YGGUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.11944444444444445, 0.11458333333333333, 0.12430555555555556, 0.10347222222222222, 0.10694444444444444, 0.0798611111111111, 0.07847222222222222, 0.09236111111111112, 0.09791666666666667, 0.08263888888888889]",second,TA
YGGUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.3015983321751216, 0.16191799861014594, 0.1299513551077137, 0.10701876302988186, 0.06879777623349548, 0.06532314107018763, 0.057678943710910355, 0.06184850590687978, 0.04586518415566365]",first,TA
YGGUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.11744266851980542, 0.11813759555246699, 0.10493398193189715, 0.10771369006254343, 0.10215427380125087, 0.10006949270326616, 0.09381514940931203, 0.09242529534398888, 0.08547602501737317, 0.0778318276580959]",second,TA
YGGUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.31228313671061764, 0.16585704371963914, 0.12421929215822346, 0.11034004163775156, 0.08396946564885496, 0.0652324774462179, 0.056210964607911175, 0.03678001387925052, 0.04510756419153366]",first,TA
