symbol,start_date,end_date,digit_type,mad,target
CLVUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.006744718734340761,TA
CLVUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.010649514216190323,TA
CLVUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.008559968911595606,TA
CLVUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.009008743829040594,TA
CLVUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.011380330675925686,TA
CLVUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.01703159349639265,TA
CLVUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.013331386468155631,TA
CLVUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.011377028510553252,TA
CLVUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.009630355312675627,TA
CLVUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.009513623240843174,TA
CLVUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.009767234270286827,TA
CLVUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.009957692153752095,TA
CLVUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.011247956528585623,TA
CLVUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.014924460689627333,TA
CLVUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.007015357217866354,TA
CLVUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.0099488900478892,TA
CLVUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.015123961327617348,TA
CLVUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.005006082462824119,TA
CLVUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.008417239521864635,TA
CLVUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.013101224878387847,TA
CLVUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.011103614697923063,TA
CLVUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.008975128999665846,TA
