symbol,start_date,end_date,digit_type,mad,target
VANRYUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.01434342487711205,TA
VANRYUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.014743776156310234,TA
VANRYUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.006043498152176417,TA
VANRYUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.009220205650117568,TA
VANRYUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.0031657940511351465,TA
VANRYUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.00862649968210006,TA
VANRYUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.011562912574524492,TA
VANRYUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.006623831970377912,TA
VANRYUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.009667448405344232,TA
VANRYUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.007691143702558527,TA
VANRYUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.004234987941820012,TA
VANRYUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.004780649288400737,TA
VANRYUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.0070412611493571465,TA
VANRYUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.007213229067298638,TA
VANRYUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.008128248208899312,TA
VANRYUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.012687747887903073,TA
VANRYUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.006169715067360987,TA
VANRYUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.008431442131392361,TA
VANRYUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.0051737671412471105,TA
VANRYUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.0068664974684183476,TA
VANRYUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.009760635053982256,TA
VANRYUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.007460187399422363,TA
VANRYUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.005941997183000012,TA
VANRYUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.006242899877382089,TA
VANRYUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.010769376327871052,TA
VANRYUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.010342952886964983,TA
VANRYUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.007830628841838237,TA
VANRYUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.011187246868057962,TA
VANRYUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.007130697083229224,TA
VANRYUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.008607788193974932,TA
VANRYUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.006601977954768241,TA
VANRYUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.0050617418445777955,TA
VANRYUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.0071698065939190874,TA
VANRYUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.007507463105809185,TA
VANRYUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.007014409681599992,TA
VANRYUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.007067020585770867,TA
VANRYUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.005025614015118118,TA
VANRYUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.006659487552505966,TA
VANRYUSDT,2024-01-20-00:00,2024-01-21-00:00,first,0.006385383960382692,TA
VANRYUSDT,2024-01-20-00:00,2024-01-21-00:00,second,0.007991426792020574,TA
VANRYUSDT,2024-01-21-00:00,2024-01-22-00:00,first,0.006515272982803349,TA
VANRYUSDT,2024-01-21-00:00,2024-01-22-00:00,second,0.0062056832178630315,TA
VANRYUSDT,2024-01-22-00:00,2024-01-23-00:00,first,0.0063076124901214545,TA
VANRYUSDT,2024-01-22-00:00,2024-01-23-00:00,second,0.007337361948283015,TA
VANRYUSDT,2024-01-23-00:00,2024-01-24-00:00,first,0.006825005972798547,TA
VANRYUSDT,2024-01-23-00:00,2024-01-24-00:00,second,0.005854492181607935,TA
VANRYUSDT,2024-01-24-00:00,2024-01-25-00:00,first,0.007319747729456784,TA
VANRYUSDT,2024-01-24-00:00,2024-01-25-00:00,second,0.007274508096206405,TA
VANRYUSDT,2024-01-25-00:00,2024-01-26-00:00,first,0.006700259486156431,TA
VANRYUSDT,2024-01-25-00:00,2024-01-26-00:00,second,0.008468085982008551,TA
VANRYUSDT,2024-01-26-00:00,2024-01-27-00:00,first,0.008693710587642301,TA
VANRYUSDT,2024-01-26-00:00,2024-01-27-00:00,second,0.006887485353611657,TA
VANRYUSDT,2024-01-27-00:00,2024-01-28-00:00,first,0.01567069366462901,TA
VANRYUSDT,2024-01-27-00:00,2024-01-28-00:00,second,0.011898142228460126,TA
VANRYUSDT,2024-01-28-00:00,2024-01-29-00:00,first,0.011721865492665604,TA
VANRYUSDT,2024-01-28-00:00,2024-01-29-00:00,second,0.010520144918487757,TA
VANRYUSDT,2024-01-29-00:00,2024-01-30-00:00,first,0.004154999829491721,TA
VANRYUSDT,2024-01-29-00:00,2024-01-30-00:00,second,0.012186908226007953,TA
VANRYUSDT,2024-01-30-00:00,2024-01-31-00:00,first,0.009972981125001106,TA
VANRYUSDT,2024-01-30-00:00,2024-01-31-00:00,second,0.009731292905889026,TA
VANRYUSDT,2024-01-31-00:00,2024-02-01-00:00,first,0.018244252241207775,TA
VANRYUSDT,2024-01-31-00:00,2024-02-01-00:00,second,0.008826077485244133,TA
VANRYUSDT,2024-02-01-00:00,2024-02-02-00:00,first,0.012216298739866975,TA
VANRYUSDT,2024-02-01-00:00,2024-02-02-00:00,second,0.007760050754008273,TA
VANRYUSDT,2024-02-02-00:00,2024-02-03-00:00,first,0.010321339618640023,TA
VANRYUSDT,2024-02-02-00:00,2024-02-03-00:00,second,0.007143089819328817,TA
VANRYUSDT,2024-02-03-00:00,2024-02-04-00:00,first,0.00950210244135622,TA
VANRYUSDT,2024-02-03-00:00,2024-02-04-00:00,second,0.016010397711320512,TA
VANRYUSDT,2024-02-04-00:00,2024-02-05-00:00,first,0.01216746499220169,TA
VANRYUSDT,2024-02-04-00:00,2024-02-05-00:00,second,0.009085721589970907,TA
VANRYUSDT,2024-02-05-00:00,2024-02-06-00:00,first,0.0082989232879385,TA
VANRYUSDT,2024-02-05-00:00,2024-02-06-00:00,second,0.008487806621459919,TA
VANRYUSDT,2024-02-06-00:00,2024-02-07-00:00,first,0.014185912780721276,TA
VANRYUSDT,2024-02-06-00:00,2024-02-07-00:00,second,0.009960714975423657,TA
VANRYUSDT,2024-02-07-00:00,2024-02-08-00:00,first,0.011336816694609526,TA
VANRYUSDT,2024-02-07-00:00,2024-02-08-00:00,second,0.011261838704718332,TA
VANRYUSDT,2024-02-08-00:00,2024-02-09-00:00,first,0.010668606210958895,TA
VANRYUSDT,2024-02-08-00:00,2024-02-09-00:00,second,0.010627063882547045,TA
VANRYUSDT,2024-02-09-00:00,2024-02-10-00:00,first,0.008799848940947059,TA
VANRYUSDT,2024-02-09-00:00,2024-02-10-00:00,second,0.015015693139913012,TA
VANRYUSDT,2024-02-10-00:00,2024-02-11-00:00,first,0.012991911382076575,TA
VANRYUSDT,2024-02-10-00:00,2024-02-11-00:00,second,0.01683956829939215,TA
VANRYUSDT,2024-02-11-00:00,2024-02-12-00:00,first,0.0056844554425259045,TA
VANRYUSDT,2024-02-11-00:00,2024-02-12-00:00,second,0.006300833341048781,TA
VANRYUSDT,2024-02-12-00:00,2024-02-13-00:00,first,0.009448763938192072,TA
VANRYUSDT,2024-02-12-00:00,2024-02-13-00:00,second,0.0070443373516192705,TA
VANRYUSDT,2024-02-13-00:00,2024-02-14-00:00,first,0.007561298002913765,TA
VANRYUSDT,2024-02-13-00:00,2024-02-14-00:00,second,0.008298791281929839,TA
VANRYUSDT,2024-02-14-00:00,2024-02-15-00:00,first,0.010755784734235043,TA
VANRYUSDT,2024-02-14-00:00,2024-02-15-00:00,second,0.011894366838873337,TA
VANRYUSDT,2024-02-15-00:00,2024-02-16-00:00,first,0.012053835933159712,TA
VANRYUSDT,2024-02-15-00:00,2024-02-16-00:00,second,0.007223509467527355,TA
VANRYUSDT,2024-02-16-00:00,2024-02-17-00:00,first,0.006648933504153806,TA
VANRYUSDT,2024-02-16-00:00,2024-02-17-00:00,second,0.009588917641758269,TA
VANRYUSDT,2024-02-17-00:00,2024-02-18-00:00,first,0.006791590979260283,TA
VANRYUSDT,2024-02-17-00:00,2024-02-18-00:00,second,0.006169696123246607,TA
