symbol,start_date,end_date,digit_type,mad,target
YGGUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.005567546631829645,TA
YGGUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.005924396451732948,TA
YGGUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.003844400691879008,TA
YGGUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.005410115780977691,TA
YGGUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.008737913306682162,TA
YGGUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.00655602460179411,TA
YGGUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.010389096521603677,TA
YGGUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.007981661841046834,TA
YGGUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.009170833826658406,TA
YGGUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.006153804209646603,TA
YGGUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.009346158833549854,TA
YGGUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.003136357769496613,TA
YGGUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.005425099359340414,TA
YGGUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.008452586698210071,TA
YGGUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.0036866537192953384,TA
YGGUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.004222759881966426,TA
YGGUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.006714420378647492,TA
YGGUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.00591109661234588,TA
YGGUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.007937160886261611,TA
YGGUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.007033852716400449,TA
YGGUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.005887418241525912,TA
YGGUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.003076734022354227,TA
YGGUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.0065491976172359365,TA
YGGUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.0058258802486934975,TA
YGGUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.004552150052922222,TA
YGGUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.006210966645400179,TA
YGGUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.005468666670372644,TA
YGGUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.0061332650525853264,TA
YGGUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.005639501820542247,TA
YGGUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.0041183511942517,TA
YGGUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.00724773661674034,TA
YGGUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.005576124933027965,TA
YGGUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.00665170892879391,TA
YGGUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.0063375206331573964,TA
YGGUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.007853335854161614,TA
YGGUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.00880770888164459,TA
YGGUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.005022375974338401,TA
YGGUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.005810014545177036,TA
YGGUSDT,2024-01-20-00:00,2024-01-21-00:00,first,0.004391766180619078,TA
YGGUSDT,2024-01-20-00:00,2024-01-21-00:00,second,0.0056857563683041,TA
YGGUSDT,2024-01-21-00:00,2024-01-22-00:00,first,0.0047492473119729525,TA
YGGUSDT,2024-01-21-00:00,2024-01-22-00:00,second,0.007770214151280853,TA
YGGUSDT,2024-01-22-00:00,2024-01-23-00:00,first,0.007808552370545012,TA
YGGUSDT,2024-01-22-00:00,2024-01-23-00:00,second,0.006579664861033512,TA
YGGUSDT,2024-01-23-00:00,2024-01-24-00:00,first,0.004884505077791167,TA
YGGUSDT,2024-01-23-00:00,2024-01-24-00:00,second,0.00859335160129225,TA
YGGUSDT,2024-01-24-00:00,2024-01-25-00:00,first,0.007881368415055592,TA
YGGUSDT,2024-01-24-00:00,2024-01-25-00:00,second,0.005507117493006007,TA
YGGUSDT,2024-01-25-00:00,2024-01-26-00:00,first,0.006597499119419658,TA
YGGUSDT,2024-01-25-00:00,2024-01-26-00:00,second,0.007570568596131588,TA
YGGUSDT,2024-01-26-00:00,2024-01-27-00:00,first,0.007823769917864118,TA
YGGUSDT,2024-01-26-00:00,2024-01-27-00:00,second,0.008115658732206184,TA
YGGUSDT,2024-01-27-00:00,2024-01-28-00:00,first,0.005278674488103592,TA
YGGUSDT,2024-01-27-00:00,2024-01-28-00:00,second,0.005778370998905118,TA
YGGUSDT,2024-01-28-00:00,2024-01-29-00:00,first,0.008673012661186344,TA
YGGUSDT,2024-01-28-00:00,2024-01-29-00:00,second,0.006865516730965608,TA
YGGUSDT,2024-01-29-00:00,2024-01-30-00:00,first,0.006272921219508516,TA
YGGUSDT,2024-01-29-00:00,2024-01-30-00:00,second,0.010045461109715402,TA
YGGUSDT,2024-01-30-00:00,2024-01-31-00:00,first,0.005647127695264751,TA
YGGUSDT,2024-01-30-00:00,2024-01-31-00:00,second,0.00513553770055916,TA
YGGUSDT,2024-01-31-00:00,2024-02-01-00:00,first,0.007698038979615197,TA
YGGUSDT,2024-01-31-00:00,2024-02-01-00:00,second,0.009206233491206967,TA
YGGUSDT,2024-02-01-00:00,2024-02-02-00:00,first,0.007625178894350011,TA
YGGUSDT,2024-02-01-00:00,2024-02-02-00:00,second,0.007936967493349826,TA
YGGUSDT,2024-02-02-00:00,2024-02-03-00:00,first,0.013069901359930301,TA
YGGUSDT,2024-02-02-00:00,2024-02-03-00:00,second,0.012058322864855215,TA
YGGUSDT,2024-02-03-00:00,2024-02-04-00:00,first,0.010334325537272773,TA
YGGUSDT,2024-02-03-00:00,2024-02-04-00:00,second,0.009419362558280724,TA
YGGUSDT,2024-02-04-00:00,2024-02-05-00:00,first,0.010175305234459163,TA
YGGUSDT,2024-02-04-00:00,2024-02-05-00:00,second,0.010413448600691311,TA
YGGUSDT,2024-02-05-00:00,2024-02-06-00:00,first,0.009580678294675607,TA
YGGUSDT,2024-02-05-00:00,2024-02-06-00:00,second,0.01182246963407338,TA
YGGUSDT,2024-02-06-00:00,2024-02-07-00:00,first,0.007361150562400486,TA
YGGUSDT,2024-02-06-00:00,2024-02-07-00:00,second,0.008070935645954897,TA
YGGUSDT,2024-02-07-00:00,2024-02-08-00:00,first,0.006350997377085613,TA
YGGUSDT,2024-02-07-00:00,2024-02-08-00:00,second,0.008374562465926038,TA
YGGUSDT,2024-02-08-00:00,2024-02-09-00:00,first,0.006532223110906617,TA
YGGUSDT,2024-02-08-00:00,2024-02-09-00:00,second,0.006224846717098246,TA
YGGUSDT,2024-02-09-00:00,2024-02-10-00:00,first,0.00477747843653832,TA
YGGUSDT,2024-02-09-00:00,2024-02-10-00:00,second,0.004608902876668199,TA
YGGUSDT,2024-02-10-00:00,2024-02-11-00:00,first,0.007286775163263799,TA
