symbol,start_date,end_date,digit_type,mad,target
CHRUSDT,2020-05-07-00:00,2020-05-08-00:00,first,0.03617383427236201,TA
CHRUSDT,2020-05-07-00:00,2020-05-08-00:00,second,0.027292643965863082,TA
CHRUSDT,2020-05-08-00:00,2020-05-09-00:00,first,0.006641576977422515,TA
CHRUSDT,2020-05-08-00:00,2020-05-09-00:00,second,0.006088144508356037,TA
CHRUSDT,2020-05-09-00:00,2020-05-10-00:00,first,0.011926295339729477,TA
CHRUSDT,2020-05-09-00:00,2020-05-10-00:00,second,0.016089944024372745,TA
CHRUSDT,2020-05-10-00:00,2020-05-11-00:00,first,0.011967552703702509,TA
CHRUSDT,2020-05-10-00:00,2020-05-11-00:00,second,0.012503293416360195,TA
CHRUSDT,2020-05-11-00:00,2020-05-12-00:00,first,0.010137222903051727,TA
CHRUSDT,2020-05-11-00:00,2020-05-12-00:00,second,0.007585080263563196,TA
CHRUSDT,2020-05-12-00:00,2020-05-13-00:00,first,0.013530303277878441,TA
CHRUSDT,2020-05-12-00:00,2020-05-13-00:00,second,0.009034624160460508,TA
CHRUSDT,2020-05-13-00:00,2020-05-14-00:00,first,0.020432042033791658,TA
CHRUSDT,2020-05-13-00:00,2020-05-14-00:00,second,0.012244312243212652,TA
CHRUSDT,2020-05-14-00:00,2020-05-15-00:00,first,0.01696265966022946,TA
CHRUSDT,2020-05-14-00:00,2020-05-15-00:00,second,0.009197793375900185,TA
CHRUSDT,2020-05-15-00:00,2020-05-16-00:00,first,0.02244934334787269,TA
CHRUSDT,2020-05-15-00:00,2020-05-16-00:00,second,0.016033032188173795,TA
CHRUSDT,2020-05-16-00:00,2020-05-17-00:00,first,0.02610356537532378,TA
CHRUSDT,2020-05-16-00:00,2020-05-17-00:00,second,0.015582314134910522,TA
CHRUSDT,2020-05-17-00:00,2020-05-18-00:00,first,0.029562069427602016,TA
CHRUSDT,2020-05-17-00:00,2020-05-18-00:00,second,0.008580179115357012,TA
CHRUSDT,2020-05-18-00:00,2020-05-19-00:00,first,0.01581449751611099,TA
CHRUSDT,2020-05-18-00:00,2020-05-19-00:00,second,0.010792676547627224,TA
CHRUSDT,2020-05-19-00:00,2020-05-20-00:00,first,0.02635410738632697,TA
CHRUSDT,2020-05-19-00:00,2020-05-20-00:00,second,0.014007815082238612,TA
CHRUSDT,2020-05-20-00:00,2020-05-21-00:00,first,0.02534519428646384,TA
CHRUSDT,2020-05-20-00:00,2020-05-21-00:00,second,0.008485436573552455,TA
CHRUSDT,2020-05-21-00:00,2020-05-22-00:00,first,0.030017524278331265,TA
CHRUSDT,2020-05-21-00:00,2020-05-22-00:00,second,0.007367200729879841,TA
