symbol,start_date,end_date,digit_type,mad,target
OXTUSDT,2020-09-21-00:00,2020-09-22-00:00,first,0.022132652697948944,TA
OXTUSDT,2020-09-21-00:00,2020-09-22-00:00,second,0.010768760057642778,TA
OXTUSDT,2020-09-22-00:00,2020-09-23-00:00,first,0.005051823107441236,TA
OXTUSDT,2020-09-22-00:00,2020-09-23-00:00,second,0.011623145171977408,TA
OXTUSDT,2020-09-23-00:00,2020-09-24-00:00,first,0.008058411093186656,TA
OXTUSDT,2020-09-23-00:00,2020-09-24-00:00,second,0.008102451005273898,TA
OXTUSDT,2020-09-24-00:00,2020-09-25-00:00,first,0.011251824906544243,TA
OXTUSDT,2020-09-24-00:00,2020-09-25-00:00,second,0.010860155808887844,TA
OXTUSDT,2020-09-25-00:00,2020-09-26-00:00,first,0.012425443844384933,TA
OXTUSDT,2020-09-25-00:00,2020-09-26-00:00,second,0.007029193001053767,TA
OXTUSDT,2020-09-26-00:00,2020-09-27-00:00,first,0.01461736745874694,TA
OXTUSDT,2020-09-26-00:00,2020-09-27-00:00,second,0.005502999502391294,TA
OXTUSDT,2020-09-27-00:00,2020-09-28-00:00,first,0.02546040183739098,TA
OXTUSDT,2020-09-27-00:00,2020-09-28-00:00,second,0.015526504330498273,TA
OXTUSDT,2020-09-28-00:00,2020-09-29-00:00,first,0.016749629355610085,TA
OXTUSDT,2020-09-28-00:00,2020-09-29-00:00,second,0.01427023232125641,TA
OXTUSDT,2020-09-29-00:00,2020-09-30-00:00,first,0.013279337322280914,TA
OXTUSDT,2020-09-29-00:00,2020-09-30-00:00,second,0.010491873060925949,TA
OXTUSDT,2020-09-30-00:00,2020-10-01-00:00,first,0.012613334838268358,TA
OXTUSDT,2020-09-30-00:00,2020-10-01-00:00,second,0.013102367983873344,TA
OXTUSDT,2020-10-01-00:00,2020-10-02-00:00,first,0.013970445571507098,TA
OXTUSDT,2020-10-01-00:00,2020-10-02-00:00,second,0.018422613729895277,TA
OXTUSDT,2020-10-02-00:00,2020-10-03-00:00,first,0.013565367295000559,TA
OXTUSDT,2020-10-02-00:00,2020-10-03-00:00,second,0.014807753578483579,TA
OXTUSDT,2020-10-03-00:00,2020-10-04-00:00,first,0.018098096583762553,TA
OXTUSDT,2020-10-03-00:00,2020-10-04-00:00,second,0.012977359133588846,TA
OXTUSDT,2020-10-04-00:00,2020-10-05-00:00,first,0.02670642929648755,TA
OXTUSDT,2020-10-04-00:00,2020-10-05-00:00,second,0.015132814751961682,TA
OXTUSDT,2020-10-05-00:00,2020-10-06-00:00,first,0.022345037487779433,TA
OXTUSDT,2020-10-05-00:00,2020-10-06-00:00,second,0.010165314129010323,TA
OXTUSDT,2020-10-06-00:00,2020-10-07-00:00,first,0.01786765858852021,TA
OXTUSDT,2020-10-06-00:00,2020-10-07-00:00,second,0.010575719288676427,TA
OXTUSDT,2020-10-07-00:00,2020-10-08-00:00,first,0.017570227277145616,TA
OXTUSDT,2020-10-07-00:00,2020-10-08-00:00,second,0.010261991428421335,TA
OXTUSDT,2020-10-08-00:00,2020-10-09-00:00,first,0.011886786938255976,TA
OXTUSDT,2020-10-08-00:00,2020-10-09-00:00,second,0.013443650777507862,TA
OXTUSDT,2020-10-09-00:00,2020-10-10-00:00,first,0.009837108881208647,TA
OXTUSDT,2020-10-09-00:00,2020-10-10-00:00,second,0.012709011130263148,TA
OXTUSDT,2020-10-10-00:00,2020-10-11-00:00,first,0.013878537634704292,TA
OXTUSDT,2020-10-10-00:00,2020-10-11-00:00,second,0.013612110604036467,TA
OXTUSDT,2020-10-11-00:00,2020-10-12-00:00,first,0.02050654286893347,TA
OXTUSDT,2020-10-11-00:00,2020-10-12-00:00,second,0.013619888691700726,TA
OXTUSDT,2020-10-12-00:00,2020-10-13-00:00,first,0.02178511641996085,TA
OXTUSDT,2020-10-12-00:00,2020-10-13-00:00,second,0.022586825460143567,TA
OXTUSDT,2020-10-13-00:00,2020-10-14-00:00,first,0.026465006636160845,TA
OXTUSDT,2020-10-13-00:00,2020-10-14-00:00,second,0.009194961443284518,TA
OXTUSDT,2020-10-14-00:00,2020-10-15-00:00,first,0.02165270695393861,TA
OXTUSDT,2020-10-14-00:00,2020-10-15-00:00,second,0.01570371808788452,TA
OXTUSDT,2020-10-15-00:00,2020-10-16-00:00,first,0.019777093164698514,TA
OXTUSDT,2020-10-15-00:00,2020-10-16-00:00,second,0.012286986513811172,TA
OXTUSDT,2020-10-16-00:00,2020-10-17-00:00,first,0.025679241996204097,TA
OXTUSDT,2020-10-16-00:00,2020-10-17-00:00,second,0.013406967711262596,TA
OXTUSDT,2020-10-17-00:00,2020-10-18-00:00,first,0.035387195920883095,TA
OXTUSDT,2020-10-17-00:00,2020-10-18-00:00,second,0.014879383780302301,TA
OXTUSDT,2020-10-18-00:00,2020-10-19-00:00,first,0.019072459189557356,TA
OXTUSDT,2020-10-18-00:00,2020-10-19-00:00,second,0.022902826200793227,TA
OXTUSDT,2020-10-19-00:00,2020-10-20-00:00,first,0.03754555148760621,TA
OXTUSDT,2020-10-19-00:00,2020-10-20-00:00,second,0.025937687824318302,TA
OXTUSDT,2020-10-20-00:00,2020-10-21-00:00,first,0.026746652777257865,TA
OXTUSDT,2020-10-20-00:00,2020-10-21-00:00,second,0.019066309783776013,TA
OXTUSDT,2020-10-21-00:00,2020-10-22-00:00,first,0.0220550269691176,TA
OXTUSDT,2020-10-21-00:00,2020-10-22-00:00,second,0.018205750456883253,TA
OXTUSDT,2020-10-22-00:00,2020-10-23-00:00,first,0.018004331170173214,TA
OXTUSDT,2020-10-22-00:00,2020-10-23-00:00,second,0.013737423441870244,TA
OXTUSDT,2020-10-23-00:00,2020-10-24-00:00,first,0.02552900092188338,TA
OXTUSDT,2020-10-23-00:00,2020-10-24-00:00,second,0.017758782421317364,TA
OXTUSDT,2020-10-24-00:00,2020-10-25-00:00,first,0.024834621810160405,TA
OXTUSDT,2020-10-24-00:00,2020-10-25-00:00,second,0.015818763190276475,TA
OXTUSDT,2020-10-25-00:00,2020-10-26-00:00,first,0.028144223195805482,TA
OXTUSDT,2020-10-25-00:00,2020-10-26-00:00,second,0.02370800793133713,TA
OXTUSDT,2020-10-26-00:00,2020-10-27-00:00,first,0.015631465267269613,TA
OXTUSDT,2020-10-26-00:00,2020-10-27-00:00,second,0.01513744575738386,TA
OXTUSDT,2020-10-27-00:00,2020-10-28-00:00,first,0.02567172206381547,TA
OXTUSDT,2020-10-27-00:00,2020-10-28-00:00,second,0.02032298622292563,TA
OXTUSDT,2020-10-28-00:00,2020-10-29-00:00,first,0.0161952767289639,TA
OXTUSDT,2020-10-28-00:00,2020-10-29-00:00,second,0.015074965116044423,TA
OXTUSDT,2020-10-29-00:00,2020-10-30-00:00,first,0.03054757856635875,TA
OXTUSDT,2020-10-29-00:00,2020-10-30-00:00,second,0.024093508172927068,TA
OXTUSDT,2020-10-30-00:00,2020-10-31-00:00,first,0.02555151318113876,TA
OXTUSDT,2020-10-30-00:00,2020-10-31-00:00,second,0.016683572253093082,TA
OXTUSDT,2020-10-31-00:00,2020-11-01-00:00,first,0.041693028816311366,TA
OXTUSDT,2020-10-31-00:00,2020-11-01-00:00,second,0.02279284552468202,TA
OXTUSDT,2020-11-01-00:00,2020-11-02-00:00,first,0.03276687223318506,TA
OXTUSDT,2020-11-01-00:00,2020-11-02-00:00,second,0.023490124957069435,TA
OXTUSDT,2020-11-02-00:00,2020-11-03-00:00,first,0.024736143649998727,TA
OXTUSDT,2020-11-02-00:00,2020-11-03-00:00,second,0.016381944321640963,TA
OXTUSDT,2020-11-03-00:00,2020-11-04-00:00,first,0.024400786387514625,TA
OXTUSDT,2020-11-03-00:00,2020-11-04-00:00,second,0.02807769996369349,TA
OXTUSDT,2020-11-04-00:00,2020-11-05-00:00,first,0.03656512036289272,TA
OXTUSDT,2020-11-04-00:00,2020-11-05-00:00,second,0.03224711418157202,TA
OXTUSDT,2020-11-05-00:00,2020-11-06-00:00,first,0.025724115827804844,TA
OXTUSDT,2020-11-05-00:00,2020-11-06-00:00,second,0.031096413517089572,TA
OXTUSDT,2020-11-06-00:00,2020-11-07-00:00,first,0.012270504995696858,TA
OXTUSDT,2020-11-06-00:00,2020-11-07-00:00,second,0.01784356613914891,TA
