symbol,start_date,end_date,digit_type,mad,target
TRXUSDT,2020-01-01-00:00,2020-01-02-00:00,first,0.013613966648742216,TA
TRXUSDT,2020-01-01-00:00,2020-01-02-00:00,second,0.006333907771682372,TA
TRXUSDT,2020-01-02-00:00,2020-01-03-00:00,first,0.010773082179875765,TA
TRXUSDT,2020-01-02-00:00,2020-01-03-00:00,second,0.005611644345344518,TA
TRXUSDT,2020-01-03-00:00,2020-01-04-00:00,first,0.007462189398090598,TA
TRXUSDT,2020-01-03-00:00,2020-01-04-00:00,second,0.007021505773991606,TA
TRXUSDT,2020-01-04-00:00,2020-01-05-00:00,first,0.0064064375329293535,TA
TRXUSDT,2020-01-04-00:00,2020-01-05-00:00,second,0.00822067595077684,TA
TRXUSDT,2020-01-05-00:00,2020-01-06-00:00,first,0.004878682145696993,TA
TRXUSDT,2020-01-05-00:00,2020-01-06-00:00,second,0.006949877617428041,TA
TRXUSDT,2020-01-06-00:00,2020-01-07-00:00,first,0.00976151099769542,TA
TRXUSDT,2020-01-06-00:00,2020-01-07-00:00,second,0.005766672257629152,TA
TRXUSDT,2020-01-07-00:00,2020-01-08-00:00,first,0.011027933317676514,TA
TRXUSDT,2020-01-07-00:00,2020-01-08-00:00,second,0.006075652335486205,TA
TRXUSDT,2020-01-08-00:00,2020-01-09-00:00,first,0.006491036894491497,TA
TRXUSDT,2020-01-08-00:00,2020-01-09-00:00,second,0.007426011244165176,TA
TRXUSDT,2020-01-09-00:00,2020-01-10-00:00,first,0.007989556112425113,TA
TRXUSDT,2020-01-09-00:00,2020-01-10-00:00,second,0.005676799529809945,TA
TRXUSDT,2020-01-10-00:00,2020-01-11-00:00,first,0.014003590966219285,TA
TRXUSDT,2020-01-10-00:00,2020-01-11-00:00,second,0.009064476863587773,TA
TRXUSDT,2020-01-11-00:00,2020-01-12-00:00,first,0.012554784153635912,TA
TRXUSDT,2020-01-11-00:00,2020-01-12-00:00,second,0.007014079800780127,TA
TRXUSDT,2020-01-12-00:00,2020-01-13-00:00,first,0.00890730351442106,TA
TRXUSDT,2020-01-12-00:00,2020-01-13-00:00,second,0.005724091664799697,TA
TRXUSDT,2020-01-13-00:00,2020-01-14-00:00,first,0.010819645547932015,TA
TRXUSDT,2020-01-13-00:00,2020-01-14-00:00,second,0.008835055744902546,TA
TRXUSDT,2020-01-14-00:00,2020-01-15-00:00,first,0.007875902077930961,TA
TRXUSDT,2020-01-14-00:00,2020-01-15-00:00,second,0.0059769754183971015,TA
TRXUSDT,2020-01-15-00:00,2020-01-16-00:00,first,0.011025523725572263,TA
TRXUSDT,2020-01-15-00:00,2020-01-16-00:00,second,0.006607197942153885,TA
TRXUSDT,2020-01-16-00:00,2020-01-17-00:00,first,0.007534652700525144,TA
TRXUSDT,2020-01-16-00:00,2020-01-17-00:00,second,0.00907213530389853,TA
TRXUSDT,2020-01-17-00:00,2020-01-18-00:00,first,0.0047827625770268355,TA
TRXUSDT,2020-01-17-00:00,2020-01-18-00:00,second,0.00671216864668053,TA
TRXUSDT,2020-01-18-00:00,2020-01-19-00:00,first,0.00653530405428536,TA
TRXUSDT,2020-01-18-00:00,2020-01-19-00:00,second,0.006111418195604214,TA
TRXUSDT,2020-01-19-00:00,2020-01-20-00:00,first,0.007385366345623147,TA
TRXUSDT,2020-01-19-00:00,2020-01-20-00:00,second,0.005320643908288791,TA
TRXUSDT,2020-01-20-00:00,2020-01-21-00:00,first,0.008162919177413559,TA
TRXUSDT,2020-01-20-00:00,2020-01-21-00:00,second,0.006406508562145774,TA
TRXUSDT,2020-01-21-00:00,2020-01-22-00:00,first,0.015614232097261307,TA
TRXUSDT,2020-01-21-00:00,2020-01-22-00:00,second,0.005850926683702022,TA
TRXUSDT,2020-01-22-00:00,2020-01-23-00:00,first,0.00796567912833413,TA
TRXUSDT,2020-01-22-00:00,2020-01-23-00:00,second,0.004951894744931249,TA
TRXUSDT,2020-01-23-00:00,2020-01-24-00:00,first,0.011907510007508323,TA
TRXUSDT,2020-01-23-00:00,2020-01-24-00:00,second,0.004457018890036611,TA
TRXUSDT,2020-01-24-00:00,2020-01-25-00:00,first,0.010582012653563353,TA
TRXUSDT,2020-01-24-00:00,2020-01-25-00:00,second,0.004942738762624037,TA
TRXUSDT,2020-01-25-00:00,2020-01-26-00:00,first,0.0077907527142456285,TA
TRXUSDT,2020-01-25-00:00,2020-01-26-00:00,second,0.005607121193899315,TA
