symbol,start_date,end_date,digit_type,mad,target
XLMUSDT,2020-01-01-00:00,2020-01-02-00:00,first,0.012072315220105358,TA
XLMUSDT,2020-01-01-00:00,2020-01-02-00:00,second,0.01064508981148837,TA
XLMUSDT,2020-01-02-00:00,2020-01-03-00:00,first,0.014695703734426848,TA
XLMUSDT,2020-01-02-00:00,2020-01-03-00:00,second,0.009576787482353777,TA
XLMUSDT,2020-01-03-00:00,2020-01-04-00:00,first,0.010036322878584573,TA
XLMUSDT,2020-01-03-00:00,2020-01-04-00:00,second,0.011205366939157043,TA
XLMUSDT,2020-01-04-00:00,2020-01-05-00:00,first,0.015048732355340565,TA
XLMUSDT,2020-01-04-00:00,2020-01-05-00:00,second,0.004030120060072265,TA
XLMUSDT,2020-01-05-00:00,2020-01-06-00:00,first,0.012033958045718067,TA
XLMUSDT,2020-01-05-00:00,2020-01-06-00:00,second,0.004395673429624787,TA
XLMUSDT,2020-01-06-00:00,2020-01-07-00:00,first,0.007014527314022205,TA
XLMUSDT,2020-01-06-00:00,2020-01-07-00:00,second,0.004185250580301092,TA
XLMUSDT,2020-01-07-00:00,2020-01-08-00:00,first,0.004655978278450845,TA
XLMUSDT,2020-01-07-00:00,2020-01-08-00:00,second,0.007266000815550277,TA
XLMUSDT,2020-01-08-00:00,2020-01-09-00:00,first,0.005289183932227673,TA
XLMUSDT,2020-01-08-00:00,2020-01-09-00:00,second,0.004172931930419364,TA
XLMUSDT,2020-01-09-00:00,2020-01-10-00:00,first,0.008156586314161286,TA
XLMUSDT,2020-01-09-00:00,2020-01-10-00:00,second,0.006983530446208338,TA
XLMUSDT,2020-01-10-00:00,2020-01-11-00:00,first,0.005715680949725099,TA
XLMUSDT,2020-01-10-00:00,2020-01-11-00:00,second,0.006941165086484256,TA
XLMUSDT,2020-01-11-00:00,2020-01-12-00:00,first,0.007205020039902112,TA
XLMUSDT,2020-01-11-00:00,2020-01-12-00:00,second,0.006224825115992755,TA
XLMUSDT,2020-01-12-00:00,2020-01-13-00:00,first,0.007569858491726301,TA
XLMUSDT,2020-01-12-00:00,2020-01-13-00:00,second,0.008598782184196054,TA
XLMUSDT,2020-01-13-00:00,2020-01-14-00:00,first,0.006507420149049491,TA
XLMUSDT,2020-01-13-00:00,2020-01-14-00:00,second,0.008137510559878292,TA
XLMUSDT,2020-01-14-00:00,2020-01-15-00:00,first,0.007963569411890735,TA
XLMUSDT,2020-01-14-00:00,2020-01-15-00:00,second,0.00811575903751654,TA
XLMUSDT,2020-01-15-00:00,2020-01-16-00:00,first,0.005063801028839567,TA
XLMUSDT,2020-01-15-00:00,2020-01-16-00:00,second,0.005791909471840209,TA
XLMUSDT,2020-01-16-00:00,2020-01-17-00:00,first,0.005899476961957152,TA
XLMUSDT,2020-01-16-00:00,2020-01-17-00:00,second,0.00358928561531754,TA
XLMUSDT,2020-01-17-00:00,2020-01-18-00:00,first,0.0053169921991405855,TA
XLMUSDT,2020-01-17-00:00,2020-01-18-00:00,second,0.004793784715203071,TA
XLMUSDT,2020-01-18-00:00,2020-01-19-00:00,first,0.004520927103528492,TA
XLMUSDT,2020-01-18-00:00,2020-01-19-00:00,second,0.004537989633097518,TA
XLMUSDT,2020-01-19-00:00,2020-01-20-00:00,first,0.006157505390980924,TA
XLMUSDT,2020-01-19-00:00,2020-01-20-00:00,second,0.008755384349617654,TA
XLMUSDT,2020-01-20-00:00,2020-01-21-00:00,first,0.005877400402982123,TA
XLMUSDT,2020-01-20-00:00,2020-01-21-00:00,second,0.005318521624227973,TA
XLMUSDT,2020-01-21-00:00,2020-01-22-00:00,first,0.013092003026397887,TA
XLMUSDT,2020-01-21-00:00,2020-01-22-00:00,second,0.0043783132909755,TA
XLMUSDT,2020-01-22-00:00,2020-01-23-00:00,first,0.009894842216238894,TA
XLMUSDT,2020-01-22-00:00,2020-01-23-00:00,second,0.006560137325578782,TA
XLMUSDT,2020-01-23-00:00,2020-01-24-00:00,first,0.007141691256294568,TA
XLMUSDT,2020-01-23-00:00,2020-01-24-00:00,second,0.005492171887351988,TA
XLMUSDT,2020-01-24-00:00,2020-01-25-00:00,first,0.006250934511605431,TA
XLMUSDT,2020-01-24-00:00,2020-01-25-00:00,second,0.007392198857261892,TA
XLMUSDT,2020-01-25-00:00,2020-01-26-00:00,first,0.00811200495144306,TA
XLMUSDT,2020-01-25-00:00,2020-01-26-00:00,second,0.0076225478832842655,TA
XLMUSDT,2020-01-26-00:00,2020-01-27-00:00,first,0.0042681618770507475,TA
XLMUSDT,2020-01-26-00:00,2020-01-27-00:00,second,0.004836974362885561,TA
XLMUSDT,2020-01-27-00:00,2020-01-28-00:00,first,0.010428476766229343,TA
XLMUSDT,2020-01-27-00:00,2020-01-28-00:00,second,0.00697627953056915,TA
XLMUSDT,2020-01-28-00:00,2020-01-29-00:00,first,0.004544416986501113,TA
XLMUSDT,2020-01-28-00:00,2020-01-29-00:00,second,0.0036534127565953714,TA
XLMUSDT,2020-01-29-00:00,2020-01-30-00:00,first,0.0035953273026576075,TA
XLMUSDT,2020-01-29-00:00,2020-01-30-00:00,second,0.006436252141563478,TA
XLMUSDT,2020-01-30-00:00,2020-01-31-00:00,first,0.010140718189882023,TA
XLMUSDT,2020-01-30-00:00,2020-01-31-00:00,second,0.004876188224251822,TA
XLMUSDT,2020-01-31-00:00,2020-02-01-00:00,first,0.006171450589005382,TA
XLMUSDT,2020-01-31-00:00,2020-02-01-00:00,second,0.0065574551298897815,TA
XLMUSDT,2020-02-01-00:00,2020-02-02-00:00,first,0.006103660237240168,TA
XLMUSDT,2020-02-01-00:00,2020-02-02-00:00,second,0.004657233217170174,TA
XLMUSDT,2020-02-02-00:00,2020-02-03-00:00,first,0.004258742265708317,TA
XLMUSDT,2020-02-02-00:00,2020-02-03-00:00,second,0.0065348291835753206,TA
XLMUSDT,2020-02-03-00:00,2020-02-04-00:00,first,0.012116346287854705,TA
XLMUSDT,2020-02-03-00:00,2020-02-04-00:00,second,0.007536025862484906,TA
XLMUSDT,2020-02-04-00:00,2020-02-05-00:00,first,0.008492841433292313,TA
XLMUSDT,2020-02-04-00:00,2020-02-05-00:00,second,0.00527808486227088,TA
XLMUSDT,2020-02-05-00:00,2020-02-06-00:00,first,0.010131593100890247,TA
XLMUSDT,2020-02-05-00:00,2020-02-06-00:00,second,0.007987234516991513,TA
XLMUSDT,2020-02-06-00:00,2020-02-07-00:00,first,0.010471412808099299,TA
XLMUSDT,2020-02-06-00:00,2020-02-07-00:00,second,0.007555652730264874,TA
XLMUSDT,2020-02-07-00:00,2020-02-08-00:00,first,0.00839790843352084,TA
XLMUSDT,2020-02-07-00:00,2020-02-08-00:00,second,0.00783699970695883,TA
XLMUSDT,2020-02-08-00:00,2020-02-09-00:00,first,0.009481016906761912,TA
XLMUSDT,2020-02-08-00:00,2020-02-09-00:00,second,0.008445220087274124,TA
XLMUSDT,2020-02-09-00:00,2020-02-10-00:00,first,0.006481423709085736,TA
XLMUSDT,2020-02-09-00:00,2020-02-10-00:00,second,0.00788417086797416,TA
XLMUSDT,2020-02-10-00:00,2020-02-11-00:00,first,0.006556045552827262,TA
XLMUSDT,2020-02-10-00:00,2020-02-11-00:00,second,0.0070548893683550894,TA
XLMUSDT,2020-02-11-00:00,2020-02-12-00:00,first,0.004177864761139145,TA
XLMUSDT,2020-02-11-00:00,2020-02-12-00:00,second,0.007260340858526247,TA
XLMUSDT,2020-02-12-00:00,2020-02-13-00:00,first,0.009108722031122571,TA
XLMUSDT,2020-02-12-00:00,2020-02-13-00:00,second,0.00737494159261831,TA
XLMUSDT,2020-02-13-00:00,2020-02-14-00:00,first,0.00763848069257978,TA
XLMUSDT,2020-02-13-00:00,2020-02-14-00:00,second,0.005822723505890736,TA
XLMUSDT,2020-02-14-00:00,2020-02-15-00:00,first,0.011559163290116322,TA
XLMUSDT,2020-02-14-00:00,2020-02-15-00:00,second,0.005178714734854551,TA
XLMUSDT,2020-02-15-00:00,2020-02-16-00:00,first,0.006472126991934007,TA
XLMUSDT,2020-02-15-00:00,2020-02-16-00:00,second,0.007774663598189051,TA
