symbol,start_date,end_date,digit_type,mad,target
KRW-DOT,2020-12-31-00:00,2021-01-01-00:00,first,0.01490766179935681,TA
KRW-DOT,2020-12-31-00:00,2021-01-01-00:00,second,0.013714620416986501,TA
KRW-DOT,2020-12-30-00:00,2020-12-31-00:00,first,0.013131673582093089,TA
KRW-DOT,2020-12-30-00:00,2020-12-31-00:00,second,0.012862429251204252,TA
KRW-DOT,2020-12-29-00:00,2020-12-30-00:00,first,0.019792898744505696,TA
KRW-DOT,2020-12-29-00:00,2020-12-30-00:00,second,0.014249401674104583,TA
KRW-DOT,2020-12-28-00:00,2020-12-29-00:00,first,0.01602694549325832,TA
KRW-DOT,2020-12-28-00:00,2020-12-29-00:00,second,0.00884740822986521,TA
KRW-DOT,2020-12-27-00:00,2020-12-28-00:00,first,0.021451392828381963,TA
KRW-DOT,2020-12-27-00:00,2020-12-28-00:00,second,0.014937417228317951,TA
KRW-DOT,2020-12-26-00:00,2020-12-27-00:00,first,0.016085955178366848,TA
KRW-DOT,2020-12-26-00:00,2020-12-27-00:00,second,0.01561170803096686,TA
KRW-DOT,2020-12-25-00:00,2020-12-26-00:00,first,0.01719706628947796,TA
KRW-DOT,2020-12-25-00:00,2020-12-26-00:00,second,0.02070224661788115,TA
KRW-DOT,2020-12-24-00:00,2020-12-25-00:00,first,0.010626107086363893,TA
KRW-DOT,2020-12-24-00:00,2020-12-25-00:00,second,0.020994278015164704,TA
KRW-DOT,2020-12-23-00:00,2020-12-24-00:00,first,0.013240995132690135,TA
KRW-DOT,2020-12-23-00:00,2020-12-24-00:00,second,0.012111708030966858,TA
KRW-DOT,2020-12-22-00:00,2020-12-23-00:00,first,0.020713891950076366,TA
KRW-DOT,2020-12-22-00:00,2020-12-23-00:00,second,0.020805320142785196,TA
KRW-DOT,2020-12-21-00:00,2020-12-22-00:00,first,0.012685439577134581,TA
KRW-DOT,2020-12-21-00:00,2020-12-22-00:00,second,0.024716257333653423,TA
KRW-DOT,2020-12-20-00:00,2020-12-21-00:00,first,0.024648176437029337,TA
KRW-DOT,2020-12-20-00:00,2020-12-21-00:00,second,0.022951208027109603,TA
