symbol,start_date,end_date,digit_type,mad,target
KRW-ICX,2021-01-01-00:00,2020-12-31-00:00,first,0.020417498951186126,TA
KRW-ICX,2021-01-01-00:00,2020-12-31-00:00,second,0.021067588255105008,TA
KRW-ICX,2020-12-31-00:00,2020-12-30-00:00,first,0.010038770019788715,TA
KRW-ICX,2020-12-31-00:00,2020-12-30-00:00,second,0.012321283546804217,TA
KRW-ICX,2020-12-30-00:00,2020-12-29-00:00,first,0.009218796381550431,TA
KRW-ICX,2020-12-30-00:00,2020-12-29-00:00,second,0.006711004018285939,TA
KRW-ICX,2020-12-29-00:00,2020-12-28-00:00,first,0.016255833418587474,TA
KRW-ICX,2020-12-29-00:00,2020-12-28-00:00,second,0.014050665153313092,TA
KRW-ICX,2020-12-28-00:00,2020-12-27-00:00,first,0.014545464011776841,TA
KRW-ICX,2020-12-28-00:00,2020-12-27-00:00,second,0.01072472489869557,TA
KRW-ICX,2020-12-27-00:00,2020-12-26-00:00,first,0.010915834382147204,TA
KRW-ICX,2020-12-27-00:00,2020-12-26-00:00,second,0.00751596749829078,TA
KRW-ICX,2020-12-26-00:00,2020-12-25-00:00,first,0.008445951324127914,TA
KRW-ICX,2020-12-26-00:00,2020-12-25-00:00,second,0.00906758825510501,TA
KRW-ICX,2020-12-25-00:00,2020-12-24-00:00,first,0.013534993084573576,TA
KRW-ICX,2020-12-25-00:00,2020-12-24-00:00,second,0.015488735614467846,TA
KRW-ICX,2020-12-24-00:00,2020-12-23-00:00,first,0.02078094922650016,TA
KRW-ICX,2020-12-24-00:00,2020-12-23-00:00,second,0.016878365968972825,TA
KRW-ICX,2020-12-23-00:00,2020-12-22-00:00,first,0.020267657945117867,TA
KRW-ICX,2020-12-23-00:00,2020-12-22-00:00,second,0.017821283546804217,TA
KRW-ICX,2020-12-22-00:00,2020-12-21-00:00,first,0.006469600377188705,TA
KRW-ICX,2020-12-22-00:00,2020-12-21-00:00,second,0.010997190401184345,TA
KRW-ICX,2020-12-21-00:00,2020-12-20-00:00,first,0.015846947420377788,TA
KRW-ICX,2020-12-21-00:00,2020-12-20-00:00,second,0.012918626845876552,TA
KRW-ICX,2020-12-20-00:00,2020-12-19-00:00,first,0.017146511867990415,TA
KRW-ICX,2020-12-20-00:00,2020-12-19-00:00,second,0.018080267299392428,TA
KRW-ICX,2020-12-19-00:00,2020-12-18-00:00,first,0.022548889852448625,TA
KRW-ICX,2020-12-19-00:00,2020-12-18-00:00,second,0.017253035415569495,TA
KRW-ICX,2020-12-18-00:00,2020-12-17-00:00,first,0.020882223185781954,TA
KRW-ICX,2020-12-18-00:00,2020-12-17-00:00,second,0.017406443340280565,TA
KRW-ICX,2020-12-17-00:00,2020-12-16-00:00,first,0.030828146221028672,TA
KRW-ICX,2020-12-17-00:00,2020-12-16-00:00,second,0.015569955120670031,TA
KRW-ICX,2020-12-16-00:00,2020-12-15-00:00,first,0.023496602448209405,TA
KRW-ICX,2020-12-16-00:00,2020-12-15-00:00,second,0.019964928907519237,TA
KRW-ICX,2020-12-15-00:00,2020-12-14-00:00,first,0.030329907492661543,TA
KRW-ICX,2020-12-15-00:00,2020-12-14-00:00,second,0.027520241559341286,TA
KRW-ICX,2020-12-14-00:00,2020-12-13-00:00,first,0.031255833418587474,TA
KRW-ICX,2020-12-14-00:00,2020-12-13-00:00,second,0.028300376067983718,TA
KRW-ICX,2020-12-13-00:00,2020-12-12-00:00,first,0.022138056604369436,TA
KRW-ICX,2020-12-13-00:00,2020-12-12-00:00,second,0.029022355386472444,TA
KRW-ICX,2020-12-12-00:00,2020-12-11-00:00,first,0.00924771741355945,TA
KRW-ICX,2020-12-12-00:00,2020-12-11-00:00,second,0.02333636874890283,TA
KRW-ICX,2020-12-11-00:00,2020-12-10-00:00,first,0.018249167715480536,TA
KRW-ICX,2020-12-11-00:00,2020-12-10-00:00,second,0.013786365352211444,TA
KRW-ICX,2020-12-10-00:00,2020-12-09-00:00,first,0.03551509267784673,TA
KRW-ICX,2020-12-10-00:00,2020-12-09-00:00,second,0.026953321854240757,TA
KRW-ICX,2020-12-09-00:00,2020-12-08-00:00,first,0.02490222029510275,TA
KRW-ICX,2020-12-09-00:00,2020-12-08-00:00,second,0.02103665518757409,TA
KRW-ICX,2020-12-08-00:00,2020-12-07-00:00,first,0.031811388974143026,TA
KRW-ICX,2020-12-08-00:00,2020-12-07-00:00,second,0.025669702082236158,TA
KRW-ICX,2020-12-07-00:00,2020-12-06-00:00,first,0.025144722307476358,TA
KRW-ICX,2020-12-07-00:00,2020-12-06-00:00,second,0.021134479953784913,TA
KRW-ICX,2020-12-06-00:00,2020-12-05-00:00,first,0.026626203788957845,TA
KRW-ICX,2020-12-06-00:00,2020-12-05-00:00,second,0.019062562041954216,TA
KRW-ICX,2020-12-05-00:00,2020-12-04-00:00,first,0.021656546834006755,TA
KRW-ICX,2020-12-05-00:00,2020-12-04-00:00,second,0.016300665153313094,TA
KRW-ICX,2020-12-04-00:00,2020-12-03-00:00,first,0.017415834382147204,TA
KRW-ICX,2020-12-04-00:00,2020-12-03-00:00,second,0.016550665153313094,TA
KRW-ICX,2020-12-03-00:00,2020-12-02-00:00,first,0.01602694549325831,TA
KRW-ICX,2020-12-03-00:00,2020-12-02-00:00,second,0.01469876382289349,TA
KRW-ICX,2020-12-02-00:00,2020-12-01-00:00,first,0.01823555362843608,TA
KRW-ICX,2020-12-02-00:00,2020-12-01-00:00,second,0.015328088258962263,TA
KRW-ICX,2020-12-01-00:00,2020-11-30-00:00,first,0.014429323477716515,TA
KRW-ICX,2020-12-01-00:00,2020-11-30-00:00,second,0.012988369505821776,TA
KRW-ICX,2020-11-30-00:00,2020-11-29-00:00,first,0.02392752950820334,TA
KRW-ICX,2020-11-30-00:00,2020-11-29-00:00,second,0.020398009202418698,TA
KRW-ICX,2020-11-29-00:00,2020-11-28-00:00,first,0.018499717319169405,TA
KRW-ICX,2020-11-29-00:00,2020-11-28-00:00,second,0.0076257179967058625,TA
KRW-ICX,2020-11-28-00:00,2020-11-27-00:00,first,0.010201659751240244,TA
KRW-ICX,2020-11-28-00:00,2020-11-27-00:00,second,0.01087276194538411,TA
KRW-ICX,2020-11-27-00:00,2020-11-26-00:00,first,0.014686381095156865,TA
KRW-ICX,2020-11-27-00:00,2020-11-26-00:00,second,0.01129810387410625,TA
