symbol,start_date,end_date,digit_type,mad,target
CVXUSDT,2021-12-23-00:00,2021-12-24-00:00,first,0.025442960541381246,TA
CVXUSDT,2021-12-23-00:00,2021-12-24-00:00,second,0.03767219598017944,TA
CVXUSDT,2021-12-24-00:00,2021-12-25-00:00,first,0.008732090848051354,TA
CVXUSDT,2021-12-24-00:00,2021-12-25-00:00,second,0.006199922463070749,TA
CVXUSDT,2021-12-25-00:00,2021-12-26-00:00,first,0.003949341070548104,TA
CVXUSDT,2021-12-25-00:00,2021-12-26-00:00,second,0.01192393946524101,TA
CVXUSDT,2021-12-26-00:00,2021-12-27-00:00,first,0.00918300931163026,TA
CVXUSDT,2021-12-26-00:00,2021-12-27-00:00,second,0.01049794483646144,TA
CVXUSDT,2021-12-27-00:00,2021-12-28-00:00,first,0.009958331804099682,TA
CVXUSDT,2021-12-27-00:00,2021-12-28-00:00,second,0.006189674836679304,TA
CVXUSDT,2021-12-28-00:00,2021-12-29-00:00,first,0.008036363293557057,TA
CVXUSDT,2021-12-28-00:00,2021-12-29-00:00,second,0.004342056579100338,TA
CVXUSDT,2021-12-29-00:00,2021-12-30-00:00,first,0.0077033264280910296,TA
CVXUSDT,2021-12-29-00:00,2021-12-30-00:00,second,0.007521357067189996,TA
CVXUSDT,2021-12-30-00:00,2021-12-31-00:00,first,0.0075404236619124555,TA
CVXUSDT,2021-12-30-00:00,2021-12-31-00:00,second,0.0037427146893002985,TA
CVXUSDT,2021-12-31-00:00,2022-01-01-00:00,first,0.009066348125152383,TA
CVXUSDT,2021-12-31-00:00,2022-01-01-00:00,second,0.004980232272957736,TA
