symbol,start_date,end_date,digit_type,mad,target
DUSKUSDT,2021-01-01-00:00,2021-01-02-00:00,first,0.018153069829571312,TA
DUSKUSDT,2021-01-01-00:00,2021-01-02-00:00,second,0.016730457475233225,TA
DUSKUSDT,2021-01-02-00:00,2021-01-03-00:00,first,0.02475684127121906,TA
DUSKUSDT,2021-01-02-00:00,2021-01-03-00:00,second,0.021832491369572233,TA
DUSKUSDT,2021-01-03-00:00,2021-01-04-00:00,first,0.04943600703370459,TA
DUSKUSDT,2021-01-03-00:00,2021-01-04-00:00,second,0.01860306137138888,TA
DUSKUSDT,2021-01-04-00:00,2021-01-05-00:00,first,0.015634917946453393,TA
DUSKUSDT,2021-01-04-00:00,2021-01-05-00:00,second,0.01415898442476057,TA
DUSKUSDT,2021-01-05-00:00,2021-01-06-00:00,first,0.040030416338581884,TA
DUSKUSDT,2021-01-05-00:00,2021-01-06-00:00,second,0.014025351677077465,TA
DUSKUSDT,2021-01-06-00:00,2021-01-07-00:00,first,0.03702123919337376,TA
DUSKUSDT,2021-01-06-00:00,2021-01-07-00:00,second,0.012927933583782105,TA
DUSKUSDT,2021-01-07-00:00,2021-01-08-00:00,first,0.017794447214559524,TA
DUSKUSDT,2021-01-07-00:00,2021-01-08-00:00,second,0.012445123129149284,TA
DUSKUSDT,2021-01-08-00:00,2021-01-09-00:00,first,0.01111511918550507,TA
DUSKUSDT,2021-01-08-00:00,2021-01-09-00:00,second,0.008414965093382562,TA
DUSKUSDT,2021-01-09-00:00,2021-01-10-00:00,first,0.015607697125490991,TA
DUSKUSDT,2021-01-09-00:00,2021-01-10-00:00,second,0.010489669565571142,TA
DUSKUSDT,2021-01-10-00:00,2021-01-11-00:00,first,0.008346600121617705,TA
DUSKUSDT,2021-01-10-00:00,2021-01-11-00:00,second,0.01378410937682944,TA
DUSKUSDT,2021-01-11-00:00,2021-01-12-00:00,first,0.018114857581170398,TA
DUSKUSDT,2021-01-11-00:00,2021-01-12-00:00,second,0.013031134380318676,TA
DUSKUSDT,2021-01-12-00:00,2021-01-13-00:00,first,0.04490533238676808,TA
DUSKUSDT,2021-01-12-00:00,2021-01-13-00:00,second,0.01598602056701464,TA
DUSKUSDT,2021-01-13-00:00,2021-01-14-00:00,first,0.03089762075775596,TA
DUSKUSDT,2021-01-13-00:00,2021-01-14-00:00,second,0.01538774376812751,TA
DUSKUSDT,2021-01-14-00:00,2021-01-15-00:00,first,0.016359942920104807,TA
DUSKUSDT,2021-01-14-00:00,2021-01-15-00:00,second,0.01416516075255519,TA
DUSKUSDT,2021-01-15-00:00,2021-01-16-00:00,first,0.023749075587110584,TA
DUSKUSDT,2021-01-15-00:00,2021-01-16-00:00,second,0.014436209001582257,TA
DUSKUSDT,2021-01-16-00:00,2021-01-17-00:00,first,0.02971873579060143,TA
DUSKUSDT,2021-01-16-00:00,2021-01-17-00:00,second,0.01514461585682301,TA
DUSKUSDT,2021-01-17-00:00,2021-01-18-00:00,first,0.031347909460291756,TA
DUSKUSDT,2021-01-17-00:00,2021-01-18-00:00,second,0.020089119618975894,TA
DUSKUSDT,2021-01-18-00:00,2021-01-19-00:00,first,0.021075086901253186,TA
DUSKUSDT,2021-01-18-00:00,2021-01-19-00:00,second,0.013143056072252721,TA
DUSKUSDT,2021-01-19-00:00,2021-01-20-00:00,first,0.010591828453101837,TA
DUSKUSDT,2021-01-19-00:00,2021-01-20-00:00,second,0.015022740371601662,TA
DUSKUSDT,2021-01-20-00:00,2021-01-21-00:00,first,0.0185651381138899,TA
DUSKUSDT,2021-01-20-00:00,2021-01-21-00:00,second,0.012393369243262026,TA
DUSKUSDT,2021-01-21-00:00,2021-01-22-00:00,first,0.014388459430499342,TA
DUSKUSDT,2021-01-21-00:00,2021-01-22-00:00,second,0.013139220851940445,TA
DUSKUSDT,2021-01-22-00:00,2021-01-23-00:00,first,0.008548654605727077,TA
DUSKUSDT,2021-01-22-00:00,2021-01-23-00:00,second,0.010536185137064922,TA
DUSKUSDT,2021-01-23-00:00,2021-01-24-00:00,first,0.0056908959194462184,TA
DUSKUSDT,2021-01-23-00:00,2021-01-24-00:00,second,0.011591261763382817,TA
DUSKUSDT,2021-01-24-00:00,2021-01-25-00:00,first,0.013127690562773622,TA
DUSKUSDT,2021-01-24-00:00,2021-01-25-00:00,second,0.010963414563546426,TA
DUSKUSDT,2021-01-25-00:00,2021-01-26-00:00,first,0.015746578435677165,TA
DUSKUSDT,2021-01-25-00:00,2021-01-26-00:00,second,0.009316776709421501,TA
DUSKUSDT,2021-01-26-00:00,2021-01-27-00:00,first,0.030138631848789607,TA
DUSKUSDT,2021-01-26-00:00,2021-01-27-00:00,second,0.02169979430434623,TA
DUSKUSDT,2021-01-27-00:00,2021-01-28-00:00,first,0.018724031095331065,TA
DUSKUSDT,2021-01-27-00:00,2021-01-28-00:00,second,0.010184201882579227,TA
DUSKUSDT,2021-01-28-00:00,2021-01-29-00:00,first,0.019382585000955493,TA
DUSKUSDT,2021-01-28-00:00,2021-01-29-00:00,second,0.013821864359209523,TA
DUSKUSDT,2021-01-29-00:00,2021-01-30-00:00,first,0.022380175450769067,TA
DUSKUSDT,2021-01-29-00:00,2021-01-30-00:00,second,0.015804953040272563,TA
DUSKUSDT,2021-01-30-00:00,2021-01-31-00:00,first,0.012201528106667723,TA
DUSKUSDT,2021-01-30-00:00,2021-01-31-00:00,second,0.01016351046780292,TA
DUSKUSDT,2021-01-31-00:00,2021-02-01-00:00,first,0.010095060994944054,TA
DUSKUSDT,2021-01-31-00:00,2021-02-01-00:00,second,0.0070725571667986705,TA
DUSKUSDT,2021-02-01-00:00,2021-02-02-00:00,first,0.009388877273109874,TA
DUSKUSDT,2021-02-01-00:00,2021-02-02-00:00,second,0.006279966747515335,TA
DUSKUSDT,2021-02-02-00:00,2021-02-03-00:00,first,0.012124436276886336,TA
DUSKUSDT,2021-02-02-00:00,2021-02-03-00:00,second,0.008460459831269408,TA
DUSKUSDT,2021-02-03-00:00,2021-02-04-00:00,first,0.015908328473561207,TA
DUSKUSDT,2021-02-03-00:00,2021-02-04-00:00,second,0.015756698457817627,TA
DUSKUSDT,2021-02-04-00:00,2021-02-05-00:00,first,0.008988069020436924,TA
DUSKUSDT,2021-02-04-00:00,2021-02-05-00:00,second,0.008313400130058091,TA
DUSKUSDT,2021-02-05-00:00,2021-02-06-00:00,first,0.009025992156756804,TA
DUSKUSDT,2021-02-05-00:00,2021-02-06-00:00,second,0.005216511945384107,TA
DUSKUSDT,2021-02-06-00:00,2021-02-07-00:00,first,0.005730187141064437,TA
DUSKUSDT,2021-02-06-00:00,2021-02-07-00:00,second,0.011966851762738106,TA
