symbol,start_date,end_date,digit_type,mad,target
FETUSDT,2021-01-01-00:00,2021-01-02-00:00,first,0.010255093404531268,TA
FETUSDT,2021-01-01-00:00,2021-01-02-00:00,second,0.01411460862887746,TA
FETUSDT,2021-01-02-00:00,2021-01-03-00:00,first,0.013752408328648692,TA
FETUSDT,2021-01-02-00:00,2021-01-03-00:00,second,0.013340322289545728,TA
FETUSDT,2021-01-03-00:00,2021-01-04-00:00,first,0.009085827632710429,TA
FETUSDT,2021-01-03-00:00,2021-01-04-00:00,second,0.008369947892759586,TA
FETUSDT,2021-01-04-00:00,2021-01-05-00:00,first,0.007769540581237837,TA
FETUSDT,2021-01-04-00:00,2021-01-05-00:00,second,0.00672510672912614,TA
FETUSDT,2021-01-05-00:00,2021-01-06-00:00,first,0.004920884914527317,TA
FETUSDT,2021-01-05-00:00,2021-01-06-00:00,second,0.01004428146957195,TA
FETUSDT,2021-01-06-00:00,2021-01-07-00:00,first,0.006841663605479182,TA
FETUSDT,2021-01-06-00:00,2021-01-07-00:00,second,0.010924928907519237,TA
FETUSDT,2021-01-07-00:00,2021-01-08-00:00,first,0.006143475077119428,TA
FETUSDT,2021-01-07-00:00,2021-01-08-00:00,second,0.0061467954887633874,TA
FETUSDT,2021-01-08-00:00,2021-01-09-00:00,first,0.005312631743573485,TA
FETUSDT,2021-01-08-00:00,2021-01-09-00:00,second,0.007826209931975782,TA
FETUSDT,2021-01-09-00:00,2021-01-10-00:00,first,0.00863325611150486,TA
FETUSDT,2021-01-09-00:00,2021-01-10-00:00,second,0.00843961570540273,TA
FETUSDT,2021-01-10-00:00,2021-01-11-00:00,first,0.0042736822379729695,TA
FETUSDT,2021-01-10-00:00,2021-01-11-00:00,second,0.006888190609450522,TA
FETUSDT,2021-01-11-00:00,2021-01-12-00:00,first,0.0072615133944928835,TA
FETUSDT,2021-01-11-00:00,2021-01-12-00:00,second,0.005060382781021848,TA
FETUSDT,2021-01-12-00:00,2021-01-13-00:00,first,0.008627755179265013,TA
FETUSDT,2021-01-12-00:00,2021-01-13-00:00,second,0.008099677888250865,TA
FETUSDT,2021-01-13-00:00,2021-01-14-00:00,first,0.008869577907823657,TA
FETUSDT,2021-01-13-00:00,2021-01-14-00:00,second,0.008759164514038714,TA
FETUSDT,2021-01-14-00:00,2021-01-15-00:00,first,0.012038635661646526,TA
FETUSDT,2021-01-14-00:00,2021-01-15-00:00,second,0.010502901753368663,TA
FETUSDT,2021-01-15-00:00,2021-01-16-00:00,first,0.007494450734348471,TA
FETUSDT,2021-01-15-00:00,2021-01-16-00:00,second,0.006890543234211203,TA
FETUSDT,2021-01-16-00:00,2021-01-17-00:00,first,0.008218139304494962,TA
FETUSDT,2021-01-16-00:00,2021-01-17-00:00,second,0.00411184161600312,TA
