symbol,start_date,end_date,digit_type,mad,target
OMUSDT,2021-03-08-00:00,2021-03-09-00:00,first,0.014635095321818095,TA
OMUSDT,2021-03-08-00:00,2021-03-09-00:00,second,0.00716654372295217,TA
OMUSDT,2021-03-09-00:00,2021-03-10-00:00,first,0.003827734320974186,TA
OMUSDT,2021-03-09-00:00,2021-03-10-00:00,second,0.0070438293449239815,TA
OMUSDT,2021-03-10-00:00,2021-03-11-00:00,first,0.007759100018349017,TA
OMUSDT,2021-03-10-00:00,2021-03-11-00:00,second,0.00863811354115707,TA
OMUSDT,2021-03-11-00:00,2021-03-12-00:00,first,0.010166658385074622,TA
OMUSDT,2021-03-11-00:00,2021-03-12-00:00,second,0.007420186443123825,TA
OMUSDT,2021-03-12-00:00,2021-03-13-00:00,first,0.006220887646510847,TA
OMUSDT,2021-03-12-00:00,2021-03-13-00:00,second,0.006482250732079917,TA
OMUSDT,2021-03-13-00:00,2021-03-14-00:00,first,0.0048306911680008,TA
OMUSDT,2021-03-13-00:00,2021-03-14-00:00,second,0.008638152524088834,TA
OMUSDT,2021-03-14-00:00,2021-03-15-00:00,first,0.002262875533989385,TA
OMUSDT,2021-03-14-00:00,2021-03-15-00:00,second,0.0055378874774184485,TA
OMUSDT,2021-03-15-00:00,2021-03-16-00:00,first,0.005018025654917762,TA
OMUSDT,2021-03-15-00:00,2021-03-16-00:00,second,0.007903288454003359,TA
OMUSDT,2021-03-16-00:00,2021-03-17-00:00,first,0.008911130195357685,TA
OMUSDT,2021-03-16-00:00,2021-03-17-00:00,second,0.006013660369471053,TA
OMUSDT,2021-03-17-00:00,2021-03-18-00:00,first,0.007050777646654288,TA
OMUSDT,2021-03-17-00:00,2021-03-18-00:00,second,0.006244129412139192,TA
OMUSDT,2021-03-18-00:00,2021-03-19-00:00,first,0.008618461349644328,TA
OMUSDT,2021-03-18-00:00,2021-03-19-00:00,second,0.006435833847529583,TA
OMUSDT,2021-03-19-00:00,2021-03-20-00:00,first,0.004490936074797802,TA
OMUSDT,2021-03-19-00:00,2021-03-20-00:00,second,0.004918751970621531,TA
OMUSDT,2021-03-20-00:00,2021-03-21-00:00,first,0.008517882634886217,TA
OMUSDT,2021-03-20-00:00,2021-03-21-00:00,second,0.004928056629051461,TA
OMUSDT,2021-03-21-00:00,2021-03-22-00:00,first,0.005152549996510214,TA
OMUSDT,2021-03-21-00:00,2021-03-22-00:00,second,0.006896338570103374,TA
OMUSDT,2021-03-22-00:00,2021-03-23-00:00,first,0.006984942221776511,TA
OMUSDT,2021-03-22-00:00,2021-03-23-00:00,second,0.0065308047994657985,TA
OMUSDT,2021-03-23-00:00,2021-03-24-00:00,first,0.004901646957731654,TA
OMUSDT,2021-03-23-00:00,2021-03-24-00:00,second,0.006647657707646559,TA
OMUSDT,2021-03-24-00:00,2021-03-25-00:00,first,0.005567404581370668,TA
OMUSDT,2021-03-24-00:00,2021-03-25-00:00,second,0.006360568504826629,TA
OMUSDT,2021-03-25-00:00,2021-03-26-00:00,first,0.0071911175056128,TA
OMUSDT,2021-03-25-00:00,2021-03-26-00:00,second,0.003891435160904165,TA
OMUSDT,2021-03-26-00:00,2021-03-27-00:00,first,0.004624049222305875,TA
OMUSDT,2021-03-26-00:00,2021-03-27-00:00,second,0.007188773538179002,TA
OMUSDT,2021-03-27-00:00,2021-03-28-00:00,first,0.00787180870169312,TA
OMUSDT,2021-03-27-00:00,2021-03-28-00:00,second,0.006934142579348887,TA
OMUSDT,2021-03-28-00:00,2021-03-29-00:00,first,0.006580114300387019,TA
OMUSDT,2021-03-28-00:00,2021-03-29-00:00,second,0.002938065010154574,TA
OMUSDT,2021-03-29-00:00,2021-03-30-00:00,first,0.0037115550575963613,TA
OMUSDT,2021-03-29-00:00,2021-03-30-00:00,second,0.0071830756912986335,TA
OMUSDT,2021-03-30-00:00,2021-03-31-00:00,first,0.0037897727479403918,TA
OMUSDT,2021-03-30-00:00,2021-03-31-00:00,second,0.007570896243974698,TA
OMUSDT,2021-03-31-00:00,2021-04-01-00:00,first,0.007657667218979924,TA
OMUSDT,2021-03-31-00:00,2021-04-01-00:00,second,0.00391561379797716,TA
OMUSDT,2021-04-01-00:00,2021-04-02-00:00,first,0.01001184007342424,TA
OMUSDT,2021-04-01-00:00,2021-04-02-00:00,second,0.007138951186977678,TA
OMUSDT,2021-04-02-00:00,2021-04-03-00:00,first,0.011124824361657007,TA
OMUSDT,2021-04-02-00:00,2021-04-03-00:00,second,0.008330332356470174,TA
OMUSDT,2021-04-03-00:00,2021-04-04-00:00,first,0.005428230312628697,TA
OMUSDT,2021-04-03-00:00,2021-04-04-00:00,second,0.00954064197302721,TA
OMUSDT,2021-04-04-00:00,2021-04-05-00:00,first,0.006624317058371822,TA
OMUSDT,2021-04-04-00:00,2021-04-05-00:00,second,0.007218117984086446,TA
OMUSDT,2021-04-05-00:00,2021-04-06-00:00,first,0.0045023097195494785,TA
OMUSDT,2021-04-05-00:00,2021-04-06-00:00,second,0.0029053279869831346,TA
OMUSDT,2021-04-06-00:00,2021-04-07-00:00,first,0.010644738716643105,TA
OMUSDT,2021-04-06-00:00,2021-04-07-00:00,second,0.0055372924045671386,TA
OMUSDT,2021-04-07-00:00,2021-04-08-00:00,first,0.006514185510453815,TA
OMUSDT,2021-04-07-00:00,2021-04-08-00:00,second,0.007299510138587183,TA
OMUSDT,2021-04-08-00:00,2021-04-09-00:00,first,0.007104616111865523,TA
OMUSDT,2021-04-08-00:00,2021-04-09-00:00,second,0.005592674412569816,TA
OMUSDT,2021-04-09-00:00,2021-04-10-00:00,first,0.0085470107961205,TA
OMUSDT,2021-04-09-00:00,2021-04-10-00:00,second,0.008719330858557474,TA
OMUSDT,2021-04-10-00:00,2021-04-11-00:00,first,0.007532333369319679,TA
OMUSDT,2021-04-10-00:00,2021-04-11-00:00,second,0.0070046979766612855,TA
OMUSDT,2021-04-11-00:00,2021-04-12-00:00,first,0.005627668128356688,TA
OMUSDT,2021-04-11-00:00,2021-04-12-00:00,second,0.006657147991815357,TA
OMUSDT,2021-04-12-00:00,2021-04-13-00:00,first,0.005711276810095048,TA
OMUSDT,2021-04-12-00:00,2021-04-13-00:00,second,0.0057821486826873224,TA
OMUSDT,2021-04-13-00:00,2021-04-14-00:00,first,0.005519522246645718,TA
OMUSDT,2021-04-13-00:00,2021-04-14-00:00,second,0.0070490427660659365,TA
OMUSDT,2021-04-14-00:00,2021-04-15-00:00,first,0.007940436408196408,TA
OMUSDT,2021-04-14-00:00,2021-04-15-00:00,second,0.006144999131766282,TA
OMUSDT,2021-04-15-00:00,2021-04-16-00:00,first,0.010328394569071532,TA
OMUSDT,2021-04-15-00:00,2021-04-16-00:00,second,0.01278129064744071,TA
OMUSDT,2021-04-16-00:00,2021-04-17-00:00,first,0.00677621299517936,TA
OMUSDT,2021-04-16-00:00,2021-04-17-00:00,second,0.005741151120026723,TA
OMUSDT,2021-04-17-00:00,2021-04-18-00:00,first,0.007281277984456684,TA
OMUSDT,2021-04-17-00:00,2021-04-18-00:00,second,0.005934258874567229,TA
OMUSDT,2021-04-18-00:00,2021-04-19-00:00,first,0.002904102342939579,TA
OMUSDT,2021-04-18-00:00,2021-04-19-00:00,second,0.007213701622063267,TA
OMUSDT,2021-04-19-00:00,2021-04-20-00:00,first,0.007929755113069379,TA
OMUSDT,2021-04-19-00:00,2021-04-20-00:00,second,0.008834850663697654,TA
OMUSDT,2021-04-20-00:00,2021-04-21-00:00,first,0.005349440667542616,TA
OMUSDT,2021-04-20-00:00,2021-04-21-00:00,second,0.005646482849267445,TA
OMUSDT,2021-04-21-00:00,2021-04-22-00:00,first,0.008386991436841731,TA
OMUSDT,2021-04-21-00:00,2021-04-22-00:00,second,0.0072682968664951626,TA
OMUSDT,2021-04-22-00:00,2021-04-23-00:00,first,0.006112906751771159,TA
OMUSDT,2021-04-22-00:00,2021-04-23-00:00,second,0.007295247085485547,TA
OMUSDT,2021-04-23-00:00,2021-04-24-00:00,first,0.00591930802300725,TA
OMUSDT,2021-04-23-00:00,2021-04-24-00:00,second,0.00967501888078306,TA
OMUSDT,2021-04-24-00:00,2021-04-25-00:00,first,0.007716822107768417,TA
OMUSDT,2021-04-24-00:00,2021-04-25-00:00,second,0.009704531471372341,TA
OMUSDT,2021-04-25-00:00,2021-04-26-00:00,first,0.004538895535767714,TA
OMUSDT,2021-04-25-00:00,2021-04-26-00:00,second,0.00827216721180597,TA
OMUSDT,2021-04-26-00:00,2021-04-27-00:00,first,0.009050177944028983,TA
OMUSDT,2021-04-26-00:00,2021-04-27-00:00,second,0.00880374393282805,TA
OMUSDT,2021-04-27-00:00,2021-04-28-00:00,first,0.01022757417495414,TA
OMUSDT,2021-04-27-00:00,2021-04-28-00:00,second,0.00638845136032448,TA
OMUSDT,2021-04-28-00:00,2021-04-29-00:00,first,0.005631297619865633,TA
OMUSDT,2021-04-28-00:00,2021-04-29-00:00,second,0.00844749076207334,TA
OMUSDT,2021-04-29-00:00,2021-04-30-00:00,first,0.0057896861782081215,TA
OMUSDT,2021-04-29-00:00,2021-04-30-00:00,second,0.007984465341895921,TA
OMUSDT,2021-04-30-00:00,2021-05-01-00:00,first,0.008526584061351684,TA
OMUSDT,2021-04-30-00:00,2021-05-01-00:00,second,0.006001024263839144,TA
OMUSDT,2021-05-01-00:00,2021-05-02-00:00,first,0.007542106595599695,TA
OMUSDT,2021-05-01-00:00,2021-05-02-00:00,second,0.006309322303430107,TA
OMUSDT,2021-05-02-00:00,2021-05-03-00:00,first,0.0048326658964365264,TA
OMUSDT,2021-05-02-00:00,2021-05-03-00:00,second,0.0042361342359737595,TA
OMUSDT,2021-05-03-00:00,2021-05-04-00:00,first,0.0061066508640287625,TA
OMUSDT,2021-05-03-00:00,2021-05-04-00:00,second,0.00468530285647534,TA
OMUSDT,2021-05-04-00:00,2021-05-05-00:00,first,0.007782103255362527,TA
OMUSDT,2021-05-04-00:00,2021-05-05-00:00,second,0.009741320949873485,TA
OMUSDT,2021-05-05-00:00,2021-05-06-00:00,first,0.007374619294977888,TA
OMUSDT,2021-05-05-00:00,2021-05-06-00:00,second,0.00794062220950825,TA
OMUSDT,2021-05-06-00:00,2021-05-07-00:00,first,0.006153207810873213,TA
OMUSDT,2021-05-06-00:00,2021-05-07-00:00,second,0.00733461034064966,TA
OMUSDT,2021-05-07-00:00,2021-05-08-00:00,first,0.008372677286321637,TA
OMUSDT,2021-05-07-00:00,2021-05-08-00:00,second,0.007891498658690758,TA
OMUSDT,2021-05-08-00:00,2021-05-09-00:00,first,0.009399714958113625,TA
OMUSDT,2021-05-08-00:00,2021-05-09-00:00,second,0.00788861136210137,TA
OMUSDT,2021-05-09-00:00,2021-05-10-00:00,first,0.007451316270296994,TA
OMUSDT,2021-05-09-00:00,2021-05-10-00:00,second,0.010862898629973349,TA
OMUSDT,2021-05-10-00:00,2021-05-11-00:00,first,0.005563593194104048,TA
OMUSDT,2021-05-10-00:00,2021-05-11-00:00,second,0.009672428995500488,TA
OMUSDT,2021-05-11-00:00,2021-05-12-00:00,first,0.006688659735551075,TA
OMUSDT,2021-05-11-00:00,2021-05-12-00:00,second,0.00616272795641262,TA
OMUSDT,2021-05-12-00:00,2021-05-13-00:00,first,0.011338036920227636,TA
OMUSDT,2021-05-12-00:00,2021-05-13-00:00,second,0.01017969336189025,TA
OMUSDT,2021-05-13-00:00,2021-05-14-00:00,first,0.004920722282572523,TA
OMUSDT,2021-05-13-00:00,2021-05-14-00:00,second,0.008941164944069314,TA
OMUSDT,2021-05-14-00:00,2021-05-15-00:00,first,0.004228256279186954,TA
OMUSDT,2021-05-14-00:00,2021-05-15-00:00,second,0.010484437408898139,TA
OMUSDT,2021-05-15-00:00,2021-05-16-00:00,first,0.004489573281975971,TA
OMUSDT,2021-05-15-00:00,2021-05-16-00:00,second,0.004746832086307567,TA
OMUSDT,2021-05-16-00:00,2021-05-17-00:00,first,0.006718859974337851,TA
OMUSDT,2021-05-16-00:00,2021-05-17-00:00,second,0.006890343931426478,TA
OMUSDT,2021-05-17-00:00,2021-05-18-00:00,first,0.004768467362161819,TA
OMUSDT,2021-05-17-00:00,2021-05-18-00:00,second,0.0050495373966908275,TA
OMUSDT,2021-05-18-00:00,2021-05-19-00:00,first,0.006770510817954058,TA
OMUSDT,2021-05-18-00:00,2021-05-19-00:00,second,0.008817992485948225,TA
OMUSDT,2021-05-19-00:00,2021-05-20-00:00,first,0.006737379505250021,TA
OMUSDT,2021-05-19-00:00,2021-05-20-00:00,second,0.006671400616485074,TA
OMUSDT,2021-05-20-00:00,2021-05-21-00:00,first,0.009107596237460464,TA
OMUSDT,2021-05-20-00:00,2021-05-21-00:00,second,0.007187039793523242,TA
OMUSDT,2021-05-21-00:00,2021-05-22-00:00,first,0.009632189451977871,TA
OMUSDT,2021-05-21-00:00,2021-05-22-00:00,second,0.011817664877843585,TA
OMUSDT,2021-05-22-00:00,2021-05-23-00:00,first,0.00989730387425713,TA
OMUSDT,2021-05-22-00:00,2021-05-23-00:00,second,0.009409456429997015,TA
OMUSDT,2021-05-23-00:00,2021-05-24-00:00,first,0.008020342406602602,TA
OMUSDT,2021-05-23-00:00,2021-05-24-00:00,second,0.007083259520891584,TA
OMUSDT,2021-05-24-00:00,2021-05-25-00:00,first,0.007735369684324127,TA
OMUSDT,2021-05-24-00:00,2021-05-25-00:00,second,0.004288389058374871,TA
OMUSDT,2021-05-25-00:00,2021-05-26-00:00,first,0.008614759802675046,TA
OMUSDT,2021-05-25-00:00,2021-05-26-00:00,second,0.006649686155520852,TA
