symbol,start_date,end_date,digit_type,mad,target
ONTUSDT,2021-01-01-00:00,2021-01-02-00:00,first,0.007930591819378972,TA
ONTUSDT,2021-01-01-00:00,2021-01-02-00:00,second,0.005013747160718121,TA
ONTUSDT,2021-01-02-00:00,2021-01-03-00:00,first,0.006091727909684618,TA
ONTUSDT,2021-01-02-00:00,2021-01-03-00:00,second,0.006596549670049275,TA
ONTUSDT,2021-01-03-00:00,2021-01-04-00:00,first,0.0017916434237612916,TA
ONTUSDT,2021-01-03-00:00,2021-01-04-00:00,second,0.006764817255519355,TA
ONTUSDT,2021-01-04-00:00,2021-01-05-00:00,first,0.006294337530182035,TA
ONTUSDT,2021-01-04-00:00,2021-01-05-00:00,second,0.006679171845680926,TA
ONTUSDT,2021-01-05-00:00,2021-01-06-00:00,first,0.008520628141260082,TA
ONTUSDT,2021-01-05-00:00,2021-01-06-00:00,second,0.00406875240091398,TA
ONTUSDT,2021-01-06-00:00,2021-01-07-00:00,first,0.008469503674594755,TA
ONTUSDT,2021-01-06-00:00,2021-01-07-00:00,second,0.004476716072809887,TA
ONTUSDT,2021-01-07-00:00,2021-01-08-00:00,first,0.008563764060611233,TA
ONTUSDT,2021-01-07-00:00,2021-01-08-00:00,second,0.00641290400805435,TA
ONTUSDT,2021-01-08-00:00,2021-01-09-00:00,first,0.009655742339547572,TA
ONTUSDT,2021-01-08-00:00,2021-01-09-00:00,second,0.005531849412264991,TA
ONTUSDT,2021-01-09-00:00,2021-01-10-00:00,first,0.007665149020008051,TA
ONTUSDT,2021-01-09-00:00,2021-01-10-00:00,second,0.006764807317566407,TA
ONTUSDT,2021-01-10-00:00,2021-01-11-00:00,first,0.007632818042790247,TA
ONTUSDT,2021-01-10-00:00,2021-01-11-00:00,second,0.00618254509685245,TA
ONTUSDT,2021-01-11-00:00,2021-01-12-00:00,first,0.020120020348364017,TA
ONTUSDT,2021-01-11-00:00,2021-01-12-00:00,second,0.0048059261422097235,TA
ONTUSDT,2021-01-12-00:00,2021-01-13-00:00,first,0.006575643974873945,TA
ONTUSDT,2021-01-12-00:00,2021-01-13-00:00,second,0.006567882909760345,TA
ONTUSDT,2021-01-13-00:00,2021-01-14-00:00,first,0.01156179088588956,TA
ONTUSDT,2021-01-13-00:00,2021-01-14-00:00,second,0.0036192372386895655,TA
ONTUSDT,2021-01-14-00:00,2021-01-15-00:00,first,0.005921681212021588,TA
ONTUSDT,2021-01-14-00:00,2021-01-15-00:00,second,0.003609099037886562,TA
ONTUSDT,2021-01-15-00:00,2021-01-16-00:00,first,0.006757293537518393,TA
ONTUSDT,2021-01-15-00:00,2021-01-16-00:00,second,0.005370122133634772,TA
ONTUSDT,2021-01-16-00:00,2021-01-17-00:00,first,0.0073473068553152965,TA
