symbol,start_date,end_date,digit_type,mad,target
ZECUSDT,2021-01-01-00:00,2021-01-02-00:00,first,0.006454690392257303,TA
ZECUSDT,2021-01-01-00:00,2021-01-02-00:00,second,0.0064323551551331935,TA
ZECUSDT,2021-01-02-00:00,2021-01-03-00:00,first,0.00579357660630639,TA
ZECUSDT,2021-01-02-00:00,2021-01-03-00:00,second,0.00634599088390019,TA
ZECUSDT,2021-01-03-00:00,2021-01-04-00:00,first,0.004484531476421991,TA
ZECUSDT,2021-01-03-00:00,2021-01-04-00:00,second,0.0072431579960776276,TA
ZECUSDT,2021-01-04-00:00,2021-01-05-00:00,first,0.004395554591995822,TA
ZECUSDT,2021-01-04-00:00,2021-01-05-00:00,second,0.00662547509297236,TA
ZECUSDT,2021-01-05-00:00,2021-01-06-00:00,first,0.006542434332111859,TA
ZECUSDT,2021-01-05-00:00,2021-01-06-00:00,second,0.005444303705325085,TA
ZECUSDT,2021-01-06-00:00,2021-01-07-00:00,first,0.00631060509815475,TA
ZECUSDT,2021-01-06-00:00,2021-01-07-00:00,second,0.006272715135536603,TA
ZECUSDT,2021-01-07-00:00,2021-01-08-00:00,first,0.009865882528990717,TA
ZECUSDT,2021-01-07-00:00,2021-01-08-00:00,second,0.0051833869040545585,TA
ZECUSDT,2021-01-08-00:00,2021-01-09-00:00,first,0.009687862318506761,TA
ZECUSDT,2021-01-08-00:00,2021-01-09-00:00,second,0.00592563002504332,TA
ZECUSDT,2021-01-09-00:00,2021-01-10-00:00,first,0.0068073617615980585,TA
ZECUSDT,2021-01-09-00:00,2021-01-10-00:00,second,0.006846807066994222,TA
ZECUSDT,2021-01-10-00:00,2021-01-11-00:00,first,0.009276639996126637,TA
ZECUSDT,2021-01-10-00:00,2021-01-11-00:00,second,0.006571581979097868,TA
ZECUSDT,2021-01-11-00:00,2021-01-12-00:00,first,0.012727539216752801,TA
ZECUSDT,2021-01-11-00:00,2021-01-12-00:00,second,0.008643738227637617,TA
ZECUSDT,2021-01-12-00:00,2021-01-13-00:00,first,0.005122334219786123,TA
ZECUSDT,2021-01-12-00:00,2021-01-13-00:00,second,0.00640686976699658,TA
ZECUSDT,2021-01-13-00:00,2021-01-14-00:00,first,0.015113278110686594,TA
ZECUSDT,2021-01-13-00:00,2021-01-14-00:00,second,0.00552404337007637,TA
ZECUSDT,2021-01-14-00:00,2021-01-15-00:00,first,0.011706235491893587,TA
ZECUSDT,2021-01-14-00:00,2021-01-15-00:00,second,0.0070669565042277335,TA
ZECUSDT,2021-01-15-00:00,2021-01-16-00:00,first,0.0056393627116344885,TA
ZECUSDT,2021-01-15-00:00,2021-01-16-00:00,second,0.0070759855073529165,TA
ZECUSDT,2021-01-16-00:00,2021-01-17-00:00,first,0.006072341091322398,TA
ZECUSDT,2021-01-16-00:00,2021-01-17-00:00,second,0.008270505192802625,TA
ZECUSDT,2021-01-17-00:00,2021-01-18-00:00,first,0.008591693539274217,TA
ZECUSDT,2021-01-17-00:00,2021-01-18-00:00,second,0.003702793633131124,TA
ZECUSDT,2021-01-18-00:00,2021-01-19-00:00,first,0.006516238354462256,TA
ZECUSDT,2021-01-18-00:00,2021-01-19-00:00,second,0.006521932674234056,TA
ZECUSDT,2021-01-19-00:00,2021-01-20-00:00,first,0.005405844166898888,TA
ZECUSDT,2021-01-19-00:00,2021-01-20-00:00,second,0.0061041994918622266,TA
ZECUSDT,2021-01-20-00:00,2021-01-21-00:00,first,0.010497870137268946,TA
ZECUSDT,2021-01-20-00:00,2021-01-21-00:00,second,0.006225843482227049,TA
