symbol,start_date,end_date,digit_type,mad,target
KRW-GRT,2021-12-31-00:00,2022-01-01-00:00,first,0.017984879033272075,TA
KRW-GRT,2021-12-31-00:00,2022-01-01-00:00,second,0.025786655187574094,TA
KRW-GRT,2021-12-30-00:00,2021-12-31-00:00,first,0.017429323477716516,TA
KRW-GRT,2021-12-30-00:00,2021-12-31-00:00,second,0.02378665518757409,TA
KRW-GRT,2021-12-29-00:00,2021-12-30-00:00,first,0.020324595388881754,TA
KRW-GRT,2021-12-29-00:00,2021-12-30-00:00,second,0.017716257333653423,TA
KRW-GRT,2021-12-28-00:00,2021-12-29-00:00,first,0.01620889081600836,TA
KRW-GRT,2021-12-28-00:00,2021-12-29-00:00,second,0.022950678438648047,TA
KRW-GRT,2021-12-27-00:00,2021-12-28-00:00,first,0.012922500085254135,TA
KRW-GRT,2021-12-27-00:00,2021-12-28-00:00,second,0.02606467586908537,TA
KRW-GRT,2021-12-26-00:00,2021-12-27-00:00,first,0.009720274972352713,TA
KRW-GRT,2021-12-26-00:00,2021-12-27-00:00,second,0.01765883085470022,TA
KRW-GRT,2021-12-25-00:00,2021-12-26-00:00,first,0.018796550688245692,TA
KRW-GRT,2021-12-25-00:00,2021-12-26-00:00,second,0.020286125599112543,TA
KRW-GRT,2021-12-24-00:00,2021-12-25-00:00,first,0.016750832284519457,TA
KRW-GRT,2021-12-24-00:00,2021-12-25-00:00,second,0.02411170803096686,TA
KRW-GRT,2021-12-23-00:00,2021-12-24-00:00,first,0.013986668593786142,TA
KRW-GRT,2021-12-23-00:00,2021-12-24-00:00,second,0.016153797456313353,TA
KRW-GRT,2021-12-22-00:00,2021-12-23-00:00,first,0.015266110940602836,TA
KRW-GRT,2021-12-22-00:00,2021-12-23-00:00,second,0.012521825798010889,TA
KRW-GRT,2021-12-21-00:00,2021-12-22-00:00,first,0.018417498951186124,TA
KRW-GRT,2021-12-21-00:00,2021-12-22-00:00,second,0.019623112653605338,TA
KRW-GRT,2021-12-20-00:00,2021-12-21-00:00,first,0.016510402513490497,TA
KRW-GRT,2021-12-20-00:00,2021-12-21-00:00,second,0.021238735614467846,TA
KRW-GRT,2021-12-19-00:00,2021-12-20-00:00,first,0.019471672618533355,TA
KRW-GRT,2021-12-19-00:00,2021-12-20-00:00,second,0.02212836596897283,TA
KRW-GRT,2021-12-18-00:00,2021-12-19-00:00,first,0.017861943395630568,TA
KRW-GRT,2021-12-18-00:00,2021-12-19-00:00,second,0.02306467586908537,TA
KRW-GRT,2021-12-17-00:00,2021-12-18-00:00,first,0.017496505745615454,TA
KRW-GRT,2021-12-17-00:00,2021-12-18-00:00,second,0.022054281552013656,TA
KRW-GRT,2021-12-16-00:00,2021-12-17-00:00,first,0.022848329308586116,TA
KRW-GRT,2021-12-16-00:00,2021-12-17-00:00,second,0.02769876382289349,TA
KRW-GRT,2021-12-15-00:00,2021-12-16-00:00,first,0.014900673290587715,TA
KRW-GRT,2021-12-15-00:00,2021-12-16-00:00,second,0.02922922870862088,TA
KRW-GRT,2021-12-14-00:00,2021-12-15-00:00,first,0.008877347043189083,TA
KRW-GRT,2021-12-14-00:00,2021-12-15-00:00,second,0.023137123369377614,TA
KRW-GRT,2021-12-13-00:00,2021-12-14-00:00,first,0.01952861006229724,TA
KRW-GRT,2021-12-13-00:00,2021-12-14-00:00,second,0.028801676208913128,TA
KRW-GRT,2021-12-12-00:00,2021-12-13-00:00,first,0.022597654713422104,TA
KRW-GRT,2021-12-12-00:00,2021-12-13-00:00,second,0.02499211151003623,TA
KRW-GRT,2021-12-11-00:00,2021-12-12-00:00,first,0.012619441383256956,TA
KRW-GRT,2021-12-11-00:00,2021-12-12-00:00,second,0.01766758825510501,TA
KRW-GRT,2021-12-10-00:00,2021-12-11-00:00,first,0.014514995975252782,TA
KRW-GRT,2021-12-10-00:00,2021-12-11-00:00,second,0.02365883085470022,TA
KRW-GRT,2021-12-09-00:00,2021-12-10-00:00,first,0.011838617148231942,TA
KRW-GRT,2021-12-09-00:00,2021-12-10-00:00,second,0.021418626845876552,TA
KRW-GRT,2021-12-08-00:00,2021-12-09-00:00,first,0.019109604231427643,TA
KRW-GRT,2021-12-08-00:00,2021-12-09-00:00,second,0.017305320142785196,TA
KRW-GRT,2021-12-07-00:00,2021-12-08-00:00,first,0.01270722624696944,TA
KRW-GRT,2021-12-07-00:00,2021-12-08-00:00,second,0.021787135904679296,TA
KRW-GRT,2021-12-06-00:00,2021-12-07-00:00,first,0.009696941298002828,TA
KRW-GRT,2021-12-06-00:00,2021-12-07-00:00,second,0.018287135904679303,TA
KRW-GRT,2021-12-05-00:00,2021-12-06-00:00,first,0.018554048675872088,TA
KRW-GRT,2021-12-05-00:00,2021-12-06-00:00,second,0.020716257333653423,TA
KRW-GRT,2021-12-04-00:00,2021-12-05-00:00,first,0.016399008721548796,TA
KRW-GRT,2021-12-04-00:00,2021-12-05-00:00,second,0.017050665153313087,TA
KRW-GRT,2021-12-03-00:00,2021-12-04-00:00,first,0.012183452202433507,TA
KRW-GRT,2021-12-03-00:00,2021-12-04-00:00,second,0.030286655187574084,TA
KRW-GRT,2021-12-02-00:00,2021-12-03-00:00,first,0.009771112074670848,TA
KRW-GRT,2021-12-02-00:00,2021-12-03-00:00,second,0.01469876382289349,TA
KRW-GRT,2021-12-01-00:00,2021-12-02-00:00,first,0.011993334296893072,TA
KRW-GRT,2021-12-01-00:00,2021-12-02-00:00,second,0.016003035415569494,TA
KRW-GRT,2021-11-30-00:00,2021-12-01-00:00,first,0.01330000481779868,TA
KRW-GRT,2021-11-30-00:00,2021-12-01-00:00,second,0.02400303541556949,TA
KRW-GRT,2021-11-29-00:00,2021-11-30-00:00,first,0.01787555748267503,TA
KRW-GRT,2021-11-29-00:00,2021-11-30-00:00,second,0.016300376067983718,TA
KRW-GRT,2021-11-28-00:00,2021-11-29-00:00,first,0.01240778679083195,TA
KRW-GRT,2021-11-28-00:00,2021-11-29-00:00,second,0.018738735614467844,TA
KRW-GRT,2021-11-27-00:00,2021-11-28-00:00,first,0.009929448469191658,TA
KRW-GRT,2021-11-27-00:00,2021-11-28-00:00,second,0.01771625733365343,TA
KRW-GRT,2021-11-26-00:00,2021-11-27-00:00,first,0.015471389937702758,TA
KRW-GRT,2021-11-26-00:00,2021-11-27-00:00,second,0.013820996179816076,TA
KRW-GRT,2021-11-25-00:00,2021-11-26-00:00,first,0.007423881973462467,TA
KRW-GRT,2021-11-25-00:00,2021-11-26-00:00,second,0.020125428911376492,TA
KRW-GRT,2021-11-24-00:00,2021-11-25-00:00,first,0.024360278826591645,TA
KRW-GRT,2021-11-24-00:00,2021-11-25-00:00,second,0.02306467586908537,TA
KRW-GRT,2021-11-23-00:00,2021-11-24-00:00,first,0.017042099157866548,TA
KRW-GRT,2021-11-23-00:00,2021-11-24-00:00,second,0.022799846479522174,TA
KRW-GRT,2021-11-22-00:00,2021-11-23-00:00,first,0.018118059495048626,TA
KRW-GRT,2021-11-22-00:00,2021-11-23-00:00,second,0.028564675869085364,TA
KRW-GRT,2021-11-21-00:00,2021-11-22-00:00,first,0.013548607171618031,TA
KRW-GRT,2021-11-21-00:00,2021-11-22-00:00,second,0.02792074314138221,TA
KRW-GRT,2021-11-20-00:00,2021-11-21-00:00,first,0.020530399622811297,TA
KRW-GRT,2021-11-20-00:00,2021-11-21-00:00,second,0.03206467586908537,TA
KRW-GRT,2021-11-19-00:00,2021-11-20-00:00,first,0.012453182388896023,TA
KRW-GRT,2021-11-19-00:00,2021-11-20-00:00,second,0.017216257333653423,TA
KRW-GRT,2021-11-18-00:00,2021-11-19-00:00,first,0.017920953080739106,TA
