symbol,start_date,end_date,digit_type,mad,target
KRW-KNC,2021-12-31-00:00,2022-01-01-00:00,first,0.013964881923951285,TA
KRW-KNC,2021-12-31-00:00,2022-01-01-00:00,second,0.029729228708620874,TA
KRW-KNC,2021-12-30-00:00,2021-12-31-00:00,first,0.017752621845033525,TA
KRW-KNC,2021-12-30-00:00,2021-12-31-00:00,second,0.02805428155201365,TA
KRW-KNC,2021-12-29-00:00,2021-12-30-00:00,first,0.020201659751240244,TA
KRW-KNC,2021-12-29-00:00,2021-12-30-00:00,second,0.01775951686518461,TA
KRW-KNC,2021-12-28-00:00,2021-12-29-00:00,first,0.016868326417906913,TA
KRW-KNC,2021-12-28-00:00,2021-12-29-00:00,second,0.026128365968972823,TA
KRW-KNC,2021-12-27-00:00,2021-12-28-00:00,first,0.022584290609327935,TA
KRW-KNC,2021-12-27-00:00,2021-12-28-00:00,second,0.03406467586908537,TA
KRW-KNC,2021-12-26-00:00,2021-12-27-00:00,first,0.03824916771548053,TA
KRW-KNC,2021-12-26-00:00,2021-12-27-00:00,second,0.03138972871247814,TA
KRW-KNC,2021-12-25-00:00,2021-12-26-00:00,first,0.028478055640809692,TA
KRW-KNC,2021-12-25-00:00,2021-12-26-00:00,second,0.034523816666286254,TA
KRW-KNC,2021-12-24-00:00,2021-12-25-00:00,first,0.03713805660436943,TA
KRW-KNC,2021-12-24-00:00,2021-12-25-00:00,second,0.02552235538647244,TA
KRW-KNC,2021-12-23-00:00,2021-12-24-00:00,first,0.017576118026537538,TA
KRW-KNC,2021-12-23-00:00,2021-12-24-00:00,second,0.03938972871247813,TA
KRW-KNC,2021-12-22-00:00,2021-12-23-00:00,first,0.01936027882659165,TA
KRW-KNC,2021-12-22-00:00,2021-12-23-00:00,second,0.023667588255105003,TA
KRW-KNC,2021-12-21-00:00,2021-12-22-00:00,first,0.028877347043189085,TA
KRW-KNC,2021-12-21-00:00,2021-12-22-00:00,second,0.02505428155201365,TA
KRW-KNC,2021-12-20-00:00,2021-12-21-00:00,first,0.013732624735712722,TA
KRW-KNC,2021-12-20-00:00,2021-12-21-00:00,second,0.029550665153313095,TA
KRW-KNC,2021-12-19-00:00,2021-12-20-00:00,first,0.024888606208058297,TA
KRW-KNC,2021-12-19-00:00,2021-12-20-00:00,second,0.03555066515331309,TA
KRW-KNC,2021-12-18-00:00,2021-12-19-00:00,first,0.020035400756879304,TA
KRW-KNC,2021-12-18-00:00,2021-12-19-00:00,second,0.029390317079035905,TA
KRW-KNC,2021-12-17-00:00,2021-12-18-00:00,first,0.015639721173408346,TA
KRW-KNC,2021-12-17-00:00,2021-12-18-00:00,second,0.01930037606798372,TA
KRW-KNC,2021-12-16-00:00,2021-12-17-00:00,first,0.029360278826591646,TA
KRW-KNC,2021-12-16-00:00,2021-12-17-00:00,second,0.027772644471801812,TA
KRW-KNC,2021-12-15-00:00,2021-12-16-00:00,first,0.023804723271036096,TA
KRW-KNC,2021-12-15-00:00,2021-12-16-00:00,second,0.01611088860714266,TA
KRW-KNC,2021-12-14-00:00,2021-12-15-00:00,first,0.016868326417906917,TA
KRW-KNC,2021-12-14-00:00,2021-12-15-00:00,second,0.020040270836241374,TA
KRW-KNC,2021-12-13-00:00,2021-12-14-00:00,first,0.01730638784007502,TA
KRW-KNC,2021-12-13-00:00,2021-12-14-00:00,second,0.021757160816580044,TA
KRW-KNC,2021-12-12-00:00,2021-12-13-00:00,first,0.01706388582770141,TA
KRW-KNC,2021-12-12-00:00,2021-12-13-00:00,second,0.021555031057455827,TA
KRW-KNC,2021-12-11-00:00,2021-12-12-00:00,first,0.01261944138325696,TA
KRW-KNC,2021-12-11-00:00,2021-12-12-00:00,second,0.029453418812365594,TA
KRW-KNC,2021-12-10-00:00,2021-12-11-00:00,first,0.01922709836481509,TA
KRW-KNC,2021-12-10-00:00,2021-12-11-00:00,second,0.018438878508131768,TA
