symbol,start_date,end_date,digit_type,mad,target
KRW-SXP,2021-12-31-00:00,2022-01-01-00:00,first,0.007249450396311132,TA
KRW-SXP,2021-12-31-00:00,2022-01-01-00:00,second,0.0166267290523059,TA
KRW-SXP,2021-12-30-00:00,2021-12-31-00:00,first,0.009047225283409701,TA
KRW-SXP,2021-12-30-00:00,2021-12-31-00:00,second,0.013674358790049496,TA
KRW-SXP,2021-12-29-00:00,2021-12-30-00:00,first,0.020340281717270852,TA
KRW-SXP,2021-12-29-00:00,2021-12-30-00:00,second,0.01833633457168927,TA
KRW-SXP,2021-12-28-00:00,2021-12-29-00:00,first,0.019479845201323755,TA
KRW-SXP,2021-12-28-00:00,2021-12-29-00:00,second,0.029064675869085364,TA
KRW-SXP,2021-12-27-00:00,2021-12-28-00:00,first,0.01454222414934169,TA
KRW-SXP,2021-12-27-00:00,2021-12-28-00:00,second,0.031064675869085366,TA
KRW-SXP,2021-12-26-00:00,2021-12-27-00:00,first,0.01800873794445158,TA
KRW-SXP,2021-12-26-00:00,2021-12-27-00:00,second,0.03528665518757408,TA
KRW-SXP,2021-12-25-00:00,2021-12-26-00:00,first,0.017949728259343052,TA
KRW-SXP,2021-12-25-00:00,2021-12-26-00:00,second,0.032286655187574086,TA
KRW-SXP,2021-12-24-00:00,2021-12-25-00:00,first,0.012292773753030565,TA
KRW-SXP,2021-12-24-00:00,2021-12-25-00:00,second,0.025300376067983722,TA
KRW-SXP,2021-12-23-00:00,2021-12-24-00:00,first,0.022576118026537535,TA
KRW-SXP,2021-12-23-00:00,2021-12-24-00:00,second,0.028800376067983725,TA
KRW-SXP,2021-12-22-00:00,2021-12-23-00:00,first,0.01913346314260715,TA
KRW-SXP,2021-12-22-00:00,2021-12-23-00:00,second,0.02196492890751924,TA
KRW-SXP,2021-12-21-00:00,2021-12-22-00:00,first,0.01897512674808634,TA
KRW-SXP,2021-12-21-00:00,2021-12-22-00:00,second,0.033550665153313085,TA
KRW-SXP,2021-12-20-00:00,2021-12-21-00:00,first,0.025097779704897252,TA
KRW-SXP,2021-12-20-00:00,2021-12-21-00:00,second,0.02788972871247814,TA
KRW-SXP,2021-12-19-00:00,2021-12-20-00:00,first,0.01769905366417904,TA
KRW-SXP,2021-12-19-00:00,2021-12-20-00:00,second,0.0304942780151647,TA
KRW-SXP,2021-12-18-00:00,2021-12-19-00:00,first,0.018806795512380754,TA
KRW-SXP,2021-12-18-00:00,2021-12-19-00:00,second,0.03871625733365343,TA
KRW-SXP,2021-12-17-00:00,2021-12-18-00:00,first,0.02004901484392377,TA
KRW-SXP,2021-12-17-00:00,2021-12-18-00:00,second,0.028980267299392425,TA
KRW-SXP,2021-12-16-00:00,2021-12-17-00:00,first,0.027151670691413887,TA
KRW-SXP,2021-12-16-00:00,2021-12-17-00:00,second,0.032494278015164704,TA
KRW-SXP,2021-12-15-00:00,2021-12-16-00:00,first,0.030144722307476366,TA
KRW-SXP,2021-12-15-00:00,2021-12-16-00:00,second,0.028980267299392425,TA
KRW-SXP,2021-12-14-00:00,2021-12-15-00:00,first,0.024237343188950145,TA
KRW-SXP,2021-12-14-00:00,2021-12-15-00:00,second,0.02588972871247814,TA
KRW-SXP,2021-12-13-00:00,2021-12-14-00:00,first,0.02056916964260001,TA
KRW-SXP,2021-12-13-00:00,2021-12-14-00:00,second,0.03456467586908537,TA
KRW-SXP,2021-12-12-00:00,2021-12-13-00:00,first,0.0245891667519208,TA
KRW-SXP,2021-12-12-00:00,2021-12-13-00:00,second,0.035050665153313086,TA
KRW-SXP,2021-12-11-00:00,2021-12-12-00:00,first,0.026124725198155566,TA
KRW-SXP,2021-12-11-00:00,2021-12-12-00:00,second,0.03180037606798373,TA
KRW-SXP,2021-12-10-00:00,2021-12-11-00:00,first,0.02422917060615974,TA
KRW-SXP,2021-12-10-00:00,2021-12-11-00:00,second,0.0214942780151647,TA
KRW-SXP,2021-12-09-00:00,2021-12-10-00:00,first,0.020508612952976443,TA
KRW-SXP,2021-12-09-00:00,2021-12-10-00:00,second,0.02806467586908537,TA
KRW-SXP,2021-12-08-00:00,2021-12-09-00:00,first,0.02385011886910018,TA
KRW-SXP,2021-12-08-00:00,2021-12-09-00:00,second,0.027022355386472442,TA
KRW-SXP,2021-12-07-00:00,2021-12-08-00:00,first,0.0152071012554943,TA
KRW-SXP,2021-12-07-00:00,2021-12-08-00:00,second,0.024772114883340256,TA
KRW-SXP,2021-12-06-00:00,2021-12-07-00:00,first,0.01035389580431531,TA
KRW-SXP,2021-12-06-00:00,2021-12-07-00:00,second,0.011688369505821774,TA
KRW-SXP,2021-12-05-00:00,2021-12-06-00:00,first,0.006377222051713942,TA
KRW-SXP,2021-12-05-00:00,2021-12-06-00:00,second,0.023215727745191872,TA
KRW-SXP,2021-12-04-00:00,2021-12-05-00:00,first,0.011705436686455382,TA
KRW-SXP,2021-12-04-00:00,2021-12-05-00:00,second,0.01305503105745583,TA
