symbol,start_date,end_date,digit_type,mad,target
KRW-ZIL,2021-12-31-00:00,2022-01-01-00:00,first,0.021138339285200022,TA
KRW-ZIL,2021-12-31-00:00,2022-01-01-00:00,second,0.01558500614555508,TA
KRW-ZIL,2021-12-30-00:00,2021-12-31-00:00,first,0.019229170606159744,TA
KRW-ZIL,2021-12-30-00:00,2021-12-31-00:00,second,0.015523816666286262,TA
KRW-ZIL,2021-12-29-00:00,2021-12-30-00:00,first,0.018008737944451583,TA
KRW-ZIL,2021-12-29-00:00,2021-12-30-00:00,second,0.015437197311337322,TA
KRW-ZIL,2021-12-28-00:00,2021-12-29-00:00,first,0.008153460251927945,TA
KRW-ZIL,2021-12-28-00:00,2021-12-29-00:00,second,0.017522355386472444,TA
KRW-ZIL,2021-12-27-00:00,2021-12-28-00:00,first,0.022848329308586116,TA
KRW-ZIL,2021-12-27-00:00,2021-12-28-00:00,second,0.025003035415569495,TA
KRW-ZIL,2021-12-26-00:00,2021-12-27-00:00,first,0.026920710524740075,TA
KRW-ZIL,2021-12-26-00:00,2021-12-27-00:00,second,0.01772997821406306,TA
KRW-ZIL,2021-12-25-00:00,2021-12-26-00:00,first,0.027981509770362664,TA
KRW-ZIL,2021-12-25-00:00,2021-12-26-00:00,second,0.014555031057455824,TA
KRW-ZIL,2021-12-24-00:00,2021-12-25-00:00,first,0.028660000963559733,TA
KRW-ZIL,2021-12-24-00:00,2021-12-25-00:00,second,0.013983883698092989,TA
KRW-ZIL,2021-12-23-00:00,2021-12-24-00:00,first,0.01269361215992498,TA
KRW-ZIL,2021-12-23-00:00,2021-12-24-00:00,second,0.021667588255105008,TA
KRW-ZIL,2021-12-22-00:00,2021-12-23-00:00,first,0.023249167715480537,TA
KRW-ZIL,2021-12-22-00:00,2021-12-23-00:00,second,0.020319330858557475,TA
KRW-ZIL,2021-12-21-00:00,2021-12-22-00:00,first,0.016993334296893068,TA
KRW-ZIL,2021-12-21-00:00,2021-12-22-00:00,second,0.020738735614467846,TA
KRW-ZIL,2021-12-20-00:00,2021-12-21-00:00,first,0.023916117062977797,TA
KRW-ZIL,2021-12-20-00:00,2021-12-21-00:00,second,0.010389567573593727,TA
KRW-ZIL,2021-12-19-00:00,2021-12-20-00:00,first,0.028313618904843137,TA
KRW-ZIL,2021-12-19-00:00,2021-12-20-00:00,second,0.019644820138927942,TA
KRW-ZIL,2021-12-18-00:00,2021-12-19-00:00,first,0.03163333815113201,TA
KRW-ZIL,2021-12-18-00:00,2021-12-19-00:00,second,0.011202246617881148,TA
