symbol,start_date,end_date,digit_type,mad,target
KRW-MANA,2022-01-01-00:00,2021-12-31-00:00,first,0.005823213500673421,TA
KRW-MANA,2022-01-01-00:00,2021-12-31-00:00,second,0.004477819582198216,TA
KRW-MANA,2021-12-31-00:00,2021-12-30-00:00,first,0.0064299980728805255,TA
KRW-MANA,2021-12-31-00:00,2021-12-30-00:00,second,0.005561378637546402,TA
KRW-MANA,2021-12-30-00:00,2021-12-29-00:00,first,0.004170160921051217,TA
KRW-MANA,2021-12-30-00:00,2021-12-29-00:00,second,0.004910311595612947,TA
KRW-MANA,2021-12-29-00:00,2021-12-28-00:00,first,0.006408336394520815,TA
KRW-MANA,2021-12-29-00:00,2021-12-28-00:00,second,0.007654087291675997,TA
KRW-MANA,2021-12-28-00:00,2021-12-27-00:00,first,0.008366269934534579,TA
KRW-MANA,2021-12-28-00:00,2021-12-27-00:00,second,0.0055764279440902245,TA
KRW-MANA,2021-12-27-00:00,2021-12-26-00:00,first,0.006304598279560953,TA
KRW-MANA,2021-12-27-00:00,2021-12-26-00:00,second,0.007200641209950502,TA
KRW-MANA,2021-12-26-00:00,2021-12-25-00:00,first,0.007671825490090128,TA
KRW-MANA,2021-12-26-00:00,2021-12-25-00:00,second,0.004639111392857338,TA
KRW-MANA,2021-12-25-00:00,2021-12-24-00:00,first,0.008717063398798753,TA
KRW-MANA,2021-12-25-00:00,2021-12-24-00:00,second,0.004024164529711841,TA
KRW-MANA,2021-12-24-00:00,2021-12-23-00:00,first,0.006050679412962684,TA
KRW-MANA,2021-12-24-00:00,2021-12-23-00:00,second,0.0054527280850196315,TA
KRW-MANA,2021-12-23-00:00,2021-12-22-00:00,first,0.008366269934534579,TA
KRW-MANA,2021-12-23-00:00,2021-12-22-00:00,second,0.004850835470288158,TA
KRW-MANA,2021-12-22-00:00,2021-12-21-00:00,first,0.007693487168449842,TA
KRW-MANA,2021-12-22-00:00,2021-12-21-00:00,second,0.005273125938940295,TA
KRW-MANA,2021-12-21-00:00,2021-12-20-00:00,first,0.00797138993770277,TA
KRW-MANA,2021-12-21-00:00,2021-12-20-00:00,second,0.006610631461464489,TA
KRW-MANA,2021-12-20-00:00,2021-12-19-00:00,first,0.00583682758771788,TA
