symbol,start_date,end_date,digit_type,mad,target
KRW-MED,2022-01-01-00:00,2021-12-31-00:00,first,0.009360561507422246,TA
KRW-MED,2022-01-01-00:00,2021-12-31-00:00,second,0.01832922870862088,TA
KRW-MED,2021-12-31-00:00,2021-12-30-00:00,first,0.006428177664362081,TA
KRW-MED,2021-12-31-00:00,2021-12-30-00:00,second,0.010246871569620994,TA
KRW-MED,2021-12-30-00:00,2021-12-29-00:00,first,0.007931707398020219,TA
KRW-MED,2021-12-30-00:00,2021-12-29-00:00,second,0.012491296090230263,TA
KRW-MED,2021-12-29-00:00,2021-12-28-00:00,first,0.006022932483189287,TA
KRW-MED,2021-12-29-00:00,2021-12-28-00:00,second,0.011005892593220415,TA
KRW-MED,2021-12-28-00:00,2021-12-27-00:00,first,0.006421436357149988,TA
KRW-MED,2021-12-28-00:00,2021-12-27-00:00,second,0.016000940901859804,TA
KRW-MED,2021-12-27-00:00,2021-12-26-00:00,first,0.01128306159267638,TA
KRW-MED,2021-12-27-00:00,2021-12-26-00:00,second,0.017050665153313094,TA
KRW-MED,2021-12-26-00:00,2021-12-25-00:00,first,0.01487420388334789,TA
KRW-MED,2021-12-26-00:00,2021-12-25-00:00,second,0.019286655187574088,TA
KRW-MED,2021-12-25-00:00,2021-12-24-00:00,first,0.004864091241080376,TA
KRW-MED,2021-12-25-00:00,2021-12-24-00:00,second,0.01370664560071776,TA
KRW-MED,2021-12-24-00:00,2021-12-23-00:00,first,0.009096633891542813,TA
KRW-MED,2021-12-24-00:00,2021-12-23-00:00,second,0.010536357478947808,TA
KRW-MED,2021-12-23-00:00,2021-12-22-00:00,first,0.007681032802856212,TA
KRW-MED,2021-12-23-00:00,2021-12-22-00:00,second,0.015667588255105006,TA
KRW-MED,2021-12-22-00:00,2021-12-21-00:00,first,0.015027228174088907,TA
KRW-MED,2021-12-22-00:00,2021-12-21-00:00,second,0.013389728712478139,TA
KRW-MED,2021-12-21-00:00,2021-12-20-00:00,first,0.0092683343901578,TA
KRW-MED,2021-12-21-00:00,2021-12-20-00:00,second,0.010452238744617509,TA
KRW-MED,2021-12-20-00:00,2021-12-19-00:00,first,0.008356154733143868,TA
KRW-MED,2021-12-20-00:00,2021-12-19-00:00,second,0.015493247297656798,TA
KRW-MED,2021-12-19-00:00,2021-12-18-00:00,first,0.007931707398020219,TA
KRW-MED,2021-12-19-00:00,2021-12-18-00:00,second,0.013851420872307563,TA
KRW-MED,2021-12-18-00:00,2021-12-17-00:00,first,0.007380558616743039,TA
KRW-MED,2021-12-18-00:00,2021-12-17-00:00,second,0.00985808375900266,TA
KRW-MED,2021-12-17-00:00,2021-12-16-00:00,first,0.0068976268333404665,TA
KRW-MED,2021-12-17-00:00,2021-12-16-00:00,second,0.010504066133077401,TA
KRW-MED,2021-12-16-00:00,2021-12-15-00:00,first,0.008315953437776845,TA
KRW-MED,2021-12-16-00:00,2021-12-15-00:00,second,0.006093783957901014,TA
KRW-MED,2021-12-15-00:00,2021-12-14-00:00,first,0.0028347152215416607,TA
KRW-MED,2021-12-15-00:00,2021-12-14-00:00,second,0.009827012674116248,TA
KRW-MED,2021-12-14-00:00,2021-12-13-00:00,first,0.005410439483869851,TA
KRW-MED,2021-12-14-00:00,2021-12-13-00:00,second,0.012350390154799653,TA
KRW-MED,2021-12-13-00:00,2021-12-12-00:00,first,0.011675218632881608,TA
KRW-MED,2021-12-13-00:00,2021-12-12-00:00,second,0.018231342535752034,TA
KRW-MED,2021-12-12-00:00,2021-12-11-00:00,first,0.006511949518005538,TA
KRW-MED,2021-12-12-00:00,2021-12-11-00:00,second,0.01872922870862088,TA
KRW-MED,2021-12-11-00:00,2021-12-10-00:00,first,0.009095990144383186,TA
KRW-MED,2021-12-11-00:00,2021-12-10-00:00,second,0.011104014426763852,TA
KRW-MED,2021-12-10-00:00,2021-12-09-00:00,first,0.005635314399129979,TA
KRW-MED,2021-12-10-00:00,2021-12-09-00:00,second,0.010524731112247866,TA
KRW-MED,2021-12-09-00:00,2021-12-08-00:00,first,0.006596508900067671,TA
KRW-MED,2021-12-09-00:00,2021-12-08-00:00,second,0.007164076741709015,TA
KRW-MED,2021-12-08-00:00,2021-12-07-00:00,first,0.011213297590286726,TA
KRW-MED,2021-12-08-00:00,2021-12-07-00:00,second,0.008227342323247584,TA
KRW-MED,2021-12-07-00:00,2021-12-06-00:00,first,0.008013407010319017,TA
KRW-MED,2021-12-07-00:00,2021-12-06-00:00,second,0.006751144322279879,TA
KRW-MED,2021-12-06-00:00,2021-12-05-00:00,first,0.007371230943771016,TA
