symbol,start_date,end_date,digit_type,mad,target
KRW-MLK,2022-01-01-00:00,2021-12-31-00:00,first,0.007065958069046064,TA
KRW-MLK,2022-01-01-00:00,2021-12-31-00:00,second,0.009267797355125177,TA
KRW-MLK,2021-12-31-00:00,2021-12-30-00:00,first,0.0049690060173990585,TA
KRW-MLK,2021-12-31-00:00,2021-12-30-00:00,second,0.007318139002165156,TA
KRW-MLK,2021-12-30-00:00,2021-12-29-00:00,first,0.010312659778972603,TA
KRW-MLK,2021-12-30-00:00,2021-12-29-00:00,second,0.006042373973247976,TA
KRW-MLK,2021-12-29-00:00,2021-12-28-00:00,first,0.0046298840215790275,TA
KRW-MLK,2021-12-29-00:00,2021-12-28-00:00,second,0.0047374292512042514,TA
KRW-MLK,2021-12-28-00:00,2021-12-27-00:00,first,0.0032133731943918883,TA
KRW-MLK,2021-12-28-00:00,2021-12-27-00:00,second,0.009003737876736168,TA
KRW-MLK,2021-12-27-00:00,2021-12-26-00:00,first,0.0054901983274442704,TA
KRW-MLK,2021-12-27-00:00,2021-12-26-00:00,second,0.009040279459538291,TA
KRW-MLK,2021-12-26-00:00,2021-12-25-00:00,first,0.009335763859613735,TA
KRW-MLK,2021-12-26-00:00,2021-12-25-00:00,second,0.005033604784198957,TA
KRW-MLK,2021-12-25-00:00,2021-12-24-00:00,first,0.007840406708746,TA
KRW-MLK,2021-12-25-00:00,2021-12-24-00:00,second,0.004903378504274511,TA
KRW-MLK,2021-12-24-00:00,2021-12-23-00:00,first,0.00850321157355395,TA
KRW-MLK,2021-12-24-00:00,2021-12-23-00:00,second,0.0058742820032941356,TA
KRW-MLK,2021-12-23-00:00,2021-12-22-00:00,first,0.005860561507422242,TA
KRW-MLK,2021-12-23-00:00,2021-12-22-00:00,second,0.006375598325895413,TA
KRW-MLK,2021-12-22-00:00,2021-12-21-00:00,first,0.00869397044486074,TA
KRW-MLK,2021-12-22-00:00,2021-12-21-00:00,second,0.005718553179483434,TA
KRW-MLK,2021-12-21-00:00,2021-12-20-00:00,first,0.007214443403641163,TA
KRW-MLK,2021-12-21-00:00,2021-12-20-00:00,second,0.0044609961450223,TA
KRW-MLK,2021-12-20-00:00,2021-12-19-00:00,first,0.0063307917236741775,TA
KRW-MLK,2021-12-20-00:00,2021-12-19-00:00,second,0.00659508409883042,TA
KRW-MLK,2021-12-19-00:00,2021-12-18-00:00,first,0.006671467205154383,TA
KRW-MLK,2021-12-19-00:00,2021-12-18-00:00,second,0.005232418502898575,TA
KRW-MLK,2021-12-18-00:00,2021-12-17-00:00,first,0.007410125955034882,TA
KRW-MLK,2021-12-18-00:00,2021-12-17-00:00,second,0.0064862518502304635,TA
KRW-MLK,2021-12-17-00:00,2021-12-16-00:00,first,0.0041526606652888,TA
KRW-MLK,2021-12-17-00:00,2021-12-16-00:00,second,0.0059576500969505146,TA
KRW-MLK,2021-12-16-00:00,2021-12-15-00:00,first,0.008423207378298454,TA
KRW-MLK,2021-12-16-00:00,2021-12-15-00:00,second,0.006337176212770386,TA
KRW-MLK,2021-12-15-00:00,2021-12-14-00:00,first,0.006099444273936164,TA
KRW-MLK,2021-12-15-00:00,2021-12-14-00:00,second,0.0054882794337314566,TA
KRW-MLK,2021-12-14-00:00,2021-12-13-00:00,first,0.007292773753030555,TA
KRW-MLK,2021-12-14-00:00,2021-12-13-00:00,second,0.005903577539332731,TA
KRW-MLK,2021-12-13-00:00,2021-12-12-00:00,first,0.007445276728963896,TA
KRW-MLK,2021-12-13-00:00,2021-12-12-00:00,second,0.011436908226007958,TA
KRW-MLK,2021-12-12-00:00,2021-12-11-00:00,first,0.005705472165728977,TA
KRW-MLK,2021-12-12-00:00,2021-12-11-00:00,second,0.008922243244577115,TA
KRW-MLK,2021-12-11-00:00,2021-12-10-00:00,first,0.009346272825213787,TA
KRW-MLK,2021-12-11-00:00,2021-12-10-00:00,second,0.011272500343684985,TA
KRW-MLK,2021-12-10-00:00,2021-12-09-00:00,first,0.00714583727282641,TA
KRW-MLK,2021-12-10-00:00,2021-12-09-00:00,second,0.005258987276723058,TA
KRW-MLK,2021-12-09-00:00,2021-12-08-00:00,first,0.004162905489423847,TA
KRW-MLK,2021-12-09-00:00,2021-12-08-00:00,second,0.008238825664738996,TA
KRW-MLK,2021-12-08-00:00,2021-12-07-00:00,first,0.0039086033173790875,TA
KRW-MLK,2021-12-08-00:00,2021-12-07-00:00,second,0.007116269868955109,TA
KRW-MLK,2021-12-07-00:00,2021-12-06-00:00,first,0.009403210268977665,TA
KRW-MLK,2021-12-07-00:00,2021-12-06-00:00,second,0.006224305946656727,TA
KRW-MLK,2021-12-06-00:00,2021-12-05-00:00,first,0.008067097401255354,TA
KRW-MLK,2021-12-06-00:00,2021-12-05-00:00,second,0.0048303334281201565,TA
KRW-MLK,2021-12-05-00:00,2021-12-04-00:00,first,0.007963484277770648,TA
KRW-MLK,2021-12-05-00:00,2021-12-04-00:00,second,0.004235432426406271,TA
KRW-MLK,2021-12-04-00:00,2021-12-03-00:00,first,0.003798889852448623,TA
KRW-MLK,2021-12-04-00:00,2021-12-03-00:00,second,0.006444330858557475,TA
KRW-MLK,2021-12-03-00:00,2021-12-02-00:00,first,0.008826384949395805,TA
KRW-MLK,2021-12-03-00:00,2021-12-02-00:00,second,0.007242839183419952,TA
KRW-MLK,2021-12-02-00:00,2021-12-01-00:00,first,0.005925404611118249,TA
KRW-MLK,2021-12-02-00:00,2021-12-01-00:00,second,0.006296911741037735,TA
KRW-MLK,2021-12-01-00:00,2021-11-30-00:00,first,0.006686114172298597,TA
KRW-MLK,2021-12-01-00:00,2021-11-30-00:00,second,0.009022355386472444,TA
KRW-MLK,2021-11-30-00:00,2021-11-29-00:00,first,0.005618059495048638,TA
KRW-MLK,2021-11-30-00:00,2021-11-29-00:00,second,0.006412376407811481,TA
KRW-MLK,2021-11-29-00:00,2021-11-28-00:00,first,0.006660833248079194,TA
KRW-MLK,2021-11-29-00:00,2021-11-28-00:00,second,0.007349558553321823,TA
KRW-MLK,2021-11-28-00:00,2021-11-27-00:00,first,0.007554848262511234,TA
KRW-MLK,2021-11-28-00:00,2021-11-27-00:00,second,0.004951208027109603,TA
KRW-MLK,2021-11-27-00:00,2021-11-26-00:00,first,0.003438893706687572,TA
KRW-MLK,2021-11-27-00:00,2021-11-26-00:00,second,0.007436452045271566,TA
KRW-MLK,2021-11-26-00:00,2021-11-25-00:00,first,0.012218727967837677,TA
KRW-MLK,2021-11-26-00:00,2021-11-25-00:00,second,0.004186667722875774,TA
KRW-MLK,2021-11-25-00:00,2021-11-24-00:00,first,0.0047768205017831794,TA
KRW-MLK,2021-11-25-00:00,2021-11-24-00:00,second,0.006355748766530912,TA
KRW-MLK,2021-11-24-00:00,2021-11-23-00:00,first,0.006748493120316531,TA
KRW-MLK,2021-11-24-00:00,2021-11-23-00:00,second,0.0069607149329565686,TA
KRW-MLK,2021-11-23-00:00,2021-11-22-00:00,first,0.007495713585927561,TA
KRW-MLK,2021-11-23-00:00,2021-11-22-00:00,second,0.005811908226007957,TA
KRW-MLK,2021-11-22-00:00,2021-11-21-00:00,first,0.005431582406545084,TA
KRW-MLK,2021-11-22-00:00,2021-11-21-00:00,second,0.008309369813116134,TA
KRW-MLK,2021-11-21-00:00,2021-11-20-00:00,first,0.009536515722229357,TA
KRW-MLK,2021-11-21-00:00,2021-11-20-00:00,second,0.007040270836241373,TA
KRW-MLK,2021-11-20-00:00,2021-11-19-00:00,first,0.006750832284519458,TA
KRW-MLK,2021-11-20-00:00,2021-11-19-00:00,second,0.005052364091463443,TA
KRW-MLK,2021-11-19-00:00,2021-11-18-00:00,first,0.0037248440672557406,TA
KRW-MLK,2021-11-19-00:00,2021-11-18-00:00,second,0.005965967498290781,TA
KRW-MLK,2021-11-18-00:00,2021-11-17-00:00,first,0.007570676522283474,TA
KRW-MLK,2021-11-18-00:00,2021-11-17-00:00,second,0.00642171365611556,TA
KRW-MLK,2021-11-17-00:00,2021-11-16-00:00,first,0.004514729052394507,TA
KRW-MLK,2021-11-17-00:00,2021-11-16-00:00,second,0.005854978214063058,TA
KRW-MLK,2021-11-16-00:00,2021-11-15-00:00,first,0.006412497817118112,TA
KRW-MLK,2021-11-16-00:00,2021-11-15-00:00,second,0.005822346823207187,TA
KRW-MLK,2021-11-15-00:00,2021-11-14-00:00,first,0.012513095331359976,TA
KRW-MLK,2021-11-15-00:00,2021-11-14-00:00,second,0.008229966425418827,TA
KRW-MLK,2021-11-14-00:00,2021-11-13-00:00,first,0.0067845545642634545,TA
KRW-MLK,2021-11-14-00:00,2021-11-13-00:00,second,0.00891114319709078,TA
KRW-MLK,2021-11-13-00:00,2021-11-12-00:00,first,0.01081206541918296,TA
KRW-MLK,2021-11-13-00:00,2021-11-12-00:00,second,0.009524449900182131,TA
KRW-MLK,2021-11-12-00:00,2021-11-11-00:00,first,0.004924006964937602,TA
KRW-MLK,2021-11-12-00:00,2021-11-11-00:00,second,0.009808069672186729,TA
KRW-MLK,2021-11-11-00:00,2021-11-10-00:00,first,0.005150430734588691,TA
KRW-MLK,2021-11-11-00:00,2021-11-10-00:00,second,0.007715217992848604,TA
KRW-MLK,2021-11-10-00:00,2021-11-09-00:00,first,0.005507184458791415,TA
KRW-MLK,2021-11-10-00:00,2021-11-09-00:00,second,0.009859094064569423,TA
KRW-MLK,2021-11-09-00:00,2021-11-08-00:00,first,0.005573970181087721,TA
KRW-MLK,2021-11-09-00:00,2021-11-08-00:00,second,0.006205919215338034,TA
KRW-MLK,2021-11-08-00:00,2021-11-07-00:00,first,0.0038777408073984282,TA
KRW-MLK,2021-11-08-00:00,2021-11-07-00:00,second,0.006768286054233635,TA
KRW-MLK,2021-11-07-00:00,2021-11-06-00:00,first,0.008302339350732392,TA
KRW-MLK,2021-11-07-00:00,2021-11-06-00:00,second,0.007642662257096375,TA
KRW-MLK,2021-11-06-00:00,2021-11-05-00:00,first,0.006691822599410918,TA
KRW-MLK,2021-11-06-00:00,2021-11-05-00:00,second,0.004828278470620802,TA
KRW-MLK,2021-11-05-00:00,2021-11-04-00:00,first,0.008262656811049854,TA
KRW-MLK,2021-11-05-00:00,2021-11-04-00:00,second,0.008309753107121214,TA
KRW-MLK,2021-11-04-00:00,2021-11-03-00:00,first,0.010477098364815094,TA
KRW-MLK,2021-11-04-00:00,2021-11-03-00:00,second,0.005378365968972826,TA
KRW-MLK,2021-11-03-00:00,2021-11-02-00:00,first,0.006680672668044536,TA
KRW-MLK,2021-11-03-00:00,2021-11-02-00:00,second,0.006280416103008657,TA
KRW-MLK,2021-11-02-00:00,2021-11-01-00:00,first,0.006799597145492943,TA
KRW-MLK,2021-11-02-00:00,2021-11-01-00:00,second,0.006833179685412065,TA
KRW-MLK,2021-11-01-00:00,2021-10-31-00:00,first,0.005001947249869514,TA
KRW-MLK,2021-11-01-00:00,2021-10-31-00:00,second,0.0052566093960600465,TA
