symbol,start_date,end_date,digit_type,mad,target
ACMUSDT,2022-01-01-00:00,2022-01-02-00:00,first,0.01648083746286193,TA
ACMUSDT,2022-01-01-00:00,2022-01-02-00:00,second,0.02170085997414382,TA
ACMUSDT,2022-01-02-00:00,2022-01-03-00:00,first,0.01848239190870253,TA
ACMUSDT,2022-01-02-00:00,2022-01-03-00:00,second,0.019359366297776365,TA
ACMUSDT,2022-01-03-00:00,2022-01-04-00:00,first,0.014488485731544876,TA
ACMUSDT,2022-01-03-00:00,2022-01-04-00:00,second,0.025909160495116917,TA
ACMUSDT,2022-01-04-00:00,2022-01-05-00:00,first,0.0197457951403954,TA
ACMUSDT,2022-01-04-00:00,2022-01-05-00:00,second,0.020317544660772967,TA
ACMUSDT,2022-01-05-00:00,2022-01-06-00:00,first,0.019978491023751217,TA
ACMUSDT,2022-01-05-00:00,2022-01-06-00:00,second,0.019328892449449745,TA
ACMUSDT,2022-01-06-00:00,2022-01-07-00:00,first,0.011562637068687142,TA
ACMUSDT,2022-01-06-00:00,2022-01-07-00:00,second,0.016193642845675725,TA
ACMUSDT,2022-01-07-00:00,2022-01-08-00:00,first,0.019088191209045105,TA
ACMUSDT,2022-01-07-00:00,2022-01-08-00:00,second,0.012042608516233969,TA
ACMUSDT,2022-01-08-00:00,2022-01-09-00:00,first,0.02843979974543625,TA
ACMUSDT,2022-01-08-00:00,2022-01-09-00:00,second,0.014119266226520471,TA
ACMUSDT,2022-01-09-00:00,2022-01-10-00:00,first,0.014650117205753717,TA
ACMUSDT,2022-01-09-00:00,2022-01-10-00:00,second,0.010094340592072317,TA
ACMUSDT,2022-01-10-00:00,2022-01-11-00:00,first,0.011254308160227156,TA
ACMUSDT,2022-01-10-00:00,2022-01-11-00:00,second,0.009051902075375288,TA
ACMUSDT,2022-01-11-00:00,2022-01-12-00:00,first,0.01020195107693842,TA
ACMUSDT,2022-01-11-00:00,2022-01-12-00:00,second,0.013268286054233636,TA
ACMUSDT,2022-01-12-00:00,2022-01-13-00:00,first,0.01090259990031698,TA
ACMUSDT,2022-01-12-00:00,2022-01-13-00:00,second,0.009175564075098348,TA
ACMUSDT,2022-01-13-00:00,2022-01-14-00:00,first,0.012363745747495783,TA
ACMUSDT,2022-01-13-00:00,2022-01-14-00:00,second,0.021179452729591482,TA
ACMUSDT,2022-01-14-00:00,2022-01-15-00:00,first,0.019132696907763386,TA
ACMUSDT,2022-01-14-00:00,2022-01-15-00:00,second,0.019286548656733935,TA
ACMUSDT,2022-01-15-00:00,2022-01-16-00:00,first,0.018908731220465293,TA
ACMUSDT,2022-01-15-00:00,2022-01-16-00:00,second,0.023163980736646824,TA
ACMUSDT,2022-01-16-00:00,2022-01-17-00:00,first,0.012714183486874258,TA
ACMUSDT,2022-01-16-00:00,2022-01-17-00:00,second,0.02733612584516933,TA
ACMUSDT,2022-01-17-00:00,2022-01-18-00:00,first,0.012541400870294076,TA
ACMUSDT,2022-01-17-00:00,2022-01-18-00:00,second,0.015277951300742356,TA
ACMUSDT,2022-01-18-00:00,2022-01-19-00:00,first,0.00803765505443866,TA
ACMUSDT,2022-01-18-00:00,2022-01-19-00:00,second,0.014006752139704537,TA
