symbol,start_date,end_date,digit_type,mad,target
ADXUSDT,2022-01-01-00:00,2022-01-02-00:00,first,0.01411239432455388,TA
ADXUSDT,2022-01-01-00:00,2022-01-02-00:00,second,0.007793171097005019,TA
ADXUSDT,2022-01-02-00:00,2022-01-03-00:00,first,0.0139729790038178,TA
ADXUSDT,2022-01-02-00:00,2022-01-03-00:00,second,0.019393554933234896,TA
ADXUSDT,2022-01-03-00:00,2022-01-04-00:00,first,0.013940388722190392,TA
ADXUSDT,2022-01-03-00:00,2022-01-04-00:00,second,0.010737671818266065,TA
ADXUSDT,2022-01-04-00:00,2022-01-05-00:00,first,0.009537738763741442,TA
ADXUSDT,2022-01-04-00:00,2022-01-05-00:00,second,0.014740756996387033,TA
ADXUSDT,2022-01-05-00:00,2022-01-06-00:00,first,0.007542073749931189,TA
ADXUSDT,2022-01-05-00:00,2022-01-06-00:00,second,0.012304774102426076,TA
ADXUSDT,2022-01-06-00:00,2022-01-07-00:00,first,0.012599193349440726,TA
ADXUSDT,2022-01-06-00:00,2022-01-07-00:00,second,0.012167770207721848,TA
ADXUSDT,2022-01-07-00:00,2022-01-08-00:00,first,0.009419044023881266,TA
ADXUSDT,2022-01-07-00:00,2022-01-08-00:00,second,0.013814757693654131,TA
ADXUSDT,2022-01-08-00:00,2022-01-09-00:00,first,0.008271756230228047,TA
ADXUSDT,2022-01-08-00:00,2022-01-09-00:00,second,0.013408854168273143,TA
ADXUSDT,2022-01-09-00:00,2022-01-10-00:00,first,0.012249353496902133,TA
ADXUSDT,2022-01-09-00:00,2022-01-10-00:00,second,0.01111878203130295,TA
ADXUSDT,2022-01-10-00:00,2022-01-11-00:00,first,0.012070756525192863,TA
ADXUSDT,2022-01-10-00:00,2022-01-11-00:00,second,0.014929198415781974,TA
ADXUSDT,2022-01-11-00:00,2022-01-12-00:00,first,0.013000536678123672,TA
ADXUSDT,2022-01-11-00:00,2022-01-12-00:00,second,0.009449928296063441,TA
ADXUSDT,2022-01-12-00:00,2022-01-13-00:00,first,0.014385345506203974,TA
ADXUSDT,2022-01-12-00:00,2022-01-13-00:00,second,0.009357911220262822,TA
ADXUSDT,2022-01-13-00:00,2022-01-14-00:00,first,0.015516057281690334,TA
ADXUSDT,2022-01-13-00:00,2022-01-14-00:00,second,0.01096649270548363,TA
ADXUSDT,2022-01-14-00:00,2022-01-15-00:00,first,0.013205795042464592,TA
ADXUSDT,2022-01-14-00:00,2022-01-15-00:00,second,0.010345846888277038,TA
ADXUSDT,2022-01-15-00:00,2022-01-16-00:00,first,0.022357415452461837,TA
ADXUSDT,2022-01-15-00:00,2022-01-16-00:00,second,0.012945840851513523,TA
ADXUSDT,2022-01-16-00:00,2022-01-17-00:00,first,0.01853197489931219,TA
ADXUSDT,2022-01-16-00:00,2022-01-17-00:00,second,0.011162835665257383,TA
ADXUSDT,2022-01-17-00:00,2022-01-18-00:00,first,0.009446646441183612,TA
ADXUSDT,2022-01-17-00:00,2022-01-18-00:00,second,0.019124223225197922,TA
ADXUSDT,2022-01-18-00:00,2022-01-19-00:00,first,0.009792898744505698,TA
ADXUSDT,2022-01-18-00:00,2022-01-19-00:00,second,0.015432034019550395,TA
ADXUSDT,2022-01-19-00:00,2022-01-20-00:00,first,0.013901287839621908,TA
ADXUSDT,2022-01-19-00:00,2022-01-20-00:00,second,0.014418412376269998,TA
ADXUSDT,2022-01-20-00:00,2022-01-21-00:00,first,0.02024290146056436,TA
ADXUSDT,2022-01-20-00:00,2022-01-21-00:00,second,0.011968393794731936,TA
ADXUSDT,2022-01-21-00:00,2022-01-22-00:00,first,0.010249618674587492,TA
ADXUSDT,2022-01-21-00:00,2022-01-22-00:00,second,0.0035695976077821196,TA
ADXUSDT,2022-01-22-00:00,2022-01-23-00:00,first,0.008632249269866978,TA
ADXUSDT,2022-01-22-00:00,2022-01-23-00:00,second,0.010040966752855315,TA
ADXUSDT,2022-01-23-00:00,2022-01-24-00:00,first,0.009924737810543883,TA
ADXUSDT,2022-01-23-00:00,2022-01-24-00:00,second,0.00874703949976489,TA
ADXUSDT,2022-01-24-00:00,2022-01-25-00:00,first,0.009978715550081167,TA
ADXUSDT,2022-01-24-00:00,2022-01-25-00:00,second,0.009095425891719473,TA
ADXUSDT,2022-01-25-00:00,2022-01-26-00:00,first,0.00448558892949531,TA
ADXUSDT,2022-01-25-00:00,2022-01-26-00:00,second,0.010488103721017493,TA
ADXUSDT,2022-01-26-00:00,2022-01-27-00:00,first,0.021170279419927416,TA
ADXUSDT,2022-01-26-00:00,2022-01-27-00:00,second,0.011431565244499033,TA
