symbol,start_date,end_date,digit_type,mad,target
BICOUSDT,2022-01-01-00:00,2022-01-02-00:00,first,0.009174246690332875,TA
BICOUSDT,2022-01-01-00:00,2022-01-02-00:00,second,0.007187559754092261,TA
BICOUSDT,2022-01-02-00:00,2022-01-03-00:00,first,0.011300971025457407,TA
BICOUSDT,2022-01-02-00:00,2022-01-03-00:00,second,0.0073908966719952885,TA
BICOUSDT,2022-01-03-00:00,2022-01-04-00:00,first,0.005099117745722216,TA
BICOUSDT,2022-01-03-00:00,2022-01-04-00:00,second,0.00662808607666116,TA
BICOUSDT,2022-01-04-00:00,2022-01-05-00:00,first,0.004843596513579932,TA
BICOUSDT,2022-01-04-00:00,2022-01-05-00:00,second,0.004089464867220354,TA
BICOUSDT,2022-01-05-00:00,2022-01-06-00:00,first,0.0031688918494397634,TA
BICOUSDT,2022-01-05-00:00,2022-01-06-00:00,second,0.008958528407813878,TA
BICOUSDT,2022-01-06-00:00,2022-01-07-00:00,first,0.00529013747367963,TA
BICOUSDT,2022-01-06-00:00,2022-01-07-00:00,second,0.0061610542179468515,TA
BICOUSDT,2022-01-07-00:00,2022-01-08-00:00,first,0.00789649642813118,TA
BICOUSDT,2022-01-07-00:00,2022-01-08-00:00,second,0.007359406789532339,TA
BICOUSDT,2022-01-08-00:00,2022-01-09-00:00,first,0.0045478942436338165,TA
BICOUSDT,2022-01-08-00:00,2022-01-09-00:00,second,0.007758026657676531,TA
BICOUSDT,2022-01-09-00:00,2022-01-10-00:00,first,0.005510029410433173,TA
BICOUSDT,2022-01-09-00:00,2022-01-10-00:00,second,0.006476702707684702,TA
BICOUSDT,2022-01-10-00:00,2022-01-11-00:00,first,0.0041338642743253525,TA
BICOUSDT,2022-01-10-00:00,2022-01-11-00:00,second,0.006286448182007411,TA
BICOUSDT,2022-01-11-00:00,2022-01-12-00:00,first,0.007297014987626878,TA
BICOUSDT,2022-01-11-00:00,2022-01-12-00:00,second,0.003763489117826822,TA
BICOUSDT,2022-01-12-00:00,2022-01-13-00:00,first,0.009838616429083461,TA
BICOUSDT,2022-01-12-00:00,2022-01-13-00:00,second,0.005355121634372258,TA
BICOUSDT,2022-01-13-00:00,2022-01-14-00:00,first,0.004268363056721198,TA
BICOUSDT,2022-01-13-00:00,2022-01-14-00:00,second,0.008883299589893466,TA
BICOUSDT,2022-01-14-00:00,2022-01-15-00:00,first,0.005109432410564608,TA
BICOUSDT,2022-01-14-00:00,2022-01-15-00:00,second,0.005581872950998203,TA
BICOUSDT,2022-01-15-00:00,2022-01-16-00:00,first,0.005132471762158041,TA
BICOUSDT,2022-01-15-00:00,2022-01-16-00:00,second,0.006860061207770976,TA
BICOUSDT,2022-01-16-00:00,2022-01-17-00:00,first,0.005724232087772334,TA
BICOUSDT,2022-01-16-00:00,2022-01-17-00:00,second,0.006558020388261555,TA
BICOUSDT,2022-01-17-00:00,2022-01-18-00:00,first,0.006847888936236733,TA
