symbol,start_date,end_date,digit_type,mad,target
BNTUSDT,2022-01-01-00:00,2022-01-02-00:00,first,0.013390456060634036,TA
BNTUSDT,2022-01-01-00:00,2022-01-02-00:00,second,0.011487382753990784,TA
BNTUSDT,2022-01-02-00:00,2022-01-03-00:00,first,0.01056170800607149,TA
BNTUSDT,2022-01-02-00:00,2022-01-03-00:00,second,0.014962218172990694,TA
BNTUSDT,2022-01-03-00:00,2022-01-04-00:00,first,0.020323450573083292,TA
BNTUSDT,2022-01-03-00:00,2022-01-04-00:00,second,0.011205407055944586,TA
BNTUSDT,2022-01-04-00:00,2022-01-05-00:00,first,0.009502745206170497,TA
BNTUSDT,2022-01-04-00:00,2022-01-05-00:00,second,0.009520468822009574,TA
BNTUSDT,2022-01-05-00:00,2022-01-06-00:00,first,0.007125215846829073,TA
BNTUSDT,2022-01-05-00:00,2022-01-06-00:00,second,0.00861148083401547,TA
BNTUSDT,2022-01-06-00:00,2022-01-07-00:00,first,0.00713578514886902,TA
BNTUSDT,2022-01-06-00:00,2022-01-07-00:00,second,0.006323147922546034,TA
BNTUSDT,2022-01-07-00:00,2022-01-08-00:00,first,0.011322822786153583,TA
BNTUSDT,2022-01-07-00:00,2022-01-08-00:00,second,0.013338534790247195,TA
BNTUSDT,2022-01-08-00:00,2022-01-09-00:00,first,0.017150295402713053,TA
BNTUSDT,2022-01-08-00:00,2022-01-09-00:00,second,0.018426238120741577,TA
BNTUSDT,2022-01-09-00:00,2022-01-10-00:00,first,0.007943475964148716,TA
BNTUSDT,2022-01-09-00:00,2022-01-10-00:00,second,0.007566767422608457,TA
BNTUSDT,2022-01-10-00:00,2022-01-11-00:00,first,0.01386485242545834,TA
BNTUSDT,2022-01-10-00:00,2022-01-11-00:00,second,0.0069101809169533025,TA
BNTUSDT,2022-01-11-00:00,2022-01-12-00:00,first,0.008588843144179662,TA
BNTUSDT,2022-01-11-00:00,2022-01-12-00:00,second,0.008851085945622044,TA
BNTUSDT,2022-01-12-00:00,2022-01-13-00:00,first,0.013749386385612997,TA
BNTUSDT,2022-01-12-00:00,2022-01-13-00:00,second,0.010718488111475131,TA
BNTUSDT,2022-01-13-00:00,2022-01-14-00:00,first,0.011163213837073836,TA
BNTUSDT,2022-01-13-00:00,2022-01-14-00:00,second,0.014729228708620885,TA
BNTUSDT,2022-01-14-00:00,2022-01-15-00:00,first,0.017048764393495473,TA
BNTUSDT,2022-01-14-00:00,2022-01-15-00:00,second,0.013467115846168226,TA
BNTUSDT,2022-01-15-00:00,2022-01-16-00:00,first,0.019539630130653254,TA
BNTUSDT,2022-01-15-00:00,2022-01-16-00:00,second,0.011974145497380986,TA
BNTUSDT,2022-01-16-00:00,2022-01-17-00:00,first,0.005570324488692107,TA
BNTUSDT,2022-01-16-00:00,2022-01-17-00:00,second,0.019149691136476875,TA
BNTUSDT,2022-01-17-00:00,2022-01-18-00:00,first,0.01948514330240548,TA
BNTUSDT,2022-01-17-00:00,2022-01-18-00:00,second,0.013761057917949515,TA
BNTUSDT,2022-01-18-00:00,2022-01-19-00:00,first,0.012774259603599375,TA
BNTUSDT,2022-01-18-00:00,2022-01-19-00:00,second,0.01837925129506565,TA
BNTUSDT,2022-01-19-00:00,2022-01-20-00:00,first,0.01690449658711993,TA
BNTUSDT,2022-01-19-00:00,2022-01-20-00:00,second,0.016794758790242097,TA
BNTUSDT,2022-01-20-00:00,2022-01-21-00:00,first,0.02363548144882335,TA
BNTUSDT,2022-01-20-00:00,2022-01-21-00:00,second,0.015671310127223274,TA
BNTUSDT,2022-01-21-00:00,2022-01-22-00:00,first,0.008884139887227884,TA
BNTUSDT,2022-01-21-00:00,2022-01-22-00:00,second,0.007685571696573907,TA
BNTUSDT,2022-01-22-00:00,2022-01-23-00:00,first,0.006246759885645634,TA
BNTUSDT,2022-01-22-00:00,2022-01-23-00:00,second,0.009737009760174442,TA
BNTUSDT,2022-01-23-00:00,2022-01-24-00:00,first,0.01392371879835451,TA
BNTUSDT,2022-01-23-00:00,2022-01-24-00:00,second,0.008135522374296236,TA
BNTUSDT,2022-01-24-00:00,2022-01-25-00:00,first,0.02322101880769685,TA
BNTUSDT,2022-01-24-00:00,2022-01-25-00:00,second,0.012810230575206727,TA
BNTUSDT,2022-01-25-00:00,2022-01-26-00:00,first,0.01312279154875013,TA
BNTUSDT,2022-01-25-00:00,2022-01-26-00:00,second,0.010151660220711213,TA
BNTUSDT,2022-01-26-00:00,2022-01-27-00:00,first,0.01587713175138606,TA
BNTUSDT,2022-01-26-00:00,2022-01-27-00:00,second,0.01185859692993085,TA
BNTUSDT,2022-01-27-00:00,2022-01-28-00:00,first,0.020330754615291515,TA
BNTUSDT,2022-01-27-00:00,2022-01-28-00:00,second,0.01184738370054456,TA
BNTUSDT,2022-01-28-00:00,2022-01-29-00:00,first,0.010029687557767298,TA
BNTUSDT,2022-01-28-00:00,2022-01-29-00:00,second,0.009152832432619683,TA
BNTUSDT,2022-01-29-00:00,2022-01-30-00:00,first,0.01988423338593857,TA
BNTUSDT,2022-01-29-00:00,2022-01-30-00:00,second,0.006058044332331136,TA
BNTUSDT,2022-01-30-00:00,2022-01-31-00:00,first,0.024408988853020577,TA
BNTUSDT,2022-01-30-00:00,2022-01-31-00:00,second,0.01762359145872615,TA
BNTUSDT,2022-01-31-00:00,2022-02-01-00:00,first,0.011543611320766525,TA
BNTUSDT,2022-01-31-00:00,2022-02-01-00:00,second,0.01644419980180008,TA
BNTUSDT,2022-02-01-00:00,2022-02-02-00:00,first,0.014904457602068119,TA
BNTUSDT,2022-02-01-00:00,2022-02-02-00:00,second,0.012517461615041798,TA
BNTUSDT,2022-02-02-00:00,2022-02-03-00:00,first,0.014955516655936177,TA
BNTUSDT,2022-02-02-00:00,2022-02-03-00:00,second,0.013950678438648051,TA
BNTUSDT,2022-02-03-00:00,2022-02-04-00:00,first,0.012627824937547875,TA
BNTUSDT,2022-02-03-00:00,2022-02-04-00:00,second,0.011122998781046316,TA
BNTUSDT,2022-02-04-00:00,2022-02-05-00:00,first,0.028186475848875896,TA
BNTUSDT,2022-02-04-00:00,2022-02-05-00:00,second,0.018386145574198643,TA
BNTUSDT,2022-02-05-00:00,2022-02-06-00:00,first,0.011745562793955833,TA
BNTUSDT,2022-02-05-00:00,2022-02-06-00:00,second,0.017206049793566547,TA
BNTUSDT,2022-02-06-00:00,2022-02-07-00:00,first,0.01106561115707849,TA
BNTUSDT,2022-02-06-00:00,2022-02-07-00:00,second,0.013706585683408976,TA
BNTUSDT,2022-02-07-00:00,2022-02-08-00:00,first,0.013755457973638328,TA
BNTUSDT,2022-02-07-00:00,2022-02-08-00:00,second,0.021054281552013655,TA
BNTUSDT,2022-02-08-00:00,2022-02-09-00:00,first,0.008757416453857683,TA
BNTUSDT,2022-02-08-00:00,2022-02-09-00:00,second,0.009489024699797215,TA
BNTUSDT,2022-02-09-00:00,2022-02-10-00:00,first,0.01526611094060283,TA
BNTUSDT,2022-02-09-00:00,2022-02-10-00:00,second,0.02743457854636714,TA
BNTUSDT,2022-02-10-00:00,2022-02-11-00:00,first,0.014107836236426478,TA
BNTUSDT,2022-02-10-00:00,2022-02-11-00:00,second,0.01827019685222734,TA
BNTUSDT,2022-02-11-00:00,2022-02-12-00:00,first,0.0068719561692548396,TA
BNTUSDT,2022-02-11-00:00,2022-02-12-00:00,second,0.012188695279373045,TA
BNTUSDT,2022-02-12-00:00,2022-02-13-00:00,first,0.015732271256978243,TA
BNTUSDT,2022-02-12-00:00,2022-02-13-00:00,second,0.02137075127213664,TA
BNTUSDT,2022-02-13-00:00,2022-02-14-00:00,first,0.015718042446163462,TA
BNTUSDT,2022-02-13-00:00,2022-02-14-00:00,second,0.012259519912035876,TA
BNTUSDT,2022-02-14-00:00,2022-02-15-00:00,first,0.012551888308031037,TA
BNTUSDT,2022-02-14-00:00,2022-02-15-00:00,second,0.01419614428753604,TA
BNTUSDT,2022-02-15-00:00,2022-02-16-00:00,first,0.013603288329471422,TA
BNTUSDT,2022-02-15-00:00,2022-02-16-00:00,second,0.03010443262379217,TA
BNTUSDT,2022-02-16-00:00,2022-02-17-00:00,first,0.021930857453385636,TA
BNTUSDT,2022-02-16-00:00,2022-02-17-00:00,second,0.016888661876537304,TA
BNTUSDT,2022-02-17-00:00,2022-02-18-00:00,first,0.018677525241890997,TA
BNTUSDT,2022-02-17-00:00,2022-02-18-00:00,second,0.022636901568089386,TA
BNTUSDT,2022-02-18-00:00,2022-02-19-00:00,first,0.012994845372137662,TA
BNTUSDT,2022-02-18-00:00,2022-02-19-00:00,second,0.01810677287915044,TA
BNTUSDT,2022-02-19-00:00,2022-02-20-00:00,first,0.014779403948634355,TA
BNTUSDT,2022-02-19-00:00,2022-02-20-00:00,second,0.024785624835595745,TA
BNTUSDT,2022-02-20-00:00,2022-02-21-00:00,first,0.016132145415832584,TA
BNTUSDT,2022-02-20-00:00,2022-02-21-00:00,second,0.019275373112700934,TA
BNTUSDT,2022-02-21-00:00,2022-02-22-00:00,first,0.010144173780708088,TA
BNTUSDT,2022-02-21-00:00,2022-02-22-00:00,second,0.016345858665866055,TA
BNTUSDT,2022-02-22-00:00,2022-02-23-00:00,first,0.01722343258343536,TA
BNTUSDT,2022-02-22-00:00,2022-02-23-00:00,second,0.022003557533584718,TA
BNTUSDT,2022-02-23-00:00,2022-02-24-00:00,first,0.007732622084330559,TA
BNTUSDT,2022-02-23-00:00,2022-02-24-00:00,second,0.01482173915198955,TA
BNTUSDT,2022-02-24-00:00,2022-02-25-00:00,first,0.00991112897896587,TA
BNTUSDT,2022-02-24-00:00,2022-02-25-00:00,second,0.011500732831450703,TA
BNTUSDT,2022-02-25-00:00,2022-02-26-00:00,first,0.010601761470973409,TA
BNTUSDT,2022-02-25-00:00,2022-02-26-00:00,second,0.012547538302338962,TA
BNTUSDT,2022-02-26-00:00,2022-02-27-00:00,first,0.021949948360822757,TA
BNTUSDT,2022-02-26-00:00,2022-02-27-00:00,second,0.019365461988343286,TA
BNTUSDT,2022-02-27-00:00,2022-02-28-00:00,first,0.012636231381193458,TA
BNTUSDT,2022-02-27-00:00,2022-02-28-00:00,second,0.019227277495101624,TA
BNTUSDT,2022-02-28-00:00,2022-03-01-00:00,first,0.016501853804594253,TA
BNTUSDT,2022-02-28-00:00,2022-03-01-00:00,second,0.021939159904928486,TA
BNTUSDT,2022-03-01-00:00,2022-03-02-00:00,first,0.010058167961000425,TA
BNTUSDT,2022-03-01-00:00,2022-03-02-00:00,second,0.00939297747110355,TA
BNTUSDT,2022-03-02-00:00,2022-03-03-00:00,first,0.02053589944143534,TA
BNTUSDT,2022-03-02-00:00,2022-03-03-00:00,second,0.019778961583371085,TA
BNTUSDT,2022-03-03-00:00,2022-03-04-00:00,first,0.01222221275589993,TA
BNTUSDT,2022-03-03-00:00,2022-03-04-00:00,second,0.017552658416775467,TA
BNTUSDT,2022-03-04-00:00,2022-03-05-00:00,first,0.011140552465995213,TA
BNTUSDT,2022-03-04-00:00,2022-03-05-00:00,second,0.00936771621121471,TA
BNTUSDT,2022-03-05-00:00,2022-03-06-00:00,first,0.015180274309275864,TA
BNTUSDT,2022-03-05-00:00,2022-03-06-00:00,second,0.011349063685775613,TA
BNTUSDT,2022-03-06-00:00,2022-03-07-00:00,first,0.015611563136000126,TA
BNTUSDT,2022-03-06-00:00,2022-03-07-00:00,second,0.026114924672382543,TA
BNTUSDT,2022-03-07-00:00,2022-03-08-00:00,first,0.009774939962517028,TA
BNTUSDT,2022-03-07-00:00,2022-03-08-00:00,second,0.030018118182334075,TA
BNTUSDT,2022-03-08-00:00,2022-03-09-00:00,first,0.014656748621846571,TA
