symbol,start_date,end_date,digit_type,mad,target
IMXUSDT,2022-01-10-00:00,2022-01-11-00:00,first,0.011620474953985839,TA
IMXUSDT,2022-01-10-00:00,2022-01-11-00:00,second,0.009949998097349292,TA
IMXUSDT,2022-01-11-00:00,2022-01-12-00:00,first,0.00906869676710093,TA
IMXUSDT,2022-01-11-00:00,2022-01-12-00:00,second,0.005423083935526198,TA
IMXUSDT,2022-01-12-00:00,2022-01-13-00:00,first,0.008574043486559752,TA
IMXUSDT,2022-01-12-00:00,2022-01-13-00:00,second,0.010955536609780494,TA
IMXUSDT,2022-01-13-00:00,2022-01-14-00:00,first,0.010066953215920847,TA
IMXUSDT,2022-01-13-00:00,2022-01-14-00:00,second,0.008994410852980961,TA
IMXUSDT,2022-01-14-00:00,2022-01-15-00:00,first,0.00863204957921666,TA
IMXUSDT,2022-01-14-00:00,2022-01-15-00:00,second,0.012013619193182907,TA
IMXUSDT,2022-01-15-00:00,2022-01-16-00:00,first,0.006882949165034968,TA
IMXUSDT,2022-01-15-00:00,2022-01-16-00:00,second,0.010425366227907072,TA
IMXUSDT,2022-01-16-00:00,2022-01-17-00:00,first,0.003000840228309252,TA
IMXUSDT,2022-01-16-00:00,2022-01-17-00:00,second,0.0077100430657611446,TA
IMXUSDT,2022-01-17-00:00,2022-01-18-00:00,first,0.006338613166108804,TA
IMXUSDT,2022-01-17-00:00,2022-01-18-00:00,second,0.005209629373075654,TA
IMXUSDT,2022-01-18-00:00,2022-01-19-00:00,first,0.007925940349425514,TA
IMXUSDT,2022-01-18-00:00,2022-01-19-00:00,second,0.005566316809124968,TA
IMXUSDT,2022-01-19-00:00,2022-01-20-00:00,first,0.009376428477489996,TA
IMXUSDT,2022-01-19-00:00,2022-01-20-00:00,second,0.010532972870489625,TA
IMXUSDT,2022-01-20-00:00,2022-01-21-00:00,first,0.013379808435474792,TA
IMXUSDT,2022-01-20-00:00,2022-01-21-00:00,second,0.01474356933260868,TA
IMXUSDT,2022-01-21-00:00,2022-01-22-00:00,first,0.010917307850260698,TA
IMXUSDT,2022-01-21-00:00,2022-01-22-00:00,second,0.0023472030756689867,TA
IMXUSDT,2022-01-22-00:00,2022-01-23-00:00,first,0.009839193429748995,TA
IMXUSDT,2022-01-22-00:00,2022-01-23-00:00,second,0.0064252869767751465,TA
IMXUSDT,2022-01-23-00:00,2022-01-24-00:00,first,0.011615306857931388,TA
IMXUSDT,2022-01-23-00:00,2022-01-24-00:00,second,0.009809315109267256,TA
IMXUSDT,2022-01-24-00:00,2022-01-25-00:00,first,0.008350333597387672,TA
IMXUSDT,2022-01-24-00:00,2022-01-25-00:00,second,0.0061539004689207,TA
IMXUSDT,2022-01-25-00:00,2022-01-26-00:00,first,0.009843256652217684,TA
IMXUSDT,2022-01-25-00:00,2022-01-26-00:00,second,0.01002766907171872,TA
IMXUSDT,2022-01-26-00:00,2022-01-27-00:00,first,0.0082661811872538,TA
IMXUSDT,2022-01-26-00:00,2022-01-27-00:00,second,0.003593918122156939,TA
IMXUSDT,2022-01-27-00:00,2022-01-28-00:00,first,0.009239215063466826,TA
