symbol,start_date,end_date,digit_type,mad,target
LAZIOUSDT,2022-01-01-00:00,2022-01-02-00:00,first,0.01265278746532818,TA
LAZIOUSDT,2022-01-01-00:00,2022-01-02-00:00,second,0.003959652943789487,TA
LAZIOUSDT,2022-01-02-00:00,2022-01-03-00:00,first,0.010105482778659818,TA
LAZIOUSDT,2022-01-02-00:00,2022-01-03-00:00,second,0.005563033965005763,TA
LAZIOUSDT,2022-01-03-00:00,2022-01-04-00:00,first,0.007100776979646611,TA
LAZIOUSDT,2022-01-03-00:00,2022-01-04-00:00,second,0.006671170744186651,TA
LAZIOUSDT,2022-01-04-00:00,2022-01-05-00:00,first,0.00443524640735338,TA
LAZIOUSDT,2022-01-04-00:00,2022-01-05-00:00,second,0.009184821185725193,TA
LAZIOUSDT,2022-01-05-00:00,2022-01-06-00:00,first,0.010981497037271424,TA
LAZIOUSDT,2022-01-05-00:00,2022-01-06-00:00,second,0.007393017801780165,TA
LAZIOUSDT,2022-01-06-00:00,2022-01-07-00:00,first,0.005373226776682992,TA
LAZIOUSDT,2022-01-06-00:00,2022-01-07-00:00,second,0.0064169690031676855,TA
LAZIOUSDT,2022-01-07-00:00,2022-01-08-00:00,first,0.006677157568816704,TA
LAZIOUSDT,2022-01-07-00:00,2022-01-08-00:00,second,0.0050271341165892755,TA
LAZIOUSDT,2022-01-08-00:00,2022-01-09-00:00,first,0.008954177632213957,TA
LAZIOUSDT,2022-01-08-00:00,2022-01-09-00:00,second,0.008890779687155844,TA
LAZIOUSDT,2022-01-09-00:00,2022-01-10-00:00,first,0.007124781092886846,TA
LAZIOUSDT,2022-01-09-00:00,2022-01-10-00:00,second,0.006634985367208512,TA
LAZIOUSDT,2022-01-10-00:00,2022-01-11-00:00,first,0.01009466341971425,TA
LAZIOUSDT,2022-01-10-00:00,2022-01-11-00:00,second,0.007491727887133151,TA
LAZIOUSDT,2022-01-11-00:00,2022-01-12-00:00,first,0.0058409306649679455,TA
LAZIOUSDT,2022-01-11-00:00,2022-01-12-00:00,second,0.007114595063954077,TA
LAZIOUSDT,2022-01-12-00:00,2022-01-13-00:00,first,0.003385254227238479,TA
LAZIOUSDT,2022-01-12-00:00,2022-01-13-00:00,second,0.007336726643957471,TA
LAZIOUSDT,2022-01-13-00:00,2022-01-14-00:00,first,0.009157276048055453,TA
LAZIOUSDT,2022-01-13-00:00,2022-01-14-00:00,second,0.008654743008494862,TA
LAZIOUSDT,2022-01-14-00:00,2022-01-15-00:00,first,0.005284103952999172,TA
LAZIOUSDT,2022-01-14-00:00,2022-01-15-00:00,second,0.005938663538546826,TA
LAZIOUSDT,2022-01-15-00:00,2022-01-16-00:00,first,0.012003289283386072,TA
LAZIOUSDT,2022-01-15-00:00,2022-01-16-00:00,second,0.0086180174764991,TA
LAZIOUSDT,2022-01-16-00:00,2022-01-17-00:00,first,0.007635913431730346,TA
LAZIOUSDT,2022-01-16-00:00,2022-01-17-00:00,second,0.007256643754105419,TA
LAZIOUSDT,2022-01-17-00:00,2022-01-18-00:00,first,0.010993156082201331,TA
LAZIOUSDT,2022-01-17-00:00,2022-01-18-00:00,second,0.007830534284498647,TA
LAZIOUSDT,2022-01-18-00:00,2022-01-19-00:00,first,0.00682231593213428,TA
LAZIOUSDT,2022-01-18-00:00,2022-01-19-00:00,second,0.007297760065064683,TA
LAZIOUSDT,2022-01-19-00:00,2022-01-20-00:00,first,0.00802046576838803,TA
LAZIOUSDT,2022-01-19-00:00,2022-01-20-00:00,second,0.007107679763443829,TA
LAZIOUSDT,2022-01-20-00:00,2022-01-21-00:00,first,0.009600877451637803,TA
LAZIOUSDT,2022-01-20-00:00,2022-01-21-00:00,second,0.005030850066804302,TA
LAZIOUSDT,2022-01-21-00:00,2022-01-22-00:00,first,0.014851205816331196,TA
LAZIOUSDT,2022-01-21-00:00,2022-01-22-00:00,second,0.010190464274829744,TA
LAZIOUSDT,2022-01-22-00:00,2022-01-23-00:00,first,0.006792068309862167,TA
LAZIOUSDT,2022-01-22-00:00,2022-01-23-00:00,second,0.006111887070263685,TA
LAZIOUSDT,2022-01-23-00:00,2022-01-24-00:00,first,0.009269195412677143,TA
LAZIOUSDT,2022-01-23-00:00,2022-01-24-00:00,second,0.005957586833711749,TA
LAZIOUSDT,2022-01-24-00:00,2022-01-25-00:00,first,0.010131994804550546,TA
LAZIOUSDT,2022-01-24-00:00,2022-01-25-00:00,second,0.010971803738760976,TA
LAZIOUSDT,2022-01-25-00:00,2022-01-26-00:00,first,0.010999740827814304,TA
LAZIOUSDT,2022-01-25-00:00,2022-01-26-00:00,second,0.00920995904771375,TA
LAZIOUSDT,2022-01-26-00:00,2022-01-27-00:00,first,0.00796374467776392,TA
LAZIOUSDT,2022-01-26-00:00,2022-01-27-00:00,second,0.01089160831496878,TA
