symbol,start_date,end_date,digit_type,mad,target
LDOUSDT,2022-05-09-00:00,2022-05-10-00:00,first,0.009208134981501751,TA
LDOUSDT,2022-05-09-00:00,2022-05-10-00:00,second,0.015907728152891515,TA
LDOUSDT,2022-05-10-00:00,2022-05-11-00:00,first,0.004332213600378483,TA
LDOUSDT,2022-05-10-00:00,2022-05-11-00:00,second,0.005227837644956547,TA
LDOUSDT,2022-05-11-00:00,2022-05-12-00:00,first,0.00772820081028466,TA
LDOUSDT,2022-05-11-00:00,2022-05-12-00:00,second,0.008180551980590832,TA
LDOUSDT,2022-05-12-00:00,2022-05-13-00:00,first,0.007962407475856501,TA
LDOUSDT,2022-05-12-00:00,2022-05-13-00:00,second,0.006621854683788139,TA
LDOUSDT,2022-05-13-00:00,2022-05-14-00:00,first,0.012958520176630808,TA
LDOUSDT,2022-05-13-00:00,2022-05-14-00:00,second,0.010760867972604043,TA
LDOUSDT,2022-05-14-00:00,2022-05-15-00:00,first,0.022679998072880538,TA
LDOUSDT,2022-05-14-00:00,2022-05-15-00:00,second,0.01491803059927059,TA
LDOUSDT,2022-05-15-00:00,2022-05-16-00:00,first,0.01605154392663533,TA
LDOUSDT,2022-05-15-00:00,2022-05-16-00:00,second,0.01051596994303132,TA
LDOUSDT,2022-05-16-00:00,2022-05-17-00:00,first,0.04126747581070484,TA
LDOUSDT,2022-05-16-00:00,2022-05-17-00:00,second,0.026986559310297004,TA
LDOUSDT,2022-05-17-00:00,2022-05-18-00:00,first,0.02205431302278281,TA
LDOUSDT,2022-05-17-00:00,2022-05-18-00:00,second,0.017516360104601662,TA
LDOUSDT,2022-05-18-00:00,2022-05-19-00:00,first,0.02538653421385448,TA
LDOUSDT,2022-05-18-00:00,2022-05-19-00:00,second,0.019648015681384662,TA
LDOUSDT,2022-05-19-00:00,2022-05-20-00:00,first,0.022987340540800268,TA
LDOUSDT,2022-05-19-00:00,2022-05-20-00:00,second,0.019688000715500083,TA
LDOUSDT,2022-05-20-00:00,2022-05-21-00:00,first,0.02153247831808132,TA
LDOUSDT,2022-05-20-00:00,2022-05-21-00:00,second,0.031678902033122056,TA
LDOUSDT,2022-05-21-00:00,2022-05-22-00:00,first,0.0917905430253995,TA
LDOUSDT,2022-05-21-00:00,2022-05-22-00:00,second,0.0914727747386547,TA
LDOUSDT,2022-05-22-00:00,2022-05-23-00:00,first,0.07205116450739504,TA
