symbol,start_date,end_date,digit_type,mad,target
SPELLUSDT,2022-01-01-00:00,2022-01-02-00:00,first,0.007560715057005705,TA
SPELLUSDT,2022-01-01-00:00,2022-01-02-00:00,second,0.00783311693072037,TA
SPELLUSDT,2022-01-02-00:00,2022-01-03-00:00,first,0.005617889278855013,TA
SPELLUSDT,2022-01-02-00:00,2022-01-03-00:00,second,0.008570318726083066,TA
SPELLUSDT,2022-01-03-00:00,2022-01-04-00:00,first,0.008552140221622487,TA
SPELLUSDT,2022-01-03-00:00,2022-01-04-00:00,second,0.004553328063966808,TA
SPELLUSDT,2022-01-04-00:00,2022-01-05-00:00,first,0.00526627976277921,TA
SPELLUSDT,2022-01-04-00:00,2022-01-05-00:00,second,0.005398654831405632,TA
SPELLUSDT,2022-01-05-00:00,2022-01-06-00:00,first,0.008228740989215551,TA
SPELLUSDT,2022-01-05-00:00,2022-01-06-00:00,second,0.0060965092812658855,TA
SPELLUSDT,2022-01-06-00:00,2022-01-07-00:00,first,0.004765149417934844,TA
SPELLUSDT,2022-01-06-00:00,2022-01-07-00:00,second,0.005402805047137677,TA
SPELLUSDT,2022-01-07-00:00,2022-01-08-00:00,first,0.009333826196934085,TA
SPELLUSDT,2022-01-07-00:00,2022-01-08-00:00,second,0.004096422460667266,TA
SPELLUSDT,2022-01-08-00:00,2022-01-09-00:00,first,0.005888793732457165,TA
SPELLUSDT,2022-01-08-00:00,2022-01-09-00:00,second,0.007608899175913622,TA
SPELLUSDT,2022-01-09-00:00,2022-01-10-00:00,first,0.00617219033501447,TA
SPELLUSDT,2022-01-09-00:00,2022-01-10-00:00,second,0.005981831241058952,TA
SPELLUSDT,2022-01-10-00:00,2022-01-11-00:00,first,0.006808959178497809,TA
SPELLUSDT,2022-01-10-00:00,2022-01-11-00:00,second,0.007905358705128037,TA
SPELLUSDT,2022-01-11-00:00,2022-01-12-00:00,first,0.015058658321576879,TA
SPELLUSDT,2022-01-11-00:00,2022-01-12-00:00,second,0.012086028640758157,TA
SPELLUSDT,2022-01-12-00:00,2022-01-13-00:00,first,0.0058608233673663164,TA
SPELLUSDT,2022-01-12-00:00,2022-01-13-00:00,second,0.007103662364051221,TA
SPELLUSDT,2022-01-13-00:00,2022-01-14-00:00,first,0.004158927949710194,TA
SPELLUSDT,2022-01-13-00:00,2022-01-14-00:00,second,0.00731085557582715,TA
SPELLUSDT,2022-01-14-00:00,2022-01-15-00:00,first,0.008114765523374255,TA
SPELLUSDT,2022-01-14-00:00,2022-01-15-00:00,second,0.005826404161654005,TA
SPELLUSDT,2022-01-15-00:00,2022-01-16-00:00,first,0.0060398714227260595,TA
SPELLUSDT,2022-01-15-00:00,2022-01-16-00:00,second,0.005869318481302034,TA
SPELLUSDT,2022-01-16-00:00,2022-01-17-00:00,first,0.010678103106735186,TA
SPELLUSDT,2022-01-16-00:00,2022-01-17-00:00,second,0.008193125996931009,TA
SPELLUSDT,2022-01-17-00:00,2022-01-18-00:00,first,0.004086263987499176,TA
SPELLUSDT,2022-01-17-00:00,2022-01-18-00:00,second,0.004591058571826433,TA
SPELLUSDT,2022-01-18-00:00,2022-01-19-00:00,first,0.005655506821433899,TA
SPELLUSDT,2022-01-18-00:00,2022-01-19-00:00,second,0.00547921321663495,TA
SPELLUSDT,2022-01-19-00:00,2022-01-20-00:00,first,0.004018440858654832,TA
SPELLUSDT,2022-01-19-00:00,2022-01-20-00:00,second,0.007579230259824507,TA
SPELLUSDT,2022-01-20-00:00,2022-01-21-00:00,first,0.0077655636806479265,TA
SPELLUSDT,2022-01-20-00:00,2022-01-21-00:00,second,0.007101272255513,TA
SPELLUSDT,2022-01-21-00:00,2022-01-22-00:00,first,0.004011497892358454,TA
SPELLUSDT,2022-01-21-00:00,2022-01-22-00:00,second,0.008019499327042228,TA
SPELLUSDT,2022-01-22-00:00,2022-01-23-00:00,first,0.004886413547983645,TA
SPELLUSDT,2022-01-22-00:00,2022-01-23-00:00,second,0.005847499444479261,TA
SPELLUSDT,2022-01-23-00:00,2022-01-24-00:00,first,0.002513338271503874,TA
SPELLUSDT,2022-01-23-00:00,2022-01-24-00:00,second,0.00859626499805682,TA
SPELLUSDT,2022-01-24-00:00,2022-01-25-00:00,first,0.008999462237001314,TA
SPELLUSDT,2022-01-24-00:00,2022-01-25-00:00,second,0.00812301265011309,TA
SPELLUSDT,2022-01-25-00:00,2022-01-26-00:00,first,0.004040896595403192,TA
SPELLUSDT,2022-01-25-00:00,2022-01-26-00:00,second,0.007611912045320267,TA
SPELLUSDT,2022-01-26-00:00,2022-01-27-00:00,first,0.006553186342763832,TA
SPELLUSDT,2022-01-26-00:00,2022-01-27-00:00,second,0.0028564575800452035,TA
SPELLUSDT,2022-01-27-00:00,2022-01-28-00:00,first,0.007714752685802744,TA
SPELLUSDT,2022-01-27-00:00,2022-01-28-00:00,second,0.006175641034587819,TA
SPELLUSDT,2022-01-28-00:00,2022-01-29-00:00,first,0.009209772172061027,TA
SPELLUSDT,2022-01-28-00:00,2022-01-29-00:00,second,0.006531491530370574,TA
SPELLUSDT,2022-01-29-00:00,2022-01-30-00:00,first,0.005742157244670786,TA
SPELLUSDT,2022-01-29-00:00,2022-01-30-00:00,second,0.004715042684676492,TA
SPELLUSDT,2022-01-30-00:00,2022-01-31-00:00,first,0.007324390253446423,TA
SPELLUSDT,2022-01-30-00:00,2022-01-31-00:00,second,0.007566958173505274,TA
SPELLUSDT,2022-01-31-00:00,2022-02-01-00:00,first,0.009170833826658406,TA
SPELLUSDT,2022-01-31-00:00,2022-02-01-00:00,second,0.007170377814303975,TA
SPELLUSDT,2022-02-01-00:00,2022-02-02-00:00,first,0.007613246417509307,TA
SPELLUSDT,2022-02-01-00:00,2022-02-02-00:00,second,0.008520140077768901,TA
SPELLUSDT,2022-02-02-00:00,2022-02-03-00:00,first,0.008855893584525222,TA
SPELLUSDT,2022-02-02-00:00,2022-02-03-00:00,second,0.004599955281124152,TA
SPELLUSDT,2022-02-03-00:00,2022-02-04-00:00,first,0.0067719728103972235,TA
SPELLUSDT,2022-02-03-00:00,2022-02-04-00:00,second,0.005783057029362404,TA
SPELLUSDT,2022-02-04-00:00,2022-02-05-00:00,first,0.005082953528857965,TA
SPELLUSDT,2022-02-04-00:00,2022-02-05-00:00,second,0.005508654045783811,TA
SPELLUSDT,2022-02-05-00:00,2022-02-06-00:00,first,0.006655003786704173,TA
SPELLUSDT,2022-02-05-00:00,2022-02-06-00:00,second,0.007972044883688066,TA
SPELLUSDT,2022-02-06-00:00,2022-02-07-00:00,first,0.006198120430392243,TA
SPELLUSDT,2022-02-06-00:00,2022-02-07-00:00,second,0.0065471870044929645,TA
SPELLUSDT,2022-02-07-00:00,2022-02-08-00:00,first,0.007049554592555117,TA
SPELLUSDT,2022-02-07-00:00,2022-02-08-00:00,second,0.0029863487710064655,TA
SPELLUSDT,2022-02-08-00:00,2022-02-09-00:00,first,0.0035249691814199006,TA
SPELLUSDT,2022-02-08-00:00,2022-02-09-00:00,second,0.006434048440479548,TA
SPELLUSDT,2022-02-09-00:00,2022-02-10-00:00,first,0.0045360591331190655,TA
