symbol,start_date,end_date,digit_type,mad,target
KRW-ANKR,2022-12-31-00:00,2023-01-01-00:00,first,0.02534028171727086,TA
KRW-ANKR,2022-12-31-00:00,2023-01-01-00:00,second,0.025521825798010888,TA
KRW-ANKR,2022-12-30-00:00,2022-12-31-00:00,first,0.021077782595576453,TA
KRW-ANKR,2022-12-30-00:00,2022-12-31-00:00,second,0.025300376067983722,TA
KRW-ANKR,2022-12-29-00:00,2022-12-30-00:00,first,0.029784726161715305,TA
KRW-ANKR,2022-12-29-00:00,2022-12-30-00:00,second,0.034434464021791844,TA
KRW-ANKR,2022-12-28-00:00,2022-12-29-00:00,first,0.020289444614952724,TA
KRW-ANKR,2022-12-28-00:00,2022-12-29-00:00,second,0.031137123369377618,TA
KRW-ANKR,2022-12-27-00:00,2022-12-28-00:00,first,0.014747503146441625,TA
KRW-ANKR,2022-12-27-00:00,2022-12-28-00:00,second,0.03293263756164883,TA
KRW-ANKR,2022-12-26-00:00,2022-12-27-00:00,first,0.014154999829491715,TA
KRW-ANKR,2022-12-26-00:00,2022-12-27-00:00,second,0.03438972871247814,TA
KRW-ANKR,2022-12-25-00:00,2022-12-26-00:00,first,0.028646386876515287,TA
KRW-ANKR,2022-12-25-00:00,2022-12-26-00:00,second,0.035389728712478134,TA
KRW-ANKR,2022-12-24-00:00,2022-12-25-00:00,first,0.029757497987626398,TA
KRW-ANKR,2022-12-24-00:00,2022-12-25-00:00,second,0.03562542891137649,TA
KRW-ANKR,2022-12-23-00:00,2022-12-24-00:00,first,0.019514995975252785,TA
KRW-ANKR,2022-12-23-00:00,2022-12-24-00:00,second,0.01933286792563138,TA
KRW-ANKR,2022-12-22-00:00,2022-12-23-00:00,first,0.019156546834006756,TA
KRW-ANKR,2022-12-22-00:00,2022-12-23-00:00,second,0.026097697315194585,TA
KRW-ANKR,2022-12-21-00:00,2022-12-22-00:00,first,0.02380472327103609,TA
KRW-ANKR,2022-12-21-00:00,2022-12-22-00:00,second,0.02600980595051398,TA
KRW-ANKR,2022-12-20-00:00,2022-12-21-00:00,first,0.021582501048813874,TA
KRW-ANKR,2022-12-20-00:00,2022-12-21-00:00,second,0.03168422351865967,TA
KRW-ANKR,2022-12-19-00:00,2022-12-20-00:00,first,0.03531305354318194,TA
KRW-ANKR,2022-12-19-00:00,2022-12-20-00:00,second,0.032932637561648825,TA
KRW-ANKR,2022-12-18-00:00,2022-12-19-00:00,first,0.0306261070863639,TA
KRW-ANKR,2022-12-18-00:00,2022-12-19-00:00,second,0.03693263756164883,TA
KRW-ANKR,2022-12-17-00:00,2022-12-18-00:00,first,0.01814776876472361,TA
KRW-ANKR,2022-12-17-00:00,2022-12-18-00:00,second,0.030480267299392426,TA
KRW-ANKR,2022-12-16-00:00,2022-12-17-00:00,first,0.023986668593786134,TA
KRW-ANKR,2022-12-16-00:00,2022-12-17-00:00,second,0.033225014734058214,TA
KRW-ANKR,2022-12-15-00:00,2022-12-16-00:00,first,0.03659249588999864,TA
KRW-ANKR,2022-12-15-00:00,2022-12-16-00:00,second,0.0222152179928486,TA
KRW-ANKR,2022-12-14-00:00,2022-12-15-00:00,first,0.037535275765404164,TA
KRW-ANKR,2022-12-14-00:00,2022-12-15-00:00,second,0.024215217992848603,TA
KRW-ANKR,2022-12-13-00:00,2022-12-14-00:00,first,0.021064168508531995,TA
KRW-ANKR,2022-12-13-00:00,2022-12-14-00:00,second,0.021054281552013648,TA
KRW-ANKR,2022-12-12-00:00,2022-12-13-00:00,first,0.022840156725795716,TA
KRW-ANKR,2022-12-12-00:00,2022-12-13-00:00,second,0.030992111510036224,TA
KRW-ANKR,2022-12-11-00:00,2022-12-12-00:00,first,0.02414138574244727,TA
KRW-ANKR,2022-12-11-00:00,2022-12-12-00:00,second,0.020708498191177968,TA
KRW-ANKR,2022-12-10-00:00,2022-12-11-00:00,first,0.034193769849280437,TA
KRW-ANKR,2022-12-10-00:00,2022-12-11-00:00,second,0.03838972871247814,TA
KRW-ANKR,2022-12-09-00:00,2022-12-10-00:00,first,0.022914327502463736,TA
KRW-ANKR,2022-12-09-00:00,2022-12-10-00:00,second,0.031144290550466393,TA
KRW-ANKR,2022-12-08-00:00,2022-12-09-00:00,first,0.026604037735698444,TA
KRW-ANKR,2022-12-08-00:00,2022-12-09-00:00,second,0.03214429055046638,TA
KRW-ANKR,2022-12-07-00:00,2022-12-08-00:00,first,0.02327277664370977,TA
KRW-ANKR,2022-12-07-00:00,2022-12-08-00:00,second,0.02909769731519458,TA
KRW-ANKR,2022-12-06-00:00,2022-12-07-00:00,first,0.028916117062977795,TA
KRW-ANKR,2022-12-06-00:00,2022-12-07-00:00,second,0.02287571799670586,TA
KRW-ANKR,2022-12-05-00:00,2022-12-06-00:00,first,0.021085955178366853,TA
KRW-ANKR,2022-12-05-00:00,2022-12-06-00:00,second,0.023805320142785198,TA
KRW-ANKR,2022-12-04-00:00,2022-12-05-00:00,first,0.019779284657461246,TA
KRW-ANKR,2022-12-04-00:00,2022-12-05-00:00,second,0.030480267299392426,TA
KRW-ANKR,2022-12-03-00:00,2022-12-04-00:00,first,0.025530399622811298,TA
KRW-ANKR,2022-12-03-00:00,2022-12-04-00:00,second,0.020372823568275973,TA
KRW-ANKR,2022-12-02-00:00,2022-12-03-00:00,first,0.01712289551280994,TA
KRW-ANKR,2022-12-02-00:00,2022-12-03-00:00,second,0.024225014734058213,TA
KRW-ANKR,2022-12-01-00:00,2022-12-02-00:00,first,0.014577374923270721,TA
KRW-ANKR,2022-12-01-00:00,2022-12-02-00:00,second,0.028286125599112533,TA
KRW-ANKR,2022-11-30-00:00,2022-12-01-00:00,first,0.022183452202433507,TA
KRW-ANKR,2022-11-30-00:00,2022-12-01-00:00,second,0.025489024699797212,TA
KRW-ANKR,2022-11-29-00:00,2022-11-30-00:00,first,0.01793456716778356,TA
KRW-ANKR,2022-11-29-00:00,2022-11-30-00:00,second,0.034932637561648834,TA
KRW-ANKR,2022-11-28-00:00,2022-11-29-00:00,first,0.02997484406725574,TA
KRW-ANKR,2022-11-28-00:00,2022-11-29-00:00,second,0.03723873561446785,TA
KRW-ANKR,2022-11-27-00:00,2022-11-28-00:00,first,0.015266110940602838,TA
KRW-ANKR,2022-11-27-00:00,2022-11-28-00:00,second,0.022299846479522163,TA
KRW-ANKR,2022-11-26-00:00,2022-11-27-00:00,first,0.010035400756879313,TA
KRW-ANKR,2022-11-26-00:00,2022-11-27-00:00,second,0.01558447655709353,TA
KRW-ANKR,2022-11-25-00:00,2022-11-26-00:00,first,0.020904009855616808,TA
KRW-ANKR,2022-11-25-00:00,2022-11-26-00:00,second,0.03634877635819518,TA
KRW-ANKR,2022-11-24-00:00,2022-11-25-00:00,first,0.011217063398798756,TA
KRW-ANKR,2022-11-24-00:00,2022-11-25-00:00,second,0.017508344670700168,TA
KRW-ANKR,2022-11-23-00:00,2022-11-24-00:00,first,0.016873767922160967,TA
KRW-ANKR,2022-11-23-00:00,2022-11-24-00:00,second,0.0327726444718018,TA
KRW-ANKR,2022-11-22-00:00,2022-11-23-00:00,first,0.017840406708745996,TA
KRW-ANKR,2022-11-22-00:00,2022-11-23-00:00,second,0.01809769731519458,TA
KRW-ANKR,2022-11-21-00:00,2022-11-22-00:00,first,0.021884012746296016,TA
KRW-ANKR,2022-11-21-00:00,2022-11-22-00:00,second,0.01777264447180181,TA
KRW-ANKR,2022-11-20-00:00,2022-11-21-00:00,first,0.019858896938383323,TA
KRW-ANKR,2022-11-20-00:00,2022-11-21-00:00,second,0.016507815082238614,TA
KRW-ANKR,2022-11-19-00:00,2022-11-20-00:00,first,0.007816547797566499,TA
KRW-ANKR,2022-11-19-00:00,2022-11-20-00:00,second,0.017509276362052434,TA
KRW-ANKR,2022-11-18-00:00,2022-11-19-00:00,first,0.01753527576540417,TA
KRW-ANKR,2022-11-18-00:00,2022-11-19-00:00,second,0.021488495111335666,TA
KRW-ANKR,2022-11-17-00:00,2022-11-18-00:00,first,0.016026945493258313,TA
KRW-ANKR,2022-11-17-00:00,2022-11-18-00:00,second,0.021003035415569495,TA
KRW-ANKR,2022-11-16-00:00,2022-11-17-00:00,first,0.01517195048156527,TA
KRW-ANKR,2022-11-16-00:00,2022-11-17-00:00,second,0.018238735614467844,TA
KRW-ANKR,2022-11-15-00:00,2022-11-16-00:00,first,0.010457775850658307,TA
KRW-ANKR,2022-11-15-00:00,2022-11-16-00:00,second,0.015697876411668737,TA
KRW-ANKR,2022-11-14-00:00,2022-11-15-00:00,first,0.012063885827701404,TA
KRW-ANKR,2022-11-14-00:00,2022-11-15-00:00,second,0.014920743141382208,TA
KRW-ANKR,2022-11-13-00:00,2022-11-14-00:00,first,0.02107778259557646,TA
KRW-ANKR,2022-11-13-00:00,2022-11-14-00:00,second,0.012667132074368617,TA
KRW-ANKR,2022-11-12-00:00,2022-11-13-00:00,first,0.019961229980211284,TA
KRW-ANKR,2022-11-12-00:00,2022-11-13-00:00,second,0.03571100401828594,TA
KRW-ANKR,2022-11-11-00:00,2022-11-12-00:00,first,0.018687229137648642,TA
KRW-ANKR,2022-11-11-00:00,2022-11-12-00:00,second,0.021008344670700164,TA
KRW-ANKR,2022-11-10-00:00,2022-11-11-00:00,first,0.011283061592676384,TA
KRW-ANKR,2022-11-10-00:00,2022-11-11-00:00,second,0.019729228708620882,TA
KRW-ANKR,2022-11-09-00:00,2022-11-10-00:00,first,0.01617374004207934,TA
KRW-ANKR,2022-11-09-00:00,2022-11-10-00:00,second,0.02259666081272279,TA
KRW-ANKR,2022-11-08-00:00,2022-11-09-00:00,first,0.015471389937702758,TA
KRW-ANKR,2022-11-08-00:00,2022-11-09-00:00,second,0.024800376067983722,TA
KRW-ANKR,2022-11-07-00:00,2022-11-08-00:00,first,0.011772618954354311,TA
KRW-ANKR,2022-11-07-00:00,2022-11-08-00:00,second,0.031522355386472446,TA
KRW-ANKR,2022-11-06-00:00,2022-11-07-00:00,first,0.02536206838710571,TA
KRW-ANKR,2022-11-06-00:00,2022-11-07-00:00,second,0.02296492890751924,TA
KRW-ANKR,2022-11-05-00:00,2022-11-06-00:00,first,0.01602694549325832,TA
KRW-ANKR,2022-11-05-00:00,2022-11-06-00:00,second,0.011906202837148383,TA
KRW-ANKR,2022-11-04-00:00,2022-11-05-00:00,first,0.014068761970294281,TA
KRW-ANKR,2022-11-04-00:00,2022-11-05-00:00,second,0.0205661959269954,TA
KRW-ANKR,2022-11-03-00:00,2022-11-04-00:00,first,0.0204577758506583,TA
KRW-ANKR,2022-11-03-00:00,2022-11-04-00:00,second,0.021085295980917722,TA
KRW-ANKR,2022-11-02-00:00,2022-11-03-00:00,first,0.027679998072880525,TA
KRW-ANKR,2022-11-02-00:00,2022-11-03-00:00,second,0.027286655187574088,TA
KRW-ANKR,2022-11-01-00:00,2022-11-02-00:00,first,0.021568886961769416,TA
KRW-ANKR,2022-11-01-00:00,2022-11-02-00:00,second,0.028451208027109605,TA
KRW-ANKR,2022-10-31-00:00,2022-11-01-00:00,first,0.023959440419697227,TA
KRW-ANKR,2022-10-31-00:00,2022-11-01-00:00,second,0.03395067843864805,TA
KRW-ANKR,2022-10-30-00:00,2022-10-31-00:00,first,0.01976903983332619,TA
KRW-ANKR,2022-10-30-00:00,2022-10-31-00:00,second,0.0194503886032854,TA
KRW-ANKR,2022-10-29-00:00,2022-10-30-00:00,first,0.020013614087044454,TA
